"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20794472940648 1 -5.52705935161768e-05
2008 "2025" 0.637 7.20788801932547 1 -5.67100810169308e-05
2009 "2025" 0.662 7.20782762848644 1 -6.03908390264252e-05
2010 "2025" 0.697 7.20776188914327 1 -6.5739343167337e-05
2011 "2025" 0.736 7.20768991975256 1 -7.19693907171859e-05
2012 "2025" 0.774 7.20761160386078 1 -7.83158917778692e-05
2013 "2025" 0.806 7.20752773063164 1 -8.38732291397193e-05
2014 "2025" 0.834 7.20743883396986 1 -8.88966617749176e-05
2015 "2025" 0.858 7.20734551151217 1 -9.33224576886715e-05
2016 "2025" 0.881 7.20724784303406 1 -9.7668478113988e-05
2017 "2025" 0.908 7.20714494077991 1 -0.000102902254151438
2018 "2025" 0.936 7.20703645992496 1 -0.000108480854952298
2019 "2025" 0.965 7.20692203819521 1 -0.000114421729743519
2020 "2025" 1.002 7.20679979341625 1 -0.000122244778963498
2021 "2025" 1.048 7.20666743958446 1 -0.000132353831788556
2022 "2025" 1.096 7.20652408107097 1 -0.00014335851348779
2023 "2025" 1.141 7.20636997906392 1 -0.000154102007051904
2024 "2025" 1.183 7.20620547406688 1 -0.000164504997045789
2025 "2025" 1.083 7.20606515983199 1 -0.000140314234887917
2026 "2025" 0.983 7.2059469938489 1 -0.000118165983089114
2027 "2025" 0.883 7.20584897748111 1 -9.80163677910539e-05
2028 "2025" 0.783 7.20576915586795 1 -7.98216131547846e-05
2029 "2025" 0.683 7.205705617836 1 -6.35380319495837e-05
2030 "2025" 0.583 7.20565649581959 1 -4.91220164162698e-05
2031 "2025" 0.483 7.20561996579018 1 -3.65300294076221e-05
2032 "2025" 0.383 7.20559424719438 1 -2.57185957988071e-05
2033 "2025" 0.283 7.2055776029002 1 -1.6644294181134e-05
2034 "2025" 0.183 7.20556833915138 1 -9.26374881959902e-06
2035 "2025" 0.083 7.20556480552949 1 -3.53362188931783e-06
2036 "2025" 0 7.20556480552949 1 0
2037 "2025" 0 7.20556480552949 1 0
2038 "2025" 0 7.20556480552949 1 0
2039 "2025" 0 7.20556480552949 1 0
2040 "2025" 0 7.20556480552949 1 0
2041 "2025" 0 7.20556480552949 1 0
2042 "2025" 0 7.20556480552949 1 0
2043 "2025" 0 7.20556480552949 1 0
2044 "2025" 0 7.20556480552949 1 0
2045 "2025" 0 7.20556480552949 1 0
2046 "2025" 0 7.20556480552949 1 0
2047 "2025" 0 7.20556480552949 1 0
2048 "2025" 0 7.20556480552949 1 0
2049 "2025" 0 7.20556480552949 1 0
2050 "2025" 0 7.20556480552949 1 0
2051 "2025" 0 7.20556480552949 1 0
2052 "2025" 0 7.20556480552949 1 0
2053 "2025" 0 7.20556480552949 1 0
2054 "2025" 0 7.20556480552949 1 0
2055 "2025" 0 7.20556480552949 1 0
2056 "2025" 0 7.20556480552949 1 0
2057 "2025" 0 7.20556480552949 1 0
2058 "2025" 0 7.20556480552949 1 0
2059 "2025" 0 7.20556480552949 1 0
2060 "2025" 0 7.20556480552949 1 0
2061 "2025" 0 7.20556480552949 1 0
2062 "2025" 0 7.20556480552949 1 0
2063 "2025" 0 7.20556480552949 1 0
2064 "2025" 0 7.20556480552949 1 0
2065 "2025" 0 7.20556480552949 1 0
2066 "2025" 0 7.20556480552949 1 0
2067 "2025" 0 7.20556480552949 1 0
2068 "2025" 0 7.20556480552949 1 0
2069 "2025" 0 7.20556480552949 1 0
2070 "2025" 0 7.20556480552949 1 0
2071 "2025" 0 7.20556480552949 1 0
2072 "2025" 0 7.20556480552949 1 0
2073 "2025" 0 7.20556480552949 1 0
2074 "2025" 0 7.20556480552949 1 0
2075 "2025" 0 7.20556480552949 1 0
2076 "2025" 0 7.20556480552949 1 0
2077 "2025" 0 7.20556480552949 1 0
2078 "2025" 0 7.20556480552949 1 0
2079 "2025" 0 7.20556480552949 1 0
2080 "2025" 0 7.20556480552949 1 0
2081 "2025" 0 7.20556480552949 1 0
2082 "2025" 0 7.20556480552949 1 0
2083 "2025" 0 7.20556480552949 1 0
2084 "2025" 0 7.20556480552949 1 0
2085 "2025" 0 7.20556480552949 1 0
2086 "2025" 0 7.20556480552949 1 0
2087 "2025" 0 7.20556480552949 1 0
2088 "2025" 0 7.20556480552949 1 0
2089 "2025" 0 7.20556480552949 1 0
2090 "2025" 0 7.20556480552949 1 0
2091 "2025" 0 7.20556480552949 1 0
2092 "2025" 0 7.20556480552949 1 0
2093 "2025" 0 7.20556480552949 1 0
2094 "2025" 0 7.20556480552949 1 0
2095 "2025" 0 7.20556480552949 1 0
2096 "2025" 0 7.20556480552949 1 0
2097 "2025" 0 7.20556480552949 1 0
2098 "2025" 0 7.20556480552949 1 0
2099 "2025" 0 7.20556480552949 1 0
2100 "2025" 0 7.20556480552949 1 0
2101 "2025" 0 7.20556480552949 1 0
2102 "2025" 0 7.20556480552949 1 0
2103 "2025" 0 7.20556480552949 1 0
2104 "2025" 0 7.20556480552949 1 0
2105 "2025" 0 7.20556480552949 1 0
2106 "2025" 0 7.20556480552949 1 0
2107 "2025" 0 7.20556480552949 1 0
2108 "2025" 0 7.20556480552949 1 0
2109 "2025" 0 7.20556480552949 1 0
2110 "2025" 0 7.20556480552949 1 0
2111 "2025" 0 7.20556480552949 1 0
2112 "2025" 0 7.20556480552949 1 0
2113 "2025" 0 7.20556480552949 1 0
2114 "2025" 0 7.20556480552949 1 0
2115 "2025" 0 7.20556480552949 1 0
2116 "2025" 0 7.20556480552949 1 0
2117 "2025" 0 7.20556480552949 1 0
2118 "2025" 0 7.20556480552949 1 0
2119 "2025" 0 7.20556480552949 1 0
2120 "2025" 0 7.20556480552949 1 0
2121 "2025" 0 7.20556480552949 1 0
2122 "2025" 0 7.20556480552949 1 0
2123 "2025" 0 7.20556480552949 1 0
2124 "2025" 0 7.20556480552949 1 0
2125 "2025" 0 7.20556480552949 1 0
2126 "2025" 0 7.20556480552949 1 0
2127 "2025" 0 7.20556480552949 1 0
2128 "2025" 0 7.20556480552949 1 0
2129 "2025" 0 7.20556480552949 1 0
2130 "2025" 0 7.20556480552949 1 0
