"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20796583308064 1 -3.41669193621996e-05
2008 "2025" 0.637 7.20793073259271 1 -3.51004879259875e-05
2009 "2025" 0.662 7.20789323817309 1 -3.74944196188665e-05
2010 "2025" 0.697 7.20785224831946 1 -4.09898536330999e-05
2011 "2025" 0.736 7.20780716309651 1 -4.50852229469945e-05
2012 "2025" 0.774 7.20775788108979 1 -4.92820067252708e-05
2013 "2025" 0.806 7.20770490463881 1 -5.29764509806796e-05
2014 "2025" 0.834 7.20764857372459 1 -5.63309142140866e-05
2015 "2025" 0.858 7.20758927611765 1 -5.92976069393458e-05
2016 "2025" 0.881 7.20752705533836 1 -6.22207792977392e-05
2017 "2025" 0.908 7.20746130162839 1 -6.57537099684191e-05
2018 "2025" 0.936 7.20739176752127 1 -6.95341071166311e-05
2019 "2025" 0.965 7.20731819143997 1 -7.35760812977659e-05
2020 "2025" 1.002 7.20723926853762 1 -7.89229023556715e-05
2021 "2025" 1.048 7.20715339739113 1 -8.58711464850614e-05
2022 "2025" 1.096 7.20705991498646 1 -9.34824046767702e-05
2023 "2025" 1.141 7.20695895681459 1 -0.000100958171860732
2024 "2025" 1.183 7.20685071943494 1 -0.000108237379651044
2025 "2025" 1.183 7.20674248660179 1 -0.000108232833156308
2026 "2025" 1.183 7.20663425831493 1 -0.00010822828685253
2027 "2025" 1.183 7.20652603457419 1 -0.000108223740740598
2028 "2025" 1.183 7.20641781537938 1 -0.000108219194818737
2029 "2025" 1.183 7.20630960073029 1 -0.000108214649087834
2030 "2025" 1.183 7.20620139062674 1 -0.000108210103548778
2031 "2025" 1.183 7.20609318506854 1 -0.000108205558199792
2032 "2025" 1.183 7.2059849840555 1 -0.000108201013041764
2033 "2025" 1.183 7.20587678758742 1 -0.000108196468074695
2034 "2025" 1.183 7.20576859566412 1 -0.000108191923299472
2035 "2025" 1.183 7.20566040828541 1 -0.000108187378714319
2036 "2025" 1.183 7.20555222545109 1 -0.000108182834320125
2037 "2025" 1.183 7.20544404716097 1 -0.000108178290116889
2038 "2025" 1.183 7.20533587341487 1 -0.000108173746103724
2039 "2025" 1.183 7.20522770421259 1 -0.000108169202282404
2040 "2025" 1.183 7.20511953955393 1 -0.000108164658652043
2041 "2025" 1.183 7.20501137943872 1 -0.000108160115211753
2042 "2025" 1.183 7.20490322386676 1 -0.000108155571963309
2043 "2025" 1.183 7.20479507283785 1 -0.000108151028904935
2044 "2025" 1.183 7.20468692635182 1 -0.000108146486037519
2045 "2025" 1.183 7.20457878440846 1 -0.000108141943361062
2046 "2025" 1.183 7.20447064700758 1 -0.000108137400875563
2047 "2025" 1.183 7.204362514149 1 -0.000108132858581023
2048 "2025" 1.183 7.20425438583252 1 -0.000108128316476552
