"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20794615118088 1 -5.38488191210718e-05
2008 "2025" 0.637 7.20789089687819 1 -5.52543026914876e-05
2009 "2025" 0.662 7.20783204828761 1 -5.8848590577476e-05
2010 "2025" 0.697 7.20776797566017 1 -6.40726274419023e-05
2011 "2025" 0.736 7.20769781629069 1 -7.01593694829583e-05
2012 "2025" 0.774 7.20762145465208 1 -7.63616386034727e-05
2013 "2025" 0.806 7.20753966059652 1 -8.17940555597474e-05
2014 "2025" 0.834 7.20745295497158 1 -8.67056249402864e-05
2015 "2025" 0.858 7.20736192130646 1 -9.10336651234189e-05
2016 "2025" 0.881 7.20726663691081 1 -9.52843956500971e-05
2017 "2025" 0.908 7.20716623259951 1 -0.000100404311296209
2018 "2025" 0.936 7.20706037000919 1 -0.000105862590325856
2019 "2025" 0.965 7.20694869354125 1 -0.000111676467936306
2020 "2025" 1.002 7.20682935953696 1 -0.000119334004292426
2021 "2025" 1.048 7.2067001275937 1 -0.000129231943262198
2022 "2025" 1.096 7.20656011742363 1 -0.000140010170065707
2023 "2025" 1.141 7.20640958163565 1 -0.000150535787976303
2024 "2025" 1.183 7.20624885096103 1 -0.000160730674626741
2025 "2025" 1.183 7.20608812688377 1 -0.00016072407726142
2026 "2025" 1.183 7.2059274094036 1 -0.000160717480167882
2027 "2025" 1.183 7.20576669852025 1 -0.00016071088334435
2028 "2025" 1.183 7.20560599423346 1 -0.000160704286791713
2029 "2025" 1.183 7.20544529654295 1 -0.00016069769050997
2030 "2025" 1.183 7.20528460544845 1 -0.000160691094499121
2031 "2025" 1.183 7.20512392094969 1 -0.000160684498758279
2032 "2025" 1.183 7.2049632430464 1 -0.000160677903289219
2033 "2025" 1.183 7.20480257173831 1 -0.000160671308090166
2034 "2025" 1.183 7.20464190702515 1 -0.000160664713162006
2035 "2025" 1.183 7.20448124890665 1 -0.000160658118504742
2036 "2025" 1.183 7.20432059738253 1 -0.000160651524117483
2037 "2025" 1.183 7.20415995245253 1 -0.000160644930001119
2038 "2025" 1.183 7.20399931411637 1 -0.00016063833615565
2039 "2025" 1.183 7.20383868237379 1 -0.000160631742581074
2040 "2025" 1.183 7.20367805722451 1 -0.000160625149277394
2041 "2025" 1.183 7.20351743866827 1 -0.000160618556243719
2042 "2025" 1.183 7.20335682670479 1 -0.000160611963480939
2043 "2025" 1.183 7.2031962213338 1 -0.000160605370988165
2044 "2025" 1.183 7.20303562255504 1 -0.000160598778766285
2045 "2025" 1.183 7.20287503036822 1 -0.0001605921868153
2046 "2025" 1.183 7.20271444477309 1 -0.00016058559513521
2047 "2025" 1.183 7.20255386576936 1 -0.000160579003725125
2048 "2025" 1.183 7.20239329335678 1 -0.000160572412585047
2049 "2025" 1.183 7.20223272753506 1 -0.000160565821716752
2050 "2025" 1.183 7.20207216830394 1 -0.000160559231118462
2051 "2025" 1.183 7.20191161566315 1 -0.000160552640790179
2052 "2025" 1.183 7.20175106961242 1 -0.00016054605073279
2053 "2025" 1.183 7.20159053015147 1 -0.000160539460946296
2054 "2025" 1.183 7.20142999728004 1 -0.000160532871429808
2055 "2025" 1.183 7.20126947099786 1 -0.000160526282184215
2056 "2025" 1.183 7.20110895130465 1 -0.000160519693208627
2057 "2025" 1.183 7.20094843820014 1 -0.000160513104503046
2058 "2025" 1.183 7.20078793168408 1 -0.000160506516069248
2059 "2025" 1.183 7.20062743175617 1 -0.000160499927904567
2060 "2025" 1.183 7.20046693841616 1 -0.000160493340010781
2061 "2025" 1.183 7.20030645166377 1 -0.000160486752387889
2062 "2025" 1.183 7.20014597149874 1 -0.000160480165035004
2063 "2025" 1.183 7.19998549792079 1 -0.000160473577952125
2064 "2025" 1.183 7.19982503092965 1 -0.00016046699114014
2065 "2025" 1.183 7.19966457052505 1 -0.000160460404598162
2066 "2025" 1.183 7.19950411670672 1 -0.000160453818327078
2067 "2025" 1.183 7.19934366947439 1 -0.000160447232326
2068 "2025" 1.183 7.1991832288278 1 -0.000160440646594928
2069 "2025" 1.183 7.19902279476666 1 -0.000160434061134751
2070 "2025" 1.183 7.19886236729072 1 -0.00016042747594458
2071 "2025" 1.183 7.19870194639969 1 -0.000160420891025304
2072 "2025" 1.183 7.19854153209332 1 -0.000160414306375145
2073 "2025" 1.183 7.19838112437132 1 -0.000160407721995881
2074 "2025" 1.183 7.19822072323344 1 -0.000160401137887511
2075 "2025" 1.183 7.19806032867939 1 -0.00016039455404826
2076 "2025" 1.183 7.19789994070891 1 -0.000160387970479903
2077 "2025" 1.183 7.19773955932173 1 -0.000160381387181552
2078 "2025" 1.183 7.19757918451757 1 -0.000160374804153207
2079 "2025" 1.183 7.19741881629618 1 -0.000160368221395757
2080 "2025" 1.183 7.19725845465727 1 -0.000160361638908313
2081 "2025" 1.183 7.19709809960058 1 -0.000160355056690875
2082 "2025" 1.183 7.19693775112583 1 -0.000160348474743444
2083 "2025" 1.183 7.19677740923277 1 -0.000160341893066018
2084 "2025" 1.183 7.19661707392111 1 -0.000160335311659487
2085 "2025" 1.183 7.19645674519059 1 -0.000160328730522075
2086 "2025" 1.183 7.19629642304093 1 -0.000160322149655556
2087 "2025" 1.183 7.19613610747187 1 -0.000160315569059044
2088 "2025" 1.183 7.19597579848314 1 -0.000160308988732538
2089 "2025" 1.183 7.19581549607446 1 -0.000160302408676039
2090 "2025" 1.183 7.19565520024557 1 -0.000160295828890433
2091 "2025" 1.183 7.1954949109962 1 -0.000160289249373946
2092 "2025" 1.183 7.19533462832607 1 -0.000160282670127465
2093 "2025" 1.183 7.19517435223492 1 -0.000160276091151879
2094 "2025" 1.183 7.19501408272247 1 -0.00016026951244541
2095 "2025" 1.183 7.19485381978846 1 -0.000160262934009836
2096 "2025" 1.183 7.19469356343262 1 -0.00016025635584338
2097 "2025" 1.183 7.19453331365467 1 -0.000160249777947818
2098 "2025" 1.183 7.19437307045435 1 -0.000160243200321375
2099 "2025" 1.183 7.19421283383139 1 -0.000160236622965826
2100 "2025" 1.183 7.19405260378551 1 -0.000160230045879395
