"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20794604031848 1 -5.39596815185561e-05
2008 "2025" 0.637 7.20789067250648 1 -5.53678120036594e-05
2009 "2025" 0.662 7.20783170367619 1 -5.89688302836677e-05
2010 "2025" 0.697 7.2077675011225 1 -6.42025536956581e-05
2011 "2025" 0.736 7.20769720067602 1 -7.03004464792656e-05
2012 "2025" 0.774 7.20762068673951 1 -7.65139365093148e-05
2013 "2025" 0.806 7.20753873066901 1 -8.19560704998779e-05
2014 "2025" 0.834 7.20745185432888 1 -8.68763401324912e-05
2015 "2025" 0.858 7.20736064234637 1 -9.12119825029478e-05
2016 "2025" 0.881 7.20726517222365 1 -9.5470122721153e-05
2017 "2025" 0.908 7.20716457333249 1 -0.000100598891158654
2018 "2025" 0.936 7.20705850680821 1 -0.000106066524286241
2019 "2025" 0.965 7.20694661653442 1 -0.000111890273789328
2020 "2025" 1.002 7.2068270558602 1 -0.000119560674223251
2021 "2025" 1.048 7.20669758084151 1 -0.00012947501868954
2022 "2025" 1.096 7.20655731000176 1 -0.000140270839741774
2023 "2025" 1.141 7.20640649661963 1 -0.000150813382131965
2024 "2025" 1.183 7.20624547218835 1 -0.000161024431285739
2025 "2025" 1.083 7.20610818812766 1 -0.000137284060689247
2026 "2025" 0.983 7.20599262683815 1 -0.000115561289505628
2027 "2025" 0.883 7.20589681579082 1 -9.58110473323615e-05
2028 "2025" 0.783 7.20581882743051 1 -7.7988360305703e-05
2029 "2025" 0.683 7.20575677908876 1 -6.20483417526074e-05
2030 "2025" 0.583 7.20570883290562 1 -4.79461831446315e-05
2031 "2025" 0.483 7.2056731957603 1 -3.5637145317402e-05
2032 "2025" 0.383 7.20564811921031 1 -2.50765499867356e-05
2033 "2025" 0.283 7.20563189943878 1 -1.62197715365409e-05
2034 "2025" 0.183 7.20562287720968 1 -9.02222909804351e-06
2035 "2025" 0.083 7.20561943783078 1 -3.43937889546453e-06
2036 "2025" 0 7.20561943783078 1 0
2037 "2025" 0 7.20561943783078 1 0
2038 "2025" 0 7.20561943783078 1 0
2039 "2025" 0 7.20561943783078 1 0
2040 "2025" 0 7.20561943783078 1 0
2041 "2025" 0 7.20561943783078 1 0
2042 "2025" 0 7.20561943783078 1 0
2043 "2025" 0 7.20561943783078 1 0
2044 "2025" 0 7.20561943783078 1 0
2045 "2025" 0 7.20561943783078 1 0
2046 "2025" 0 7.20561943783078 1 0
2047 "2025" 0 7.20561943783078 1 0
2048 "2025" 0 7.20561943783078 1 0
2049 "2025" 0 7.20561943783078 1 0
2050 "2025" 0 7.20561943783078 1 0
2051 "2025" 0 7.20561943783078 1 0
2052 "2025" 0 7.20561943783078 1 0
2053 "2025" 0 7.20561943783078 1 0
2054 "2025" 0 7.20561943783078 1 0
2055 "2025" 0 7.20561943783078 1 0
2056 "2025" 0 7.20561943783078 1 0
2057 "2025" 0 7.20561943783078 1 0
2058 "2025" 0 7.20561943783078 1 0
2059 "2025" 0 7.20561943783078 1 0
2060 "2025" 0 7.20561943783078 1 0
2061 "2025" 0 7.20561943783078 1 0
2062 "2025" 0 7.20561943783078 1 0
2063 "2025" 0 7.20561943783078 1 0
2064 "2025" 0 7.20561943783078 1 0
2065 "2025" 0 7.20561943783078 1 0
2066 "2025" 0 7.20561943783078 1 0
2067 "2025" 0 7.20561943783078 1 0
2068 "2025" 0 7.20561943783078 1 0
2069 "2025" 0 7.20561943783078 1 0
2070 "2025" 0 7.20561943783078 1 0
2071 "2025" 0 7.20561943783078 1 0
2072 "2025" 0 7.20561943783078 1 0
2073 "2025" 0 7.20561943783078 1 0
2074 "2025" 0 7.20561943783078 1 0
2075 "2025" 0 7.20561943783078 1 0
2076 "2025" 0 7.20561943783078 1 0
2077 "2025" 0 7.20561943783078 1 0
2078 "2025" 0 7.20561943783078 1 0
2079 "2025" 0 7.20561943783078 1 0
2080 "2025" 0 7.20561943783078 1 0
2081 "2025" 0 7.20561943783078 1 0
2082 "2025" 0 7.20561943783078 1 0
2083 "2025" 0 7.20561943783078 1 0
2084 "2025" 0 7.20561943783078 1 0
2085 "2025" 0 7.20561943783078 1 0
2086 "2025" 0 7.20561943783078 1 0
2087 "2025" 0 7.20561943783078 1 0
2088 "2025" 0 7.20561943783078 1 0
2089 "2025" 0 7.20561943783078 1 0
2090 "2025" 0 7.20561943783078 1 0
2091 "2025" 0 7.20561943783078 1 0
2092 "2025" 0 7.20561943783078 1 0
2093 "2025" 0 7.20561943783078 1 0
2094 "2025" 0 7.20561943783078 1 0
2095 "2025" 0 7.20561943783078 1 0
2096 "2025" 0 7.20561943783078 1 0
2097 "2025" 0 7.20561943783078 1 0
2098 "2025" 0 7.20561943783078 1 0
2099 "2025" 0 7.20561943783078 1 0
2100 "2025" 0 7.20561943783078 1 0
2101 "2025" 0 7.20561943783078 1 0
2102 "2025" 0 7.20561943783078 1 0
2103 "2025" 0 7.20561943783078 1 0
2104 "2025" 0 7.20561943783078 1 0
2105 "2025" 0 7.20561943783078 1 0
2106 "2025" 0 7.20561943783078 1 0
2107 "2025" 0 7.20561943783078 1 0
2108 "2025" 0 7.20561943783078 1 0
2109 "2025" 0 7.20561943783078 1 0
2110 "2025" 0 7.20561943783078 1 0
2111 "2025" 0 7.20561943783078 1 0
2112 "2025" 0 7.20561943783078 1 0
2113 "2025" 0 7.20561943783078 1 0
2114 "2025" 0 7.20561943783078 1 0
2115 "2025" 0 7.20561943783078 1 0
2116 "2025" 0 7.20561943783078 1 0
2117 "2025" 0 7.20561943783078 1 0
2118 "2025" 0 7.20561943783078 1 0
2119 "2025" 0 7.20561943783078 1 0
2120 "2025" 0 7.20561943783078 1 0
2121 "2025" 0 7.20561943783078 1 0
2122 "2025" 0 7.20561943783078 1 0
2123 "2025" 0 7.20561943783078 1 0
2124 "2025" 0 7.20561943783078 1 0
2125 "2025" 0 7.20561943783078 1 0
2126 "2025" 0 7.20561943783078 1 0
2127 "2025" 0 7.20561943783078 1 0
2128 "2025" 0 7.20561943783078 1 0
2129 "2025" 0 7.20561943783078 1 0
2130 "2025" 0 7.20561943783078 1 0
2131 "2025" 0 7.20561943783078 1 0
2132 "2025" 0 7.20561943783078 1 0
2133 "2025" 0 7.20561943783078 1 0
2134 "2025" 0 7.20561943783078 1 0
2135 "2025" 0 7.20561943783078 1 0
2136 "2025" 0 7.20561943783078 1 0
2137 "2025" 0 7.20561943783078 1 0
2138 "2025" 0 7.20561943783078 1 0
2139 "2025" 0 7.20561943783078 1 0
2140 "2025" 0 7.20561943783078 1 0
2141 "2025" 0 7.20561943783078 1 0
2142 "2025" 0 7.20561943783078 1 0
2143 "2025" 0 7.20561943783078 1 0
2144 "2025" 0 7.20561943783078 1 0
2145 "2025" 0 7.20561943783078 1 0
2146 "2025" 0 7.20561943783078 1 0
2147 "2025" 0 7.20561943783078 1 0
2148 "2025" 0 7.20561943783078 1 0
2149 "2025" 0 7.20561943783078 1 0
2150 "2025" 0 7.20561943783078 1 0
2151 "2025" 0 7.20561943783078 1 0
2152 "2025" 0 7.20561943783078 1 0
2153 "2025" 0 7.20561943783078 1 0
2154 "2025" 0 7.20561943783078 1 0
2155 "2025" 0 7.20561943783078 1 0
2156 "2025" 0 7.20561943783078 1 0
2157 "2025" 0 7.20561943783078 1 0
2158 "2025" 0 7.20561943783078 1 0
2159 "2025" 0 7.20561943783078 1 0
2160 "2025" 0 7.20561943783078 1 0
2161 "2025" 0 7.20561943783078 1 0
