"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.2079877769137 1 -1.22230862968919e-05
2008 "2025" 0.637 7.20797430850407 1 -1.34684096284587e-05
2009 "2025" 0.662 7.20795757998304 1 -1.67285210368462e-05
2010 "2025" 0.697 7.20793594054904 1 -2.16394340029069e-05
2011 "2025" 0.736 7.20790835334708 1 -2.75872019557255e-05
2012 "2025" 0.774 7.2078744893784 1 -3.38639686745523e-05
2013 "2025" 0.806 7.20783497226679 1 -3.95171116158721e-05
2014 "2025" 0.834 7.20779023361754 1 -4.47386492501423e-05
2015 "2025" 0.858 7.20774081588735 1 -4.94177301879617e-05
2016 "2025" 0.881 7.20768673736998 1 -5.40785173743785e-05
2017 "2025" 0.908 7.20762696447599 1 -5.97728939863984e-05
2018 "2025" 0.936 7.207561033576 1 -6.59308999857444e-05
2019 "2025" 0.965 7.20748845356043 1 -7.25800155789713e-05
2020 "2025" 1.002 7.20740698567405 1 -8.14678863765295e-05
2021 "2025" 1.048 7.20731383732131 1 -9.31483527413235e-05
2022 "2025" 1.096 7.2072077596828 1 -0.000106077638510449
2023 "2025" 1.141 7.20708887674491 1 -0.000118882937882425
2024 "2025" 1.183 7.20695744635991 1 -0.000131430385007292
2025 "2025" 1.083 7.20685504028696 1 -0.000102406072944206
2026 "2025" 0.983 7.20677834425454 1 -7.6696032418333e-05
2027 "2025" 0.883 7.20672404666379 1 -5.42975907569243e-05
2028 "2025" 0.783 7.2066888382835 1 -3.52083802885872e-05
2029 "2025" 0.683 7.20666941194551 1 -1.94263379906801e-05
2030 "2025" 0.583 7.20666246224033 1 -6.94970517667315e-06
2031 "2025" 0.483 7.20666468521311 1 2.22297277652217e-06
2032 "2025" 0.383 7.20667277805976 1 8.09284665592713e-06
2033 "2025" 0.283 7.20668343882336 1 1.06607635972367e-05
2034 "2025" 0.183 7.2066933660906 1 9.92726723580972e-06
2035 "2025" 0.083 7.2066992586884 1 5.89259780348073e-06
2036 "2025" 0 7.20669929539865 1 3.67102517273565e-08
2037 "2025" 0 7.2066993321089 1 3.67102481746429e-08
2038 "2025" 0 7.20669936881915 1 3.67102446219292e-08
2039 "2025" 0 7.20669940552939 1 3.67102410692155e-08
2040 "2025" 0 7.20669944223962 1 3.67102375165018e-08
2041 "2025" 0 7.20669947894986 1 3.67102339637881e-08
2042 "2025" 0 7.20669951566009 1 3.67102304110745e-08
2043 "2025" 0 7.20669955237031 1 3.67102259701824e-08
2044 "2025" 0 7.20669958908054 1 3.67102224174687e-08
2045 "2025" 0 7.20669962579076 1 3.6710218864755e-08
2046 "2025" 0 7.20669966250097 1 3.67102153120413e-08
2047 "2025" 0 7.20669969921118 1 3.67102117593276e-08
2048 "2025" 0 7.20669973592139 1 3.6710208206614e-08
2049 "2025" 0 7.2066997726316 1 3.67102046539003e-08
2050 "2025" 0 7.2066998093418 1 3.67102002130082e-08
2051 "2025" 0 7.20669984605199 1 3.67101966602945e-08
2052 "2025" 0 7.20669988276219 1 3.67101931075808e-08
2053 "2025" 0 7.20669991947238 1 3.67101895548672e-08
2054 "2025" 0 7.20669995618256 1 3.67101860021535e-08
2055 "2025" 0 7.20669999289274 1 3.67101824494398e-08
2056 "2025" 0 7.20670002960292 1 3.67101788967261e-08
2057 "2025" 0 7.2067000663131 1 3.67101753440124e-08
2058 "2025" 0 7.20670010302327 1 3.67101709031203e-08
2059 "2025" 0 7.20670013973344 1 3.67101673504067e-08
2060 "2025" 0 7.2067001764436 1 3.6710163797693e-08
2061 "2025" 0 7.20670021315376 1 3.67101602449793e-08
2062 "2025" 0 7.20670024986392 1 3.67101566922656e-08
2063 "2025" 0 7.20670028657407 1 3.67101531395519e-08
2064 "2025" 0 7.20670032328422 1 3.67101495868383e-08
2065 "2025" 0 7.20670035999436 1 3.67101451459462e-08
2066 "2025" 0 7.20670039670451 1 3.67101415932325e-08
2067 "2025" 0 7.20670043341464 1 3.67101380405188e-08
2068 "2025" 0 7.20670047012478 1 3.67101344878051e-08
2069 "2025" 0 7.20670050683491 1 3.67101309350915e-08
2070 "2025" 0 7.20670054354504 1 3.67101273823778e-08
2071 "2025" 0 7.20670058025516 1 3.67101238296641e-08
2072 "2025" 0 7.20670061696528 1 3.67101202769504e-08
2073 "2025" 0 7.2067006536754 1 3.67101158360583e-08
2074 "2025" 0 7.20670069038551 1 3.67101122833446e-08
2075 "2025" 0 7.20670072709562 1 3.6710108730631e-08
2076 "2025" 0 7.20670076380572 1 3.67101051779173e-08
2077 "2025" 0 7.20670080051582 1 3.67101016252036e-08
2078 "2025" 0 7.20670083722592 1 3.67100980724899e-08
2079 "2025" 0 7.20670087393602 1 3.67100945197762e-08
2080 "2025" 0 7.20670091064611 1 3.67100909670626e-08
2081 "2025" 0 7.20670094735619 1 3.67100865261705e-08
2082 "2025" 0 7.20670098406628 1 3.67100829734568e-08
2083 "2025" 0 7.20670102077636 1 3.67100794207431e-08
2084 "2025" 0 7.20670105748643 1 3.67100758680294e-08
2085 "2025" 0 7.20670109419651 1 3.67100723153158e-08
2086 "2025" 0 7.20670113090657 1 3.67100687626021e-08
2087 "2025" 0 7.20670116761664 1 3.67100652098884e-08
2088 "2025" 0 7.2067012043267 1 3.67100607689963e-08
2089 "2025" 0 7.20670124103676 1 3.67100572162826e-08
2090 "2025" 0 7.20670127774681 1 3.67100536635689e-08
2091 "2025" 0 7.20670131445686 1 3.67100501108553e-08
2092 "2025" 0 7.20670135116691 1 3.67100465581416e-08
2093 "2025" 0 7.20670138787695 1 3.67100430054279e-08
2094 "2025" 0 7.20670142458699 1 3.67100394527142e-08
2095 "2025" 0 7.20670146129703 1 3.67100359000005e-08
2096 "2025" 0 7.20670149800706 1 3.67100314591084e-08
2097 "2025" 0 7.20670153471709 1 3.67100279063948e-08
2098 "2025" 0 7.20670157142711 1 3.67100243536811e-08
2099 "2025" 0 7.20670160813713 1 3.67100208009674e-08
2100 "2025" 0 7.20670164484715 1 3.67100172482537e-08
2101 "2025" 0 7.20670168155716 1 3.67100136955401e-08
2102 "2025" 0 7.20670171826717 1 3.67100101428264e-08
2103 "2025" 0 7.20670175497718 1 3.67100057019343e-08
2104 "2025" 0 7.20670179168718 1 3.67100021492206e-08
2105 "2025" 0 7.20670182839718 1 3.67099985965069e-08
2106 "2025" 0 7.20670186510717 1 3.67099950437932e-08
2107 "2025" 0 7.20670190181716 1 3.67099914910796e-08
2108 "2025" 0 7.20670193852715 1 3.67099879383659e-08
2109 "2025" 0 7.20670197523714 1 3.67099843856522e-08
2110 "2025" 0 7.20670201194712 1 3.67099808329385e-08
2111 "2025" 0 7.20670204865709 1 3.67099763920464e-08
2112 "2025" 0 7.20670208536707 1 3.67099728393327e-08
2113 "2025" 0 7.20670212207704 1 3.67099692866191e-08
2114 "2025" 0 7.206702158787 1 3.67099657339054e-08
2115 "2025" 0 7.20670219549696 1 3.67099621811917e-08
2116 "2025" 0 7.20670223220692 1 3.6709958628478e-08
2117 "2025" 0 7.20670226891688 1 3.67099550757644e-08
2118 "2025" 0 7.20670230562683 1 3.67099506348723e-08
2119 "2025" 0 7.20670234233678 1 3.67099470821586e-08
2120 "2025" 0 7.20670237904672 1 3.67099435294449e-08
2121 "2025" 0 7.20670241575666 1 3.67099399767312e-08
2122 "2025" 0 7.2067024524666 1 3.67099364240175e-08
2123 "2025" 0 7.20670248917653 1 3.67099328713039e-08
2124 "2025" 0 7.20670252588646 1 3.67099293185902e-08
2125 "2025" 0 7.20670256259638 1 3.67099257658765e-08
2126 "2025" 0 7.2067025993063 1 3.67099213249844e-08
2127 "2025" 0 7.20670263601622 1 3.67099177722707e-08
2128 "2025" 0 7.20670267272614 1 3.6709914219557e-08
2129 "2025" 0 7.20670270943605 1 3.67099106668434e-08
2130 "2025" 0 7.20670274614595 1 3.67099071141297e-08
2131 "2025" 0 7.20670278285586 1 3.6709903561416e-08
2132 "2025" 0 7.20670281956576 1 3.67099000087023e-08
2133 "2025" 0 7.20670285627565 1 3.67098955678102e-08
2134 "2025" 0 7.20670289298555 1 3.67098920150966e-08
2135 "2025" 0 7.20670292969543 1 3.67098884623829e-08
2136 "2025" 0 7.20670296640532 1 3.67098849096692e-08
2137 "2025" 0 7.2067030031152 1 3.67098813569555e-08
2138 "2025" 0 7.20670303982508 1 3.67098778042418e-08
2139 "2025" 0 7.20670307653495 1 3.67098742515282e-08
2140 "2025" 0 7.20670311324482 1 3.67098706988145e-08
2141 "2025" 0 7.20670314995469 1 3.67098662579224e-08
