"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20809709378107 1 9.70937810720329e-05
2008 "2025" 0.637 7.20819420341485 1 9.7109633779624e-05
2009 "2025" 0.662 7.20829122180784 1 9.70183929904778e-05
2010 "2025" 0.697 7.20838774537848 1 9.65235706367196e-05
2011 "2025" 0.736 7.20848320602753 1 9.54606490548571e-05
2012 "2025" 0.774 7.20857710995189 1 9.39039243581519e-05
2013 "2025" 0.806 7.20866930134895 1 9.21913970586274e-05
2014 "2025" 0.834 7.20875969287202 1 9.03915230683339e-05
2015 "2025" 0.858 7.20884831669735 1 8.86238253317018e-05
2016 "2025" 0.881 7.20893505328633 1 8.67365889787308e-05
2017 "2025" 0.908 7.20901933785554 1 8.42845692057281e-05
2018 "2025" 0.936 7.2091008066276 1 8.14687720680496e-05
2019 "2025" 0.965 7.20917906610473 1 7.82594771226996e-05
2020 "2025" 1.002 7.20925280287528 1 7.37367705543335e-05
2021 "2025" 1.048 7.20932024405717 1 6.74411818932796e-05
2022 "2025" 1.096 7.20938031652953 1 6.00724723538448e-05
2023 "2025" 1.141 7.20943273799405 1 5.24214645274412e-05
2024 "2025" 1.183 7.20947737028924 1 4.46322951805911e-05
2025 "2025" 1.183 7.20952198896961 1 4.46186803699788e-05
2026 "2025" 1.183 7.20956659403932 1 4.46050697124889e-05
2027 "2025" 1.183 7.20961118550253 1 4.45914632072331e-05
2028 "2025" 1.183 7.20965576336338 1 4.45778608515468e-05
2029 "2025" 1.183 7.20970032762602 1 4.45642626463183e-05
2030 "2025" 1.183 7.20974487829461 1 4.45506685879948e-05
2031 "2025" 1.183 7.20978941537329 1 4.45370786774646e-05
2032 "2025" 1.183 7.2098339388662 1 4.4523492912063e-05
2033 "2025" 1.183 7.20987844877749 1 4.4509911290902e-05
2034 "2025" 1.183 7.2099229451113 1 4.44963338122051e-05
2035 "2025" 1.183 7.20996742787178 1 4.44827604759723e-05
2036 "2025" 1.183 7.21001189706306 1 4.44691912795392e-05
2037 "2025" 1.183 7.21005635268928 1 4.44556262229057e-05
2038 "2025" 1.183 7.21010079475459 1 4.44420653042954e-05
2039 "2025" 1.183 7.21014522326311 1 4.4428508521932e-05
