"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20800383589541 1 3.83589541375073e-06
2008 "2025" 0.637 7.20800666137068 1 2.8254752688639e-06
2009 "2025" 0.662 7.20800681473319 1 1.53362507582244e-07
2010 "2025" 0.697 7.20800287485824 1 -3.93987495250769e-06
2011 "2025" 0.736 7.20799388974474 1 -8.98511349500808e-06
2012 "2025" 0.774 7.2079794981254 1 -1.43916193477978e-05
2013 "2025" 0.806 7.20796017868814 1 -1.93194372597461e-05
2014 "2025" 0.834 7.20793626660527 1 -2.39120828640083e-05
2015 "2025" 0.858 7.20790820993173 1 -2.80566735391119e-05
2016 "2025" 0.881 7.20787600102102 1 -3.22089107145374e-05
2017 "2025" 0.908 7.20783869114952 1 -3.73098714998576e-05
2018 "2025" 0.936 7.2077958339099 1 -4.28572396131699e-05
2019 "2025" 0.965 7.20774695489117 1 -4.88790187374022e-05
2020 "2025" 1.002 7.20768998211081 1 -5.69727803565456e-05
2021 "2025" 1.048 7.20762230557459 1 -6.76765362248588e-05
2022 "2025" 1.096 7.20754270516691 1 -7.96004076786261e-05
2023 "2025" 1.141 7.2074512285703 1 -9.14765966051334e-05
2024 "2025" 1.183 7.20734805975255 1 -0.000103168817747523
2025 "2025" 1.183 7.20724491896778 1 -0.000103140784775135
2026 "2025" 1.183 7.20714180620836 1 -0.000103112759419766
2027 "2025" 1.183 7.20703872146668 1 -0.000103084741679638
2028 "2025" 1.183 7.20693566473513 1 -0.000103056731552087
2029 "2025" 1.183 7.20683263600609 1 -0.000103028729035337
2030 "2025" 1.183 7.20672963527196 1 -0.000103000734127612
2031 "2025" 1.183 7.20662666252514 1 -0.000102972746826246
2032 "2025" 1.183 7.20652371775801 1 -0.000102944767130353
2033 "2025" 1.183 7.20642080096297 1 -0.000102916795036379
2034 "2025" 1.183 7.20631791213243 1 -0.000102888830543435
2035 "2025" 1.183 7.20621505125878 1 -0.000102860873648858
2036 "2025" 1.183 7.20611221833443 1 -0.000102832924350871
2037 "2025" 1.183 7.20600941335178 1 -0.000102804982646809
2038 "2025" 1.183 7.20590663630325 1 -0.000102777048534897
2039 "2025" 1.183 7.20580388718123 1 -0.000102749122014245
2040 "2025" 1.183 7.20570116597815 1 -0.000102721203080414
2041 "2025" 1.183 7.20559847268642 1 -0.000102693291733402
2042 "2025" 1.183 7.20549580729845 1 -0.000102665387970546
2043 "2025" 1.183 7.20539316980666 1 -0.00010263749179007
2044 "2025" 1.183 7.20529056020347 1 -0.000102609603189308
2045 "2025" 1.183 7.2051879784813 1 -0.000102581722165596
2046 "2025" 1.183 7.20508542463258 1 -0.000102553848718934
2047 "2025" 1.183 7.20498289864974 1 -0.000102525982844881
2048 "2025" 1.183 7.2048804005252 1 -0.000102498124543438
2049 "2025" 1.183 7.20477793025139 1 -0.000102470273811051
2050 "2025" 1.183 7.20467548782074 1 -0.000102442430645944
2051 "2025" 1.183 7.20457307322569 1 -0.000102414595047229
2052 "2025" 1.183 7.20447068645868 1 -0.000102386767011353
2053 "2025" 1.183 7.20436832751214 1 -0.000102358946537429
2054 "2025" 1.183 7.20426599637852 1 -0.000102331133622791
2055 "2025" 1.183 7.20416369305026 1 -0.000102303328264775
2056 "2025" 1.183 7.20406141751979 1 -0.000102275530462492
2057 "2025" 1.183 7.20395916977958 1 -0.000102247740213279
2058 "2025" 1.183 7.20385694982206 1 -0.000102219957515359
2059 "2025" 1.183 7.2037547576397 1 -0.000102192182366956
2060 "2025" 1.183 7.20365259322493 1 -0.000102164414765404
2061 "2025" 1.183 7.20355045657022 1 -0.00010213665470804
2062 "2025" 1.183 7.20344834766803 1 -0.000102108902194864
2063 "2025" 1.183 7.20334626651081 1 -0.000102081157221434
2064 "2025" 1.183 7.20324421309102 1 -0.000102053419787751
2065 "2025" 1.183 7.20314218740113 1 -0.000102025689890262
2066 "2025" 1.183 7.2030401894336 1 -0.000101997967528078
2067 "2025" 1.183 7.2029382191809 1 -0.000101970252697647
2068 "2025" 1.183 7.20283627663551 1 -0.00010194254539897
2069 "2025" 1.183 7.20273436178988 1 -0.000101914845628492
2070 "2025" 1.183 7.20263247463649 1 -0.000101887153384439
2071 "2025" 1.183 7.20253061516783 1 -0.000101859468665033
2072 "2025" 1.183 7.20242878337636 1 -0.00010183179146761
2073 "2025" 1.183 7.20232697925457 1 -0.000101804121791282
2074 "2025" 1.183 7.20222520279493 1 -0.000101776459633385
2075 "2025" 1.183 7.20212345398994 1 -0.000101748804991253
2076 "2025" 1.183 7.20202173283208 1 -0.000101721157863999
2077 "2025" 1.183 7.20192003931383 1 -0.000101693518248069
2078 "2025" 1.183 7.20181837342769 1 -0.000101665886143465
2079 "2025" 1.183 7.20171673516614 1 -0.000101638261546633
2080 "2025" 1.183 7.20161512452169 1 -0.000101610644455796
2081 "2025" 1.183 7.20151354148682 1 -0.000101583034869179
2082 "2025" 1.183 7.20141198605403 1 -0.000101555432784117
2083 "2025" 1.183 7.20131045821583 1 -0.000101527838199722
2084 "2025" 1.183 7.20120895796472 1 -0.000101500251113329
2085 "2025" 1.183 7.2011074852932 1 -0.000101472671523162
2086 "2025" 1.183 7.20100604019377 1 -0.000101445099426556
2087 "2025" 1.183 7.20090462265895 1 -0.000101417534821735
2088 "2025" 1.183 7.20080323268124 1 -0.000101389977706035
2089 "2025" 1.183 7.20070187025316 1 -0.000101362428079455
2090 "2025" 1.183 7.20060053536722 1 -0.000101334885937554
2091 "2025" 1.183 7.20049922801594 1 -0.000101307351280333
2092 "2025" 1.183 7.20039794819184 1 -0.000101279824104239
2093 "2025" 1.183 7.20029669588743 1 -0.000101252304407495
2094 "2025" 1.183 7.20019547109524 1 -0.000101224792189214
2095 "2025" 1.183 7.2000942738078 1 -0.000101197287445842
2096 "2025" 1.183 7.19999310401762 1 -0.000101169790176492
2097 "2025" 1.183 7.19989196171724 1 -0.000101142300378498
2098 "2025" 1.183 7.19979084689919 1 -0.000101114818050085
2099 "2025" 1.183 7.199689759556 1 -0.000101087343189477
2100 "2025" 1.183 7.19958869968021 1 -0.000101059875794007
2101 "2025" 1.183 7.19948766726435 1 -0.000101032415861901
2102 "2025" 1.183 7.19938666230096 1 -0.000101004963391382
2103 "2025" 1.183 7.19928568478258 1 -0.000100977518379786
2104 "2025" 1.183 7.19918473470175 1 -0.000100950080825335
2105 "2025" 1.183 7.19908381205102 1 -0.000100922650727142
2106 "2025" 1.183 7.19898291682294 1 -0.000100895228081654
2107 "2025" 1.183 7.19888204901005 1 -0.000100867812887984
2108 "2025" 1.183 7.19878120860491 1 -0.000100840405142577
2109 "2025" 1.183 7.19868039560007 1 -0.000100813004845435
2110 "2025" 1.183 7.19857960998807 1 -0.000100785611993004
2111 "2025" 1.183 7.19847885176149 1 -0.000100758226583508
2112 "2025" 1.183 7.19837812091287 1 -0.000100730848615171
2113 "2025" 1.183 7.19827741743479 1 -0.000100703478086217
2114 "2025" 1.183 7.19817674131979 1 -0.000100676114994869
2115 "2025" 1.183 7.19807609256046 1 -0.000100648759337574
2116 "2025" 1.183 7.19797547114934 1 -0.000100621411114332
2117 "2025" 1.183 7.19787487707902 1 -0.000100594070321591
2118 "2025" 1.183 7.19777431034206 1 -0.000100566736957575
2119 "2025" 1.183 7.19767377093104 1 -0.000100539411020506
2120 "2025" 1.183 7.19757325883853 1 -0.000100512092509497
2121 "2025" 1.183 7.19747277405711 1 -0.000100484781420107
2122 "2025" 1.183 7.19737231657936 1 -0.000100457477752336
2123 "2025" 1.183 7.19727188639786 1 -0.000100430181503519
2124 "2025" 1.183 7.19717148350518 1 -0.00010040289267188
2125 "2025" 1.183 7.19707110789393 1 -0.000100375611254755
2126 "2025" 1.183 7.19697075955668 1 -0.000100348337251255
2127 "2025" 1.183 7.19687043848602 1 -0.000100321070657827
2128 "2025" 1.183 7.19677014467455 1 -0.000100293811473584
2129 "2025" 1.183 7.19666987811485 1 -0.000100266559695861
2130 "2025" 1.183 7.19656963879953 1 -0.000100239315322881
2131 "2025" 1.183 7.19646942672118 1 -0.000100212078352868
2132 "2025" 1.183 7.19636924187239 1 -0.000100184848784046
2133 "2025" 1.183 7.19626908424578 1 -0.00010015762661375
2134 "2025" 1.183 7.19616895383394 1 -0.000100130411840205
2135 "2025" 1.183 7.19606885062948 1 -0.000100103204461632
2136 "2025" 1.183 7.195968774625 1 -0.000100076004476257
2137 "2025" 1.183 7.19586872581312 1 -0.000100048811880527
2138 "2025" 1.183 7.19576870418644 1 -0.00010002162667444
2139 "2025" 1.183 7.19566870973759 1 -9.99944488553339e-05
2140 "2025" 1.183 7.19556874245917 1 -9.99672784196548e-05
2141 "2025" 1.183 7.1954688023438 1 -9.99401153682911e-05
2142 "2025" 1.183 7.1953688893841 1 -9.99129596968018e-05
2143 "2025" 1.183 7.1952690035727 1 -9.98858114042989e-05
2144 "2025" 1.183 7.19516914490221 1 -9.98586704881177e-05
2145 "2025" 1.183 7.19506931336527 1 -9.98315369464819e-05
2146 "2025" 1.183 7.19496950895449 1 -9.98044107785034e-05
2147 "2025" 1.183 7.19486973166251 1 -9.97772919806295e-05
2148 "2025" 1.183 7.19476998148196 1 -9.97501805510836e-05
2149 "2025" 1.183 7.19467025840547 1 -9.97230764889778e-05
2150 "2025" 1.183 7.19457056242568 1 -9.96959797907593e-05
2151 "2025" 1.183 7.19447089353522 1 -9.96688904555398e-05
2152 "2025" 1.183 7.19437125172674 1 -9.96418084815431e-05
2153 "2025" 1.183 7.19427163699287 1 -9.96147338661046e-05
2154 "2025" 1.183 7.19417204932626 1 -9.9587666607448e-05
2155 "2025" 1.183 7.19407248871956 1 -9.95606067029087e-05
2156 "2025" 1.183 7.19397295516541 1 -9.95335541515985e-05
2157 "2025" 1.183 7.19387344865646 1 -9.95065089508529e-05
2158 "2025" 1.183 7.19377396918536 1 -9.94794710980074e-05
2159 "2025" 1.183 7.19367451674477 1 -9.94524405930619e-05
2160 "2025" 1.183 7.19357509132734 1 -9.94254174324638e-05
2161 "2025" 1.183 7.19347569292572 1 -9.93984016144367e-05
2162 "2025" 1.183 7.19337632153258 1 -9.93713931372042e-05
2163 "2025" 1.183 7.19327697714059 1 -9.93443919981019e-05
2164 "2025" 1.183 7.19317765974239 1 -9.93173981971296e-05
2165 "2025" 1.183 7.19307836933066 1 -9.92904117298465e-05
2166 "2025" 1.183 7.19297910589806 1 -9.92634325953645e-05
2167 "2025" 1.183 7.19287986943727 1 -9.92364607919072e-05
2168 "2025" 1.183 7.19278065994096 1 -9.920949631681e-05
2169 "2025" 1.183 7.19268147740179 1 -9.91825391691847e-05
2170 "2025" 1.183 7.19258232181244 1 -9.91555893454787e-05
2171 "2025" 1.183 7.19248319316559 1 -9.9128646845692e-05
2172 "2025" 1.183 7.19238409145393 1 -9.91017116653836e-05
2173 "2025" 1.183 7.19228501667012 1 -9.90747838045536e-05
2174 "2025" 1.183 7.19218596880686 1 -9.90478632605374e-05
2175 "2025" 1.183 7.19208694785683 1 -9.90209500315586e-05
2176 "2025" 1.183 7.19198795381272 1 -9.8994044115841e-05
2177 "2025" 1.183 7.19188898666721 1 -9.89671455098318e-05
2178 "2025" 1.183 7.19179004641299 1 -9.89402542135309e-05
2179 "2025" 1.183 7.19169113304277 1 -9.89133702233858e-05
2180 "2025" 1.183 7.19159224654923 1 -9.88864935385081e-05
2181 "2025" 1.183 7.19149338692507 1 -9.88596241571216e-05
2182 "2025" 1.183 7.191394554163 1 -9.88327620756735e-05
2183 "2025" 1.183 7.1912957482557 1 -9.88059072941638e-05
2184 "2025" 1.183 7.1911969691959 1 -9.87790598090399e-05
2185 "2025" 1.183 7.19109821697628 1 -9.87522196185253e-05
2186 "2025" 1.183 7.19099949158956 1 -9.87253867217319e-05
2187 "2025" 1.183 7.19090079302844 1 -9.86985611159952e-05
2188 "2025" 1.183 7.19080212128564 1 -9.86717427986505e-05
2189 "2025" 1.183 7.19070347635387 1 -9.86449317688098e-05
2190 "2025" 1.183 7.19060485822585 1 -9.86181280238085e-05
2191 "2025" 1.183 7.19050626689429 1 -9.85913315627585e-05
2192 "2025" 1.183 7.1904077023519 1 -9.85645423821069e-05
2193 "2025" 1.183 7.19030916459142 1 -9.85377604800775e-05
2194 "2025" 1.183 7.19021065360557 1 -9.8510985855782e-05
2195 "2025" 1.183 7.19011216938706 1 -9.8484218506556e-05
2196 "2025" 1.183 7.19001371192863 1 -9.8457458430623e-05
2197 "2025" 1.183 7.189915281223 1 -9.84307056262068e-05
2198 "2025" 1.183 7.18981687726291 1 -9.84039600906428e-05
2199 "2025" 1.183 7.18971850004109 1 -9.83772218221546e-05
2200 "2025" 1.183 7.18962014955027 1 -9.8350490819854e-05
2201 "2025" 1.183 7.18952182578319 1 -9.83237670801884e-05
2202 "2025" 1.183 7.18942352873259 1 -9.82970506022696e-05
2203 "2025" 1.183 7.18932525839121 1 -9.82703413834329e-05
2204 "2025" 1.183 7.18922701475178 1 -9.82436394219022e-05
2205 "2025" 1.183 7.18912879780707 1 -9.82169447159009e-05
2206 "2025" 1.183 7.1890306075498 1 -9.81902572636528e-05
2207 "2025" 1.183 7.18893244397274 1 -9.81635770624933e-05
2208 "2025" 1.183 7.18883430706863 1 -9.81369041106461e-05
2209 "2025" 1.183 7.18873619683022 1 -9.8110238407223e-05
2210 "2025" 1.183 7.18863811325028 1 -9.80835799486712e-05
2211 "2025" 1.183 7.18854005632154 1 -9.80569287341027e-05
2212 "2025" 1.183 7.18844202603678 1 -9.80302847608527e-05
2213 "2025" 1.183 7.18834402238875 1 -9.80036480280333e-05
2214 "2025" 1.183 7.18824604537022 1 -9.79770185320916e-05
2215 "2025" 1.183 7.18814809497395 1 -9.79503962721395e-05
2216 "2025" 1.183 7.1880501711927 1 -9.79237812464007e-05
2217 "2025" 1.183 7.18795227401925 1 -9.78971734522105e-05
2218 "2025" 1.183 7.18785440344636 1 -9.78705728877927e-05
2219 "2025" 1.183 7.18775655946681 1 -9.78439795513708e-05
2220 "2025" 1.183 7.18765874207337 1 -9.78173934402804e-05
2221 "2025" 1.183 7.18756095125882 1 -9.77908145536333e-05
2222 "2025" 1.183 7.18746318701593 1 -9.7764242889653e-05
2223 "2025" 1.183 7.18736544933748 1 -9.7737678444787e-05
2224 "2025" 1.183 7.18726773821626 1 -9.7711121218147e-05
2225 "2025" 1.183 7.18717005364506 1 -9.76845712079566e-05
2226 "2025" 1.183 7.18707239561664 1 -9.76580284115514e-05
2227 "2025" 1.183 7.18697476412382 1 -9.76314928280431e-05
2228 "2025" 1.183 7.18687715915936 1 -9.7604964453879e-05
2229 "2025" 1.183 7.18677958071607 1 -9.7578443288171e-05
2230 "2025" 1.183 7.18668202878674 1 -9.75519293291427e-05
2231 "2025" 1.183 7.18658450336417 1 -9.75254225741295e-05
2232 "2025" 1.183 7.18648700444115 1 -9.74989230222434e-05
2233 "2025" 1.183 7.18638953201048 1 -9.74724306699315e-05
2234 "2025" 1.183 7.18629208606496 1 -9.74459455163057e-05
2235 "2025" 1.183 7.1861946665974 1 -9.74194675595896e-05
2236 "2025" 1.183 7.18609727360061 1 -9.73929967971188e-05
2237 "2025" 1.183 7.18599990706738 1 -9.73665332271167e-05
2238 "2025" 1.183 7.18590256699053 1 -9.73400768478072e-05
2239 "2025" 1.183 7.18580525336287 1 -9.73136276574138e-05
2240 "2025" 1.183 7.18570796617722 1 -9.72871856541602e-05
2241 "2025" 1.183 7.18561070542638 1 -9.72607508353818e-05
2242 "2025" 1.183 7.18551347110318 1 -9.72343231993023e-05
2243 "2025" 1.183 7.18541626320044 1 -9.72079027441453e-05
2244 "2025" 1.183 7.18531908171097 1 -9.71814894681344e-05
2245 "2025" 1.183 7.1852219266276 1 -9.71550833686052e-05
2246 "2025" 1.183 7.18512479794316 1 -9.71286844446695e-05
2247 "2025" 1.183 7.18502769565047 1 -9.71022926936627e-05
2248 "2025" 1.183 7.18493061974235 1 -9.70759081138084e-05
2249 "2025" 1.183 7.18483357021165 1 -9.70495307033303e-05
2250 "2025" 1.183 7.18473654705119 1 -9.70231604595639e-05
2251 "2025" 1.183 7.18463955025381 1 -9.6996797381621e-05
2252 "2025" 1.183 7.18454257981234 1 -9.69704414668371e-05
2253 "2025" 1.183 7.18444563571963 1 -9.69440927134357e-05
2254 "2025" 1.183 7.18434871796851 1 -9.69177511196406e-05
2255 "2025" 1.183 7.18425182655182 1 -9.68914166836754e-05
2256 "2025" 1.183 7.18415496146242 1 -9.68650894028755e-05
2257 "2025" 1.183 7.18405812269314 1 -9.68387692754646e-05
2258 "2025" 1.183 7.18396131023684 1 -9.68124563005546e-05
2259 "2025" 1.183 7.18386452408637 1 -9.67861504745926e-05
2260 "2025" 1.183 7.18376776423457 1 -9.67598517966906e-05
2261 "2025" 1.183 7.18367103067431 1 -9.67335602650721e-05
2262 "2025" 1.183 7.18357432339843 1 -9.67072758770726e-05
2263 "2025" 1.183 7.1834776423998 1 -9.66809986309158e-05
2264 "2025" 1.183 7.18338098767128 1 -9.66547285248254e-05
2265 "2025" 1.183 7.18328435920572 1 -9.66284655570249e-05
2266 "2025" 1.183 7.18318775699599 1 -9.66022097248498e-05
2267 "2025" 1.183 7.18309118103497 1 -9.65759610274119e-05
2268 "2025" 1.183 7.1829946313155 1 -9.65497194620468e-05
2269 "2025" 1.183 7.18289810783048 1 -9.65234850269781e-05
2270 "2025" 1.183 7.18280161057276 1 -9.64972577204293e-05
2271 "2025" 1.183 7.18270513953522 1 -9.64710375406241e-05
2272 "2025" 1.183 7.18260869471073 1 -9.64448244848981e-05
2273 "2025" 1.183 7.18251227609218 1 -9.64186185514748e-05
2274 "2025" 1.183 7.18241588367244 1 -9.63924197394661e-05
2275 "2025" 1.183 7.18231951744439 1 -9.63662280462074e-05
2276 "2025" 1.183 7.18222317740092 1 -9.63400434690342e-05
2277 "2025" 1.183 7.18212686353492 1 -9.63138660070584e-05
2278 "2025" 1.183 7.18203057583926 1 -9.62876956585035e-05
2279 "2025" 1.183 7.18193431430684 1 -9.6261532420705e-05
2280 "2025" 1.183 7.18183807893055 1 -9.62353762909984e-05
2281 "2025" 1.183 7.18174186970328 1 -9.62092272693837e-05
2282 "2025" 1.183 7.18164568661792 1 -9.61830853531964e-05
2283 "2025" 1.183 7.18154952966739 1 -9.61569505397719e-05
2284 "2025" 1.183 7.18145339884456 1 -9.61308228273339e-05
2285 "2025" 1.183 7.18135729414234 1 -9.61047022149941e-05
2286 "2025" 1.183 7.18126121555364 1 -9.60785887000881e-05
2287 "2025" 1.183 7.18116516307136 1 -9.60524822799513e-05
2288 "2025" 1.183 7.18106913668841 1 -9.60263829545838e-05
2289 "2025" 1.183 7.18097313639769 1 -9.60002907204327e-05
2290 "2025" 1.183 7.18087716219211 1 -9.59742055757218e-05
2291 "2025" 1.183 7.18078121406459 1 -9.59481275186747e-05
2292 "2025" 1.183 7.18068529200804 1 -9.59220565484031e-05
2293 "2025" 1.183 7.18058939601538 1 -9.58959926613545e-05
2294 "2025" 1.183 7.18049352607953 1 -9.58699358566406e-05
2295 "2025" 1.183 7.18039768219339 1 -9.58438861324851e-05
2296 "2025" 1.183 7.18030186434991 1 -9.58178434862234e-05
2297 "2025" 1.183 7.18020607254199 1 -9.57918079160791e-05
2298 "2025" 1.183 7.18011030676257 1 -9.5765779420276e-05
2299 "2025" 1.183 7.18001456700457 1 -9.57397579970376e-05
2300 "2025" 1.183 7.17991885326093 1 -9.57137436445876e-05
2301 "2025" 1.183 7.17982316552457 1 -9.56877363602615e-05
2302 "2025" 1.183 7.17972750378843 1 -9.56617361431711e-05
2303 "2025" 1.183 7.17963186804544 1 -9.56357429906518e-05
2304 "2025" 1.183 7.17953625828854 1 -9.56097569009273e-05
2305 "2025" 1.183 7.17944067451066 1 -9.55837778713331e-05
2306 "2025" 1.183 7.17934511670476 1 -9.55578059018691e-05
2307 "2025" 1.183 7.17924958486377 1 -9.55318409889827e-05
2308 "2025" 1.183 7.17915407898064 1 -9.55058831317857e-05
2309 "2025" 1.183 7.17905859904831 1 -9.54799323267252e-05
2310 "2025" 1.183 7.17896314505974 1 -9.54539885738015e-05
2311 "2025" 1.183 7.17886771700787 1 -9.54280518703499e-05
2312 "2025" 1.183 7.17877231488566 1 -9.5402122214594e-05
2313 "2025" 1.183 7.17867693868605 1 -9.53761996038693e-05
2314 "2025" 1.183 7.17858158840201 1 -9.53502840372877e-05
2315 "2025" 1.183 7.1784862640265 1 -9.53243755121846e-05
2316 "2025" 1.183 7.17839096555248 1 -9.52984740267837e-05
2317 "2025" 1.183 7.1782956929729 1 -9.52725795793086e-05
2318 "2025" 1.183 7.17820044628073 1 -9.52466921679829e-05
2319 "2025" 1.183 7.17810522546894 1 -9.52208117910303e-05
2320 "2025" 1.183 7.17801003053049 1 -9.51949384466744e-05
2321 "2025" 1.183 7.17791486145836 1 -9.51690721313625e-05
2322 "2025" 1.183 7.17781971824551 1 -9.51432128450946e-05
2323 "2025" 1.183 7.17772460088493 1 -9.51173605860944e-05
2324 "2025" 1.183 7.17762950936958 1 -9.50915153508092e-05
2325 "2025" 1.183 7.17753444369244 1 -9.50656771383507e-05
2326 "2025" 1.183 7.17743940384649 1 -9.50398459460544e-05
2327 "2025" 1.183 7.17734438982472 1 -9.50140217730322e-05
2328 "2025" 1.183 7.1772494016201 1 -9.49882046175077e-05
2329 "2025" 1.183 7.17715443922563 1 -9.49623944759281e-05
2330 "2025" 1.183 7.17705950263428 1 -9.49365913482936e-05
2331 "2025" 1.183 7.17696459183905 1 -9.49107952310513e-05
2332 "2025" 1.183 7.17686970683292 1 -9.48850061242013e-05
2333 "2025" 1.183 7.1767748476089 1 -9.48592240241908e-05
2334 "2025" 1.183 7.17668001415997 1 -9.48334489292435e-05
2335 "2025" 1.183 7.17658520647913 1 -9.48076808384712e-05
2336 "2025" 1.183 7.17649042455938 1 -9.47819197492095e-05
2337 "2025" 1.183 7.17639566839372 1 -9.47561656596818e-05
2338 "2025" 1.183 7.17630093797515 1 -9.47304185681119e-05
2339 "2025" 1.183 7.17620623329668 1 -9.47046784727235e-05
2340 "2025" 1.183 7.17611155435131 1 -9.467894537174e-05
2341 "2025" 1.183 7.17601690113205 1 -9.46532192624971e-05
2342 "2025" 1.183 7.1759222736319 1 -9.46275001432184e-05
2343 "2025" 1.183 7.17582767184389 1 -9.46017880130157e-05
