"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20799863246919 1 -1.36753080592911e-06
2008 "2025" 0.637 7.20799617857896 1 -2.45389023856291e-06
2009 "2025" 0.662 7.20799086251202 1 -5.3160669377661e-06
2010 "2025" 0.697 7.20798118896491 1 -9.67354711267632e-06
2011 "2025" 0.736 7.20796617860087 1 -1.50103640361721e-05
2012 "2025" 0.774 7.20794548066573 1 -2.06979351364822e-05
2013 "2025" 0.806 7.20791962072528 1 -2.58599404574511e-05
2014 "2025" 0.834 7.20788896513911 1 -3.06555861619984e-05
2015 "2025" 0.858 7.20785399247296 1 -3.4972666155042e-05
2016 "2025" 0.881 7.20781470348536 1 -3.928898759753e-05
2017 "2025" 0.908 7.20777012211248 1 -4.45813728804367e-05
2018 "2025" 0.936 7.20771979643986 1 -5.0325672617646e-05
2019 "2025" 0.965 7.20766324672348 1 -5.65497163851347e-05
2020 "2025" 1.002 7.2075983472876 1 -6.48994358760646e-05
2021 "2025" 1.048 7.20752242940425 1 -7.59178833540375e-05
2022 "2025" 1.096 7.20743426385657 1 -8.81655476732135e-05
2023 "2025" 1.141 7.20733392303904 1 -0.000100340817538402
2024 "2025" 1.183 7.20722161482517 1 -0.000112308213867429
2025 "2025" 1.083 7.20713692212526 1 -8.46926999109598e-05
2026 "2025" 0.983 7.20707649277442 1 -6.04293508370546e-05
2027 "2025" 0.883 7.20703697718956 1 -3.95155848611495e-05
2028 "2025" 0.783 7.20701502806107 1 -2.19491284889628e-05
2029 "2025" 0.683 7.2070073000449 1 -7.72801617188179e-06
2030 "2025" 0.583 7.20701044945489 1 3.14940999590618e-06
2031 "2025" 0.483 7.20702113395543 1 1.06845005394263e-05
2032 "2025" 0.383 7.20703601225425 1 1.48782988160789e-05
2033 "2025" 0.283 7.20705174379544 1 1.57315411941639e-05
2034 "2025" 0.183 7.20706498845263 1 1.3244657182554e-05
2035 "2025" 0.083 7.20707240622215 1 7.41776952395412e-06
2036 "2025" 0 7.20707245098661 1 4.47644623591259e-08
2037 "2025" 0 7.20707249575107 1 4.47644579182338e-08
2038 "2025" 0 7.20707254051552 1 4.47644534773417e-08
2039 "2025" 0 7.20707258527997 1 4.47644490364496e-08
2040 "2025" 0 7.20707263004442 1 4.47644445955575e-08
2041 "2025" 0 7.20707267480886 1 4.47644401546654e-08
2042 "2025" 0 7.20707271957329 1 4.47644357137733e-08
2043 "2025" 0 7.20707276433772 1 4.47644312728812e-08
2044 "2025" 0 7.20707280910215 1 4.47644268319891e-08
