"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20799848881213 1 -1.5111878663987e-06
2008 "2025" 0.637 7.20799588916859 1 -2.59964354221154e-06
2009 "2025" 0.662 7.20799042210183 1 -5.46706676196607e-06
2010 "2025" 0.697 7.20798059026085 1 -9.83184097869128e-06
2011 "2025" 0.736 7.2079654135545 1 -1.51767063556463e-05
2012 "2025" 0.774 7.20794454151893 1 -2.08720355612257e-05
2013 "2025" 0.806 7.20791850101401 1 -2.60405049221646e-05
2014 "2025" 0.834 7.20788765926027 1 -3.08417537455696e-05
2015 "2025" 0.858 7.20785249566562 1 -3.51635946440609e-05
2016 "2025" 0.881 7.20781301122068 1 -3.94844449429499e-05
2017 "2025" 0.908 7.20776822910706 1 -4.47821136217996e-05
2018 "2025" 0.936 7.20771769725839 1 -5.05318486689887e-05
2019 "2025" 0.965 7.20766093578354 1 -5.67614748456791e-05
2020 "2025" 1.002 7.20759581752502 1 -6.51182585187371e-05
2021 "2025" 1.048 7.20751967213407 1 -7.61453909561283e-05
2022 "2025" 1.096 7.20743127014291 1 -8.84019911566725e-05
2023 "2025" 1.141 7.20733068462824 1 -0.000100585514670293
2024 "2025" 1.183 7.20721812412353 1 -0.000112560504712533
2025 "2025" 1.183 7.20710559419955 1 -0.000112529923976368
2026 "2025" 1.183 7.206993094848 1 -0.000112499351548223
2027 "2025" 1.183 7.20688062606058 1 -0.000112468787426323
2028 "2025" 1.183 7.20676818782897 1 -0.000112438231608891
2029 "2025" 1.183 7.20665578014488 1 -0.000112407684092375
2030 "2025" 1.183 7.206543403 1 -0.000112377144874998
2031 "2025" 1.183 7.20643105638605 1 -0.000112346613954095
2032 "2025" 1.183 7.20631874029472 1 -0.000112316091328779
2033 "2025" 1.183 7.20620645471772 1 -0.000112285576995497
2034 "2025" 1.183 7.20609419964677 1 -0.000112255070952472
2035 "2025" 1.183 7.20598197507357 1 -0.000112224573197928
2036 "2025" 1.183 7.20586978098984 1 -0.000112194083728312
2037 "2025" 1.183 7.2057576173873 1 -0.000112163602542736
2038 "2025" 1.183 7.20564548425766 1 -0.000112133129637648
2039 "2025" 1.183 7.20553338159265 1 -0.000112102665012159
2040 "2025" 1.183 7.20542130938399 1 -0.000112072208663605
2041 "2025" 1.183 7.2053092676234 1 -0.000112041760588433
2042 "2025" 1.183 7.20519725630261 1 -0.000112011320786642
2043 "2025" 1.183 7.20508527541336 1 -0.000111980889253793
2044 "2025" 1.183 7.20497332494737 1 -0.000111950465989885
2045 "2025" 1.183 7.20486140489638 1 -0.000111920050990477
2046 "2025" 1.183 7.20474951525212 1 -0.000111889644254681
2047 "2025" 1.183 7.20463765600634 1 -0.000111859245779833
2048 "2025" 1.183 7.20452582715078 1 -0.000111828855563267
2049 "2025" 1.183 7.20441402867718 1 -0.000111798473604097
2050 "2025" 1.183 7.20430226057728 1 -0.000111768099898768
2051 "2025" 1.183 7.20419052284283 1 -0.000111737734444617
2052 "2025" 1.183 7.20407881546559 1 -0.000111707377241643
2053 "2025" 1.183 7.20396713843731 1 -0.000111677028285406
2054 "2025" 1.183 7.20385549174973 1 -0.00011164668757413
2055 "2025" 1.183 7.20374387539463 1 -0.000111616355106925
2056 "2025" 1.183 7.20363228936375 1 -0.000111586030879351
2057 "2025" 1.183 7.20352073364885 1 -0.000111555714891409
2058 "2025" 1.183 7.20340920824172 1 -0.000111525407138657
2059 "2025" 1.183 7.20329771313409 1 -0.000111495107621096
2060 "2025" 1.183 7.20318624831776 1 -0.000111464816335172
2061 "2025" 1.183 7.20307481378448 1 -0.000111434533278221
2062 "2025" 1.183 7.20296340952603 1 -0.000111404258449355
2063 "2025" 1.183 7.20285203553419 1 -0.000111373991845021
2064 "2025" 1.183 7.20274069180072 1 -0.000111343733464331
2065 "2025" 1.183 7.20262937831742 1 -0.000111313483303732
2066 "2025" 1.183 7.20251809507606 1 -0.000111283241361448
2067 "2025" 1.183 7.20240684206842 1 -0.000111253007635703
2068 "2025" 1.183 7.2022956192863 1 -0.000111222782123832
2069 "2025" 1.183 7.20218442672147 1 -0.000111192564824059
2070 "2025" 1.183 7.20207326436574 1 -0.000111162355733718
2071 "2025" 1.183 7.20196213221089 1 -0.000111132154850146
2072 "2025" 1.183 7.20185103024872 1 -0.000111101962172455
2073 "2025" 1.183 7.20173995847102 1 -0.000111071777697092
2074 "2025" 1.183 7.2016289168696 1 -0.000111041601422279
2075 "2025" 1.183 7.20151790543625 1 -0.000111011433346242
2076 "2025" 1.183 7.20140692416279 1 -0.000110981273465427
2077 "2025" 1.183 7.20129597304101 1 -0.000110951121778946
2078 "2025" 1.183 7.20118505206272 1 -0.000110920978285023
2079 "2025" 1.183 7.20107416121974 1 -0.000110890842979217
2080 "2025" 1.183 7.20096330050388 1 -0.000110860715861527
2081 "2025" 1.183 7.20085246990695 1 -0.000110830596928402
2082 "2025" 1.183 7.20074166942078 1 -0.000110800486178064
2083 "2025" 1.183 7.20063089903717 1 -0.000110770383608738
2084 "2025" 1.183 7.20052015874795 1 -0.000110740289217759
2085 "2025" 1.183 7.20040944854495 1 -0.000110710203002462
2086 "2025" 1.183 7.20029876841999 1 -0.000110680124961071
2087 "2025" 1.183 7.20018811836489 1 -0.00011065005509181
2088 "2025" 1.183 7.2000774983715 1 -0.000110619993392014
2089 "2025" 1.183 7.19996690843164 1 -0.000110589939859018
2090 "2025" 1.183 7.19985634853715 1 -0.000110559894491047
2091 "2025" 1.183 7.19974581867987 1 -0.000110529857286323
2092 "2025" 1.183 7.19963531885162 1 -0.000110499828242183
2093 "2025" 1.183 7.19952484904427 1 -0.000110469807355962
2094 "2025" 1.183 7.19941440924964 1 -0.000110439794625883
2095 "2025" 1.183 7.19930399945959 1 -0.00011040979005017
2096 "2025" 1.183 7.19919361966596 1 -0.000110379793626159
2097 "2025" 1.183 7.19908326986061 1 -0.000110349805351184
2098 "2025" 1.183 7.19897295003539 1 -0.000110319825224359
2099 "2025" 1.183 7.19886266018215 1 -0.000110289853241241
2100 "2025" 1.183 7.19875240029275 1 -0.000110259889401831
2101 "2025" 1.183 7.19864217035904 1 -0.000110229933703465
2102 "2025" 1.183 7.1985319703729 1 -0.000110199986143478
2103 "2025" 1.183 7.19842180032618 1 -0.000110170046719205
2104 "2025" 1.183 7.19831166021075 1 -0.000110140115428869
2105 "2025" 1.183 7.19820155001848 1 -0.000110110192270696
2106 "2025" 1.183 7.19809146974124 1 -0.00011008027724202
2107 "2025" 1.183 7.1979814193709 1 -0.000110050370341064
2108 "2025" 1.183 7.19787139889933 1 -0.000110020471564276
2109 "2025" 1.183 7.19776140831842 1 -0.000109990580911656
2110 "2025" 1.183 7.19765144762004 1 -0.000109960698378764
2111 "2025" 1.183 7.19754151679608 1 -0.000109930823965598
2112 "2025" 1.183 7.19743161583841 1 -0.000109900957667719
2113 "2025" 1.183 7.19732174473893 1 -0.000109871099484238
2114 "2025" 1.183 7.19721190348951 1 -0.000109841249413378
2115 "2025" 1.183 7.19710209208206 1 -0.000109811407451588
2116 "2025" 1.183 7.19699231050846 1 -0.000109781573597978
2117 "2025" 1.183 7.19688255876061 1 -0.000109751747848996
2118 "2025" 1.183 7.19677283683041 1 -0.000109721930203754
2119 "2025" 1.183 7.19666314470975 1 -0.0001096921206587
2120 "2025" 1.183 7.19655348239054 1 -0.000109662319212944
2121 "2025" 1.183 7.19644384986467 1 -0.000109632525863823
2122 "2025" 1.183 7.19633424712407 1 -0.000109602740608672
2123 "2025" 1.183 7.19622467416062 1 -0.000109572963445714
2124 "2025" 1.183 7.19611513096625 1 -0.000109543194373174
2125 "2025" 1.183 7.19600561753286 1 -0.000109513433387498
2126 "2025" 1.183 7.19589613385237 1 -0.000109483680487799
2127 "2025" 1.183 7.1957866799167 1 -0.000109453935671411
2128 "2025" 1.183 7.19567725571776 1 -0.000109424198936559
2129 "2025" 1.183 7.19556786124748 1 -0.000109394470280577
2130 "2025" 1.183 7.19545849649778 1 -0.000109364749700802
2131 "2025" 1.183 7.19534916146059 1 -0.000109335037196345
2132 "2025" 1.183 7.19523985612782 1 -0.000109305332763654
2133 "2025" 1.183 7.19513058049142 1 -0.000109275636400952
2134 "2025" 1.183 7.19502133454331 1 -0.00010924594810735
2135 "2025" 1.183 7.19491211827544 1 -0.000109216267878409
2136 "2025" 1.183 7.19480293167972 1 -0.00010918659571324
2137 "2025" 1.183 7.19469377474811 1 -0.000109156931610066
2138 "2025" 1.183 7.19458464747255 1 -0.000109127275565335
2139 "2025" 1.183 7.19447554984497 1 -0.000109097627578159
2140 "2025" 1.183 7.19436648185732 1 -0.000109067987645872
2141 "2025" 1.183 7.19425744350156 1 -0.000109038355765811
2142 "2025" 1.183 7.19414843476962 1 -0.000109008731937088
2143 "2025" 1.183 7.19403945565346 1 -0.000108979116156149
2144 "2025" 1.183 7.19393050614504 1 -0.000108949508421219
2145 "2025" 1.183 7.19382158623631 1 -0.000108919908729632
2146 "2025" 1.183 7.19371269591923 1 -0.000108890317080501
2147 "2025" 1.183 7.19360383518576 1 -0.000108860733471161
2148 "2025" 1.183 7.19349500402786 1 -0.000108831157898948
2149 "2025" 1.183 7.1933862024375 1 -0.000108801590361196
2150 "2025" 1.183 7.19327743040664 1 -0.000108772030857018
2151 "2025" 1.183 7.19316868792726 1 -0.00010874247938375
2152 "2025" 1.183 7.19305997499132 1 -0.000108712935938726
2153 "2025" 1.183 7.1929512915908 1 -0.000108683400520171
2154 "2025" 1.183 7.19284263771767 1 -0.000108653873126308
2155 "2025" 1.183 7.19273401336392 1 -0.000108624353754472
2156 "2025" 1.183 7.19262541852152 1 -0.000108594842401999
2157 "2025" 1.183 7.19251685318245 1 -0.000108565339068001
2158 "2025" 1.183 7.1924083173387 1 -0.000108535843748925
2159 "2025" 1.183 7.19229981098226 1 -0.000108506356442994
2160 "2025" 1.183 7.19219133410511 1 -0.000108476877149322
2161 "2025" 1.183 7.19208288669925 1 -0.000108447405863465
2162 "2025" 1.183 7.19197446875666 1 -0.000108417942585426
2163 "2025" 1.183 7.19186608026935 1 -0.00010838848731165
2164 "2025" 1.183 7.19175772122931 1 -0.000108359040040362
2165 "2025" 1.183 7.19164939162854 1 -0.000108329600768897
2166 "2025" 1.183 7.19154109145904 1 -0.000108300169496367
2167 "2025" 1.183 7.19143282071282 1 -0.000108270746219219
2168 "2025" 1.183 7.19132457938189 1 -0.000108241330936565
2169 "2025" 1.183 7.19121636745824 1 -0.000108211923644852
2170 "2025" 1.183 7.1911081849339 1 -0.000108182524343192
2171 "2025" 1.183 7.19100003180087 1 -0.000108153133028033
