"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20799848881213 1 -1.5111878663987e-06
2008 "2025" 0.637 7.20799588916859 1 -2.59964354221154e-06
2009 "2025" 0.662 7.20799042210183 1 -5.46706676196607e-06
2010 "2025" 0.697 7.20798059026085 1 -9.83184097869128e-06
2011 "2025" 0.736 7.2079654135545 1 -1.51767063556463e-05
2012 "2025" 0.774 7.20794454151893 1 -2.08720355612257e-05
2013 "2025" 0.806 7.20791850101401 1 -2.60405049221646e-05
2014 "2025" 0.834 7.20788765926027 1 -3.08417537455696e-05
2015 "2025" 0.858 7.20785249566562 1 -3.51635946440609e-05
2016 "2025" 0.881 7.20781301122068 1 -3.94844449429499e-05
2017 "2025" 0.908 7.20776822910706 1 -4.47821136217996e-05
2018 "2025" 0.936 7.20771769725839 1 -5.05318486689887e-05
2019 "2025" 0.965 7.20766093578354 1 -5.67614748456791e-05
2020 "2025" 1.002 7.20759581752502 1 -6.51182585187371e-05
2021 "2025" 1.048 7.20751967213407 1 -7.61453909561283e-05
2022 "2025" 1.096 7.20743127014291 1 -8.84019911566725e-05
2023 "2025" 1.141 7.20733068462824 1 -0.000100585514670293
2024 "2025" 1.183 7.20721812412353 1 -0.000112560504712533
2025 "2025" 1.083 7.20713319758494 1 -8.49265385891584e-05
2026 "2025" 0.983 7.20707255337257 1 -6.06442123674e-05
2027 "2025" 0.883 7.20703284242946 1 -3.97109431089504e-05
2028 "2025" 0.783 7.20701071797335 1 -2.21244561160461e-05
2029 "2025" 0.683 7.20700283518876 1 -7.88278458507818e-06
2030 "2025" 0.583 7.20700585091946 1 3.01573069361183e-06
2031 "2025" 0.483 7.20701642336105 1 1.05724415950803e-05
2032 "2025" 0.383 7.20703121175393 1 1.47883928791614e-05
2033 "2025" 0.283 7.2070468760763 1 1.56643223663266e-05
2034 "2025" 0.183 7.20706007673736 1 1.32006610682467e-05
2035 "2025" 0.083 7.20706747427064 1 7.39753327838599e-06
2036 "2025" 0 7.20706751892864 1 4.46579964119564e-08
2037 "2025" 0 7.20706756358663 1 4.46579919710643e-08
2038 "2025" 0 7.20706760824462 1 4.46579875301722e-08
2039 "2025" 0 7.2070676529026 1 4.46579830892802e-08
2040 "2025" 0 7.20706769756058 1 4.46579786483881e-08
2041 "2025" 0 7.20706774221855 1 4.4657974207496e-08
2042 "2025" 0 7.20706778687652 1 4.46579697666039e-08
2043 "2025" 0 7.20706783153449 1 4.46579653257118e-08
2044 "2025" 0 7.20706787619245 1 4.46579608848197e-08
2045 "2025" 0 7.20706792085041 1 4.46579564439276e-08
2046 "2025" 0 7.20706796550836 1 4.46579520030355e-08
2047 "2025" 0 7.20706801016631 1 4.46579475621434e-08
2048 "2025" 0 7.20706805482425 1 4.46579431212513e-08
2049 "2025" 0 7.20706809948219 1 4.46579386803592e-08
2050 "2025" 0 7.20706814414012 1 4.46579342394671e-08
2051 "2025" 0 7.20706818879805 1 4.4657929798575e-08
2052 "2025" 0 7.20706823345598 1 4.46579244695045e-08
2053 "2025" 0 7.2070682781139 1 4.46579200286124e-08
2054 "2025" 0 7.20706832277181 1 4.46579155877203e-08
2055 "2025" 0 7.20706836742972 1 4.46579111468282e-08
2056 "2025" 0 7.20706841208763 1 4.46579067059361e-08
2057 "2025" 0 7.20706845674553 1 4.4657902265044e-08
2058 "2025" 0 7.20706850140343 1 4.46578978241519e-08
2059 "2025" 0 7.20706854606132 1 4.46578933832598e-08
2060 "2025" 0 7.20706859071921 1 4.46578889423677e-08
2061 "2025" 0 7.2070686353771 1 4.46578845014756e-08
2062 "2025" 0 7.20706868003498 1 4.46578800605835e-08
2063 "2025" 0 7.20706872469285 1 4.46578756196914e-08
2064 "2025" 0 7.20706876935072 1 4.46578711787993e-08
2065 "2025" 0 7.20706881400859 1 4.46578667379072e-08
2066 "2025" 0 7.20706885866645 1 4.46578622970151e-08
2067 "2025" 0 7.20706890332431 1 4.4657857856123e-08
2068 "2025" 0 7.20706894798216 1 4.46578534152309e-08
2069 "2025" 0 7.20706899264001 1 4.46578489743388e-08
2070 "2025" 0 7.20706903729786 1 4.46578445334467e-08
2071 "2025" 0 7.2070690819557 1 4.46578400925546e-08
2072 "2025" 0 7.20706912661353 1 4.46578356516625e-08
2073 "2025" 0 7.20706917127136 1 4.46578312107704e-08
2074 "2025" 0 7.20706921592919 1 4.46578267698783e-08
2075 "2025" 0 7.20706926058701 1 4.46578223289862e-08
2076 "2025" 0 7.20706930524483 1 4.46578178880941e-08
2077 "2025" 0 7.20706934990265 1 4.4657813447202e-08
2078 "2025" 0 7.20706939456045 1 4.46578090063099e-08
2079 "2025" 0 7.20706943921826 1 4.46578045654178e-08
2080 "2025" 0 7.20706948387606 1 4.46578001245257e-08
2081 "2025" 0 7.20706952853385 1 4.46577956836336e-08
2082 "2025" 0 7.20706957319165 1 4.46577912427415e-08
2083 "2025" 0 7.20706961784943 1 4.46577868018494e-08
2084 "2025" 0 7.20706966250722 1 4.46577823609573e-08
2085 "2025" 0 7.20706970716499 1 4.46577779200652e-08
2086 "2025" 0 7.20706975182277 1 4.46577734791731e-08
2087 "2025" 0 7.20706979648054 1 4.4657769038281e-08
2088 "2025" 0 7.2070698411383 1 4.46577637092105e-08
2089 "2025" 0 7.20706988579606 1 4.46577592683184e-08
2090 "2025" 0 7.20706993045381 1 4.46577548274263e-08
2091 "2025" 0 7.20706997511156 1 4.46577503865342e-08
2092 "2025" 0 7.20707001976931 1 4.46577459456421e-08
2093 "2025" 0 7.20707006442705 1 4.465774150475e-08
2094 "2025" 0 7.20707010908479 1 4.46577370638579e-08
2095 "2025" 0 7.20707015374252 1 4.46577326229658e-08
2096 "2025" 0 7.20707019840025 1 4.46577281820737e-08
2097 "2025" 0 7.20707024305797 1 4.46577237411816e-08
2098 "2025" 0 7.20707028771569 1 4.46577193002895e-08
2099 "2025" 0 7.20707033237341 1 4.46577148593974e-08
2100 "2025" 0 7.20707037703112 1 4.46577104185053e-08
2101 "2025" 0 7.20707042168882 1 4.46577059776132e-08
2102 "2025" 0 7.20707046634652 1 4.46577015367211e-08
2103 "2025" 0 7.20707051100422 1 4.4657697095829e-08
2104 "2025" 0 7.20707055566191 1 4.46576926549369e-08
2105 "2025" 0 7.2070706003196 1 4.46576882140448e-08
2106 "2025" 0 7.20707064497729 1 4.46576837731527e-08
2107 "2025" 0 7.20707068963497 1 4.46576793322606e-08
2108 "2025" 0 7.20707073429264 1 4.46576748913685e-08
2109 "2025" 0 7.20707077895031 1 4.46576704504764e-08
2110 "2025" 0 7.20707082360798 1 4.46576660095843e-08
2111 "2025" 0 7.20707086826564 1 4.46576615686922e-08
2112 "2025" 0 7.2070709129233 1 4.46576571278001e-08
2113 "2025" 0 7.20707095758095 1 4.4657652686908e-08
2114 "2025" 0 7.2070710022386 1 4.46576482460159e-08
2115 "2025" 0 7.20707104689624 1 4.46576438051238e-08
2116 "2025" 0 7.20707109155388 1 4.46576393642317e-08
2117 "2025" 0 7.20707113621151 1 4.46576349233396e-08
2118 "2025" 0 7.20707118086915 1 4.46576304824475e-08
2119 "2025" 0 7.20707122552677 1 4.46576260415554e-08
2120 "2025" 0 7.20707127018439 1 4.46576216006633e-08
2121 "2025" 0 7.20707131484201 1 4.46576171597712e-08
2122 "2025" 0 7.20707135949962 1 4.46576127188791e-08
2123 "2025" 0 7.20707140415723 1 4.4657608277987e-08
2124 "2025" 0 7.20707144881483 1 4.46576029489165e-08
2125 "2025" 0 7.20707149347243 1 4.46575985080244e-08
2126 "2025" 0 7.20707153813003 1 4.46575940671323e-08
2127 "2025" 0 7.20707158278762 1 4.46575896262402e-08
2128 "2025" 0 7.2070716274452 1 4.46575851853481e-08
2129 "2025" 0 7.20707167210278 1 4.4657580744456e-08
2130 "2025" 0 7.20707171676036 1 4.46575763035639e-08
2131 "2025" 0 7.20707176141793 1 4.46575718626718e-08
2132 "2025" 0 7.2070718060755 1 4.46575674217797e-08
2133 "2025" 0 7.20707185073306 1 4.46575629808876e-08
2134 "2025" 0 7.20707189539062 1 4.46575585399955e-08
2135 "2025" 0 7.20707194004817 1 4.46575540991034e-08
2136 "2025" 0 7.20707198470572 1 4.46575496582113e-08
2137 "2025" 0 7.20707202936327 1 4.46575452173192e-08
2138 "2025" 0 7.20707207402081 1 4.46575407764271e-08
2139 "2025" 0 7.20707211867835 1 4.4657536335535e-08
2140 "2025" 0 7.20707216333588 1 4.46575318946429e-08
2141 "2025" 0 7.2070722079934 1 4.46575274537508e-08
2142 "2025" 0 7.20707225265093 1 4.46575230128587e-08
2143 "2025" 0 7.20707229730845 1 4.46575185719666e-08
2144 "2025" 0 7.20707234196596 1 4.46575141310745e-08
2145 "2025" 0 7.20707238662347 1 4.46575096901825e-08
2146 "2025" 0 7.20707243128098 1 4.46575052492904e-08
2147 "2025" 0 7.20707247593848 1 4.46575008083983e-08
2148 "2025" 0 7.20707252059597 1 4.46574963675062e-08
2149 "2025" 0 7.20707256525346 1 4.46574919266141e-08
2150 "2025" 0 7.20707260991095 1 4.4657487485722e-08
2151 "2025" 0 7.20707265456844 1 4.46574830448299e-08
2152 "2025" 0 7.20707269922591 1 4.46574786039378e-08
2153 "2025" 0 7.20707274388339 1 4.46574741630457e-08
2154 "2025" 0 7.20707278854086 1 4.46574697221536e-08
2155 "2025" 0 7.20707283319832 1 4.46574652812615e-08
2156 "2025" 0 7.20707287785578 1 4.46574608403694e-08
2157 "2025" 0 7.20707292251324 1 4.46574563994773e-08
2158 "2025" 0 7.20707296717069 1 4.46574519585852e-08
2159 "2025" 0 7.20707301182814 1 4.46574466295147e-08
2160 "2025" 0 7.20707305648558 1 4.46574421886226e-08
2161 "2025" 0 7.20707310114302 1 4.46574377477305e-08
2162 "2025" 0 7.20707314580045 1 4.46574333068384e-08
2163 "2025" 0 7.20707319045788 1 4.46574288659463e-08
2164 "2025" 0 7.20707323511531 1 4.46574244250542e-08
2165 "2025" 0 7.20707327977273 1 4.46574199841621e-08
2166 "2025" 0 7.20707332443014 1 4.465741554327e-08
2167 "2025" 0 7.20707336908755 1 4.46574111023779e-08
2168 "2025" 0 7.20707341374496 1 4.46574066614858e-08
2169 "2025" 0 7.20707345840236 1 4.46574022205937e-08
2170 "2025" 0 7.20707350305976 1 4.46573977797016e-08
2171 "2025" 0 7.20707354771715 1 4.46573933388095e-08
2172 "2025" 0 7.20707359237454 1 4.46573888979174e-08
2173 "2025" 0 7.20707363703193 1 4.46573844570253e-08
2174 "2025" 0 7.20707368168931 1 4.46573800161332e-08
2175 "2025" 0 7.20707372634668 1 4.46573755752411e-08
