"t" "Tt" "Vt" "dt" "Vdt"
2006 0.632 7.208 1 NA
2007 0.627 7.20799848881213 1 -1.5111878663987e-06
2008 0.637 7.20799588916859 1 -2.59964354221154e-06
2009 0.662 7.20799042210183 1 -5.46706676196607e-06
2010 0.697 7.20798059026085 1 -9.83184097869128e-06
2011 0.736 7.2079654135545 1 -1.51767063556463e-05
2012 0.774 7.20794454151893 1 -2.08720355612257e-05
2013 0.806 7.20791850101401 1 -2.60405049221646e-05
2014 0.834 7.20788765926027 1 -3.08417537455696e-05
2015 0.858 7.20785249566562 1 -3.51635946440609e-05
2016 0.881 7.20781301122068 1 -3.94844449429499e-05
2017 0.908 7.20776822910706 1 -4.47821136217996e-05
2018 0.936 7.20771769725839 1 -5.05318486689887e-05
2019 0.965 7.20766093578354 1 -5.67614748456791e-05
2020 1.002 7.20759581752502 1 -6.51182585187371e-05
2021 1.048 7.20751967213407 1 -7.61453909561283e-05
2022 1.096 7.20743127014291 1 -8.84019911566725e-05
2023 1.141 7.20733068462824 1 -0.000100585514670293
2024 1.183 7.20721812412353 1 -0.000112560504712533
2025 1.22 7.20709453436493 1 -0.000123589758596943
2026 1.254 7.2069604139406 1 -0.00013412042433103
2027 1.288 7.20681538176379 1 -0.000145032176806836
2028 1.325 7.20665803839155 1 -0.000157343372239716
2029 1.364 7.20648722739923 1 -0.000170810992328185
2030 1.405 7.20630171512123 1 -0.000185512277998789
2031 1.454 7.20609789449076 1 -0.000203820630469309
2032 1.514 7.2058705607839 1 -0.000227333706858346
2033 1.572 7.20561937101993 1 -0.00025118976396854
2034 1.629 7.20534365803719 1 -0.000275712982737097
2035 1.683 7.20504373211439 1 -0.000299925922800703
2036 1.732 7.20472101798168 1 -0.000322714132716229
2037 1.777 7.204376694675 1 -0.000344323306675776
2038 1.824 7.20400908979052 1 -0.000367604884482731
2039 1.87 7.20361800454291 1 -0.000391085247610334
2040 1.918 7.20320167607003 1 -0.000416328472882199
2041 1.964 7.20276046083534 1 -0.000441215234689984
2042 2.019 7.20228854725653 1 -0.000471913578805605
2043 2.08 7.20178140935367 1 -0.000507137902856947
2044 2.139 7.20123905705439 1 -0.00054235229928512
2045 2.196 7.2006616192583 1 -0.000577437796088986
2046 2.242 7.20005515784215 1 -0.000606461416151838
2047 2.279 7.19942492160541 1 -0.000630236236738746
2048 2.308 7.19877582068181 1 -0.00064910092360293
2049 2.339 7.19810623948475 1 -0.000669581197059621
2050 2.377 7.19741105931636 1 -0.00069518016838277
2051 2.422 7.19668490153886 1 -0.000726157777502401
2052 2.469 7.19592568259216 1 -0.000759218946702056
2053 2.526 7.19512532873092 1 -0.000800353861236225
2054 2.588 7.19427900684685 1 -0.000846321884075962
2055 2.654 7.19338236192867 1 -0.000896644918179312
2056 2.721 7.19243319292624 1 -0.000949169002426586
2057 2.784 7.19143336073571 1 -0.000999832190526462
2058 2.846 7.19038244495128 1 -0.00105091578443162
2059 2.92 7.18926881938545 1 -0.00111362556583039
2060 2.997 7.18808805164735 1 -0.00118076773810127
2061 3.082 7.1868308775335 1 -0.00125717411385207
2062 3.171 7.1854911796668 1 -0.00133969786670018
2063 3.259 7.18406740673719 1 -0.00142377292960383
2064 3.357 7.18254697163976 1 -0.00152043509743827
2065 3.448 7.18093412077931 1 -0.00161285086044671
2066 3.536 7.17922944620478 1 -0.00170467457452883
2067 3.62 7.17743490677937 1 -0.00179453942541485
2068 3.692 7.17556179939913 1 -0.0018731073802325
2069 3.756 7.17361768967581 1 -0.00194410972332548
2070 3.815 7.17160715179332 1 -0.00201053788249261
2071 3.869 7.16953504767334 1 -0.00207210411997671
2072 3.92 7.16740410502633 1 -0.00213094264700864
2073 3.968 7.1652172002756 1 -0.00218690475072947
2074 4.016 7.16297366239526 1 -0.00224353788034293
2075 4.073 7.16066160521781 1 -0.00231205717744754
2076 4.136 7.15827246269529 1 -0.00238914252251821
2077 4.201 7.15580247178981 1 -0.00246999090548439
2078 4.266 7.1532503717421 1 -0.0025521000477049
2079 4.328 7.15061890071546 1 -0.00263147102664263
2080 4.387 7.14791097873328 1 -0.00270792198217595
2081 4.446 7.14512559238455 1 -0.00278538634873549
2082 4.506 7.14226034414019 1 -0.00286524824436274
2083 4.57 7.13930855800494 1 -0.00295178613524349
2084 4.635 7.1362676120592 1 -0.00304094594573989
2085 4.703 7.13313192423603 1 -0.00313568782316853
2086 4.779 7.12988834442492 1 -0.00324357981111767
2087 4.865 7.1265201411306 1 -0.00336820329431564
2088 4.95 7.12302664629577 1 -0.00349349483483063
2089 5.033 7.11940884235073 1 -0.00361780394503519
2090 5.111 7.11567263462912 1 -0.00373620772161853
2091 5.18 7.11183073637477 1 -0.00384189825434156
2092 5.244 7.10788994374092 1 -0.00394079263385461
2093 5.31 7.10384582575726 1 -0.00404411798365967
2094 5.375 7.09969884376592 1 -0.004146981991342
2095 5.441 7.09544614553005 1 -0.00425269823587104
2096 5.505 7.09108995749011 1 -0.00435618803993432
2097 5.574 7.08662050909012 1 -0.00446944839999741
2098 5.652 7.0820206881231 1 -0.00459982096701417
2099 5.727 7.07729414085532 1 -0.00472654726778199
2100 5.8 7.07244292646775 1 -0.0048512143875703
2101 5.869 7.06747290225217 1 -0.0049700242155799
2102 5.933 7.06239203408295 1 -0.00508086816922049
2103 5.996 7.05720111976779 1 -0.00519091431516294
2104 6.063 7.05189158297509 1 -0.00530953679269164
2105 6.131 7.04646034124908 1 -0.00543124172601672
2106 6.199 7.04090618905053 1 -0.00555415219855249
2107 6.267 7.03522792827453 1 -0.00567826077599509
2108 6.338 7.02941844439478 1 -0.00580948387974889
2109 6.414 7.02346643999998 1 -0.00595200439480337
2110 6.485 7.01738051273777 1 -0.0060859272622098
2111 6.552 7.01116754717469 1 -0.00621296556308248
2112 6.611 7.00484292128589 1 -0.00632462588879079
2113 6.664 6.99841827998706 1 -0.00642464129883358
2114 6.715 6.99189717905325 1 -0.0065211009338153
2115 6.767 6.98527694164663 1 -0.00662023740661333
2116 6.823 6.97854847543664 1 -0.00672846620999312
2117 6.88 6.97170893107071 1 -0.00683954436592948
2118 6.941 6.9647489310777 1 -0.00695999999300589
2119 7.009 6.95765234430414 1 -0.00709658677356018
2120 7.084 6.95040262804207 1 -0.00724971626207793
2121 7.159 6.94299839946977 1 -0.0074042285722955
2122 7.23 6.93544729631055 1 -0.00755110315921836
2123 7.297 6.9277572152381 1 -0.00769008107245472
2124 7.358 6.91994087712603 1 -0.00781633811206905
2125 7.414 6.91200901410029 1 -0.00793186302574256
2126 7.471 6.9039586526271 1 -0.00805036147318283
2127 7.532 6.89577974720782 1 -0.00817890541928445
2128 7.601 6.88745259519073 1 -0.00832715201708911
2129 7.671 6.87897374015218 1 -0.00847885503855039
2130 7.748 6.87032521910672 1 -0.00864852104545655
2131 7.832 6.86148861017398 1 -0.00883660893274296
2132 7.907 6.85248437944033 1 -0.00900423073364998
2133 7.97 6.8433410233156 1 -0.00914335612472605
2134 8.017 6.83409764648571 1 -0.00924337682989052
2135 8.047 6.82479643866903 1 -0.00930120781668453
2136 8.068 6.81545988956344 1 -0.00933654910558968
2137 8.084 6.80610055082123 1 -0.00935933874220929
2138 8.106 6.7967033753545 1 -0.00939717546672458
2139 8.139 6.78724064530413 1 -0.00946273005037401
2140 8.18 6.77769200513103 1 -0.00954864017309731
2141 8.235 6.76802157111135 1 -0.00967043401968226
2142 8.303 6.75819542198134 1 -0.00982614913000912
2143 8.372 6.74821002362518 1 -0.00998539835615819
2144 8.44 6.73806701720311 1 -0.0101430064220756
2145 8.49 6.72781279523211 1 -0.0102542219709969
2146 8.524 6.71748917219429 1 -0.010323623037821
2147 8.543 6.70713567675245 1 -0.0103534954418363
2148 8.554 6.69677346792253 1 -0.0103622088299193
2149 8.566 6.68639993323392 1 -0.0103735346886138
2150 8.585 6.67599659289416 1 -0.0104033403397583
2151 8.607 6.66555552548321 1 -0.0104410674109499
2152 8.643 6.65503953911222 1 -0.0105159863709883
2153 8.692 6.64441378700198 1 -0.010625752110248
2154 8.749 6.63365640870268 1 -0.0107573782992931
2155 8.806 6.62276686316951 1 -0.0108895455331774
2156 8.859 6.61175550839652 1 -0.0110113547729886
