"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20796083283274 1 -3.916716725616e-05
2008 "2025" 0.637 7.20792044270323 1 -4.03901295147335e-05
2009 "2025" 0.662 7.20787689248419 1 -4.35502190372361e-05
2010 "2025" 0.697 7.20782866844616 1 -4.82240380295096e-05
2011 "2025" 0.736 7.20777488384943 1 -5.37845967318873e-05
2012 "2025" 0.774 7.20771531281908 1 -5.95710303539221e-05
2013 "2025" 0.806 7.20765057886539 1 -6.47339536916647e-05
2014 "2025" 0.834 7.20758110425396 1 -6.94746114291434e-05
2015 "2025" 0.858 7.20750739707771 1 -7.37071762433317e-05
2016 "2025" 0.881 7.20742948435447 1 -7.79127232419796e-05
2017 "2025" 0.908 7.20734644438104 1 -8.30399734299547e-05
2018 "2025" 0.936 7.20725786639042 1 -8.85779906161233e-05
2019 "2025" 0.965 7.20716331082988 1 -9.45555605413873e-05
2020 "2025" 1.002 7.20706076311963 1 -0.000102547710257639
2021 "2025" 1.048 7.20694769342038 1 -0.000113069699242629
2022 "2025" 1.096 7.20682293264493 1 -0.000124760775453758
2023 "2025" 1.141 7.20668653226236 1 -0.000136400382565682
2024 "2025" 1.183 7.20653865874981 1 -0.000147873512550412
2025 "2025" 1.183 7.20639079111887 1 -0.000147867630938769
2026 "2025" 1.183 7.20624292936931 1 -0.000147861749561606
2027 "2025" 1.183 7.20609507350089 1 -0.000147855868418034
2028 "2025" 1.183 7.20594722351339 1 -0.000147849987508941
2029 "2025" 1.183 7.20579937940655 1 -0.000147844106832551
2030 "2025" 1.183 7.20565154118016 1 -0.00014783822639064
2031 "2025" 1.183 7.20550370883398 1 -0.000147832346183208
2032 "2025" 1.183 7.20535588236777 1 -0.000147826466209366
2033 "2025" 1.183 7.2052080617813 1 -0.000147820586469116
2034 "2025" 1.183 7.20506024707434 1 -0.000147814706962457
2035 "2025" 1.183 7.20491243824665 1 -0.000147808827690277
2036 "2025" 1.183 7.204764635298 1 -0.000147802948651687
2037 "2025" 1.183 7.20461683822815 1 -0.000147797069846689
2038 "2025" 1.183 7.20446904703687 1 -0.00014779119127617
2039 "2025" 1.183 7.20432126172394 1 -0.000147785312938353
2040 "2025" 1.183 7.2041734822891 1 -0.000147779434835016
2041 "2025" 1.183 7.20402570873213 1 -0.000147773556966158
2042 "2025" 1.183 7.2038779410528 1 -0.000147767679330002
2043 "2025" 1.183 7.20373017925088 1 -0.000147761801928326
2044 "2025" 1.183 7.20358242332612 1 -0.00014775592476024
2045 "2025" 1.183 7.20343467327829 1 -0.000147750047825745
2046 "2025" 1.183 7.20328692910716 1 -0.000147744171124842
2047 "2025" 1.183 7.20313919081251 1 -0.000147738294658417
2048 "2025" 1.183 7.20299145839408 1 -0.000147732418424695
2049 "2025" 1.183 7.20284373185166 1 -0.000147726542425453
2050 "2025" 1.183 7.202696011185 1 -0.000147720666659801
2051 "2025" 1.183 7.20254829639387 1 -0.00014771479112774
2052 "2025" 1.183 7.20240058747804 1 -0.00014770891582927
2053 "2025" 1.183 7.20225288443728 1 -0.000147703040764391
2054 "2025" 1.183 7.20210518727134 1 -0.000147697165933991
2055 "2025" 1.183 7.20195749598 1 -0.000147691291336294
2056 "2025" 1.183 7.20180981056303 1 -0.000147685416973076
2057 "2025" 1.183 7.20166213102019 1 -0.00014767954284256
2058 "2025" 1.183 7.20151445735124 1 -0.000147673668946524
2059 "2025" 1.183 7.20136678955596 1 -0.000147667795284079
2060 "2025" 1.183 7.2012191276341 1 -0.000147661921854336
2061 "2025" 1.183 7.20107147158545 1 -0.000147656048659073
2062 "2025" 1.183 7.20092382140975 1 -0.0001476501756974
2063 "2025" 1.183 7.20077617710678 1 -0.000147644302969319
2064 "2025" 1.183 7.2006285386763 1 -0.00014763843047394
2065 "2025" 1.183 7.20048090611809 1 -0.00014763255821304
2066 "2025" 1.183 7.20033327943191 1 -0.000147626686185731
2067 "2025" 1.183 7.20018565861751 1 -0.000147620814391125
2068 "2025" 1.183 7.20003804367468 1 -0.000147614942830998
2069 "2025" 1.183 7.19989043460318 1 -0.000147609071504462
2070 "2025" 1.183 7.19974283140277 1 -0.000147603200410629
2071 "2025" 1.183 7.19959523407322 1 -0.000147597329551274
2072 "2025" 1.183 7.19944764261429 1 -0.000147591458924623
2073 "2025" 1.183 7.19930005702576 1 -0.000147585588531562
2074 "2025" 1.183 7.19915247730739 1 -0.000147579718372093
2075 "2025" 1.183 7.19900490345894 1 -0.000147573848446214
2076 "2025" 1.183 7.19885733548019 1 -0.000147567978753926
2077 "2025" 1.183 7.19870977337089 1 -0.00014756210929523
2078 "2025" 1.183 7.19856221713082 1 -0.000147556240070124
2079 "2025" 1.183 7.19841466675975 1 -0.00014755037107772
2080 "2025" 1.183 7.19826712225743 1 -0.000147544502318908
2081 "2025" 1.183 7.19811958362363 1 -0.000147538633793687
2082 "2025" 1.183 7.19797205085813 1 -0.000147532765502056
2083 "2025" 1.183 7.19782452396069 1 -0.000147526897444017
2084 "2025" 1.183 7.19767700293107 1 -0.00014752102961868
2085 "2025" 1.183 7.19752948776904 1 -0.000147515162027823
2086 "2025" 1.183 7.19738197847437 1 -0.000147509294669668
2087 "2025" 1.183 7.19723447504683 1 -0.000147503427544216
2088 "2025" 1.183 7.19708697748617 1 -0.000147497560653242
2089 "2025" 1.183 7.19693948579218 1 -0.000147491693994972
2090 "2025" 1.183 7.19679199996461 1 -0.000147485827570293
2091 "2025" 1.183 7.19664452000323 1 -0.000147479961379204
2092 "2025" 1.183 7.19649704590781 1 -0.000147474095420819
2093 "2025" 1.183 7.19634957767811 1 -0.000147468229696024
2094 "2025" 1.183 7.19620211531391 1 -0.00014746236420482
2095 "2025" 1.183 7.19605465881496 1 -0.000147456498946319
