"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20796069272363 1 -3.9307276368028e-05
2008 "2025" 0.637 7.20792015709797 1 -4.05356256667488e-05
2009 "2025" 0.662 7.20787644734968 1 -4.37097482830495e-05
2010 "2025" 0.697 7.20782804275922 1 -4.84045904594055e-05
2011 "2025" 0.736 7.20777405223155 1 -5.39905276761843e-05
2012 "2025" 0.774 7.20771424849232 1 -5.98037392309791e-05
2013 "2025" 0.806 7.20764925765889 1 -6.49908334224847e-05
2014 "2025" 0.834 7.20757950376733 1 -6.97538915597207e-05
2015 "2025" 0.858 7.20750549715973 1 -7.40066076021506e-05
2016 "2025" 0.881 7.20742726485163 1 -7.82323081045533e-05
2017 "2025" 0.908 7.20734388055829 1 -8.33842933332107e-05
2018 "2025" 0.936 7.20725493134474 1 -8.89492135520698e-05
2019 "2025" 0.965 7.20715997532357 1 -9.4956021169601e-05
2020 "2025" 1.002 7.2070569877643 1 -0.000102987559269074
2021 "2025" 1.048 7.20694342589584 1 -0.000113561868467116
2022 "2025" 1.096 7.20681811427354 1 -0.0001253116222939
2023 "2025" 1.141 7.20668110412522 1 -0.000137010148320904
2024 "2025" 1.183 7.20653256233832 1 -0.000148541786898271
2025 "2025" 1.083 7.20641052158089 1 -0.000122040757430497
2026 "2025" 0.983 7.20631173364337 1 -9.8787937521827e-05
2027 "2025" 0.883 7.20623315593383 1 -7.85777095408946e-05
2028 "2025" 0.783 7.20617195135343 1 -6.1204580401153e-05
2029 "2025" 0.683 7.20612548818898 1 -4.64631644465641e-05
2030 "2025" 0.583 7.2060913400214 1 -3.41481675816269e-05
2031 "2025" 0.483 7.20606728564876 1 -2.40543726368614e-05
2032 "2025" 0.383 7.20605130902278 1 -1.59766259812955e-05
2033 "2025" 0.283 7.20604159919741 1 -9.70982536863119e-06
2034 "2025" 0.183 7.20603655028839 1 -5.04890902419675e-06
2035 "2025" 0.083 7.20603476144242 1 -1.78884596735429e-06
2036 "2025" 0 7.20603476144242 1 0
2037 "2025" 0 7.20603476144242 1 0
2038 "2025" 0 7.20603476144242 1 0
2039 "2025" 0 7.20603476144242 1 0
2040 "2025" 0 7.20603476144242 1 0
2041 "2025" 0 7.20603476144242 1 0
2042 "2025" 0 7.20603476144242 1 0
2043 "2025" 0 7.20603476144242 1 0
2044 "2025" 0 7.20603476144242 1 0
2045 "2025" 0 7.20603476144242 1 0
2046 "2025" 0 7.20603476144242 1 0
2047 "2025" 0 7.20603476144242 1 0
2048 "2025" 0 7.20603476144242 1 0
2049 "2025" 0 7.20603476144242 1 0
2050 "2025" 0 7.20603476144242 1 0
2051 "2025" 0 7.20603476144242 1 0
2052 "2025" 0 7.20603476144242 1 0
