"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20796090232071 1 -3.90976792852271e-05
2008 "2025" 0.637 7.20792058435091 1 -4.03179698089673e-05
2009 "2025" 0.662 7.20787711325136 1 -4.3471099544945e-05
2010 "2025" 0.697 7.20782897875938 1 -4.81344919807114e-05
2011 "2025" 0.736 7.2077752962953 1 -5.3682464080218e-05
2012 "2025" 0.774 7.20771584067825 1 -5.94556170483429e-05
2013 "2025" 0.806 7.20765123412553 1 -6.4606552722779e-05
2014 "2025" 0.834 7.20758189802467 1 -6.93361008616833e-05
2015 "2025" 0.858 7.20750833935311 1 -7.35586715601144e-05
2016 "2025" 0.881 7.20743058512979 1 -7.7754223312354e-05
2017 "2025" 0.908 7.20734771592378 1 -8.28692060172997e-05
2018 "2025" 0.936 7.20725932204329 1 -8.83938804889794e-05
2019 "2025" 0.965 7.20716496509348 1 -9.43569498108587e-05
2020 "2025" 1.002 7.20706263552884 1 -0.000102329564634296
2021 "2025" 1.048 7.20694980992373 1 -0.000112825605118161
2022 "2025" 1.096 7.20682532234389 1 -0.000124487579832078
2023 "2025" 1.141 7.20668922437813 1 -0.000136097965760307
2024 "2025" 1.183 7.20654168230008 1 -0.000147542078050122
2025 "2025" 1.183 7.2063941460773 1 -0.000147536222778299
2026 "2025" 1.183 7.20624661570956 1 -0.000147530367740067
2027 "2025" 1.183 7.20609909119663 1 -0.000147524512932762
2028 "2025" 1.183 7.20595157253827 1 -0.000147518658359047
2029 "2025" 1.183 7.20580405973426 1 -0.000147512804017147
2030 "2025" 1.183 7.20565655278435 1 -0.000147506949907061
2031 "2025" 1.183 7.20550905168832 1 -0.000147501096029679
2032 "2025" 1.183 7.20536155644593 1 -0.000147495242384998
2033 "2025" 1.183 7.20521406705696 1 -0.000147489388972133
2034 "2025" 1.183 7.20506658352117 1 -0.00014748353579197
2035 "2025" 1.183 7.20491910583833 1 -0.000147477682843622
2036 "2025" 1.183 7.2047716340082 1 -0.000147471830127976
2037 "2025" 1.183 7.20462416803055 1 -0.000147465977644146
2038 "2025" 1.183 7.20447670790516 1 -0.000147460125393017
2039 "2025" 1.183 7.20432925363179 1 -0.000147454273373704
2040 "2025" 1.183 7.2041818052102 1 -0.000147448421587093
2041 "2025" 1.183 7.20403436264017 1 -0.000147442570032297
2042 "2025" 1.183 7.20388692592146 1 -0.000147436718710203
2043 "2025" 1.183 7.20373949505384 1 -0.000147430867619924
2044 "2025" 1.183 7.20359207003708 1 -0.000147425016762348
2045 "2025" 1.183 7.20344465087094 1 -0.000147419166136586
2046 "2025" 1.183 7.2032972375552 1 -0.000147413315742639
2047 "2025" 1.183 7.20314983008961 1 -0.000147407465581395
2048 "2025" 1.183 7.20300242847396 1 -0.000147401615652853
2049 "2025" 1.183 7.20285503270801 1 -0.000147395765955238
2050 "2025" 1.183 7.20270764279152 1 -0.000147389916490326
2051 "2025" 1.183 7.20256025872426 1 -0.000147384067258116
2052 "2025" 1.183 7.202412880506 1 -0.000147378218256833
2053 "2025" 1.183 7.20226550813651 1 -0.000147372369488252
2054 "2025" 1.183 7.20211814161556 1 -0.000147366520952374
2055 "2025" 1.183 7.20197078094291 1 -0.000147360672647423
2056 "2025" 1.183 7.20182342611834 1 -0.000147354824575174
2057 "2025" 1.183 7.2016760771416 1 -0.000147348976735628
2058 "2025" 1.183 7.20152873401248 1 -0.000147343129127009
2059 "2025" 1.183 7.20138139673072 1 -0.000147337281751092
2060 "2025" 1.183 7.20123406529612 1 -0.000147331434607878
2061 "2025" 1.183 7.20108673970842 1 -0.00014732558769559
2062 "2025" 1.183 7.2009394199674 1 -0.000147319741016005
2063 "2025" 1.183 7.20079210607284 1 -0.000147313894568235
2064 "2025" 1.183 7.20064479802448 1 -0.000147308048352279
2065 "2025" 1.183 7.20049749582212 1 -0.000147302202368138
2066 "2025" 1.183 7.2003501994655 1 -0.0001472963566167
2067 "2025" 1.183 7.2002029089544 1 -0.000147290511097076
2068 "2025" 1.183 7.20005562428859 1 -0.000147284665809266
2069 "2025" 1.183 7.19990834546784 1 -0.000147278820753272
2070 "2025" 1.183 7.19976107249191 1 -0.000147272975929091
2071 "2025" 1.183 7.19961380536057 1 -0.000147267131337614
2072 "2025" 1.183 7.1994665440736 1 -0.000147261286977063
2073 "2025" 1.183 7.19931928863075 1 -0.000147255442849215
2074 "2025" 1.183 7.19917203903179 1 -0.000147249598953181
2075 "2025" 1.183 7.1990247952765 1 -0.000147243755288962
2076 "2025" 1.183 7.19887755736465 1 -0.000147237911856557
2077 "2025" 1.183 7.19873032529599 1 -0.000147232068655967
2078 "2025" 1.183 7.19858309907031 1 -0.000147226225687191
2079 "2025" 1.183 7.19843587868735 1 -0.000147220382951119
2080 "2025" 1.183 7.19828866414691 1 -0.000147214540445972
2081 "2025" 1.183 7.19814145544873 1 -0.000147208698173529
2082 "2025" 1.183 7.1979942525926 1 -0.000147202856132012
2083 "2025" 1.183 7.19784705557828 1 -0.000147197014323197
2084 "2025" 1.183 7.19769986440553 1 -0.000147191172745309
2085 "2025" 1.183 7.19755267907413 1 -0.000147185331400124
2086 "2025" 1.183 7.19740549958385 1 -0.000147179490286753
2087 "2025" 1.183 7.19725832593444 1 -0.000147173649404309
2088 "2025" 1.183 7.19711115812569 1 -0.000147167808754567
2089 "2025" 1.183 7.19696399615735 1 -0.000147161968335752
2090 "2025" 1.183 7.1968168400292 1 -0.000147156128149639
2091 "2025" 1.183 7.19666968974101 1 -0.000147150288194453
2092 "2025" 1.183 7.19652254529254 1 -0.00014714444847197
2093 "2025" 1.183 7.19637540668356 1 -0.000147138608980413
