"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20796090196954 1 -3.90980304603161e-05
2008 "2025" 0.637 7.20792058363505 1 -4.0318334487921e-05
2009 "2025" 0.662 7.20787711213565 1 -4.3471499400205e-05
2010 "2025" 0.697 7.20782897719112 1 -4.81349445360379e-05
2011 "2025" 0.736 7.20777529421086 1 -5.36829802531003e-05
2012 "2025" 0.774 7.20771583801052 1 -5.94562003470855e-05
2013 "2025" 0.806 7.2076512308139 1 -6.46071966130535e-05
2014 "2025" 0.834 7.207581894013 1 -6.93368009043738e-05
2015 "2025" 0.858 7.20750833459088 1 -7.35594221188407e-05
2016 "2025" 0.881 7.20743057956649 1 -7.77550243924452e-05
2017 "2025" 0.908 7.20734770949738 1 -8.28700691029027e-05
2018 "2025" 0.936 7.20725931468637 1 -8.83948110157462e-05
2019 "2025" 0.965 7.20716495673274 1 -9.43579536327732e-05
2020 "2025" 1.002 7.20706262606554 1 -0.000102330667195893
2021 "2025" 1.048 7.2069497992267 1 -0.000112826838838842
2022 "2025" 1.096 7.20682531026605 1 -0.000124488960651092
2023 "2025" 1.141 7.20668921077177 1 -0.000136099494282504
2024 "2025" 1.183 7.20654166701852 1 -0.000147543753246104
2025 "2025" 1.183 7.20639412912068 1 -0.000147537897841943
2026 "2025" 1.183 7.20624659707801 1 -0.000147532042670484
2027 "2025" 1.183 7.20609907089028 1 -0.00014752618773084
2028 "2025" 1.183 7.20595155055725 1 -0.00014752033302301
2029 "2025" 1.183 7.20580403607871 1 -0.000147514478547883
2030 "2025" 1.183 7.2056565274544 1 -0.000147508624305459
2031 "2025" 1.183 7.20550902468411 1 -0.000147502770295738
2032 "2025" 1.183 7.20536152776759 1 -0.000147496916517831
2033 "2025" 1.183 7.20521403670462 1 -0.000147491062971739
2034 "2025" 1.183 7.20506655149496 1 -0.000147485209658349
2035 "2025" 1.183 7.20491907213838 1 -0.000147479356577662
2036 "2025" 1.183 7.20477159863465 1 -0.00014747350372879
2037 "2025" 1.183 7.20462413098354 1 -0.000147467651112621
2038 "2025" 1.183 7.20447666918481 1 -0.000147461798728266
2039 "2025" 1.183 7.20432921323823 1 -0.000147455946576613
2040 "2025" 1.183 7.20418176314358 1 -0.000147450094656776
2041 "2025" 1.183 7.20403431890061 1 -0.000147444242968753
2042 "2025" 1.183 7.20388688050909 1 -0.000147438391514321
2043 "2025" 1.183 7.2037394479688 1 -0.000147432540290815
2044 "2025" 1.183 7.2035920212795 1 -0.000147426689300012
2045 "2025" 1.183 7.20344460044096 1 -0.000147420838541912
2046 "2025" 1.183 7.20329718545295 1 -0.000147414988014738
2047 "2025" 1.183 7.20314977631523 1 -0.000147409137721155
2048 "2025" 1.183 7.20300237302757 1 -0.000147403287658499
2049 "2025" 1.183 7.20285497558974 1 -0.000147397437829433
2050 "2025" 1.183 7.20270758400151 1 -0.000147391588231294
2051 "2025" 1.183 7.20256019826264 1 -0.000147385738865857
2052 "2025" 1.183 7.20241281837291 1 -0.000147379889732235
2053 "2025" 1.183 7.20226544433208 1 -0.000147374040831316
2054 "2025" 1.183 7.20211807613991 1 -0.000147368192162212
2055 "2025" 1.183 7.20197071379619 1 -0.000147362343724922
2056 "2025" 1.183 7.20182335730067 1 -0.000147356495519446
2057 "2025" 1.183 7.20167600665312 1 -0.000147350647546673
2058 "2025" 1.183 7.20152866185332 1 -0.000147344799805715
2059 "2025" 1.183 7.20138132290102 1 -0.00014733895229746
2060 "2025" 1.183 7.201233989796 1 -0.000147333105021019
2061 "2025" 1.183 7.20108666253802 1 -0.000147327257976393
2062 "2025" 1.183 7.20093934112686 1 -0.000147321411163581
2063 "2025" 1.183 7.20079202556228 1 -0.000147315564583472
2064 "2025" 1.183 7.20064471584404 1 -0.00014730971823429
2065 "2025" 1.183 7.20049741197192 1 -0.00014730387211781
2066 "2025" 1.183 7.20035011394569 1 -0.000147298026234033
2067 "2025" 1.183 7.20020282176511 1 -0.000147292180581182
2068 "2025" 1.183 7.20005553542995 1 -0.000147286335161034
2069 "2025" 1.183 7.19990825493998 1 -0.000147280489971813
2070 "2025" 1.183 7.19976098029496 1 -0.000147274645015294
2071 "2025" 1.183 7.19961371149467 1 -0.000147268800291478
2072 "2025" 1.183 7.19946644853887 1 -0.000147262955798588
2073 "2025" 1.183 7.19931919142733 1 -0.000147257111537513
2074 "2025" 1.183 7.19917194015982 1 -0.000147251267509141
2075 "2025" 1.183 7.19902469473611 1 -0.000147245423712583
