"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20796090196954 1 -3.90980304603161e-05
2008 "2025" 0.637 7.20792058363505 1 -4.0318334487921e-05
2009 "2025" 0.662 7.20787711213565 1 -4.3471499400205e-05
2010 "2025" 0.697 7.20782897719112 1 -4.81349445360379e-05
2011 "2025" 0.736 7.20777529421086 1 -5.36829802531003e-05
2012 "2025" 0.774 7.20771583801052 1 -5.94562003470855e-05
2013 "2025" 0.806 7.2076512308139 1 -6.46071966130535e-05
2014 "2025" 0.834 7.207581894013 1 -6.93368009043738e-05
2015 "2025" 0.858 7.20750833459088 1 -7.35594221188407e-05
2016 "2025" 0.881 7.20743057956649 1 -7.77550243924452e-05
2017 "2025" 0.908 7.20734770949738 1 -8.28700691029027e-05
2018 "2025" 0.936 7.20725931468637 1 -8.83948110157462e-05
2019 "2025" 0.965 7.20716495673274 1 -9.43579536327732e-05
2020 "2025" 1.002 7.20706262606554 1 -0.000102330667195893
2021 "2025" 1.048 7.2069497992267 1 -0.000112826838838842
2022 "2025" 1.096 7.20682531026605 1 -0.000124488960651092
2023 "2025" 1.141 7.20668921077177 1 -0.000136099494282504
2024 "2025" 1.183 7.20654166701852 1 -0.000147543753246104
2025 "2025" 1.083 7.20642042436241 1 -0.000121242656111242
2026 "2025" 0.983 7.20632226236931 1 -9.81619930993105e-05
2027 "2025" 0.883 7.2062441642558 1 -7.80981135077852e-05
2028 "2025" 0.783 7.20618331676667 1 -6.08474891325983e-05
2029 "2025" 0.683 7.20613711006921 1 -4.62066974593611e-05
2030 "2025" 0.583 7.20610313766315 1 -3.39724060651747e-05
2031 "2025" 0.483 7.2060791963049 1 -2.39413582479031e-05
2032 "2025" 0.383 7.20606328594503 1 -1.59103598642574e-05
2033 "2025" 0.283 7.20605360967764 1 -9.67626738912486e-06
2034 "2025" 0.183 7.20604857370046 1 -5.03597718282123e-06
2035 "2025" 0.083 7.20604678728448 1 -1.78641598047591e-06
2036 "2025" 0 7.20604678728448 1 0
2037 "2025" 0 7.20604678728448 1 0
2038 "2025" 0 7.20604678728448 1 0
2039 "2025" 0 7.20604678728448 1 0
2040 "2025" 0 7.20604678728448 1 0
2041 "2025" 0 7.20604678728448 1 0
2042 "2025" 0 7.20604678728448 1 0
2043 "2025" 0 7.20604678728448 1 0
2044 "2025" 0 7.20604678728448 1 0
2045 "2025" 0 7.20604678728448 1 0
2046 "2025" 0 7.20604678728448 1 0
2047 "2025" 0 7.20604678728448 1 0
2048 "2025" 0 7.20604678728448 1 0
2049 "2025" 0 7.20604678728448 1 0
2050 "2025" 0 7.20604678728448 1 0
2051 "2025" 0 7.20604678728448 1 0
2052 "2025" 0 7.20604678728448 1 0
2053 "2025" 0 7.20604678728448 1 0
2054 "2025" 0 7.20604678728448 1 0
2055 "2025" 0 7.20604678728448 1 0
2056 "2025" 0 7.20604678728448 1 0
2057 "2025" 0 7.20604678728448 1 0
2058 "2025" 0 7.20604678728448 1 0
2059 "2025" 0 7.20604678728448 1 0
2060 "2025" 0 7.20604678728448 1 0
2061 "2025" 0 7.20604678728448 1 0
2062 "2025" 0 7.20604678728448 1 0
2063 "2025" 0 7.20604678728448 1 0
2064 "2025" 0 7.20604678728448 1 0
2065 "2025" 0 7.20604678728448 1 0
2066 "2025" 0 7.20604678728448 1 0
2067 "2025" 0 7.20604678728448 1 0
2068 "2025" 0 7.20604678728448 1 0
2069 "2025" 0 7.20604678728448 1 0
2070 "2025" 0 7.20604678728448 1 0
2071 "2025" 0 7.20604678728448 1 0
2072 "2025" 0 7.20604678728448 1 0
2073 "2025" 0 7.20604678728448 1 0
2074 "2025" 0 7.20604678728448 1 0
2075 "2025" 0 7.20604678728448 1 0
2076 "2025" 0 7.20604678728448 1 0
2077 "2025" 0 7.20604678728448 1 0
2078 "2025" 0 7.20604678728448 1 0
2079 "2025" 0 7.20604678728448 1 0
2080 "2025" 0 7.20604678728448 1 0
2081 "2025" 0 7.20604678728448 1 0
2082 "2025" 0 7.20604678728448 1 0
2083 "2025" 0 7.20604678728448 1 0
2084 "2025" 0 7.20604678728448 1 0
2085 "2025" 0 7.20604678728448 1 0
2086 "2025" 0 7.20604678728448 1 0
2087 "2025" 0 7.20604678728448 1 0
2088 "2025" 0 7.20604678728448 1 0
2089 "2025" 0 7.20604678728448 1 0
2090 "2025" 0 7.20604678728448 1 0
2091 "2025" 0 7.20604678728448 1 0
2092 "2025" 0 7.20604678728448 1 0
