"t" "Tt" "Vt" "dt" "Vdt"
2006 0.632 7.208 1 NA
2007 0.627 7.20796090196954 1 -3.90980304603161e-05
2008 0.637 7.20792058363505 1 -4.0318334487921e-05
2009 0.662 7.20787711213565 1 -4.3471499400205e-05
2010 0.697 7.20782897719112 1 -4.81349445360379e-05
2011 0.736 7.20777529421086 1 -5.36829802531003e-05
2012 0.774 7.20771583801052 1 -5.94562003470855e-05
2013 0.806 7.2076512308139 1 -6.46071966130535e-05
2014 0.834 7.207581894013 1 -6.93368009043738e-05
2015 0.858 7.20750833459088 1 -7.35594221188407e-05
2016 0.881 7.20743057956649 1 -7.77550243924452e-05
2017 0.908 7.20734770949738 1 -8.28700691029027e-05
2018 0.936 7.20725931468637 1 -8.83948110157462e-05
2019 0.965 7.20716495673274 1 -9.43579536327732e-05
2020 1.002 7.20706262606554 1 -0.000102330667195893
2021 1.048 7.2069497992267 1 -0.000112826838838842
2022 1.096 7.20682531026605 1 -0.000124488960651092
2023 1.141 7.20668921077177 1 -0.000136099494282504
2024 1.183 7.20654166701852 1 -0.000147543753246104
2025 1.22 7.20638354360257 1 -0.000158123415950229
2026 1.254 7.20621527813409 1 -0.000168265468476037
2027 1.288 7.20603645958454 1 -0.000178818549556148
2028 1.325 7.20584567977498 1 -0.000190779809555508
2029 1.364 7.2056417432596 1 -0.000203936515381642
2030 1.405 7.20542335504081 1 -0.00021838821879161
2031 1.454 7.20518684043345 1 -0.00023651460736307
2032 1.514 7.2049268294447 1 -0.00026001098874584
2033 1.572 7.20464270919525 1 -0.000284120249451014
2034 1.629 7.20433351978336 1 -0.000309189411889399
2035 1.683 7.20399928995192 1 -0.000334229831438826
2036 1.732 7.20364122620333 1 -0.000358063748589821
2037 1.777 7.20326032204024 1 -0.000380904163088225
2038 1.824 7.20285456527763 1 -0.000405756762612342
2039 1.87 7.20242348074691 1 -0.000431084530720938
2040 1.918 7.20196488487156 1 -0.000458595875346468
2041 1.964 7.20147887007381 1 -0.000486014797752787
2042 2.019 7.20095867855309 1 -0.000520191520720026
2043 2.08 7.20039877396703 1 -0.000559904586062032
2044 2.139 7.19979861587647 1 -0.000600158090557912
2045 2.196 7.19915781032777 1 -0.000640805548703938
2046 2.242 7.19848293029679 1 -0.000674880030978819
2047 2.279 7.19777981282235 1 -0.00070311747443963
2048 2.308 7.19705404977054 1 -0.00072576305180938
2049 2.339 7.19630355017437 1 -0.000750499596174237
2050 2.377 7.19552195942272 1 -0.000781590751640415
2051 2.422 7.19470245109719 1 -0.000819508325530904
2052 2.469 7.19384206559564 1 -0.000860385501554539
2053 2.526 7.1929303080363 1 -0.000911757559336479
2054 2.588 7.19196041330041 1 -0.000969894735891152
2055 2.654 7.19092599570964 1 -0.00103441759076706
2056 2.721 7.18982324886458 1 -0.00110274684506528
2057 2.784 7.18865361479926 1 -0.00116963406532289
2058 2.846 7.18741560522941 1 -0.00123800956984699
2059 2.92 7.18609255724745 1 -0.00132304798195992
2060 2.997 7.18467701941921 1 -0.00141553782824122
2061 3.082 7.18315451393788 1 -0.00152250548133015
2062 3.171 7.18151442103564 1 -0.00164009290223621
2063 3.259 7.17976216416648 1 -0.00175225686916303
2064 3.357 7.17791064148933 1 -0.00185152267714539
2065 3.448 7.17596459051346 1 -0.00194605097587264
2066 3.536 7.17392496843916 1 -0.00203962207429598
2067 3.62 7.17179406706377 1 -0.00213090137539584
2068 3.692 7.16958348235678 1 -0.00221058470699287
2069 3.756 7.16730096666921 1 -0.00228251568756566
2070 3.815 7.16495122415504 1 -0.00234974251417164
2071 3.869 7.16253920742739 1 -0.00241201672764646
2072 3.92 7.16006771720719 1 -0.00247149022020299
2073 3.968 7.1575396828629 1 -0.00252803434428639
2074 4.016 7.15495450795294 1 -0.00258517490996635
2075 4.073 7.15230052493681 1 -0.00265398301612674
2076 4.136 7.14956939562913 1 -0.0027311293076826
2077 4.201 7.14675754492389 1 -0.00281185070523637
2078 4.266 7.14386386593467 1 -0.00289367898921888
2079 4.328 7.14089116454926 1 -0.00297270138541172
2080 4.387 7.13784240354645 1 -0.00304876100280893
2081 4.446 7.13471669146004 1 -0.00312571208641277
2082 4.506 7.13151178997826 1 -0.00320490148177655
2083 4.57 7.12822131152106 1 -0.00329047845719721
2084 4.635 7.12484282613692 1 -0.00337848538414942
2085 4.703 7.12137104674635 1 -0.00347177939056564
2086 4.779 7.11779340006909 1 -0.00357764667726368
2087 4.865 7.11409392655774 1 -0.00369947351134581
2088 4.95 7.1102721944925 1 -0.00382173206523806
2089 5.033 7.10632934775671 1 -0.00394284673579381
2090 5.111 7.10227122735439 1 -0.00405812040232334
2091 5.18 7.09811014283368 1 -0.00416108452070496
2092 5.244 7.09385269838331 1 -0.00425744445036802
2093 5.31 7.08949477191434 1 -0.00435792646897237
2094 5.375 7.08503690891197 1 -0.0044578630023695
2095 5.441 7.08047650285265 1 -0.00456040605932273
2096 5.505 7.07581577152878 1 -0.00466073132386491
2097 5.574 7.07104556104881 1 -0.0047702104799745
2098 5.652 7.06614981129286 1 -0.0048957497559492
2099 5.727 7.06113211995406 1 -0.00501769133880092
2100 5.8 7.05599457077899 1 -0.00513754917506581
2101 5.869 7.05074281026751 1 -0.00525176051148524
2102 5.933 7.04538444321079 1 -0.00535836705671233
2103 5.996 7.03992032041496 1 -0.00546412279583208
2104 6.063 7.03434250432539 1 -0.00557781608957519
2105 6.131 7.02864822589714 1 -0.00569427842824499
2106 6.199 7.02283647931168 1 -0.0058117465854659
2107 6.267 7.01690626881265 1 -0.00593021049902287
2108 6.338 7.01085108839852 1 -0.00605518041413511
2109 6.414 7.00466056346553 1 -0.00619052493298611
2110 6.485 6.99834284374009 1 -0.00631771972544115
2111 6.552 6.99190446001035 1 -0.00643838372973793
2112 6.611 6.98535979316379 1 -0.00654466684656541
2113 6.664 6.9787197258367 1 -0.00664006732708611
2114 6.715 6.97198763112956 1 -0.00673209470714209
2115 6.767 6.96516111662204 1 -0.00682651450752303
2116 6.823 6.95823187752472 1 -0.00692923909731746
2117 6.88 6.95119738825359 1 -0.00703448927113293
2118 6.941 6.94404912257837 1 -0.00714826567521776
2119 7.009 6.93677237359041 1 -0.00727674898795438
2120 7.084 6.92935210899736 1 -0.00742026459305656
2121 7.159 6.92178725089596 1 -0.00756485810139829
2122 7.23 6.91408498494124 1 -0.00770226595471524
2123 7.297 6.906252710321 1 -0.0078322746202435
2124 7.358 6.89830220838614 1 -0.00795050193486357
2125 7.414 6.89024341208667 1 -0.00805879629947093
2126 7.471 6.88207374232837 1 -0.00816966975830091
2127 7.532 6.87378419662771 1 -0.00828954570065399
2128 7.601 6.86535703063089 1 -0.00842716599682269
