"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20794603619896 1 -5.39638010446097e-05
2008 "2025" 0.637 7.20789066416899 1 -5.53720299629745e-05
2009 "2025" 0.662 7.20783169087045 1 -5.89732985423197e-05
2010 "2025" 0.697 7.20776748348824 1 -6.42073822145761e-05
2011 "2025" 0.736 7.20769717779849 1 -7.03056897437548e-05
2012 "2025" 0.774 7.20762065820133 1 -7.65195971625943e-05
2013 "2025" 0.806 7.2075386961087 1 -8.19620926266751e-05
2014 "2025" 0.834 7.20745181342278 1 -8.68826859257155e-05
2015 "2025" 0.858 7.20736059481165 1 -9.1218611127708e-05
2016 "2025" 0.881 7.20726511778462 1 -9.54770270276128e-05
2017 "2025" 0.908 7.20716451165977 1 -0.000100606124854075
2018 "2025" 0.936 7.20705843755373 1 -0.000106074106040133
2019 "2025" 0.965 7.20694653933084 1 -0.000111898222886708
2020 "2025" 1.002 7.2068269702288 1 -0.000119569102038142
2021 "2025" 1.048 7.20669748617175 1 -0.000129484057054263
2022 "2025" 1.096 7.20655720563879 1 -0.000140280532955117
2023 "2025" 1.141 7.20640638193348 1 -0.000150823705316938
2024 "2025" 1.183 7.20624534657735 1 -0.000161035356128103
2025 "2025" 1.183 7.2060843178307 1 -0.000161028746644476
2026 "2025" 1.183 7.20592329569327 1 -0.000161022137431743
2027 "2025" 1.183 7.20576228016478 1 -0.000161015528490793
2028 "2025" 1.183 7.20560127124496 1 -0.000161008919820738
2029 "2025" 1.183 7.20544026893354 1 -0.000161002311421576
2030 "2025" 1.183 7.20527927323024 1 -0.000160995703294198
2031 "2025" 1.183 7.20511828413481 1 -0.000160989095437714
2032 "2025" 1.183 7.20495730164695 1 -0.000160982487853012
2033 "2025" 1.183 7.20479632576641 1 -0.000160975880539205
2034 "2025" 1.183 7.20463535649292 1 -0.000160969273496292
2035 "2025" 1.183 7.20447439382619 1 -0.000160962666725162
2036 "2025" 1.183 7.20431343776597 1 -0.000160956060224926
2037 "2025" 1.183 7.20415248831197 1 -0.000160949453995585
2038 "2025" 1.183 7.20399154546394 1 -0.000160942848037138
2039 "2025" 1.183 7.20383060922159 1 -0.000160936242350473
2040 "2025" 1.183 7.20366967958465 1 -0.000160929636934704
2041 "2025" 1.183 7.20350875655286 1 -0.000160923031789828
2042 "2025" 1.183 7.20334784012594 1 -0.000160916426916735
2043 "2025" 1.183 7.20318693030363 1 -0.000160909822313648
2044 "2025" 1.183 7.20302602708565 1 -0.000160903217982344
2045 "2025" 1.183 7.20286513047173 1 -0.000160896613921935
2046 "2025" 1.183 7.20270424046159 1 -0.000160890010133308
2047 "2025" 1.183 7.20254335705498 1 -0.000160883406614687
2048 "2025" 1.183 7.20238248025161 1 -0.000160876803366961
2049 "2025" 1.183 7.20222161005122 1 -0.000160870200391017
2050 "2025" 1.183 7.20206074645353 1 -0.000160863597685967
2051 "2025" 1.183 7.20189988945828 1 -0.000160856995251812
2052 "2025" 1.183 7.20173903906519 1 -0.000160850393088552
2053 "2025" 1.183 7.201578195274 1 -0.000160843791196186
2054 "2025" 1.183 7.20141735808442 1 -0.000160837189575602
2055 "2025" 1.183 7.2012565274962 1 -0.000160830588225025
2056 "2025" 1.183 7.20109570350905 1 -0.000160823987145342
2057 "2025" 1.183 7.20093488612271 1 -0.000160817386337442
2058 "2025" 1.183 7.20077407533691 1 -0.000160810785799548
2059 "2025" 1.183 7.20061327115138 1 -0.000160804185533436
2060 "2025" 1.183 7.20045247356584 1 -0.000160797585537331
2061 "2025" 1.183 7.20029168258003 1 -0.00016079098581212
2062 "2025" 1.183 7.20013089819367 1 -0.000160784386358692
2063 "2025" 1.183 7.1999701204065 1 -0.00016077778717527
2064 "2025" 1.183 7.19980934921823 1 -0.000160771188263631
2065 "2025" 1.183 7.19964858462861 1 -0.000160764589621998
2066 "2025" 1.183 7.19948782663736 1 -0.000160757991251259
2067 "2025" 1.183 7.19932707524421 1 -0.000160751393151415
2068 "2025" 1.183 7.19916633044889 1 -0.000160744795322465
