"t" "Tt" "Vt" "dt" "Vdt"
2006 0.632 7.208 1 NA
2007 0.627 7.20794603619896 1 -5.39638010446097e-05
2008 0.637 7.20789066416899 1 -5.53720299629745e-05
2009 0.662 7.20783169087045 1 -5.89732985423197e-05
2010 0.697 7.20776748348824 1 -6.42073822145761e-05
2011 0.736 7.20769717779849 1 -7.03056897437548e-05
2012 0.774 7.20762065820133 1 -7.65195971625943e-05
2013 0.806 7.2075386961087 1 -8.19620926266751e-05
2014 0.834 7.20745181342278 1 -8.68826859257155e-05
2015 0.858 7.20736059481165 1 -9.1218611127708e-05
2016 0.881 7.20726511778462 1 -9.54770270276128e-05
2017 0.908 7.20716451165977 1 -0.000100606124854075
2018 0.936 7.20705843755373 1 -0.000106074106040133
2019 0.965 7.20694653933084 1 -0.000111898222886708
2020 1.002 7.2068269702288 1 -0.000119569102038142
2021 1.048 7.20669748617175 1 -0.000129484057054263
2022 1.096 7.20655720563879 1 -0.000140280532955117
2023 1.141 7.20640638193348 1 -0.000150823705316938
2024 1.183 7.20624534657735 1 -0.000161035356128103
2025 1.22 7.2060750161645 1 -0.000170330412846198
2026 1.254 7.2058958954696 1 -0.000179120694904888
2027 1.288 7.20570774389533 1 -0.00018815157426566
2028 1.325 7.20550948843773 1 -0.000198255457604546
2029 1.364 7.20530026931392 1 -0.000209219123804338
2030 1.405 7.20507917446522 1 -0.000221094848697589
2031 1.454 7.20484341043333 1 -0.000235764031898178
2032 1.514 7.20458897074283 1 -0.000254439690496433
2033 1.572 7.2043157267926 1 -0.000273243950231539
2034 1.629 7.20402327516355 1 -0.00029245162904612
2035 1.683 7.20371195523863 1 -0.000311319924923836
2036 1.732 7.20338294450972 1 -0.000329010728913559
2037 1.777 7.20303720604326 1 -0.00034573846645447
2038 1.824 7.20267349702522 1 -0.000363709018039948
2039 1.87 7.20229170363242 1 -0.000381793392796759
2040 1.918 7.20189050964509 1 -0.000401193987329407
2041 1.964 7.20147021451955 1 -0.000420295125547199
