"","model","until","RMSE","LOO","L4O","L5O"
"1","quadratic",2100,0.011991339711301,0.0152019444435363,0.0191573332128095,0.0232585680829903
"2","quadratic",2200,0.040423128114273,0.0453919028349057,0.0470585129334545,0.0568976930288194
"3","quadratic",2300,0.145298018391186,0.150342257174255,0.156275371839876,0.155293102763704
"4","quadratic",2400,0.278577149586017,0.284072290511845,0.29478217962201,0.280141252482544
"5","quadratic",2500,0.395493421280436,0.401063659729541,0.416390754788713,0.383678124645473
"6","quadratic",2600,0.442657492055313,0.448478405931379,0.467616144834856,0.425492849481063
"7","quadratic",2700,0.45943949638562,0.466569043644593,0.488899911322581,0.45617139515145
"8","quadratic",2800,0.461900690036692,0.471983723821839,0.49628012400674,0.497246214175814
"9","quadratic",2900,0.462502791256923,0.477671904929166,0.501805099312946,0.532228544174361
"10","quadratic",3000,0.47175259925367,0.491591338369273,0.515631622251071,0.557883458028394
"11","delayed.linear",2100,0.0388458985683813,0.0422638691602013,0.0522457850168716,0.0476222380018698
"12","delayed.linear",2200,0.0845636459162476,0.0895626853552768,0.0995035654414543,0.100924431699863
"13","delayed.linear",2300,0.11534031677842,0.12414258683533,0.144486012755623,0.140001194849713
"14","delayed.linear",2400,0.188334535559534,0.200232616567122,0.232067446085037,0.221766849859955
"15","delayed.linear",2500,0.277317555211332,0.289998205535264,0.326020579335715,0.312590567256168
"16","delayed.linear",2600,0.331213660068812,0.346567092127035,0.388980267879088,0.375276590395463
"17","delayed.linear",2700,0.369445718478936,0.387647884466744,0.43590930039212,0.429845833161744
"18","delayed.linear",2800,0.401556631497789,0.422849926162795,0.475791557711815,0.486334753462408
"19","delayed.linear",2900,0.432465471356513,0.457172284704993,0.513024044950723,0.549231742561347
"20","delayed.linear",3000,0.466256338545908,0.49456502115262,0.551488611485128,0.615128051264722
"21","SIMPLE",2100,0.00256573918628835,0.00272867916542208,0.00198036841330207,0.00540703142047567
"22","SIMPLE",2200,0.022246750436504,0.0222855408011642,0.0194869622091231,0.0229459058576992
