"t" "Tt" "Vt" "dt" "Vdt"
2005 2.223 7.2082 1 -0.0011000000000001
2105 0 7.2074 100 -7.99999999999912e-06
2205 0 7.1989 100 -8.49999999999973e-05
2305 0 7.1936 100 -5.30000000000008e-05
2405 0 7.1863 100 -7.29999999999986e-05
2505 0 7.1803 100 -6.00000000000023e-05
2605 0 7.175 100 -5.30000000000008e-05
2705 0 7.1675 100 -7.4999999999994e-05
2805 0 7.1616 100 -5.90000000000046e-05
2905 0 7.1563 100 -5.30000000000008e-05
3005 0 7.1465 100 -9.80000000000025e-05
3105 0 7.1434 100 -3.09999999999988e-05
3205 0 7.1359 100 -7.4999999999994e-05
3305 0 7.1296 100 -6.30000000000042e-05
3405 0 7.1243 100 -5.30000000000008e-05
3505 0 7.1159 100 -8.39999999999996e-05
3605 0 7.1095 100 -6.40000000000018e-05
3705 0 7.102 100 -7.4999999999994e-05
3805 0 7.0972 100 -4.80000000000036e-05
3905 0 7.0901 100 -7.10000000000033e-05
4005 0 7.0859 100 -4.19999999999998e-05
4105 0 7.0793 100 -6.59999999999972e-05
4205 0 7.0755 100 -3.80000000000003e-05
4305 0 7.0678 100 -7.69999999999982e-05
4405 0 7.0614 100 -6.40000000000018e-05
4505 0 7.0535 100 -7.90000000000024e-05
4605 0 7.0502 100 -3.29999999999941e-05
4705 0 7.0459 100 -4.30000000000064e-05
4805 0 7.039 100 -6.89999999999991e-05
4905 0 7.032 100 -6.99999999999967e-05
5005 0 7.0286 100 -3.40000000000007e-05
5105 0 7.0198 100 -8.79999999999992e-05
5205 0 7.0141 100 -5.70000000000004e-05
5305 0 7.0088 100 -5.30000000000008e-05
5405 0 7.0059 100 -2.90000000000035e-05
5505 0 6.994 100 -0.000118999999999998
5605 0 6.9923 100 -1.69999999999959e-05
5705 0 6.988 100 -4.29999999999975e-05
5805 0 6.981 100 -7.00000000000056e-05
5905 0 6.9774 100 -3.5999999999996e-05
6005 0 6.9731 100 -4.30000000000064e-05
6105 0 6.9654 100 -7.69999999999982e-05
6205 0 6.9617 100 -3.69999999999937e-05
6305 0 6.9591 100 -2.60000000000016e-05
6405 0 6.952 100 -7.10000000000033e-05
6505 0 6.9479 100 -4.10000000000021e-05
6605 0 6.9405 100 -7.39999999999963e-05
