"t" "Tt" "Vt" "dt" "Vdt"
2005 2.223 7.2082 1 -0.0011000000000001
2025 4.5 7.1493 20 -0.00294499999999998
2045 4.5 7.0991 20 -0.00251000000000001
2065 4.5 7.0538 20 -0.00226500000000001
2085 4.5 7.011 20 -0.00213999999999999
2105 4.5 6.9703 20 -0.00203500000000001
2125 4.5 6.9313 20 -0.00194999999999999
2145 4.5 6.8926 20 -0.00193500000000002
2165 4.5 6.8535 20 -0.00195499999999997
2185 4.5 6.8149 20 -0.00193000000000003
2205 4.5 6.7778 20 -0.00185499999999998
2225 4.5 6.7424 20 -0.00177
2245 4.5 6.7076 20 -0.00173999999999999
2265 4.5 6.6731 20 -0.00172500000000002
2285 4.5 6.6384 20 -0.001735
2305 4.5 6.6037 20 -0.001735
2325 4.5 6.5692 20 -0.00172499999999998
2345 4.5 6.535 20 -0.00171000000000001
2365 4.5 6.5013 20 -0.00168500000000003
2385 4.5 6.468 20 -0.00166499999999998
2405 4.5 6.4344 20 -0.00167999999999999
2425 4.5 6.4002 20 -0.00171000000000001
2445 4.5 6.366 20 -0.00171000000000001
2465 4.5 6.3325 20 -0.001675
2485 4.5 6.2992 20 -0.00166499999999998
2505 4.5 6.2661 20 -0.00165500000000001
2525 4.5 6.2332 20 -0.00164499999999999
2545 4.5 6.2002 20 -0.00165000000000002
2565 4.5 6.1671 20 -0.00165500000000001
2585 4.5 6.1339 20 -0.00165999999999999
2605 4.5 6.1011 20 -0.00164
2625 4.5 6.0685 20 -0.00162999999999998
2645 4.5 6.0357 20 -0.00164
2665 4.5 6.003 20 -0.00163500000000001
2685 4.5 5.9702 20 -0.00164
2705 4.5 5.9374 20 -0.00164
2725 4.5 5.9046 20 -0.00164
2745 4.5 5.8715 20 -0.00165500000000001
2765 4.5 5.8383 20 -0.00165999999999999
2785 4.5 5.8051 20 -0.00165999999999999
2805 4.5 5.7721 20 -0.00165000000000002
2825 4.5 5.7391 20 -0.00165000000000002
2845 4.5 5.7058 20 -0.00166499999999998
2865 4.5 5.6726 20 -0.00165999999999999
2885 4.5 5.6393 20 -0.00166499999999998
2905 4.5 5.6061 20 -0.00166000000000004
2925 4.5 5.5727 20 -0.00166999999999997
2945 4.5 5.5392 20 -0.001675
2965 4.5 5.5057 20 -0.001675
2985 4.5 5.472 20 -0.00168499999999998
3005 4.5 5.4383 20 -0.00168500000000003
3025 4.5 5.4046 20 -0.00168499999999998
3045 4.5 5.3707 20 -0.001695
3065 4.5 5.3365 20 -0.00171000000000001
3085 4.5 5.3024 20 -0.00170500000000002
3105 4.5 5.2681 20 -0.001715
3125 4.5 5.2338 20 -0.001715
3145 4.5 5.1993 20 -0.00172499999999998
3165 4.5 5.1649 20 -0.00171999999999999
3185 4.5 5.1305 20 -0.00172000000000003
3205 4.5 5.0958 20 -0.001735
3225 4.5 5.0605 20 -0.00176499999999997
3245 4.5 5.0253 20 -0.00176000000000003
