"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 -0.000199999999999534
2007 "2025" 0.627 7.2078 1 -0.000200000000000422
2008 "2025" 0.637 7.2076 1 -0.000199999999999534
2009 "2025" 0.662 7.2073 1 -0.000300000000000189
2010 "2025" 0.697 7.2071 1 -0.000200000000000422
2011 "2025" 0.736 7.2069 1 -0.000199999999999534
2012 "2025" 0.774 7.2066 1 -0.000300000000000189
2013 "2025" 0.806 7.2064 1 -0.000199999999999534
2014 "2025" 0.834 7.2061 1 -0.000300000000000189
2015 "2025" 0.858 7.2058 1 -0.000300000000000189
2016 "2025" 0.881 7.2055 1 -0.000300000000000189
2017 "2025" 0.908 7.2052 1 -0.000300000000000189
2018 "2025" 0.936 7.2049 1 -0.000299999999999301
2019 "2025" 0.965 7.2046 1 -0.000300000000000189
2020 "2025" 1.002 7.2043 1 -0.000300000000000189
2021 "2025" 1.048 7.2039 1 -0.000399999999999956
2022 "2025" 1.096 7.2035 1 -0.000399999999999956
2023 "2025" 1.141 7.2032 1 -0.000300000000000189
2024 "2025" 1.183 7.2028 1 -0.000399999999999956
2025 "2025" 1.083 7.2024 1 -0.000399999999999956
2026 "2025" 0.983 7.2021 1 -0.000300000000000189
2027 "2025" 0.883 7.2019 1 -0.000199999999999534
2028 "2025" 0.783 7.2017 1 -0.000200000000000422
2029 "2025" 0.683 7.2016 1 -9.99999999997669e-05
2030 "2025" 0.583 7.2015 1 -9.99999999997669e-05
2031 "2025" 0.483 7.2014 1 -0.000100000000000655
2032 "2025" 0.383 7.2014 1 0
2033 "2025" 0.283 7.2014 1 0
2034 "2025" 0.183 7.2014 1 0
2035 "2025" 0.083 7.2015 1 0.000100000000000655
2036 "2025" 0 7.2016 1 9.99999999997669e-05
2037 "2025" 0 7.2017 1 9.99999999997669e-05
2038 "2025" 0 7.2018 1 0.000100000000000655
2039 "2025" 0 7.2019 1 9.99999999997669e-05
2040 "2025" 0 7.202 1 9.99999999997669e-05
2041 "2025" 0 7.202 1 0
2042 "2025" 0 7.2021 1 9.99999999997669e-05
2043 "2025" 0 7.2022 1 0.000100000000000655
2044 "2025" 0 7.2023 1 9.99999999997669e-05
2045 "2025" 0 7.2023 1 0
2046 "2025" 0 7.2024 1 9.99999999997669e-05
2047 "2025" 0 7.2025 1 9.99999999997669e-05
2048 "2025" 0 7.2025 1 0
2049 "2025" 0 7.2026 1 0.000100000000000655
2050 "2025" 0 7.2026 1 0
2051 "2025" 0 7.2027 1 9.99999999997669e-05
2052 "2025" 0 7.2028 1 9.99999999997669e-05
2053 "2025" 0 7.2028 1 0
2054 "2025" 0 7.2029 1 9.99999999997669e-05
2055 "2025" 0 7.2029 1 0
2056 "2025" 0 7.203 1 0.000100000000000655
2057 "2025" 0 7.203 1 0
2058 "2025" 0 7.203 1 0
2059 "2025" 0 7.2031 1 9.99999999997669e-05
2060 "2025" 0 7.2031 1 0
2061 "2025" 0 7.2031 1 0
2062 "2025" 0 7.2032 1 9.99999999997669e-05
2063 "2025" 0 7.2032 1 0
2064 "2025" 0 7.2033 1 9.99999999997669e-05
2065 "2025" 0 7.2033 1 0
2066 "2025" 0 7.2033 1 0
2067 "2025" 0 7.2033 1 0
2068 "2025" 0 7.2033 1 0
2069 "2025" 0 7.2033 1 0
2070 "2025" 0 7.2034 1 0.000100000000000655
2071 "2025" 0 7.2034 1 0
2072 "2025" 0 7.2034 1 0
2073 "2025" 0 7.2034 1 0
2074 "2025" 0 7.2034 1 0
2075 "2025" 0 7.2034 1 0
2076 "2025" 0 7.2034 1 0
2077 "2025" 0 7.2033 1 -0.000100000000000655
2078 "2025" 0 7.2033 1 0
2079 "2025" 0 7.2033 1 0
2080 "2025" 0 7.2033 1 0
2081 "2025" 0 7.2033 1 0
2082 "2025" 0 7.2032 1 -9.99999999997669e-05
2083 "2025" 0 7.2032 1 0
2084 "2025" 0 7.2032 1 0
2085 "2025" 0 7.2032 1 0
2086 "2025" 0 7.2031 1 -9.99999999997669e-05
2087 "2025" 0 7.2031 1 0
2088 "2025" 0 7.2031 1 0
2089 "2025" 0 7.2031 1 0
2090 "2025" 0 7.2031 1 0
2091 "2025" 0 7.203 1 -9.99999999997669e-05
2092 "2025" 0 7.203 1 0
2093 "2025" 0 7.203 1 0
2094 "2025" 0 7.203 1 0
2095 "2025" 0 7.203 1 0
2096 "2025" 0 7.203 1 0
2097 "2025" 0 7.2029 1 -0.000100000000000655
2098 "2025" 0 7.2029 1 0
2099 "2025" 0 7.2029 1 0
2100 "2025" 0 7.2029 1 0
2101 "2025" 0 7.2029 1 0
2102 "2025" 0 7.2029 1 0
2103 "2025" 0 7.2029 1 0
2104 "2025" 0 7.2029 1 0
2105 "2025" 0 7.2028 1 -9.99999999997669e-05
2106 "2025" 0 7.2028 1 0
2107 "2025" 0 7.2028 1 0
2108 "2025" 0 7.2028 1 0
2109 "2025" 0 7.2028 1 0
2110 "2025" 0 7.2028 1 0
2111 "2025" 0 7.2028 1 0
2112 "2025" 0 7.2028 1 0
2113 "2025" 0 7.2028 1 0
2114 "2025" 0 7.2028 1 0
2115 "2025" 0 7.2028 1 0
2116 "2025" 0 7.2028 1 0
2117 "2025" 0 7.2028 1 0
2118 "2025" 0 7.2028 1 0
2119 "2025" 0 7.2027 1 -9.99999999997669e-05
2120 "2025" 0 7.2027 1 0
2121 "2025" 0 7.2027 1 0
2122 "2025" 0 7.2027 1 0
2123 "2025" 0 7.2027 1 0
2124 "2025" 0 7.2027 1 0
2125 "2025" 0 7.2027 1 0
2126 "2025" 0 7.2027 1 0
2127 "2025" 0 7.2027 1 0
2128 "2025" 0 7.2026 1 -9.99999999997669e-05
2129 "2025" 0 7.2026 1 0
2130 "2025" 0 7.2026 1 0
2131 "2025" 0 7.2026 1 0
2132 "2025" 0 7.2026 1 0
2133 "2025" 0 7.2025 1 -0.000100000000000655
2134 "2025" 0 7.2025 1 0
2135 "2025" 0 7.2024 1 -9.99999999997669e-05
2136 "2025" 0 7.2024 1 0
2137 "2025" 0 7.2023 1 -9.99999999997669e-05
2138 "2025" 0 7.2023 1 0
2139 "2025" 0 7.2022 1 -9.99999999997669e-05
2140 "2025" 0 7.2022 1 0
2141 "2025" 0 7.2021 1 -0.000100000000000655
2142 "2025" 0 7.202 1 -9.99999999997669e-05
2143 "2025" 0 7.202 1 0
2144 "2025" 0 7.2018 1 -0.000199999999999534
2145 "2025" 0 7.2017 1 -0.000100000000000655
