"t" "Tt" "Vt" "dt" "Vdt"
1840 -0.943 7.2388 20 3.50000000000072e-05
1841 -1.335 7.2389 1 9.99999999997669e-05
1842 -1.585 7.239 1 9.99999999997669e-05
1843 -0.535 7.2389 1 -9.99999999997669e-05
1844 -2.335 7.2391 1 0.000199999999999534
1845 -0.568 7.2389 1 -0.000199999999999534
1846 -0.227 7.2387 1 -0.000200000000000422
1847 0.79 7.2381 1 -0.00059999999999949
1848 -0.06 7.2379 1 -0.000200000000000422
1849 -0.893 7.2379 1 0
1850 -0.452 7.2378 1 -9.99999999997669e-05
1851 -1.522 7.238 1 0.000200000000000422
1852 0.215 7.2376 1 -0.000400000000000844
1853 -0.427 7.2376 1 0
1854 -1.518 7.2377 1 0.000100000000000655
1855 -0.86 7.2378 1 9.99999999997669e-05
1856 1.765 7.2367 1 -0.0011000000000001
1857 -0.977 7.2368 1 9.99999999997669e-05
1858 -0.877 7.2368 1 0
1859 -1.043 7.2369 1 0.000100000000000655
1860 0.315 7.2366 1 -0.000300000000000189
1861 -2.177 7.2369 1 0.000300000000000189
1862 -2.31 7.2372 1 0.000299999999999301
1863 -4.968 7.2376 1 0.000399999999999956
1864 -0.727 7.2375 1 -9.99999999997669e-05
1865 -1.418 7.2376 1 9.99999999997669e-05
1866 -2.635 7.2379 1 0.000300000000000189
1867 -0.26 7.2377 1 -0.000199999999999534
1868 -2.568 7.238 1 0.000300000000000189
1869 -1.26 7.2381 1 9.99999999997669e-05
1870 -0.56 7.2381 1 0
1871 0.332 7.2377 1 -0.000399999999999956
1872 1.532 7.2368 1 -0.000900000000000567
1873 -0.668 7.2368 1 0
1874 -0.477 7.2368 1 0
1875 0.048 7.2366 1 -0.000199999999999534
1876 -0.018 7.2364 1 -0.000200000000000422
1877 -0.127 7.2363 1 -9.99999999997669e-05
1878 1.182 7.2356 1 -0.000700000000000145
1879 -0.277 7.2356 1 0
1880 -0.993 7.2357 1 9.99999999997669e-05
1881 0.082 7.2355 1 -0.000199999999999534
1882 -2.552 7.2359 1 0.000399999999999956
1883 -2.135 7.2362 1 0.000300000000000189
1884 -3.618 7.2366 1 0.000399999999999956
1885 -0.643 7.2365 1 -9.99999999997669e-05
1886 -1.693 7.2367 1 0.000199999999999534
1887 -2.102 7.237 1 0.000300000000000189
1888 0.073 7.2368 1 -0.000200000000000422
1889 -1.077 7.2369 1 0.000100000000000655
1890 -1.693 7.2371 1 0.000199999999999534
1891 -1.568 7.2373 1 0.000200000000000422
1892 0.323 7.2369 1 -0.000399999999999956
1893 -0.227 7.2368 1 -0.000100000000000655
1894 -2.818 7.2371 1 0.000300000000000189
1895 0.507 7.2367 1 -0.000399999999999956
1896 -2.352 7.237 1 0.000300000000000189
1897 -1.21 7.2371 1 9.99999999997669e-05
1898 -3.068 7.2374 1 0.000300000000000189
1899 -0.96 7.2374 1 0
1900 0.273 7.2371 1 -0.000300000000000189
1901 0.24 7.2367 1 -0.000399999999999956
1902 -0.227 7.2366 1 -9.99999999997669e-05
1903 -0.718 7.2366 1 0
1904 -1.285 7.2367 1 9.99999999997669e-05
1905 -0.102 7.2365 1 -0.000199999999999534
1906 -1.802 7.2367 1 0.000199999999999534
1907 -2.035 7.2369 1 0.000200000000000422
1908 -0.41 7.2368 1 -0.000100000000000655
1909 -0.077 7.2366 1 -0.000199999999999534
1910 -1.668 7.2367 1 9.99999999997669e-05
1911 -0.977 7.2368 1 9.99999999997669e-05
1912 0.598 7.2363 1 -0.000499999999999723
1913 -1.135 7.2364 1 9.99999999997669e-05
1914 -2.527 7.2366 1 0.000200000000000422
1915 0.298 7.2362 1 -0.000399999999999956
1916 1.198 7.2355 1 -0.000700000000000145
1917 0.54 7.235 1 -0.000499999999999723
1918 -2.077 7.2352 1 0.000199999999999534
1919 -0.243 7.2351 1 -9.99999999997669e-05
1920 -1.693 7.2352 1 9.99999999997669e-05
1921 -1.602 7.2353 1 9.99999999997669e-05
1922 -1.077 7.2353 1 0
1923 0.798 7.2347 1 -0.00059999999999949
1924 0.74 7.2341 1 -0.000600000000000378
1925 -0.068 7.2338 1 -0.000300000000000189
1926 1.448 7.2329 1 -0.000899999999999679
1927 1.182 7.2322 1 -0.000700000000000145
1928 1.982 7.231 1 -0.00119999999999987
1929 2.473 7.2295 1 -0.00150000000000006
1930 1.065 7.2289 1 -0.00059999999999949
1931 0.807 7.2284 1 -0.000500000000000611
1932 1.94 7.2273 1 -0.0011000000000001
1933 1.04 7.2268 1 -0.000499999999999723
1934 0.657 7.2265 1 -0.000300000000000189
1935 1.44 7.2257 1 -0.000799999999999912
1936 2.057 7.2246 1 -0.0011000000000001
1937 0.34 7.2244 1 -0.000199999999999534
1938 -1.36 7.2247 1 0.000300000000000189
1939 1.232 7.2241 1 -0.000600000000000378
1940 1.532 7.2233 1 -0.000799999999999912
1941 2.682 7.2218 1 -0.00150000000000006
1942 1.748 7.221 1 -0.000799999999999912
1943 0.098 7.2209 1 -9.99999999997669e-05
1944 -0.143 7.221 1 9.99999999997669e-05
1945 0.64 7.2207 1 -0.000300000000000189
1946 1.682 7.2199 1 -0.000799999999999912
1947 2.673 7.2185 1 -0.00140000000000029
1948 0.315 7.2184 1 -9.99999999997669e-05
1949 -0.868 7.2187 1 0.000300000000000189
1950 0.548 7.2185 1 -0.000200000000000422
1951 0.198 7.2184 1 -9.99999999997669e-05
1952 1.207 7.218 1 -0.000399999999999956
1953 -0.002 7.218 1 0
1954 0.348 7.2179 1 -9.99999999997669e-05
1955 0.973 7.2175 1 -0.000399999999999956
1956 -0.168 7.2176 1 9.99999999997669e-05
1957 0.74 7.2173 1 -0.000300000000000189
1958 1.24 7.2168 1 -0.000499999999999723
1959 0.523 7.2167 1 -9.99999999997669e-05
1960 1.882 7.2158 1 -0.000900000000000567
1961 0.348 7.2157 1 -9.99999999997669e-05
1962 1.598 7.215 1 -0.000700000000000145
1963 1.198 7.2145 1 -0.000499999999999723
1964 0.665 7.2143 1 -0.000200000000000422
1965 1.99 7.2134 1 -0.000899999999999679
1966 1.14 7.2129 1 -0.000499999999999723
1967 -0.318 7.2131 1 0.000199999999999534
1968 0.907 7.2128 1 -0.000300000000000189
1969 0.407 7.2126 1 -0.000199999999999534
1970 0.032 7.2127 1 9.99999999997669e-05
1971 -1.118 7.213 1 0.000300000000000189
1972 -2.002 7.2134 1 0.000399999999999956
1973 -0.002 7.2134 1 0
1974 -0.193 7.2135 1 9.99999999997669e-05
1975 -0.102 7.2135 1 0
1976 -0.393 7.2136 1 9.99999999997669e-05
1977 1.965 7.2127 1 -0.000899999999999679
1978 0.532 7.2125 1 -0.000199999999999534
1979 0.64 7.2123 1 -0.000200000000000422
1980 1.348 7.2118 1 -0.000499999999999723
1981 0.298 7.2117 1 -9.99999999997669e-05
1982 -1.602 7.2121 1 0.000399999999999956
1983 -3.018 7.2126 1 0.000499999999999723
1984 -3.385 7.2131 1 0.000499999999999723
1985 2.09 7.212 1 -0.0011000000000001
1986 0.29 7.2119 1 -9.99999999997669e-05
1987 0.198 7.2119 1 0
1988 0.64 7.2116 1 -0.000300000000000189
1989 -2.21 7.212 1 0.000399999999999956
1990 -1.177 7.2123 1 0.000300000000000189
1991 -0.302 7.2123 1 0
1992 -2.218 7.2127 1 0.000399999999999956
1993 -2.518 7.2131 1 0.000399999999999956
1994 -1.102 7.2133 1 0.000200000000000422
1995 -0.46 7.2133 1 0
1996 0.79 7.2129 1 -0.000399999999999956
1997 0.432 7.2127 1 -0.000200000000000422
1998 0.765 7.2123 1 -0.000399999999999956
1999 -0.085 7.2123 1 0
2000 0.757 7.2119 1 -0.000399999999999956
2001 1.173 7.2114 1 -0.000499999999999723
2002 0.632 7.2111 0.999999999999773 -0.000300000000000257
2003 2.34 7.2099 1.00000000000023 -0.0011999999999996
2004 1.357 7.2093 1 -0.000600000000000378
2005 2.223 7.2082 1 -0.0011000000000001
