"t" "Tt" "Vt" "dt" "Vdt"
2006 0.632 7.208 1 -0.000199999999999534
2007 0.627 7.2078 1 -0.000200000000000422
2008 0.637 7.2076 1 -0.000199999999999534
2009 0.662 7.2073 1 -0.000300000000000189
2010 0.697 7.2071 1 -0.000200000000000422
2011 0.736 7.2069 1 -0.000199999999999534
2012 0.774 7.2066 1 -0.000300000000000189
2013 0.806 7.2064 1 -0.000199999999999534
2014 0.834 7.2061 1 -0.000300000000000189
2015 0.858 7.2058 1 -0.000300000000000189
2016 0.881 7.2055 1 -0.000300000000000189
2017 0.908 7.2052 1 -0.000300000000000189
2018 0.936 7.2049 1 -0.000299999999999301
2019 0.965 7.2046 1 -0.000300000000000189
2020 1.002 7.2043 1 -0.000300000000000189
2021 1.048 7.2039 1 -0.000399999999999956
2022 1.096 7.2035 1 -0.000399999999999956
2023 1.141 7.2032 1 -0.000300000000000189
2024 1.183 7.2028 1 -0.000399999999999956
2025 1.22 7.2024 1 -0.000399999999999956
2026 1.254 7.202 1 -0.000399999999999956
2027 1.288 7.2015 1 -0.000499999999999723
2028 1.325 7.2011 1 -0.000399999999999956
2029 1.364 7.2006 1 -0.000500000000000611
2030 1.405 7.2002 1 -0.000399999999999956
2031 1.454 7.1997 1 -0.000499999999999723
2032 1.514 7.1992 1 -0.000499999999999723
2033 1.572 7.1987 1 -0.000500000000000611
2034 1.629 7.1981 1 -0.00059999999999949
2035 1.683 7.1975 1 -0.000600000000000378
2036 1.732 7.197 1 -0.000499999999999723
2037 1.777 7.1963 1 -0.000700000000000145
2038 1.824 7.1957 1 -0.00059999999999949
2039 1.87 7.1951 1 -0.000600000000000378
2040 1.918 7.1944 1 -0.000700000000000145
2041 1.964 7.1937 1 -0.000700000000000145
2042 2.019 7.193 1 -0.000700000000000145
2043 2.08 7.1922 1 -0.000799999999999912
2044 2.139 7.1915 1 -0.000700000000000145
2045 2.196 7.1906 1 -0.000899999999999679
2046 2.242 7.1898 1 -0.000799999999999912
2047 2.279 7.1889 1 -0.000899999999999679
2048 2.308 7.1881 1 -0.000799999999999912
2049 2.339 7.1872 1 -0.000900000000000567
