"t" "Tt" "Vt" "dt" "Vdt"
2006 0.049 7.2082 0.999999999999773 0
2007 0.098 7.2082 1.00000000000045 0
2008 0.146 7.2081 0.999999999999773 -9.99999999997897e-05
2009 0.194 7.2081 1 0
2010 0.242 7.208 0.999999999999773 -9.99999999997897e-05
2011 0.288 7.2079 1.00000000000045 -9.99999999997215e-05
2012 0.335 7.2078 0.999999999999773 -0.000100000000000678
2013 0.381 7.2077 1 -9.99999999997669e-05
2014 0.426 7.2076 0.999999999999773 -9.99999999997897e-05
2015 0.471 7.2074 1.00000000000045 -0.000200000000000331
2016 0.516 7.2072 0.999999999999773 -0.000199999999999579
2017 0.56 7.2071 1 -0.000100000000000655
2018 0.604 7.2069 0.999999999999773 -0.000199999999999579
2019 0.647 7.2066 1.00000000000045 -0.000300000000000053
2020 0.69 7.2064 0.999999999999773 -0.000199999999999579
2021 0.732 7.2062 1 -0.000200000000000422
2022 0.774 7.2059 0.999999999999773 -0.000300000000000257
2023 0.816 7.2056 1.00000000000045 -0.000300000000000053
2024 0.857 7.2054 0.999999999999773 -0.000199999999999579
2025 0.898 7.2051 1 -0.000300000000000189
2026 0.938 7.2048 0.999999999999773 -0.000300000000000257
2027 0.978 7.2044 1.00000000000045 -0.000399999999999774
2028 1.018 7.2041 0.999999999999773 -0.000299999999999369
2029 1.057 7.2038 1 -0.000300000000000189
2030 1.096 7.2034 0.999999999999773 -0.000400000000000047
2031 1.134 7.2031 1.00000000000045 -0.000300000000000053
2032 1.172 7.2027 0.999999999999773 -0.000400000000000047
2033 1.21 7.2023 1 -0.000399999999999956
2034 1.247 7.2019 0.999999999999773 -0.000400000000000047
2035 1.284 7.2015 1.00000000000045 -0.000399999999999774
2036 1.32 7.2011 0.999999999999773 -0.000400000000000047
2037 1.357 7.2007 1 -0.000399999999999956
2038 1.392 7.2002 0.999999999999773 -0.000500000000000725
2039 1.428 7.1998 1.00000000000045 -0.000399999999999774
2040 1.463 7.1993 0.999999999999773 -0.000499999999999837
2041 1.498 7.1988 1 -0.000499999999999723
2042 1.532 7.1983 0.999999999999773 -0.000500000000000725
2043 1.566 7.1978 1.00000000000045 -0.000499999999999496
2044 1.6 7.1973 0.999999999999773 -0.000499999999999837
2045 1.633 7.1968 1 -0.000500000000000611
2046 1.666 7.1962 0.999999999999773 -0.000599999999999626
2047 1.699 7.1957 1.00000000000045 -0.000499999999999496
2048 1.731 7.1951 0.999999999999773 -0.000600000000000514
2049 1.763 7.1945 1 -0.000600000000000378
2050 1.795 7.1939 1 -0.00059999999999949
2051 1.826 7.1933 1 -0.000600000000000378
2052 1.858 7.1927 1 -0.00059999999999949
2053 1.888 7.1921 1 -0.000600000000000378
2054 1.919 7.1914 1 -0.000700000000000145
2055 1.949 7.1908 1 -0.00059999999999949
2056 1.979 7.1901 1 -0.000700000000000145
2057 2.009 7.1894 1 -0.000700000000000145
2058 2.038 7.1887 1 -0.000700000000000145
2059 2.067 7.188 1 -0.000700000000000145
2060 2.096 7.1873 1 -0.000700000000000145
2061 2.124 7.1865 1 -0.000799999999999912
2062 2.152 7.1858 1 -0.000699999999999257
2063 2.18 7.185 1 -0.0008000000000008
2064 2.208 7.1842 1 -0.000799999999999912
2065 2.235 7.1835 1 -0.000699999999999257
2066 2.262 7.1827 1 -0.0008000000000008
2067 2.289 7.1818 1 -0.000899999999999679
2068 2.315 7.181 1 -0.000799999999999912
2069 2.342 7.1802 1 -0.000799999999999912
2070 2.368 7.1793 1 -0.000900000000000567
2071 2.393 7.1784 1 -0.000899999999999679
2072 2.419 7.1775 1 -0.000899999999999679
2073 2.444 7.1766 1 -0.000900000000000567
2074 2.469 7.1757 1 -0.000899999999999679
2075 2.494 7.1747 1 -0.00100000000000033
2076 2.518 7.1737 1 -0.000999999999999446
2077 2.542 7.1728 1 -0.000900000000000567
2078 2.566 7.1718 1 -0.000999999999999446
2079 2.59 7.1708 1 -0.00100000000000033
2080 2.614 7.1698 1 -0.000999999999999446
2081 2.637 7.1687 1 -0.0011000000000001
2082 2.66 7.1677 1 -0.00100000000000033
2083 2.683 7.1667 1 -0.00100000000000033
2084 2.705 7.1656 1 -0.00109999999999921
2085 2.728 7.1645 1 -0.0011000000000001
2086 2.75 7.1635 1 -0.00100000000000033
2087 2.772 7.1624 1 -0.0011000000000001
2088 2.794 7.1613 1 -0.0011000000000001
2089 2.815 7.1601 1 -0.00119999999999987
2090 2.836 7.159 1 -0.0011000000000001
2091 2.857 7.1579 1 -0.0011000000000001
2092 2.878 7.1568 1 -0.0011000000000001
2093 2.899 7.1556 1 -0.00119999999999987
2094 2.919 7.1545 1 -0.0011000000000001
2095 2.94 7.1533 1 -0.00119999999999987
2096 2.96 7.1521 1 -0.00119999999999987
2097 2.979 7.151 1 -0.0011000000000001
2098 2.999 7.1498 1 -0.00119999999999987
2099 3.019 7.1486 1 -0.00119999999999987
2100 3.038 7.1473 1 -0.00129999999999963
2101 3.057 7.1461 1 -0.00120000000000076
2102 3.076 7.1449 1 -0.00119999999999987
2103 3.094 7.1437 1 -0.00119999999999987
2104 3.113 7.1424 1 -0.00129999999999963
2105 3.131 7.1412 1 -0.00119999999999987
2106 3.149 7.1399 1 -0.00130000000000052
2107 3.167 7.1386 1 -0.00129999999999963
2108 3.185 7.1374 1 -0.00119999999999987
2109 3.203 7.1361 1 -0.00130000000000052
2110 3.22 7.1347 1 -0.00140000000000029
2111 3.237 7.1334 1 -0.00129999999999963
2112 3.254 7.1321 1 -0.00129999999999963
2113 3.271 7.1308 1 -0.00130000000000052
2114 3.288 7.1294 1 -0.0013999999999994
2115 3.305 7.1281 1 -0.00130000000000052
2116 3.321 7.1268 1 -0.00129999999999963
2117 3.337 7.1254 1 -0.00140000000000029
2118 3.353 7.1241 1 -0.00129999999999963
2119 3.369 7.1227 1 -0.00140000000000029
2120 3.385 7.1213 1 -0.00140000000000029
2121 3.401 7.12 1 -0.00129999999999963
2122 3.416 7.1185 1 -0.00150000000000006
2123 3.431 7.1171 1 -0.00140000000000029
2124 3.447 7.1157 1 -0.0013999999999994
2125 3.462 7.1143 1 -0.00140000000000029
2126 3.476 7.1128 1 -0.00150000000000006
2127 3.491 7.1114 1 -0.00140000000000029
2128 3.506 7.1099 1 -0.00150000000000006
2129 3.52 7.1084 1 -0.00150000000000006
2130 3.534 7.107 1 -0.0013999999999994
2131 3.548 7.1055 1 -0.00150000000000006
2132 3.562 7.104 1 -0.00150000000000006
2133 3.576 7.1025 1 -0.00150000000000006
2134 3.59 7.101 1 -0.00150000000000006
2135 3.604 7.0995 1 -0.00150000000000006
2136 3.617 7.098 1 -0.00150000000000006
2137 3.63 7.0965 1 -0.00150000000000006
2138 3.643 7.0949 1 -0.00159999999999982
2139 3.656 7.0934 1 -0.00150000000000006
2140 3.669 7.0918 1 -0.00159999999999982
2141 3.682 7.0903 1 -0.00150000000000006
2142 3.695 7.0887 1 -0.00159999999999982
2143 3.707 7.0871 1 -0.00159999999999982
2144 3.72 7.0855 1 -0.00160000000000071
2145 3.732 7.0839 1 -0.00159999999999982
2146 3.744 7.0823 1 -0.00159999999999982
2147 3.756 7.0807 1 -0.00159999999999982
2148 3.768 7.0791 1 -0.00159999999999982
2149 3.78 7.0774 1 -0.00170000000000048
2150 3.792 7.0758 1 -0.00159999999999982
2151 3.803 7.0741 1 -0.00170000000000048
2152 3.815 7.0724 1 -0.00169999999999959
2153 3.826 7.0708 1 -0.00159999999999982
2154 3.837 7.0691 1 -0.00170000000000048
2155 3.848 7.0674 1 -0.00169999999999959
2156 3.859 7.0656 1 -0.00180000000000025
2157 3.87 7.0639 1 -0.00169999999999959
2158 3.881 7.0622 1 -0.00170000000000048
2159 3.892 7.0604 1 -0.00180000000000025
2160 3.902 7.0587 1 -0.00169999999999959
2161 3.913 7.0569 1 -0.00180000000000025
2162 3.923 7.0552 1 -0.00169999999999959
2163 3.933 7.0534 1 -0.00180000000000025
2164 3.943 7.0517 1 -0.00169999999999959
2165 3.953 7.0499 1 -0.00180000000000025
2166 3.963 7.0481 1 -0.00180000000000025
2167 3.973 7.0463 1 -0.00180000000000025
2168 3.983 7.0445 1 -0.00179999999999936
2169 3.993 7.0427 1 -0.00180000000000025
2170 4.002 7.0409 1 -0.00180000000000025
2171 4.012 7.0391 1 -0.00179999999999936
2172 4.021 7.0373 1 -0.00180000000000025
2173 4.03 7.0355 1 -0.00180000000000025
2174 4.039 7.0337 1 -0.00180000000000025
2175 4.049 7.0319 1 -0.00179999999999936
2176 4.058 7.0301 1 -0.00180000000000025
2177 4.066 7.0283 1 -0.00180000000000025
2178 4.075 7.0264 1 -0.00190000000000001
2179 4.084 7.0246 1 -0.00179999999999936
2180 4.093 7.0228 1 -0.00180000000000025
2181 4.101 7.021 1 -0.00180000000000025
2182 4.11 7.0192 1 -0.00180000000000025
2183 4.118 7.0173 1 -0.00190000000000001
2184 4.126 7.0155 1 -0.00179999999999936
2185 4.135 7.0136 1 -0.00190000000000001
2186 4.143 7.0118 1 -0.00180000000000025
2187 4.151 7.01 1 -0.00180000000000025
2188 4.159 7.0082 1 -0.00179999999999936
2189 4.167 7.0063 1 -0.00190000000000001
2190 4.175 7.0045 1 -0.00180000000000025
2191 4.182 7.0026 1 -0.00190000000000001
2192 4.19 7.0007 1 -0.00190000000000001
2193 4.198 6.9989 1 -0.00180000000000025
2194 4.205 6.997 1 -0.00190000000000001
2195 4.213 6.9952 1 -0.00180000000000025
2196 4.22 6.9933 1 -0.00190000000000001
2197 4.227 6.9915 1 -0.00179999999999936
2198 4.235 6.9896 1 -0.00190000000000001
2199 4.242 6.9877 1 -0.00190000000000001
2200 4.249 6.9859 1 -0.00180000000000025
2201 4.256 6.984 1 -0.00190000000000001
2202 4.263 6.9821 1 -0.00190000000000001
2203 4.27 6.9801 1 -0.00199999999999978
2204 4.276 6.9782 1 -0.00190000000000001
2205 4.283 6.9763 1 -0.00190000000000001
2206 4.29 6.9744 1 -0.00190000000000001
2207 4.296 6.9725 1 -0.00190000000000001
2208 4.303 6.9706 1 -0.00190000000000001
2209 4.309 6.9687 1 -0.00190000000000001
2210 4.316 6.9668 1 -0.00190000000000001
2211 4.322 6.9649 1 -0.00190000000000001
2212 4.328 6.9631 1 -0.00180000000000025
2213 4.335 6.9612 1 -0.00190000000000001
2214 4.341 6.9593 1 -0.00190000000000001
2215 4.347 6.9574 1 -0.00190000000000001
2216 4.353 6.9556 1 -0.00180000000000025
