"t" "Tt" "Vt" "dt" "Vdt"
-123000 -5.338 7.1914 NA NA
-122980 -5.288 7.2248 20 0.00167000000000002
-122960 -5.238 7.2579 20 0.00165500000000001
-122940 -5.188 7.2872 20 0.00146500000000001
-122920 -5.138 7.3119 20 0.00123499999999996
-122900 -5.088 7.3337 20 0.00109000000000004
-122880 -5.1306 7.3532 20 0.000974999999999993
-122860 -5.1732 7.3697 20 0.000824999999999987
-122840 -5.2158 7.3837 20 0.000700000000000012
-122820 -5.2584 7.396 20 0.000614999999999988
-122800 -5.301 7.4068 20 0.000539999999999985
-122780 -5.3656 7.4171 20 0.000514999999999999
-122760 -5.4302 7.4263 20 0.000460000000000038
-122740 -5.4948 7.4335 20 0.000360000000000005
-122720 -5.5594 7.44 20 0.000324999999999997
-122700 -5.624 7.4458 20 0.00028999999999999
-122680 -5.5406 7.4511 20 0.000265000000000004
-122660 -5.4572 7.4563 20 0.000259999999999971
-122640 -5.3738 7.4611 20 0.000240000000000018
-122620 -5.2904 7.4656 20 0.000225000000000009
-122600 -5.207 7.4696 20 0.000199999999999978
-122580 -5.096 7.4733 20 0.000185000000000013
-122560 -4.985 7.4768 20 0.000174999999999992
-122540 -4.874 7.4799 20 0.000154999999999994
-122520 -4.763 7.4833 20 0.000170000000000003
-122500 -4.652 7.4868 20 0.000174999999999992
-122480 -4.4366 7.4902 20 0.000170000000000003
-122460 -4.2212 7.4927 20 0.00012500000000002
-122440 -4.0058 7.4962 20 0.000174999999999992
-122420 -3.7904 7.4988 20 0.000130000000000008
-122400 -3.575 7.5009 20 0.000104999999999977
-122380 -3.5104 7.5052 20 0.000215000000000032
-122360 -3.4458 7.5086 20 0.000170000000000003
-122340 -3.3812 7.5105 20 9.50000000000006e-05
-122320 -3.3166 7.5134 20 0.000144999999999973
-122300 -3.252 7.5158 20 0.000119999999999987
-122280 -3.332 7.5176 20 9.00000000000123e-05
-122260 -3.412 7.5203 20 0.000134999999999996
-122240 -3.492 7.5235 20 0.000160000000000027
-122220 -3.572 7.5254 20 9.50000000000006e-05
-122200 -3.652 7.5267 20 6.49999999999817e-05
-122180 -3.7858 7.5283 20 7.99999999999912e-05
-122160 -3.9196 7.5309 20 0.000130000000000008
-122140 -4.0534 7.5338 20 0.000145000000000017
-122120 -4.1872 7.5356 20 8.99999999999679e-05
-122100 -4.321 7.5375 20 9.50000000000006e-05
-122080 -4.4622 7.54 20 0.00012500000000002
-122060 -4.6034 7.5401 20 4.99999999998835e-06
-122040 -4.7446 7.5402 20 4.99999999998835e-06
-122020 -4.8858 7.5406 20 2.00000000000422e-05
-122000 -5.027 7.5417 20 5.49999999999606e-05
-121980 -5.0796 7.543 20 6.50000000000262e-05
-121960 -5.1322 7.5436 20 2.99999999999745e-05
-121940 -5.1848 7.543 20 -2.99999999999745e-05
-121920 -5.2374 7.543 20 0
-121900 -5.29 7.5429 20 -4.99999999998835e-06
-121880 -5.3464 7.544 20 5.49999999999606e-05
-121860 -5.4028 7.5452 20 6.00000000000378e-05
-121840 -5.4592 7.546 20 3.99999999999956e-05
-121820 -5.5156 7.5464 20 1.99999999999978e-05
-121800 -5.572 7.5469 20 2.49999999999861e-05
-121780 -5.6414 7.5451 20 -9.00000000000123e-05
-121760 -5.7108 7.5453 20 1.00000000000211e-05
-121740 -5.7802 7.5458 20 2.49999999999861e-05
-121720 -5.8496 7.5474 20 7.99999999999912e-05
-121700 -5.919 7.5492 20 9.00000000000123e-05
-121680 -5.906 7.5506 20 7.00000000000145e-05
-121660 -5.893 7.5519 20 6.49999999999817e-05
-121640 -5.88 7.5521 20 1.00000000000211e-05
-121620 -5.867 7.5533 20 5.99999999999934e-05
-121600 -5.854 7.5537 20 1.99999999999978e-05
-121580 -5.6886 7.5552 20 7.50000000000028e-05
-121560 -5.5232 7.5579 20 0.000134999999999996
-121540 -5.3578 7.5613 20 0.000170000000000003
-121520 -5.1924 7.5614 20 4.99999999998835e-06
-121500 -5.027 7.5612 20 -9.99999999997669e-06
-121480 -4.9368 7.5629 20 8.49999999999795e-05
-121460 -4.8466 7.5659 20 0.000150000000000006
-121440 -4.7564 7.5681 20 0.00011000000000001
-121420 -4.6662 7.5697 20 7.99999999999912e-05
-121400 -4.576 7.571 20 6.49999999999817e-05
-121380 -4.5338 7.5724 20 7.00000000000145e-05
-121360 -4.4916 7.5752 20 0.000139999999999985
-121340 -4.4494 7.5779 20 0.000134999999999996
-121320 -4.4072 7.5799 20 0.000100000000000033
-121300 -4.365 7.5813 20 6.99999999999701e-05
-121280 -4.376 7.5842 20 0.000145000000000017
-121260 -4.387 7.5853 20 5.5000000000005e-05
-121240 -4.398 7.5865 20 5.99999999999934e-05
-121220 -4.409 7.5886 20 0.000104999999999977
-121200 -4.42 7.5908 20 0.00011000000000001
-121180 -4.426 7.5918 20 5.00000000000167e-05
-121160 -4.432 7.5935 20 8.49999999999795e-05
-121140 -4.438 7.5945 20 5.00000000000167e-05
-121120 -4.444 7.5945 20 0
-121100 -4.45 7.593 20 -7.50000000000028e-05
-121080 -4.4098 7.5927 20 -1.50000000000094e-05
-121060 -4.3696 7.5929 20 1.00000000000211e-05
-121040 -4.3294 7.5931 20 9.99999999997669e-06
-121020 -4.2892 7.592 20 -5.5000000000005e-05
-121000 -4.249 7.5937 20 8.50000000000239e-05
-120980 -4.26 7.5967 20 0.000150000000000006
-120960 -4.271 7.5992 20 0.000124999999999975
-120940 -4.282 7.6012 20 0.000100000000000033
-120920 -4.293 7.6011 20 -5.00000000003276e-06
-120900 -4.304 7.6025 20 7.00000000000145e-05
-120880 -4.3626 7.6043 20 9.00000000000123e-05
-120860 -4.4212 7.6074 20 0.000154999999999994
-120840 -4.4798 7.6108 20 0.000170000000000003
-120820 -4.5384 7.6132 20 0.000119999999999987
-120800 -4.597 7.6154 20 0.00011000000000001
-120780 -4.524 7.6171 20 8.49999999999795e-05
-120760 -4.451 7.6152 20 -9.50000000000006e-05
-120740 -4.378 7.6116 20 -0.00017999999999998
-120720 -4.305 7.6097 20 -9.50000000000006e-05
-120700 -4.232 7.6092 20 -2.49999999999861e-05
-120680 -4.1436 7.6096 20 1.99999999999978e-05
-120660 -4.0552 7.6096 20 0
-120640 -3.9668 7.6105 20 4.49999999999839e-05
-120620 -3.8784 7.6128 20 0.000114999999999998
-120600 -3.79 7.6148 20 9.9999999999989e-05
-120580 -3.787 7.6162 20 7.00000000000145e-05
-120560 -3.784 7.6166 20 1.99999999999978e-05
-120540 -3.781 7.6158 20 -3.99999999999956e-05
-120520 -3.778 7.6169 20 5.5000000000005e-05
-120500 -3.775 7.6192 20 0.000114999999999998
-120480 -3.7166 7.6211 20 9.50000000000006e-05
-120460 -3.6582 7.6219 20 3.99999999999956e-05
-120440 -3.5998 7.6229 20 4.99999999999723e-05
-120420 -3.5414 7.6246 20 8.50000000000239e-05
-120400 -3.483 7.627 20 0.000119999999999987
-120380 -3.3752 7.627 20 0
-120360 -3.2674 7.6275 20 2.50000000000306e-05
-120340 -3.1596 7.6287 20 5.99999999999934e-05
-120320 -3.0518 7.6271 20 -7.99999999999912e-05
-120300 -2.944 7.6269 20 -1.00000000000211e-05
-120280 -2.9496 7.628 20 5.5000000000005e-05
-120260 -2.9552 7.6292 20 5.99999999999934e-05
-120240 -2.9608 7.6288 20 -1.99999999999978e-05
-120220 -2.9664 7.6279 20 -4.49999999999839e-05
-120200 -2.972 7.6265 20 -7.00000000000145e-05
-120180 -3.0488 7.6265 20 0
-120160 -3.1256 7.6277 20 5.99999999999934e-05
-120140 -3.2024 7.629 20 6.49999999999817e-05
-120120 -3.2792 7.6292 20 1.00000000000211e-05
-120100 -3.356 7.6294 20 1.00000000000211e-05
-120080 -3.5342 7.6291 20 -1.50000000000094e-05
-120060 -3.7124 7.628 20 -5.5000000000005e-05
-120040 -3.8906 7.6271 20 -4.49999999999839e-05
-120020 -4.0688 7.6272 20 4.99999999998835e-06
-120000 -4.247 7.6284 20 5.99999999999934e-05
-119980 -4.3738 7.6304 20 9.9999999999989e-05
-119960 -4.5006 7.6316 20 5.99999999999934e-05
-119940 -4.6274 7.6325 20 4.50000000000283e-05
-119920 -4.7542 7.633 20 2.49999999999861e-05
-119900 -4.881 7.6339 20 4.49999999999839e-05
-119880 -4.9886 7.6349 20 5.00000000000167e-05
-119860 -5.0962 7.6361 20 5.99999999999934e-05
-119840 -5.2038 7.6361 20 0
-119820 -5.3114 7.634 20 -0.000104999999999977
-119800 -5.419 7.6325 20 -7.50000000000028e-05
-119780 -5.4228 7.629 20 -0.000175000000000036
-119760 -5.4266 7.6276 20 -6.99999999999701e-05
-119740 -5.4304 7.6279 20 1.50000000000094e-05
-119720 -5.4342 7.6276 20 -1.50000000000094e-05
-119700 -5.438 7.6261 20 -7.50000000000028e-05
-119680 -5.392 7.6242 20 -9.50000000000006e-05
-119660 -5.346 7.6234 20 -3.99999999999956e-05
-119640 -5.3 7.623 20 -1.99999999999978e-05
-119620 -5.254 7.623 20 0
-119600 -5.208 7.6225 20 -2.50000000000306e-05
-119580 -5.023 7.6216 20 -4.49999999999839e-05
-119560 -4.838 7.6194 20 -0.00011000000000001
-119540 -4.653 7.6179 20 -7.50000000000028e-05
-119520 -4.468 7.6173 20 -2.99999999999745e-05
-119500 -4.283 7.6177 20 1.99999999999978e-05
-119480 -4.1766 7.6196 20 9.50000000000006e-05
-119460 -4.0702 7.621 20 7.00000000000145e-05
-119440 -3.9638 7.6223 20 6.49999999999817e-05
-119420 -3.8574 7.6239 20 7.99999999999912e-05
-119400 -3.751 7.6253 20 7.00000000000145e-05
-119380 -3.6932 7.6255 20 9.99999999997669e-06
-119360 -3.6354 7.6256 20 5.00000000003276e-06
-119340 -3.5776 7.6273 20 8.49999999999795e-05
-119320 -3.5198 7.6292 20 9.50000000000006e-05
-119300 -3.462 7.6295 20 1.50000000000094e-05
-119280 -3.4774 7.6302 20 3.50000000000072e-05
-119260 -3.4928 7.6316 20 6.99999999999701e-05
-119240 -3.5082 7.6323 20 3.50000000000072e-05
-119220 -3.5236 7.6339 20 7.99999999999912e-05
-119200 -3.539 7.6349 20 5.00000000000167e-05
-119180 -3.3786 7.6354 20 2.49999999999861e-05
-119160 -3.2182 7.6348 20 -2.99999999999745e-05
-119140 -3.0578 7.633 20 -9.00000000000123e-05
-119120 -2.8974 7.6325 20 -2.49999999999861e-05
-119100 -2.737 7.6327 20 9.99999999997669e-06
-119080 -2.433 7.6326 20 -4.99999999998835e-06
-119060 -2.129 7.6332 20 3.00000000000189e-05
-119040 -1.825 7.6345 20 6.49999999999817e-05
-119020 -1.521 7.6351 20 3.00000000000189e-05
-119000 -1.217 7.633 20 -0.000105000000000022
-118980 -1.2002 7.6284 20 -0.000229999999999997
-118960 -1.1834 7.6258 20 -0.000130000000000008
-118940 -1.1666 7.6247 20 -5.5000000000005e-05
-118920 -1.1498 7.6242 20 -2.49999999999861e-05
-118900 -1.133 7.6234 20 -3.99999999999956e-05
-118880 -1.0796 7.6227 20 -3.50000000000072e-05
-118860 -1.0262 7.6215 20 -5.99999999999934e-05
-118840 -0.9728 7.6217 20 9.99999999997669e-06
-118820 -0.9194 7.6228 20 5.5000000000005e-05
-118800 -0.866 7.6228 20 0
-118780 -0.789 7.6224 20 -1.99999999999978e-05
-118760 -0.712 7.6206 20 -9.00000000000123e-05
-118740 -0.635 7.6165 20 -0.000204999999999966
-118720 -0.558 7.6144 20 -0.000105000000000022
-118700 -0.481 7.6128 20 -7.99999999999912e-05
-118680 -0.3892 7.6116 20 -5.99999999999934e-05
-118660 -0.2974 7.6104 20 -5.99999999999934e-05
-118640 -0.2056 7.6095 20 -4.50000000000283e-05
-118620 -0.1138 7.6082 20 -6.49999999999817e-05
-118600 -0.022 7.6062 20 -9.9999999999989e-05
-118580 0.16 7.6037 20 -0.00012500000000002
-118560 0.342 7.6 20 -0.000185000000000013
-118540 0.524 7.5955 20 -0.000224999999999964
-118520 0.706 7.5901 20 -0.000270000000000037
-118500 0.888 7.5844 20 -0.000285000000000002
-118480 0.881 7.5788 20 -0.000279999999999969
-118460 0.874 7.572 20 -0.000340000000000007
-118440 0.867 7.5645 20 -0.000375000000000014
-118420 0.86 7.5593 20 -0.000259999999999971
-118400 0.853 7.5549 20 -0.00022000000000002
-118380 0.6994 7.5512 20 -0.000185000000000013
-118360 0.5458 7.5481 20 -0.000154999999999994
-118340 0.3922 7.5462 20 -9.50000000000006e-05
-118320 0.2386 7.5446 20 -7.99999999999912e-05
-118300 0.085 7.543 20 -7.99999999999912e-05
-118280 -0.1084 7.5427 20 -1.50000000000094e-05
-118260 -0.3018 7.5421 20 -3.00000000000189e-05
-118240 -0.4952 7.5422 20 5.00000000003276e-06
-118220 -0.6886 7.5438 20 7.99999999999912e-05
-118200 -0.882 7.5462 20 0.000119999999999987
-118180 -0.889 7.5486 20 0.000120000000000031
-118160 -0.896 7.5497 20 5.49999999999606e-05
-118140 -0.903 7.5506 20 4.50000000000283e-05
-118120 -0.91 7.5515 20 4.49999999999839e-05
-118100 -0.917 7.5531 20 7.99999999999912e-05
-118080 -0.8338 7.5536 20 2.50000000000306e-05
-118060 -0.7506 7.5527 20 -4.50000000000283e-05
-118040 -0.6674 7.5522 20 -2.49999999999861e-05
-118020 -0.5842 7.5521 20 -4.99999999998835e-06
-118000 -0.501 7.5516 20 -2.50000000000306e-05
-117980 -0.2284 7.5491 20 -0.000124999999999975
-117960 0.0442 7.5451 20 -0.000200000000000022
-117940 0.3168 7.5412 20 -0.00019499999999999
-117920 0.5894 7.5361 20 -0.000254999999999983
-117900 0.862 7.5306 20 -0.000275000000000025
-117880 1.79 7.5202 20 -0.000519999999999987
-117860 2.718 7.5015 20 -0.000934999999999997
-117840 3.646 7.4721 20 -0.00146999999999999
-117820 4.574 7.4283 20 -0.00219
-117800 5.502 7.3673 20 -0.00305
-117780 5.6524 7.2971 20 -0.00350999999999999
-117760 5.8028 7.2264 20 -0.00353500000000002
-117740 5.9532 7.1543 20 -0.00360499999999999
-117720 6.1036 7.0794 20 -0.00374500000000002
-117700 6.254 7.0005 20 -0.003945
-117680 6.134 6.9239 20 -0.00383
-117660 6.014 6.8523 20 -0.00358000000000001
-117640 5.894 6.7856 20 -0.003335
-117620 5.774 6.721 20 -0.00322999999999998
-117600 5.654 6.6621 20 -0.00294500000000002
-117580 5.5212 6.6061 20 -0.0028
-117560 5.3884 6.5538 20 -0.00261499999999999
-117540 5.2556 6.5037 20 -0.00250499999999998
-117520 5.1228 6.4561 20 -0.00238
-117500 4.99 6.4104 20 -0.002285
-117480 5.0354 6.3646 20 -0.00228999999999999
-117460 5.0808 6.3188 20 -0.00228999999999999
-117440 5.1262 6.2713 20 -0.00237500000000002
-117420 5.1716 6.2242 20 -0.00235500000000002
-117400 5.217 6.176 20 -0.00240999999999998
-117380 5.4348 6.126 20 -0.00249999999999999
-117360 5.6526 6.0711 20 -0.002745
-117340 5.8704 6.0112 20 -0.00299500000000004
-117320 6.0882 5.9467 20 -0.00322499999999999
-117300 6.306 5.8762 20 -0.003525
-117280 6.3864 5.8017 20 -0.00372499999999998
-117260 6.4668 5.7249 20 -0.00384000000000002
-117240 6.5472 5.6476 20 -0.00386500000000001
-117220 6.6276 5.5662 20 -0.00406999999999997
-117200 6.708 5.4831 20 -0.004155
-117180 6.3296 5.4058 20 -0.00386500000000001
-117160 5.9512 5.3385 20 -0.00336500000000002
-117140 5.5728 5.2803 20 -0.00290999999999997
-117120 5.1944 5.2302 20 -0.00250500000000002
-117100 4.816 5.1871 20 -0.002155
-117080 4.506 5.1496 20 -0.00187499999999998
-117060 4.196 5.1168 20 -0.00164000000000004
-117040 3.886 5.0885 20 -0.00141499999999999
-117020 3.576 5.0642 20 -0.00121500000000001
-117000 3.266 5.0433 20 -0.00104499999999996
-116980 3.5896 5.021 20 -0.00111500000000002
-116960 3.9132 4.9939 20 -0.001355
-116940 4.2368 4.9623 20 -0.00158
-116920 4.5604 4.9255 20 -0.00183999999999997
-116900 4.884 4.8835 20 -0.00210000000000003
-116880 5.192 4.8358 20 -0.00238499999999999
-116860 5.5 4.7817 20 -0.002705
-116840 5.808 4.7207 20 -0.00305
-116820 6.116 4.6531 20 -0.00337999999999998
-116800 6.424 4.5782 20 -0.00374500000000002
-116780 6.0518 4.5048 20 -0.00366999999999997
-116760 5.6796 4.4408 20 -0.0032
-116740 5.3074 4.3848 20 -0.0028
-116720 4.9352 4.3361 20 -0.00243500000000001
-116700 4.563 4.2939 20 -0.00211000000000001
-116680 3.5402 4.2629 20 -0.00154999999999998
-116660 2.5174 4.2445 20 -0.000919999999999987
-116640 1.4946 4.2355 20 -0.000450000000000017
-116620 0.4718 4.2332 20 -0.000114999999999998
-116600 -0.551 4.236 20 0.000139999999999985
-116580 -1.4542 4.2425 20 0.000324999999999997
-116560 -2.3574 4.2519 20 0.000470000000000015
-116540 -3.2606 4.2634 20 0.000574999999999992
-116520 -4.1638 4.2762 20 0.000640000000000018
-116500 -5.067 4.2902 20 0.000699999999999967
-116480 -5.8116 4.3048 20 0.000730000000000031
-116460 -6.5562 4.3198 20 0.000749999999999984
-116440 -7.3008 4.3353 20 0.000775000000000015
-116420 -8.0454 4.3505 20 0.000760000000000005
-116400 -8.79 4.3652 20 0.000734999999999975
-116380 -8.5584 4.3801 20 0.000744999999999996
-116360 -8.3268 4.396 20 0.000795000000000012
-116340 -8.0952 4.4124 20 0.000819999999999998
-116320 -7.8636 4.4293 20 0.000844999999999985
-116300 -7.632 4.4463 20 0.000850000000000017
-116280 -7.4964 4.462 20 0.000784999999999991
-116260 -7.3608 4.4781 20 0.000805000000000033
-116240 -7.2252 4.4946 20 0.000824999999999987
-116220 -7.0896 4.5116 20 0.000849999999999973
-116200 -6.954 4.5285 20 0.000845000000000029
-116180 -6.9512 4.5447 20 0.000809999999999977
-116160 -6.9484 4.5598 20 0.000755000000000017
-116140 -6.9456 4.575 20 0.000760000000000005
-116120 -6.9428 4.5891 20 0.000705
-116100 -6.94 4.6037 20 0.000729999999999986
-116080 -7.0428 4.619 20 0.000764999999999993
-116060 -7.1456 4.634 20 0.000750000000000028
-116040 -7.2484 4.6494 20 0.000769999999999982
-116020 -7.3512 4.6627 20 0.000665000000000004
-116000 -7.454 4.6728 20 0.000504999999999978
-115980 -7.6018 4.6842 20 0.000570000000000004
-115960 -7.7496 4.6969 20 0.00063500000000003
-115940 -7.8974 4.7103 20 0.000669999999999993
-115920 -8.0452 4.7232 20 0.000645000000000007
-115900 -8.193 4.737 20 0.000689999999999991
-115880 -8.1696 4.7497 20 0.000634999999999986
-115860 -8.1462 4.7624 20 0.00063500000000003
-115840 -8.1228 4.7758 20 0.000669999999999993
-115820 -8.0994 4.7904 20 0.000729999999999986
-115800 -8.076 4.805 20 0.000729999999999986
-115780 -8.0222 4.8202 20 0.000760000000000005
-115760 -7.9684 4.834 20 0.000689999999999991
-115740 -7.9146 4.8484 20 0.000720000000000009
-115720 -7.8608 4.8628 20 0.000720000000000009
-115700 -7.807 4.8753 20 0.000625000000000009
-115680 -7.7516 4.8877 20 0.000619999999999976
-115660 -7.6962 4.8999 20 0.000609999999999999
-115640 -7.6408 4.9106 20 0.000534999999999997
-115620 -7.5854 4.921 20 0.000520000000000032
-115600 -7.53 4.9342 20 0.000659999999999972
-115580 -7.44 4.9481 20 0.000695000000000023
-115560 -7.35 4.962 20 0.000694999999999979
-115540 -7.26 4.9748 20 0.000640000000000018
-115520 -7.17 4.9873 20 0.000625000000000009
-115500 -7.08 4.9999 20 0.000629999999999997
-115480 -6.92 5.0111 20 0.000559999999999983
-115460 -6.76 5.0238 20 0.000634999999999986
-115440 -6.6 5.0379 20 0.000705
-115420 -6.44 5.0518 20 0.000695000000000023
-115400 -6.28 5.066 20 0.000709999999999988
-115380 -6.062 5.08 20 0.000700000000000012
-115360 -5.844 5.0947 20 0.000734999999999975
-115340 -5.626 5.1087 20 0.000700000000000012
-115320 -5.408 5.1218 20 0.000655000000000028
-115300 -5.19 5.1338 20 0.000599999999999978
-115280 -4.9172 5.1447 20 0.000545000000000018
-115260 -4.6444 5.1563 20 0.00057999999999998
-115240 -4.3716 5.1686 20 0.000614999999999988
-115220 -4.0988 5.1819 20 0.000665000000000004
-115200 -3.826 5.1921 20 0.00051000000000001
-115180 -3.4542 5.2023 20 0.00051000000000001
-115160 -3.0824 5.2112 20 0.000444999999999984
-115140 -2.7106 5.2205 20 0.000465000000000026
-115120 -2.3388 5.2288 20 0.000414999999999965
-115100 -1.967 5.2349 20 0.000305
-115080 -1.765 5.2396 20 0.00023500000000003
-115060 -1.563 5.2419 20 0.000114999999999998
-115040 -1.361 5.2414 20 -2.50000000000306e-05
-115020 -1.159 5.2398 20 -7.99999999999912e-05
-115000 -0.957 5.2373 20 -0.000124999999999975
-114980 -0.8462 5.2351 20 -0.00011000000000001
-114960 -0.7354 5.2348 20 -1.50000000000094e-05
-114940 -0.6246 5.2348 20 0
-114920 -0.5138 5.2347 20 -4.99999999998835e-06
-114900 -0.403 5.234 20 -3.50000000000072e-05
-114880 -0.3682 5.2334 20 -3.00000000000189e-05
-114860 -0.3334 5.2328 20 -2.99999999999745e-05
-114840 -0.2986 5.2318 20 -5.00000000000167e-05
-114820 -0.2638 5.2283 20 -0.000174999999999992
-114800 -0.229 5.2263 20 -9.9999999999989e-05
-114780 -0.2578 5.2261 20 -1.00000000000211e-05
-114760 -0.2866 5.2269 20 3.99999999999956e-05
-114740 -0.3154 5.2276 20 3.50000000000072e-05
-114720 -0.3442 5.2281 20 2.50000000000306e-05
-114700 -0.373 5.229 20 4.49999999999839e-05
-114680 -0.4598 5.2319 20 0.000145000000000017
-114660 -0.5466 5.2358 20 0.00019499999999999
-114640 -0.6334 5.2397 20 0.00019499999999999
-114620 -0.7202 5.2426 20 0.000145000000000017
-114600 -0.807 5.2449 20 0.000114999999999998
-114580 -0.9116 5.2481 20 0.000159999999999982
-114560 -1.0162 5.2517 20 0.00017999999999998
-114540 -1.1208 5.2566 20 0.000245000000000006
-114520 -1.2254 5.2627 20 0.000305
-114500 -1.33 5.2675 20 0.000240000000000018
-114480 -1.3152 5.2716 20 0.000205000000000011
-114460 -1.3004 5.2771 20 0.000274999999999981
-114440 -1.2856 5.2832 20 0.000305
-114420 -1.2708 5.2882 20 0.000249999999999995
-114400 -1.256 5.2926 20 0.00022000000000002
-114380 -1.1964 5.2963 20 0.000184999999999969
-114360 -1.1368 5.2999 20 0.000180000000000025
-114340 -1.0772 5.3033 20 0.000170000000000003
-114320 -1.0176 5.3073 20 0.000199999999999978
