"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20791121379931 1 -8.87862006919704e-05
2008 "2025" 0.637 7.20782026400229 1 -9.09497970171813e-05
2009 "2025" 0.662 7.20772377403809 1 -9.64899641981987e-05
2010 "2025" 0.697 7.20761924895108 1 -0.000104525087007978
2011 "2025" 0.736 7.20750539222449 1 -0.000113856726591699
2012 "2025" 0.774 7.20738206190165 1 -0.000123330322844062
2013 "2025" 0.806 7.20725046499377 1 -0.000131596907882781
2014 "2025" 0.834 7.20711141903764 1 -0.000139045956126793
2015 "2025" 0.858 7.20696582955788 1 -0.00014558947976262
2016 "2025" 0.881 7.20681383031957 1 -0.000151999238310552
2017 "2025" 0.908 7.20665412736611 1 -0.000159702953456353
2018 "2025" 0.936 7.20648623487628 1 -0.00016789248982807
2019 "2025" 0.965 7.20630964523422 1 -0.00017658964206646
2020 "2025" 1.002 7.20612163366101 1 -0.000188011573209579
2021 "2025" 1.048 7.20591891712576 1 -0.000202716535250502
2022 "2025" 1.096 7.20570026796637 1 -0.000218649159380746
2023 "2025" 1.141 7.20546614120043 1 -0.000234126765948695
2024 "2025" 1.183 7.20521709816927 1 -0.00024904303115747
2025 "2025" 1.183 7.20496810953379 1 -0.000248988635477509
2026 "2025" 1.183 7.20471917528211 1 -0.000248934251677824
2027 "2025" 1.183 7.20447029540236 1 -0.000248879879756636
2028 "2025" 1.183 7.20422146988265 1 -0.000248825519711282
2029 "2025" 1.183 7.20397269871111 1 -0.000248771171539097
2030 "2025" 1.183 7.20372398187587 1 -0.000248716835237417
2031 "2025" 1.183 7.20347531936506 1 -0.000248662510804465
2032 "2025" 1.183 7.20322671116683 1 -0.000248608198236688
2033 "2025" 1.183 7.2029781572693 1 -0.000248553897531423
2034 "2025" 1.183 7.20272965766061 1 -0.000248499608686892
2035 "2025" 1.183 7.20248121232891 1 -0.000248445331700431
2036 "2025" 1.183 7.20223282126234 1 -0.000248391066568487
2037 "2025" 1.183 7.20198448444905 1 -0.000248336813289285
2038 "2025" 1.183 7.20173620187719 1 -0.000248282571860159
2039 "2025" 1.183 7.20148797353491 1 -0.000248228342277557
2040 "2025" 1.183 7.20123979941037 1 -0.00024817412454059
2041 "2025" 1.183 7.20099167949173 1 -0.000248119918645706
2042 "2025" 1.183 7.20074361376714 1 -0.000248065724590241
2043 "2025" 1.183 7.20049560222477 1 -0.000248011542371529
2044 "2025" 1.183 7.20024764485278 1 -0.000247957371987795
2045 "2025" 1.183 7.19999974163934 1 -0.000247903213435485
2046 "2025" 1.183 7.19975189257263 1 -0.000247849066711936
2047 "2025" 1.183 7.19950409764081 1 -0.000247794931816259
2048 "2025" 1.183 7.19925635683207 1 -0.000247740808744012
2049 "2025" 1.183 7.19900867013458 1 -0.000247686697493421
2050 "2025" 1.183 7.19876103753652 1 -0.000247632598060932
2051 "2025" 1.183 7.19851345902607 1 -0.000247578510445656
2052 "2025" 1.183 7.19826593459143 1 -0.000247524434644042
2053 "2025" 1.183 7.19801846422077 1 -0.000247470370653424
