"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20791121379931 1 -8.87862006919704e-05
2008 "2025" 0.637 7.20782026400229 1 -9.09497970171813e-05
2009 "2025" 0.662 7.20772377403809 1 -9.64899641981987e-05
2010 "2025" 0.697 7.20761924895108 1 -0.000104525087007978
2011 "2025" 0.736 7.20750539222449 1 -0.000113856726591699
2012 "2025" 0.774 7.20738206190165 1 -0.000123330322844062
2013 "2025" 0.806 7.20725046499377 1 -0.000131596907882781
2014 "2025" 0.834 7.20711141903764 1 -0.000139045956126793
2015 "2025" 0.858 7.20696582955788 1 -0.00014558947976262
2016 "2025" 0.881 7.20681383031957 1 -0.000151999238310552
2017 "2025" 0.908 7.20665412736611 1 -0.000159702953456353
2018 "2025" 0.936 7.20648623487628 1 -0.00016789248982807
2019 "2025" 0.965 7.20630964523422 1 -0.00017658964206646
2020 "2025" 1.002 7.20612163366101 1 -0.000188011573209579
2021 "2025" 1.048 7.20591891712576 1 -0.000202716535250502
2022 "2025" 1.096 7.20570026796637 1 -0.000218649159380746
2023 "2025" 1.141 7.20546614120043 1 -0.000234126765948695
2024 "2025" 1.183 7.20521709816927 1 -0.00024904303115747
2025 "2025" 1.083 7.20500297651612 1 -0.000214121653151267
2026 "2025" 0.983 7.20482113464787 1 -0.000181841868244881
2027 "2025" 0.883 7.20466893312415 1 -0.000152201523722084
2028 "2025" 0.783 7.20454373448502 1 -0.000125198639129742
2029 "2025" 0.683 7.20444290307894 1 -0.000100831406078861
2030 "2025" 0.583 7.20436380489088 1 -7.90981880633979e-05
2031 "2025" 0.483 7.20430380737058 1 -5.99975202932868e-05
2032 "2025" 0.383 7.20426027926104 1 -4.35281095487738e-05
2033 "2025" 0.283 7.20423059042699 1 -2.96888340471924e-05
2034 "2025" 0.183 7.20421211168366 1 -1.84787433301636e-05
2035 "2025" 0.083 7.2042022146255 1 -9.89705816056841e-06
2036 "2025" 0 7.20419744469514 1 -4.76993035558593e-06
2037 "2025" 0 7.20419267488844 1 -4.76980669805727e-06
2038 "2025" 0 7.2041879052054 1 -4.76968304408132e-06
2039 "2025" 0 7.20418313564601 1 -4.76955939365808e-06
2040 "2025" 0 7.20417836621026 1 -4.76943574589939e-06
2041 "2025" 0 7.20417359689816 1 -4.76931210080522e-06
2042 "2025" 0 7.2041688277097 1 -4.76918846015195e-06
2043 "2025" 0 7.20416405864488 1 -4.76906482127504e-06
2044 "2025" 0 7.20415928970369 1 -4.76894118683902e-06
2045 "2025" 0 7.20415452088614 1 -4.76881755506753e-06
2046 "2025" 0 7.20414975219221 1 -4.76869392684875e-06
2047 "2025" 0 7.20414498362191 1 -4.76857030129452e-06
2048 "2025" 0 7.20414021517523 1 -4.76844667929299e-06
2049 "2025" 0 7.20413544685217 1 -4.768323059956e-06
2050 "2025" 0 7.20413067865272 1 -4.76819944505991e-06
2051 "2025" 0 7.20412591057689 1 -4.76807583194017e-06
2052 "2025" 0 7.20412114262467 1 -4.76795222326132e-06
2053 "2025" 0 7.20411637479605 1 -4.76782861724701e-06
