"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20793865320023 1 -6.13467997689909e-05
2008 "2025" 0.637 7.20787545301396 1 -6.3200186272816e-05
2009 "2025" 0.662 7.20780748978612 1 -6.79632278419717e-05
2010 "2025" 0.697 7.207732572713 1 -7.49170731157989e-05
2011 "2025" 0.736 7.20764951820526 1 -8.30545077441514e-05
2012 "2025" 0.774 7.20755814233077 1 -9.13758744847115e-05
2013 "2025" 0.806 7.2074594607811 1 -9.86815496695215e-05
2014 "2025" 0.834 7.20735416380243 1 -0.000105296978675007
2015 "2025" 0.858 7.20724303216253 1 -0.000111131639895845
2016 "2025" 0.881 7.20712616555343 1 -0.000116866609105593
2017 "2025" 0.908 7.20700238297965 1 -0.000123782573772324
2018 "2025" 0.936 7.20687122192479 1 -0.000131161054860662
2019 "2025" 0.965 7.20673219743091 1 -0.000139024493877926
2020 "2025" 1.002 7.20658280692816 1 -0.000149390502754976
2021 "2025" 1.048 7.20642001112403 1 -0.00016279580412526
2022 "2025" 1.096 7.20624262180701 1 -0.000177389317023824
2023 "2025" 1.141 7.206050993658 1 -0.000191628149008416
2024 "2025" 1.183 7.2058455907034 1 -0.000205402954597922
2025 "2025" 1.183 7.20564023323726 1 -0.000205357466140477
2026 "2025" 1.183 7.20543492124951 1 -0.000205311987757639
2027 "2025" 1.183 7.20522965473006 1 -0.000205266519445857
2028 "2025" 1.183 7.20502443366886 1 -0.000205221061204242
2029 "2025" 1.183 7.20481925805583 1 -0.00020517561302924
2030 "2025" 1.183 7.20461412788091 1 -0.000205130174919077
2031 "2025" 1.183 7.20440904313404 1 -0.000205084746871975
2032 "2025" 1.183 7.20420400380515 1 -0.000205039328884382
2033 "2025" 1.183 7.2039990098842 1 -0.000204993920956298
2034 "2025" 1.183 7.20379406136111 1 -0.000204948523083281
2035 "2025" 1.183 7.20358915822585 1 -0.000204903135264445
2036 "2025" 1.183 7.20338430046835 1 -0.000204857757498011
2037 "2025" 1.183 7.20317948807857 1 -0.000204812389779541
2038 "2025" 1.183 7.20297472104646 1 -0.000204767032109032
2039 "2025" 1.183 7.20276999936198 1 -0.000204721684482934
2040 "2025" 1.183 7.20256532301508 1 -0.000204676346900357
2041 "2025" 1.183 7.20236069199572 1 -0.00020463101935686
2042 "2025" 1.183 7.20215610629387 1 -0.000204585701852444
2043 "2025" 1.183 7.20195156589948 1 -0.000204540394384445
2044 "2025" 1.183 7.20174707080253 1 -0.000204495096949309
2045 "2025" 1.183 7.20154262099299 1 -0.000204449809546148
2046 "2025" 1.183 7.20133821646082 1 -0.000204404532172298
2047 "2025" 1.183 7.20113385719599 1 -0.000204359264825094
2048 "2025" 1.183 7.20092954318849 1 -0.000204314007503648
2049 "2025" 1.183 7.20072527442828 1 -0.000204268760204407
2050 "2025" 1.183 7.20052105090536 1 -0.000204223522925595
2051 "2025" 1.183 7.20031687260969 1 -0.000204178295665436
2052 "2025" 1.183 7.20011273953127 1 -0.000204133078420377
2053 "2025" 1.183 7.19990865166008 1 -0.000204087871189529
2054 "2025" 1.183 7.19970460898611 1 -0.000204042673971117
2055 "2025" 1.183 7.19950061149935 1 -0.000203997486760699
2056 "2025" 1.183 7.19929665918979 1 -0.000203952309558275
2057 "2025" 1.183 7.19909275204743 1 -0.000203907142360293
2058 "2025" 1.183 7.19888889006227 1 -0.000203861985165865
2059 "2025" 1.183 7.1986850732243 1 -0.00020381683797055
2060 "2025" 1.183 7.19848130152352 1 -0.000203771700774347
