"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20793708141228 1 -6.29185877238925e-05
2008 "2025" 0.637 7.2078722914647 1 -6.47899475758607e-05
2009 "2025" 0.662 7.20780269342794 1 -6.95980367559912e-05
2010 "2025" 0.697 7.20772607888226 1 -7.66145456809753e-05
2011 "2025" 0.736 7.20764125772338 1 -8.48211588833081e-05
2012 "2025" 0.774 7.20754804848459 1 -9.32092387868622e-05
2013 "2025" 0.806 7.20744747796523 1 -0.000100570519359522
2014 "2025" 0.834 7.2073402438013 1 -0.000107234163930769
2015 "2025" 0.858 7.20722713399632 1 -0.00011310980498358
2016 "2025" 0.881 7.20710825022692 1 -0.000118883769395062
2017 "2025" 0.908 7.20698240497999 1 -0.00012584524693704
2018 "2025" 0.936 7.20684913441017 1 -0.000133270569816268
2019 "2025" 0.965 7.20670795226996 1 -0.000141182140206197
2020 "2025" 1.002 7.20655634317913 1 -0.000151609090830895
2021 "2025" 1.048 7.20639125381329 1 -0.000165089365844473
2022 "2025" 1.096 7.20621149373815 1 -0.000179760075135427
2023 "2025" 1.141 7.20601742347417 1 -0.000194070263981772
2024 "2025" 1.183 7.2058095127035 1 -0.000207910770670061
2025 "2025" 1.083 7.20563391560836 1 -0.00017559709513737
2026 "2025" 0.983 7.20548792344334 1 -0.000145992165027309
2027 "2025" 0.883 7.20536882951024 1 -0.000119093933096615
2028 "2025" 0.783 7.20527392898128 1 -9.49005289623273e-05
2029 "2025" 0.683 7.20520051872237 1 -7.34102589081687e-05
2030 "2025" 0.583 7.20514589711666 1 -5.46216057140114e-05
2031 "2025" 0.483 7.20510736388816 1 -3.85332284960072e-05
2032 "2025" 0.383 7.20508221992559 1 -2.51439625698069e-05
2033 "2025" 0.283 7.20506776710627 1 -1.44528193253279e-05
2034 "2025" 0.183 7.20506130812014 1 -6.45898612283702e-06
2035 "2025" 0.083 7.20506014629394 1 -1.16182620324423e-06
2036 "2025" 0 7.20506133345579 1 1.18716185060208e-06
2037 "2025" 0 7.20506252058345 1 1.1871276566211e-06
2038 "2025" 0 7.20506370767691 1 1.18709346441648e-06
2039 "2025" 0 7.20506489473618 1 1.18705927221185e-06
2040 "2025" 0 7.20506608176126 1 1.18702508089541e-06
2041 "2025" 0 7.20506726875216 1 1.18699089135532e-06
2042 "2025" 0 7.20506845570886 1 1.18695670181523e-06
2043 "2025" 0 7.20506964263137 1 1.1869225140515e-06
2044 "2025" 0 7.2050708295197 1 1.18688832717595e-06
2045 "2025" 0 7.20507201637384 1 1.18685414118858e-06
2046 "2025" 0 7.2050732031938 1 1.18681995608938e-06
2047 "2025" 0 7.20507438997957 1 1.18678577187836e-06
2048 "2025" 0 7.20507557673116 1 1.18675158855552e-06
2049 "2025" 0 7.20507676344856 1 1.18671740612086e-06
2050 "2025" 0 7.20507795013179 1 1.18668322546256e-06
2051 "2025" 0 7.20507913678083 1 1.18664904480426e-06
2052 "2025" 0 7.2050803233957 1 1.18661486592231e-06
2053 "2025" 0 7.20508150997639 1 1.18658068792854e-06
2054 "2025" 0 7.2050826965229 1 1.18654651082295e-06
2055 "2025" 0 7.20508388303523 1 1.18651233460554e-06
2056 "2025" 0 7.20508506951339 1 1.18647815927631e-06
2057 "2025" 0 7.20508625595738 1 1.18644398483525e-06
2058 "2025" 0 7.20508744236719 1 1.18640981128237e-06
2059 "2025" 0 7.20508862874283 1 1.18637563950585e-06
2060 "2025" 0 7.20508981508429 1 1.18634146772933e-06
2061 "2025" 0 7.20509100139159 1 1.18630729772917e-06
2062 "2025" 0 7.20509218766472 1 1.18627312861719e-06
2063 "2025" 0 7.20509337390368 1 1.18623896039338e-06
2064 "2025" 0 7.20509456010847 1 1.18620479305775e-06
2065 "2025" 0 7.2050957462791 1 1.18617062661031e-06
2066 "2025" 0 7.20509693241556 1 1.18613646105103e-06
2067 "2025" 0 7.20509811851786 1 1.18610229637994e-06
2068 "2025" 0 7.20509930458599 1 1.18606813259703e-06
2069 "2025" 0 7.20510049061996 1 1.18603397059047e-06
2070 "2025" 0 7.20510167661977 1 1.18599980947209e-06
2071 "2025" 0 7.20510286258542 1 1.18596564835372e-06
2072 "2025" 0 7.20510404851691 1 1.18593148901169e-06
2073 "2025" 0 7.20510523441424 1 1.18589733055785e-06
2074 "2025" 0 7.20510642027741 1 1.18586317299219e-06
