"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20766433699825 1 -0.000335663001747477
2008 "2025" 0.637 7.20732544625632 1 -0.000338890741930165
2009 "2025" 0.662 7.20697835449501 1 -0.000347091761310203
2010 "2025" 0.697 7.20661960621268 1 -0.000358748282328847
2011 "2025" 0.736 7.20624764790346 1 -0.00037195830922343
2012 "2025" 0.774 7.20586260079506 1 -0.000385047108395931
2013 "2025" 0.806 7.20546637282901 1 -0.000396227966053431
2014 "2025" 0.834 7.20506024362075 1 -0.000406129208265327
2015 "2025" 0.858 7.20464554338806 1 -0.000414700232688858
2016 "2025" 0.881 7.2042225518612 1 -0.000422991526852101
2017 "2025" 0.908 7.20378971658002 1 -0.000432835281182875
2018 "2025" 0.936 7.20334655649688 1 -0.000443160083144711
2019 "2025" 0.965 7.20289257799851 1 -0.000453978498364371
2020 "2025" 1.002 7.20242459653834 1 -0.000467981460168687
2021 "2025" 1.048 7.20193890396816 1 -0.000485692570182827
2022 "2025" 1.096 7.20143438986529 1 -0.000504514102870779
2023 "2025" 1.141 7.2009119229931 1 -0.000522466872186378
2024 "2025" 1.183 7.20037243332265 1 -0.000539489670457804
2025 "2025" 1.183 7.19983302987844 1 -0.000539403444210329
2026 "2025" 1.183 7.19929371264669 1 -0.00053931723174383
2027 "2025" 1.183 7.19875448161364 1 -0.000539231033056531
2028 "2025" 1.183 7.19821533676549 1 -0.000539144848146655
2029 "2025" 1.183 7.19767627808848 1 -0.000539058677011539
2030 "2025" 1.183 7.19713730556883 1 -0.000538972519649406
2031 "2025" 1.183 7.19659841919277 1 -0.00053888637605759
2032 "2025" 1.183 7.19605961894654 1 -0.000538800246234317
2033 "2025" 1.183 7.19552090481636 1 -0.00053871413017692
2034 "2025" 1.183 7.19498227678848 1 -0.000538628027882737
2035 "2025" 1.183 7.19444373484913 1 -0.000538541939350878
2036 "2025" 1.183 7.19390527898455 1 -0.00053845586457868
2037 "2025" 1.183 7.19336690918098 1 -0.000538369803563477
2038 "2025" 1.183 7.19282862542468 1 -0.000538283756303493
2039 "2025" 1.183 7.19229042770188 1 -0.000538197722796063
2040 "2025" 1.183 7.19175231599884 1 -0.000538111703039412
2041 "2025" 1.183 7.19121429030181 1 -0.000538025697030875
2042 "2025" 1.183 7.19067635059704 1 -0.000537939704769563
2043 "2025" 1.183 7.19013849687079 1 -0.000537853726251036
2044 "2025" 1.183 7.18960072910932 1 -0.000537767761475294
2045 "2025" 1.183 7.18906304729888 1 -0.000537681810439672
2046 "2025" 1.183 7.18852545142574 1 -0.000537595873140617
2047 "2025" 1.183 7.18798794147616 1 -0.000537509949577242
2048 "2025" 1.183 7.18745051743641 1 -0.000537424039746881
2049 "2025" 1.183 7.18691317929277 1 -0.000537338143647759
2050 "2025" 1.183 7.18637592703149 1 -0.000537252261276322
2051 "2025" 1.183 7.18583876063886 1 -0.000537166392632571
2052 "2025" 1.183 7.18530168010114 1 -0.000537080537712953
2053 "2025" 1.183 7.18476468540463 1 -0.000536994696514803
2054 "2025" 1.183 7.18422777653559 1 -0.000536908869037234
2055 "2025" 1.183 7.18369095348031 1 -0.00053682305527758
2056 "2025" 1.183 7.18315421622508 1 -0.000536737255232289
2057 "2025" 1.183 7.18261756475618 1 -0.000536651468901361
2058 "2025" 1.183 7.1820809990599 1 -0.000536565696281244
2059 "2025" 1.183 7.18154451912253 1 -0.00053647993737016
2060 "2025" 1.183 7.18100812493036 1 -0.000536394192166334
2061 "2025" 1.183 7.1804718164697 1 -0.000536308460667101
2062 "2025" 1.183 7.17993559372683 1 -0.000536222742869796
2063 "2025" 1.183 7.17939945668805 1 -0.000536137038772644
2064 "2025" 1.183 7.17886340533968 1 -0.000536051348373867
2065 "2025" 1.183 7.17832743966801 1 -0.000535965671670802
2066 "2025" 1.183 7.17779155965935 1 -0.000535880008660783
2067 "2025" 1.183 7.1772557653 1 -0.000535794359342923
2068 "2025" 1.183 7.17672005657629 1 -0.000535708723714556
2069 "2025" 1.183 7.17618443347452 1 -0.000535623101772131
2070 "2025" 1.183 7.175648895981 1 -0.000535537493515648
2071 "2025" 1.183 7.17511344408206 1 -0.000535451898941552
2072 "2025" 1.183 7.17457807776401 1 -0.000535366318048069
2073 "2025" 1.183 7.17404279701318 1 -0.000535280750832534
2074 "2025" 1.183 7.17350760181589 1 -0.000535195197294058
2075 "2025" 1.183 7.17297249215846 1 -0.000535109657428201
2076 "2025" 1.183 7.17243746802722 1 -0.000535024131234962
2077 "2025" 1.183 7.17190252940851 1 -0.000534938618711678
2078 "2025" 1.183 7.17136767628866 1 -0.000534853119854795
2079 "2025" 1.183 7.17083290865399 1 -0.000534767634664313
2080 "2025" 1.183 7.17029822649086 1 -0.000534682163135791
2081 "2025" 1.183 7.16976362978559 1 -0.000534596705268342
2082 "2025" 1.183 7.16922911852453 1 -0.000534511261060189
2083 "2025" 1.183 7.16869469269402 1 -0.000534425830507779
2084 "2025" 1.183 7.16816035228041 1 -0.000534340413610224
2085 "2025" 1.183 7.16762609727004 1 -0.000534255010364859
2086 "2025" 1.183 7.16709192764928 1 -0.000534169620769021
2087 "2025" 1.183 7.16655784340445 1 -0.000534084244820932
2088 "2025" 1.183 7.16602384452194 1 -0.000533998882518816
2089 "2025" 1.183 7.16548993098808 1 -0.000533913533860009
2090 "2025" 1.183 7.16495610278923 1 -0.000533828198841846
2091 "2025" 1.183 7.16442235991177 1 -0.000533742877463439
2092 "2025" 1.183 7.16388870234205 1 -0.000533657569721235
