"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20766501204192 1 -0.000334987958079402
2008 "2025" 0.637 7.20732681096705 1 -0.00033820107487248
2009 "2025" 0.662 7.20698044624321 1 -0.00034636472384264
2010 "2025" 0.697 7.2066224787024 1 -0.000357967540803195
2011 "2025" 0.736 7.20625136280281 1 -0.000371115899593377
2012 "2025" 0.774 7.20586722001209 1 -0.000384142790720965
2013 "2025" 0.806 7.20547194985267 1 -0.00039527015942209
2014 "2025" 0.834 7.20506682626302 1 -0.000405123589648504
2015 "2025" 0.858 7.20465317336136 1 -0.000413652901653627
2016 "2025" 0.881 7.20423126979341 1 -0.000421903567950466
2017 "2025" 0.908 7.2037995710519 1 -0.000431698741515163
2018 "2025" 0.936 7.20335759885212 1 -0.000441972199773488
2019 "2025" 0.965 7.20290486244835 1 -0.000452736403774523
2020 "2025" 1.002 7.20243819386374 1 -0.00046666858461375
2021 "2025" 1.048 7.20195390463822 1 -0.000484289225512136
2022 "2025" 1.096 7.20145089111195 1 -0.000503013526278906
2023 "2025" 1.141 7.20093001854642 1 -0.000520872565521024
2024 "2025" 1.183 7.20039221289943 1 -0.000537805646993128
2025 "2025" 1.083 7.19989456576785 1 -0.000497647131582291
2026 "2025" 0.983 7.19943556120915 1 -0.000459004558701182
2027 "2025" 0.883 7.19901368410373 1 -0.000421877105416968
2028 "2025" 0.783 7.19862742012441 1 -0.000386263979323509
2029 "2025" 0.683 7.19827525570589 1 -0.000352164418513823
2030 "2025" 0.583 7.19795567801433 1 -0.000319577691560546
2031 "2025" 0.483 7.19766717491685 1 -0.000288503097486625
2032 "2025" 0.383 7.1974082349511 1 -0.000258939965751104
2033 "2025" 0.283 7.19717734729487 1 -0.000230887656220702
2034 "2025" 0.183 7.19697300173572 1 -0.000204345559154717
2035 "2025" 0.083 7.19679368864054 1 -0.000179313095183709
2036 "2025" 0 7.19663400927205 1 -0.000159679368481491
2037 "2025" 0 7.19647434587151 1 -0.000159663400545185
2038 "2025" 0 7.1963146984373 1 -0.000159647434204935
2039 "2025" 0 7.19615506696784 1 -0.00015963146946163
2040 "2025" 0 7.19599545146153 1 -0.000159615506314381
2041 "2025" 0 7.19583585191676 1 -0.000159599544764077
2042 "2025" 0 7.19567626833195 1 -0.00015958358480983
2043 "2025" 0 7.1955167007055 1 -0.00015956762645164
2044 "2025" 0 7.19535714903581 1 -0.000159551669688618
2045 "2025" 0 7.19519761332129 1 -0.000159535714521652
2046 "2025" 0 7.19503809356034 1 -0.000159519760950744
2047 "2025" 0 7.19487858975137 1 -0.000159503808974115
2048 "2025" 0 7.19471910189277 1 -0.000159487858593543
2049 "2025" 0 7.19455962998297 1 -0.000159471909807252
2050 "2025" 0 7.19440017402035 1 -0.000159455962617017
2051 "2025" 0 7.19424073400333 1 -0.000159440017020174
2052 "2025" 0 7.19408130993031 1 -0.000159424073018499
2053 "2025" 0 7.1939219017997 1 -0.000159408130611105
2054 "2025" 0 7.1937625096099 1 -0.000159392189798879
2055 "2025" 0 7.19360313335932 1 -0.000159376250579157
2056 "2025" 0 7.19344377304637 1 -0.000159360312954604
2057 "2025" 0 7.19328442866944 1 -0.000159344376923443
2058 "2025" 0 7.19312510022696 1 -0.000159328442485673
2059 "2025" 0 7.19296578771732 1 -0.000159312509641296
2060 "2025" 0 7.19280649113893 1 -0.000159296578390311
2061 "2025" 0 7.19264721049019 1 -0.000159280648732718
2062 "2025" 0 7.19248794576953 1 -0.000159264720667629
2063 "2025" 0 7.19232869697533 1 -0.000159248794195932
2064 "2025" 0 7.19216946410601 1 -0.000159232869316739
2065 "2025" 0 7.19201024715998 1 -0.000159216946029161
2066 "2025" 0 7.19185104613565 1 -0.000159201024334976
2067 "2025" 0 7.19169186103142 1 -0.000159185104232407
2068 "2025" 0 7.19153269184569 1 -0.000159169185722341
2069 "2025" 0 7.19137353857689 1 -0.000159153268803891
2070 "2025" 0 7.19121440122341 1 -0.000159137353477057
2071 "2025" 0 7.19105527978367 1 -0.000159121439741838
2072 "2025" 0 7.19089617425607 1 -0.000159105527597347
2073 "2025" 0 7.19073708463903 1 -0.000159089617044472
2074 "2025" 0 7.19057801093095 1 -0.000159073708083213
