"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20766470738067 1 -0.000335292619332073
2008 "2025" 0.637 7.20732619504466 1 -0.000338512336010233
2009 "2025" 0.662 7.20697950219358 1 -0.000346692851072916
2010 "2025" 0.697 7.20662118228774 1 -0.000358319905848781
2011 "2025" 0.736 7.20624968619093 1 -0.000371496096804869
2012 "2025" 0.774 7.20586513526253 1 -0.000384550928399285
2013 "2025" 0.806 7.20546943282466 1 -0.000395702437867129
2014 "2025" 0.834 7.20506385537793 1 -0.000405577446733751
2015 "2025" 0.858 7.20464972979341 1 -0.00041412558452425
2016 "2025" 0.881 7.20422733520627 1 -0.000422394587134001
2017 "2025" 0.908 7.20379512351994 1 -0.000432211686333339
2018 "2025" 0.936 7.20335261520273 1 -0.000442508317208379
2019 "2025" 0.965 7.20289931821472 1 -0.000453296988008667
2020 "2025" 1.002 7.20243205710078 1 -0.000467261113941575
2021 "2025" 1.048 7.20194713451515 1 -0.000484922585635594
2022 "2025" 1.096 7.20144344374573 1 -0.000503690769418697
2023 "2025" 1.141 7.20092185163449 1 -0.000521592111240032
2024 "2025" 1.183 7.20038328595045 1 -0.000538565684037984
2025 "2025" 1.183 7.1998448061973 1 -0.000538479753149801
2026 "2025" 1.183 7.19930641236133 1 -0.000538393835973316
2027 "2025" 1.183 7.19876810442882 1 -0.00053830793250409
2028 "2025" 1.183 7.19822988238608 1 -0.00053822204274212
2029 "2025" 1.183 7.19769174621939 1 -0.000538136166684744
2030 "2025" 1.183 7.19715369591507 1 -0.000538050304328408
2031 "2025" 1.183 7.19661573145939 1 -0.000537964455672224
2032 "2025" 1.183 7.19607785283868 1 -0.000537878620713528
2033 "2025" 1.183 7.19554006003923 1 -0.000537792799450543
2034 "2025" 1.183 7.19500235304735 1 -0.000537706991880604
2035 "2025" 1.183 7.19446473184935 1 -0.000537621198001048
2036 "2025" 1.183 7.19392719643154 1 -0.000537535417810986
2037 "2025" 1.183 7.19338974678023 1 -0.000537449651307753
2038 "2025" 1.183 7.19285238288174 1 -0.000537363898488685
2039 "2025" 1.183 7.19231510472239 1 -0.000537278159352006
2040 "2025" 1.183 7.19177791228849 1 -0.000537192433895051
2041 "2025" 1.183 7.19124080556638 1 -0.000537106722116931
2042 "2025" 1.183 7.19070378454236 1 -0.000537021024014095
2043 "2025" 1.183 7.19016684920278 1 -0.000536935339584765
2044 "2025" 1.183 7.18962999953395 1 -0.000536849668826278
2045 "2025" 1.183 7.18909323552221 1 -0.000536764011737745
2046 "2025" 1.183 7.1885565571539 1 -0.000536678368315613
2047 "2025" 1.183 7.18801996441534 1 -0.000536592738558994
2048 "2025" 1.183 7.18748345729287 1 -0.000536507122465224
2049 "2025" 1.183 7.18694703577284 1 -0.00053642152003075
2050 "2025" 1.183 7.18641069984159 1 -0.000536335931255572
2051 "2025" 1.183 7.18587444948545 1 -0.000536250356136136
2052 "2025" 1.183 7.18533828469078 1 -0.000536164794670668
2053 "2025" 1.183 7.18480220544392 1 -0.000536079246857391
2054 "2025" 1.183 7.18426621173123 1 -0.000535993712693639
2055 "2025" 1.183 7.18373030353905 1 -0.000535908192176748
2056 "2025" 1.183 7.18319448085375 1 -0.000535822685305831
2057 "2025" 1.183 7.18265874366167 1 -0.000535737192077335
2058 "2025" 1.183 7.18212309194918 1 -0.000535651712489482
2059 "2025" 1.183 7.18158752570264 1 -0.000535566246541386
2060 "2025" 1.183 7.18105204490841 1 -0.000535480794228604
2061 "2025" 1.183 7.18051664955286 1 -0.000535395355551138
2062 "2025" 1.183 7.17998133962235 1 -0.000535309930505434
2063 "2025" 1.183 7.17944611510326 1 -0.000535224519089716
2064 "2025" 1.183 7.17891097598196 1 -0.00053513912130132
2065 "2025" 1.183 7.17837592224482 1 -0.000535053737139357
2066 "2025" 1.183 7.17784095387822 1 -0.000534968366600275
2067 "2025" 1.183 7.17730607086854 1 -0.000534883009683185
2068 "2025" 1.183 7.17677127320215 1 -0.000534797666385423
2069 "2025" 1.183 7.17623656086545 1 -0.000534712336703436
2070 "2025" 1.183 7.17570193384481 1 -0.000534627020637224
2071 "2025" 1.183 7.17516739212663 1 -0.000534541718183235
2072 "2025" 1.183 7.17463293569729 1 -0.000534456429339691
2073 "2025" 1.183 7.17409856454319 1 -0.00053437115410393
2074 "2025" 1.183 7.17356427865071 1 -0.000534285892475062
2075 "2025" 1.183 7.17303007800626 1 -0.000534200644450422
2076 "2025" 1.183 7.17249596259624 1 -0.000534115410026459
2077 "2025" 1.183 7.17196193240703 1 -0.000534030189202284
2078 "2025" 1.183 7.17142798742506 1 -0.00053394498197612
2079 "2025" 1.183 7.17089412763671 1 -0.000533859788345303
2080 "2025" 1.183 7.1703603530284 1 -0.000533774608307169
2081 "2025" 1.183 7.16982666358654 1 -0.000533689441859941
2082 "2025" 1.183 7.16929305929754 1 -0.000533604289000955
2083 "2025" 1.183 7.16875954014781 1 -0.000533519149729322
2084 "2025" 1.183 7.16822610612377 1 -0.00053343402404149
2085 "2025" 1.183 7.16769275721184 1 -0.000533348911936571
2086 "2025" 1.183 7.16715949339843 1 -0.000533263813411011
2087 "2025" 1.183 7.16662631466996 1 -0.000533178728463923
2088 "2025" 1.183 7.16609322101287 1 -0.000533093657092643
2089 "2025" 1.183 7.16556021241357 1 -0.000533008599294504
2090 "2025" 1.183 7.16502728885851 1 -0.000532923555067732
