"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20766471745281 1 -0.000335282547186289
2008 "2025" 0.637 7.20732621540714 1 -0.000338502045669209
2009 "2025" 0.662 7.20697953340401 1 -0.000346682003130816
2010 "2025" 0.697 7.20662122514742 1 -0.00035830825659211
2011 "2025" 0.736 7.20624974162002 1 -0.000371483527403349
2012 "2025" 0.774 7.20586520418475 1 -0.000384537435272669
2013 "2025" 0.806 7.20546951603811 1 -0.000395688146634932
2014 "2025" 0.834 7.20506395359601 1 -0.000405562442101548
2015 "2025" 0.858 7.20464984363851 1 -0.000414109957503683
2016 "2025" 0.881 7.2042274652846 1 -0.000422378353906794
2017 "2025" 0.908 7.20379527055636 1 -0.000432194728235302
2018 "2025" 0.936 7.20335277996335 1 -0.000442490593013822
2019 "2025" 0.965 7.20289950150842 1 -0.000453278454931372
2020 "2025" 1.002 7.20243225998367 1 -0.000467241524745532
2021 "2025" 1.048 7.20194735833712 1 -0.000484901646554015
2022 "2025" 1.096 7.20144368995757 1 -0.000503668379543853
2023 "2025" 1.141 7.20092212163475 1 -0.000521568322823462
2024 "2025" 1.183 7.20038358107779 1 -0.000538540556960676
2025 "2025" 1.083 7.19988529139556 1 -0.000498289682234088
2026 "2025" 0.983 7.19942573106644 1 -0.000459560329112207
2027 "2025" 0.883 7.19900337939645 1 -0.000422351669994825
2028 "2025" 0.783 7.19861671648842 1 -0.000386662908032243
2029 "2025" 0.683 7.19826422321132 1 -0.000352493277098631
2030 "2025" 0.583 7.19794438116955 1 -0.000319842041771601
2031 "2025" 0.483 7.19765567267224 1 -0.000288708497304668
2032 "2025" 0.383 7.19739658070263 1 -0.000259091969610381
2033 "2025" 0.283 7.1971655888874 1 -0.000230991815232784
2034 "2025" 0.183 7.19696118146607 1 -0.000204407421333208
2035 "2025" 0.083 7.1967818432604 1 -0.000179338205667179
2036 "2025" 0 7.19662216507618 1 -0.000159678184214584
2037 "2025" 0 7.19646250285979 1 -0.000159662216396406
2038 "2025" 0 7.19630285660961 1 -0.000159646250175172
2039 "2025" 0 7.19614322632406 1 -0.000159630285549994
2040 "2025" 0 7.19598361200154 1 -0.000159614322520873
2041 "2025" 0 7.19582401364045 1 -0.000159598361088698
2042 "2025" 0 7.1956644312392 1 -0.000159582401252578
2043 "2025" 0 7.19550486479619 1 -0.000159566443012515
2044 "2025" 0 7.19534531430982 1 -0.000159550486368509
2045 "2025" 0 7.1951857797785 1 -0.000159534531319672
2046 "2025" 0 7.19502626120063 1 -0.000159518577866891
2047 "2025" 0 7.19486675857462 1 -0.000159502626009278
2048 "2025" 0 7.19470727189888 1 -0.000159486675746834
2049 "2025" 0 7.1945478011718 1 -0.00015947072707867
2050 "2025" 0 7.19438834639179 1 -0.000159454780006563
2051 "2025" 0 7.19422890755726 1 -0.000159438834527847
2052 "2025" 0 7.19406948466662 1 -0.000159422890644301
2053 "2025" 0 7.19391007771826 1 -0.000159406948355922
2054 "2025" 0 7.1937506867106 1 -0.000159391007660936
2055 "2025" 0 7.19359131164204 1 -0.00015937506856023
2056 "2025" 0 7.19343195251099 1 -0.000159359131052916
2057 "2025" 0 7.19327260931585 1 -0.000159343195139883
2058 "2025" 0 7.19311328205503 1 -0.000159327260820241
2059 "2025" 0 7.19295397072693 1 -0.00015931132809488
2060 "2025" 0 7.19279467532997 1 -0.000159295396962023
2061 "2025" 0 7.19263539586255 1 -0.000159279467421669
2062 "2025" 0 7.19247613232308 1 -0.000159263539475596
2063 "2025" 0 7.19231688470995 1 -0.000159247613121138
2064 "2025" 0 7.19215765302159 1 -0.000159231688360073
2065 "2025" 0 7.1919984372564 1 -0.000159215765191512
2066 "2025" 0 7.19183923741279 1 -0.000159199843614566
2067 "2025" 0 7.19168005348916 1 -0.000159183923630124
2068 "2025" 0 7.19152088548392 1 -0.000159168005238186
2069 "2025" 0 7.19136173339548 1 -0.000159152088437864
2070 "2025" 0 7.19120259722225 1 -0.000159136173229157
2071 "2025" 0 7.19104347696264 1 -0.000159120259611178
2072 "2025" 0 7.19088437261506 1 -0.000159104347585703
2073 "2025" 0 7.1907252841779 1 -0.000159088437150956
2074 "2025" 0 7.1905662116496 1 -0.000159072528306936
2075 "2025" 0 7.19040715502854 1 -0.000159056621054532
2076 "2025" 0 7.19024811431315 1 -0.000159040715391967
2077 "2025" 0 7.19008908950183 1 -0.000159024811321018
2078 "2025" 0 7.18993008059299 1 -0.000159008908839908
2079 "2025" 0 7.18977108758504 1 -0.000158993007948638
2080 "2025" 0 7.18961211047639 1 -0.000158977108648095
2081 "2025" 0 7.18945314926546 1 -0.000158961210937392
2082 "2025" 0 7.18929420395064 1 -0.000158945314815639
2083 "2025" 0 7.18913527453036 1 -0.000158929420284615
2084 "2025" 0 7.18897636100301 1 -0.000158913527342541
2085 "2025" 0 7.18881746336702 1 -0.000158897635989419
2086 "2025" 0 7.1886585816208 1 -0.000158881746226136
2087 "2025" 0 7.18849971576275 1 -0.000158865858051804
2088 "2025" 0 7.18834086579128 1 -0.000158849971465536
2089 "2025" 0 7.18818203170481 1 -0.000158834086468218
2090 "2025" 0 7.18802321350175 1 -0.000158818203059852
2091 "2025" 0 7.18786441118051 1 -0.000158802321239548
2092 "2025" 0 7.18770562473951 1 -0.000158786441007308
2093 "2025" 0 7.18754685417714 1 -0.000158770562363131
2094 "2025" 0 7.18738809949184 1 -0.000158754685307017
2095 "2025" 0 7.187229360682 1 -0.000158738809838965
2096 "2025" 0 7.18707063774604 1 -0.000158722935958089
2097 "2025" 0 7.18691193068237 1 -0.000158707063664387
2098 "2025" 0 7.18675323948942 1 -0.00015869119295786
2099 "2025" 0 7.18659456416558 1 -0.000158675323838509
2100 "2025" 0 7.18643590470927 1 -0.000158659456306331
2101 "2025" 0 7.18627726111891 1 -0.000158643590360441
2102 "2025" 0 7.18611863339291 1 -0.000158627726001725
2103 "2025" 0 7.18596002152968 1 -0.000158611863229297
2104 "2025" 0 7.18580142552764 1 -0.000158596002042266
2105 "2025" 0 7.1856428453852 1 -0.00015858014244241
2106 "2025" 0 7.18548428110077 1 -0.000158564284427953
2107 "2025" 0 7.18532573267277 1 -0.000158548427999783
2108 "2025" 0 7.18516720009961 1 -0.000158532573157011
2109 "2025" 0 7.18500868337971 1 -0.000158516719899637
2110 "2025" 0 7.18485018251148 1 -0.000158500868227662
2111 "2025" 0 7.18469169749334 1 -0.000158485018141086
2112 "2025" 0 7.1845332283237 1 -0.000158469169639019
2113 "2025" 0 7.18437477500098 1 -0.000158453322722352
2114 "2025" 0 7.18421633752359 1 -0.000158437477390194
2115 "2025" 0 7.18405791588995 1 -0.000158421633641659
2116 "2025" 0 7.18389951009847 1 -0.000158405791478522
2117 "2025" 0 7.18374112014757 1 -0.000158389950899895
2118 "2025" 0 7.18358274603567 1 -0.000158374111904891
2119 "2025" 0 7.18342438776117 1 -0.000158358274493509
2120 "2025" 0 7.18326604532251 1 -0.000158342438665748
2121 "2025" 0 7.18310771871808 1 -0.00015832660442161
2122 "2025" 0 7.18294940794632 1 -0.000158310771761982
2123 "2025" 0 7.18279111300564 1 -0.0001582949406842
2124 "2025" 0 7.18263283389445 1 -0.000158279111190041
2125 "2025" 0 7.18247457061117 1 -0.000158263283279503
2126 "2025" 0 7.18231632315422 1 -0.000158247456950811
2127 "2025" 0 7.18215809152201 1 -0.000158231632204853
2128 "2025" 0 7.18199987571297 1 -0.000158215809041629
2129 "2025" 0 7.18184167572551 1 -0.000158199987461138
2130 "2025" 0 7.18168349155805 1 -0.000158184167462494
2131 "2025" 0 7.181525323209 1 -0.000158168349045695
2132 "2025" 0 7.18136717067679 1 -0.000158152532210742
2133 "2025" 0 7.18120903395983 1 -0.000158136716957635
2134 "2025" 0 7.18105091305655 1 -0.000158120903285486
2135 "2025" 0 7.18089280796535 1 -0.000158105091195182
2136 "2025" 0 7.18073471868467 1 -0.000158089280686724
2137 "2025" 0 7.18057664521291 1 -0.000158073471758335
2138 "2025" 0 7.1804185875485 1 -0.000158057664410904
2139 "2025" 0 7.18026054568985 1 -0.000158041858644431
2140 "2025" 0 7.18010251963539 1 -0.000158026054458915
2141 "2025" 0 7.17994450938354 1 -0.000158010251853469
2142 "2025" 0 7.17978651493271 1 -0.000157994450828092
2143 "2025" 0 7.17962853628133 1 -0.000157978651383672
2144 "2025" 0 7.17947057342781 1 -0.000157962853518434
2145 "2025" 0 7.17931262637058 1 -0.000157947057233265
2146 "2025" 0 7.17915469510805 1 -0.000157931262527278
2147 "2025" 0 7.17899677963865 1 -0.000157915469400471
2148 "2025" 0 7.1788388799608 1 -0.000157899677853734
2149 "2025" 0 7.17868099607291 1 -0.000157883887886179
2150 "2025" 0 7.17852312797341 1 -0.000157868099497804
2151 "2025" 0 7.17836527566072 1 -0.000157852312687723
2152 "2025" 0 7.17820743913327 1 -0.000157836527455935
2153 "2025" 0 7.17804961838946 1 -0.000157820743803327
2154 "2025" 0 7.17789181342774 1 -0.000157804961729013
2155 "2025" 0 7.1777340242465 1 -0.000157789181232992
2156 "2025" 0 7.17757625084419 1 -0.000157773402315264
2157 "2025" 0 7.17741849321921 1 -0.000157757624974941
2158 "2025" 0 7.17726075137 1 -0.000157741849212023
2159 "2025" 0 7.17710302529497 1 -0.000157726075027398
2160 "2025" 0 7.17694531499255 1 -0.000157710302419289
2161 "2025" 0 7.17678762046116 1 -0.000157694531389474
2162 "2025" 0 7.17662994169923 1 -0.000157678761936175
2163 "2025" 0 7.17647227870517 1 -0.000157662994060281
2164 "2025" 0 7.17631463147741 1 -0.000157647227760904
2165 "2025" 0 7.17615700001437 1 -0.000157631463038044
2166 "2025" 0 7.17599938431448 1 -0.0001576156998917
2167 "2025" 0 7.17584178437616 1 -0.000157599938321873
2168 "2025" 0 7.17568420019783 1 -0.000157584178327674
2169 "2025" 0 7.17552663177792 1 -0.000157568419909992
2170 "2025" 0 7.17536907911485 1 -0.000157552663067939
2171 "2025" 0 7.17521154220705 1 -0.000157536907801514
2172 "2025" 0 7.17505402105294 1 -0.000157521154110718
2173 "2025" 0 7.17489651565094 1 -0.00015750540199555
2174 "2025" 0 7.17473902599949 1 -0.000157489651455123
2175 "2025" 0 7.174581552097 1 -0.000157473902490324
2176 "2025" 0 7.1744240939419 1 -0.000157458155100265
2177 "2025" 0 7.17426665153261 1 -0.000157442409284947
2178 "2025" 0 7.17410922486757 1 -0.000157426665043481
2179 "2025" 0 7.17395181394519 1 -0.000157410922376755
2180 "2025" 0 7.17379441876391 1 -0.00015739518128477
2181 "2025" 0 7.17363703932214 1 -0.000157379441766636
2182 "2025" 0 7.17347967561832 1 -0.000157363703822355
2183 "2025" 0 7.17332232765087 1 -0.000157347967451926
2184 "2025" 0 7.17316499541821 1 -0.000157332232655349
2185 "2025" 0 7.17300767891878 1 -0.000157316499432625
2186 "2025" 0 7.172850378151 1 -0.000157300767781976
2187 "2025" 0 7.17269309311329 1 -0.000157285037706067
2188 "2025" 0 7.17253582380409 1 -0.000157269309202235
2189 "2025" 0 7.17237857022182 1 -0.000157253582271366
2190 "2025" 0 7.1722213323649 1 -0.000157237856912573
2191 "2025" 0 7.17206411023178 1 -0.000157222133126744
2192 "2025" 0 7.17190690382086 1 -0.000157206410913879
2193 "2025" 0 7.17174971313059 1 -0.00015719069027309
2194 "2025" 0 7.17159253815939 1 -0.000157174971203489
2195 "2025" 0 7.17143537890568 1 -0.000157159253706851
2196 "2025" 0 7.1712782353679 1 -0.000157143537781401
2197 "2025" 0 7.17112110754447 1 -0.000157127823427139
2198 "2025" 0 7.17096399543383 1 -0.000157112110644952
2199 "2025" 0 7.17080689903439 1 -0.000157096399433954
2200 "2025" 0 7.1706498183446 1 -0.000157080689794142
2201 "2025" 0 7.17049275336287 1 -0.000157064981725519
2202 "2025" 0 7.17033570408764 1 -0.000157049275227195
2203 "2025" 0 7.17017867051735 1 -0.00015703357029917
2204 "2025" 0 7.1700216526504 1 -0.000157017866942333
2205 "2025" 0 7.16986465048525 1 -0.000157002165155795
2206 "2025" 0 7.16970766402031 1 -0.000156986464939557
2207 "2025" 0 7.16955069325402 1 -0.00015697076629273
2208 "2025" 0 7.1693937381848 1 -0.000156955069216203
2209 "2025" 0 7.16923679881109 1 -0.000156939373709086
2210 "2025" 0 7.16907987513132 1 -0.00015692367977227
2211 "2025" 0 7.16892296714391 1 -0.000156907987403976
2212 "2025" 0 7.16876607484731 1 -0.000156892296605093
2213 "2025" 0 7.16860919823993 1 -0.000156876607375622
2214 "2025" 0 7.16845233732022 1 -0.000156860919714674
2215 "2025" 0 7.1682954920866 1 -0.000156845233623137
2216 "2025" 0 7.1681386625375 1 -0.000156829549099236
2217 "2025" 0 7.16798184867135 1 -0.000156813866144745
2218 "2025" 0 7.16782505048659 1 -0.000156798184757889
2219 "2025" 0 7.16766826798165 1 -0.000156782504939557
2220 "2025" 0 7.16751150115496 1 -0.000156766826688859
