"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20766471753884 1 -0.000335282461164432
2008 "2025" 0.637 7.20732621558105 1 -0.000338501957788395
2009 "2025" 0.662 7.20697953367055 1 -0.000346681910500024
2010 "2025" 0.697 7.20662122551341 1 -0.000358308157135667
2011 "2025" 0.736 7.2062497420933 1 -0.00037148342010962
2012 "2025" 0.774 7.20586520477319 1 -0.000384537320110567
2013 "2025" 0.806 7.20546951674852 1 -0.000395688024674712
2014 "2025" 0.834 7.20506395443445 1 -0.0004055623140653
2015 "2025" 0.858 7.20464984461029 1 -0.000414109824165898
2016 "2025" 0.881 7.20422746639488 1 -0.000422378215406916
2017 "2025" 0.908 7.20379527181132 1 -0.000432194583560808
2018 "2025" 0.936 7.2033527813695 1 -0.000442490441814769
2019 "2025" 0.965 7.20289950307266 1 -0.000453278296843607
2020 "2025" 1.002 7.202432261715 1 -0.000467241357663184
2021 "2025" 1.048 7.20194736024702 1 -0.000484901467975085
2022 "2025" 1.096 7.20144369205841 1 -0.000503668188610362
2023 "2025" 1.141 7.20092212393843 1 -0.000521568119979499
2024 "2025" 1.183 7.20038358359571 1 -0.000538540342716942
2025 "2025" 1.183 7.19984512917579 1 -0.000538454419922729
2026 "2025" 1.183 7.19930676066495 1 -0.00053836851083755
2027 "2025" 1.183 7.1987684780495 1 -0.000538282615458741
2028 "2025" 1.183 7.19823028131571 1 -0.000538196733783636
2029 "2025" 1.183 7.1976921704499 1 -0.000538110865811348
2030 "2025" 1.183 7.19715414543836 1 -0.000538025011539212
2031 "2025" 1.183 7.1966162062674 1 -0.000537939170964563
2032 "2025" 1.183 7.19607835292331 1 -0.000537853344086514
2033 "2025" 1.183 7.19554058539241 1 -0.000537767530900624
2034 "2025" 1.183 7.195002903661 1 -0.000537681731406892
2035 "2025" 1.183 7.1944653077154 1 -0.000537595945601765
2036 "2025" 1.183 7.19392779754192 1 -0.000537510173483469
2037 "2025" 1.183 7.19339037312687 1 -0.000537424415050225
2038 "2025" 1.183 7.19285303445657 1 -0.000537338670300258
2039 "2025" 1.183 7.19231578151734 1 -0.000537252939229127
2040 "2025" 1.183 7.1917786142955 1 -0.00053716722183772
2041 "2025" 1.183 7.19124153277738 1 -0.000537081518120708
2042 "2025" 1.183 7.1907045369493 1 -0.000536995828078979
2043 "2025" 1.183 7.19016762679759 1 -0.000536910151708092
2044 "2025" 1.183 7.18963080230859 1 -0.000536824489006271
2045 "2025" 1.183 7.18909406346861 1 -0.000536738839972628
2046 "2025" 1.183 7.18855741026401 1 -0.00053665320460361
2047 "2025" 1.183 7.18802084268111 1 -0.00053656758289744
2048 "2025" 1.183 7.18748436070626 1 -0.000536481974852343
2049 "2025" 1.183 7.18694796432579 1 -0.000536396380465654
2050 "2025" 1.183 7.18641165352606 1 -0.000536310799735595
2051 "2025" 1.183 7.1858754282934 1 -0.000536225232659504
2052 "2025" 1.183 7.18533928861416 1 -0.000536139679235603
2053 "2025" 1.183 7.1848032344747 1 -0.000536054139461228
2054 "2025" 1.183 7.18426726586137 1 -0.000535968613334603
2055 "2025" 1.183 7.18373138276051 1 -0.000535883100853063
2056 "2025" 1.183 7.1831955851585 1 -0.00053579760201572
2057 "2025" 1.183 7.18265987304168 1 -0.00053571211681902
2058 "2025" 1.183 7.18212424639642 1 -0.000535626645261189
2059 "2025" 1.183 7.18158870520908 1 -0.000535541187339561
2060 "2025" 1.183 7.18105324946603 1 -0.000535455743053248
2061 "2025" 1.183 7.18051787915363 1 -0.000535370312399586
2062 "2025" 1.183 7.17998259425825 1 -0.000535284895375909
2063 "2025" 1.183 7.17944739476627 1 -0.000535199491980443
2064 "2025" 1.183 7.17891228066406 1 -0.000535114102210521
2065 "2025" 1.183 7.178377251938 1 -0.000535028726064368
2066 "2025" 1.183 7.17784230857445 1 -0.000534943363540208
2067 "2025" 1.183 7.17730745055982 1 -0.000534858014635375
2068 "2025" 1.183 7.17677267788047 1 -0.000534772679347206
2069 "2025" 1.183 7.1762379905228 1 -0.000534687357674812
2070 "2025" 1.183 7.17570338847318 1 -0.000534602049614641
2071 "2025" 1.183 7.17516887171802 1 -0.000534516755164915
2072 "2025" 1.183 7.17463444024369 1 -0.000534431474324748
2073 "2025" 1.183 7.1741000940366 1 -0.000534346207090586
2074 "2025" 1.183 7.17356583308314 1 -0.000534260953459764
2075 "2025" 1.183 7.17303165736971 1 -0.000534175713432283
2076 "2025" 1.183 7.17249756688271 1 -0.000534090487003702
2077 "2025" 1.183 7.17196356160853 1 -0.000534005274173133
2078 "2025" 1.183 7.1714296415336 1 -0.00053392007493791
2079 "2025" 1.183 7.1708958066443 1 -0.000533834889296259
2080 "2025" 1.183 7.17036205692705 1 -0.000533749717245513
2081 "2025" 1.183 7.16982839236827 1 -0.000533664558783009
2082 "2025" 1.183 7.16929481295436 1 -0.000533579413908747
2083 "2025" 1.183 7.16876131867174 1 -0.000533494282618285
2084 "2025" 1.183 7.16822790950683 1 -0.000533409164910736
2085 "2025" 1.183 7.16769458544605 1 -0.000533324060783436
2086 "2025" 1.183 7.16716134647582 1 -0.000533238970233718
2087 "2025" 1.183 7.16662819258256 1 -0.000533153893260696
2088 "2025" 1.183 7.16609512375269 1 -0.000533068829861705
2089 "2025" 1.183 7.16556213997266 1 -0.000532983780033192
2090 "2025" 1.183 7.16502924122889 1 -0.000532898743775156
2091 "2025" 1.183 7.1644964275078 1 -0.000532813721084047
2092 "2025" 1.183 7.16396369879584 1 -0.000532728711958086
2093 "2025" 1.183 7.16343105507945 1 -0.000532643716395498
2094 "2025" 1.183 7.16289849634505 1 -0.000532558734393618
2095 "2025" 1.183 7.1623660225791 1 -0.00053247376595067
2096 "2025" 1.183 7.16183363376804 1 -0.000532388811063988
2097 "2025" 1.183 7.16130132989831 1 -0.00053230386973091
2098 "2025" 1.183 7.16076911095636 1 -0.000532218941950546
2099 "2025" 1.183 7.16023697692864 1 -0.000532134027720232
2100 "2025" 1.183 7.1597049278016 1 -0.000532049127038192
2101 "2025" 1.183 7.1591729635617 1 -0.000531964239901761
2102 "2025" 1.183 7.15864108419539 1 -0.000531879366308274
2103 "2025" 1.183 7.15810928968913 1 -0.000531794506256844
2104 "2025" 1.183 7.15757758002939 1 -0.000531709659743917
2105 "2025" 1.183 7.15704595520262 1 -0.000531624826768606
2106 "2025" 1.183 7.15651441519529 1 -0.000531540007328246
2107 "2025" 1.183 7.15598295999387 1 -0.000531455201420172
2108 "2025" 1.183 7.15545158958483 1 -0.000531370409042609
2109 "2025" 1.183 7.15492030395464 1 -0.000531285630193779
2110 "2025" 1.183 7.15438910308976 1 -0.000531200864871018
2111 "2025" 1.183 7.15385798697669 1 -0.000531116113072549
2112 "2025" 1.183 7.1533269556019 1 -0.00053103137479571
2113 "2025" 1.183 7.15279600895186 1 -0.00053094665003961
2114 "2025" 1.183 7.15226514701306 1 -0.000530861938799809
2115 "2025" 1.183 7.15173436977198 1 -0.000530777241076308
2116 "2025" 1.183 7.15120367721511 1 -0.000530692556866441
2117 "2025" 1.183 7.15067306932895 1 -0.000530607886166656
2118 "2025" 1.183 7.15014254609997 1 -0.000530523228976953
