"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20766471753884 1 -0.000335282461164432
2008 "2025" 0.637 7.20732621558105 1 -0.000338501957788395
2009 "2025" 0.662 7.20697953367055 1 -0.000346681910500024
2010 "2025" 0.697 7.20662122551341 1 -0.000358308157135667
2011 "2025" 0.736 7.2062497420933 1 -0.00037148342010962
2012 "2025" 0.774 7.20586520477319 1 -0.000384537320110567
2013 "2025" 0.806 7.20546951674852 1 -0.000395688024674712
2014 "2025" 0.834 7.20506395443445 1 -0.0004055623140653
2015 "2025" 0.858 7.20464984461029 1 -0.000414109824165898
2016 "2025" 0.881 7.20422746639488 1 -0.000422378215406916
2017 "2025" 0.908 7.20379527181132 1 -0.000432194583560808
2018 "2025" 0.936 7.2033527813695 1 -0.000442490441814769
2019 "2025" 0.965 7.20289950307266 1 -0.000453278296843607
2020 "2025" 1.002 7.202432261715 1 -0.000467241357663184
2021 "2025" 1.048 7.20194736024702 1 -0.000484901467975085
2022 "2025" 1.096 7.20144369205841 1 -0.000503668188610362
2023 "2025" 1.141 7.20092212393843 1 -0.000521568119979499
2024 "2025" 1.183 7.20038358359571 1 -0.000538540342716942
2025 "2025" 1.083 7.19988529410083 1 -0.00049828949488262
2026 "2025" 0.983 7.1994257339338 1 -0.000459560167030304
2027 "2025" 0.883 7.19900338240224 1 -0.000422351531560672
2028 "2025" 0.783 7.19861671961062 1 -0.000386662791624026
2029 "2025" 0.683 7.19826422642952 1 -0.000352493181097202
2030 "2025" 0.583 7.19794438446496 1 -0.000319841964558698
2031 "2025" 0.483 7.1976556760277 1 -0.000288708437262919
2032 "2025" 0.383 7.19739658410257 1 -0.0002590919251233
2033 "2025" 0.283 7.19716559231789 1 -0.000230991784685664
2034 "2025" 0.183 7.19696118491478 1 -0.00020440740311134
2035 "2025" 0.083 7.19678184671662 1 -0.000179338198156742
2036 "2025" 0 7.19662216853225 1 -0.000159678184370904
2037 "2025" 0 7.1964625063157 1 -0.000159662216552725
2038 "2025" 0 7.19630286006537 1 -0.000159646250330603
2039 "2025" 0 7.19614322977966 1 -0.000159630285705425
2040 "2025" 0 7.19598361545698 1 -0.000159614322677193
2041 "2025" 0 7.19582401709574 1 -0.000159598361245017
2042 "2025" 0 7.19566443469433 1 -0.000159582401408898
2043 "2025" 0 7.19550486825116 1 -0.000159566443168835
2044 "2025" 0 7.19534531776464 1 -0.000159550486524829
2045 "2025" 0 7.19518578323316 1 -0.000159534531475991
2046 "2025" 0 7.19502626465514 1 -0.00015951857802321
2047 "2025" 0 7.19486676202897 1 -0.000159502626164709
2048 "2025" 0 7.19470727535307 1 -0.000159486675902265
2049 "2025" 0 7.19454780462584 1 -0.000159470727234989
2050 "2025" 0 7.19438834984567 1 -0.000159454780161994
2051 "2025" 0 7.19422891101099 1 -0.000159438834684167
2052 "2025" 0 7.19406948812019 1 -0.00015942289080062
2053 "2025" 0 7.19391008117168 1 -0.000159406948511354
2054 "2025" 0 7.19375069016386 1 -0.000159391007817256
2055 "2025" 0 7.19359131509514 1 -0.00015937506871655
2056 "2025" 0 7.19343195596393 1 -0.000159359131209236
2057 "2025" 0 7.19327261276864 1 -0.000159343195296202
2058 "2025" 0 7.19311328550766 1 -0.000159327260976561
2059 "2025" 0 7.19295397417941 1 -0.000159311328250311
2060 "2025" 0 7.19279467878229 1 -0.000159295397117454
2061 "2025" 0 7.19263539931472 1 -0.000159279467577988
2062 "2025" 0 7.19247613577508 1 -0.000159263539631027
2063 "2025" 0 7.19231688816181 1 -0.000159247613277458
2064 "2025" 0 7.19215765647329 1 -0.000159231688516392
2065 "2025" 0 7.19199844070794 1 -0.000159215765346943
2066 "2025" 0 7.19183924086417 1 -0.000159199843770885
2067 "2025" 0 7.19168005694039 1 -0.000159183923786443
2068 "2025" 0 7.19152088893499 1 -0.000159168005394505
2069 "2025" 0 7.1913617368464 1 -0.000159152088593295
2070 "2025" 0 7.19120260067301 1 -0.000159136173384589
2071 "2025" 0 7.19104348041325 1 -0.000159120259767498
2072 "2025" 0 7.1908843760655 1 -0.000159104347742023
2073 "2025" 0 7.1907252876282 1 -0.000159088437307275
2074 "2025" 0 7.19056621509973 1 -0.000159072528463255
2075 "2025" 0 7.19040715847852 1 -0.000159056621209963
2076 "2025" 0 7.19024811776298 1 -0.000159040715548286
2077 "2025" 0 7.1900890929515 1 -0.000159024811476449
2078 "2025" 0 7.1899300840425 1 -0.000159008908995339
2079 "2025" 0 7.1897710910344 1 -0.000158993008104957
2080 "2025" 0 7.1896121139256 1 -0.000158977108803526
2081 "2025" 0 7.1894531527145 1 -0.000158961211092823
2082 "2025" 0 7.18929420739953 1 -0.000158945314971959
2083 "2025" 0 7.18913527797909 1 -0.000158929420440934
2084 "2025" 0 7.18897636445159 1 -0.000158913527498861
2085 "2025" 0 7.18881746681545 1 -0.000158897636145738
2086 "2025" 0 7.18865858506906 1 -0.000158881746382455
2087 "2025" 0 7.18849971921086 1 -0.000158865858207236
2088 "2025" 0 7.18834086923923 1 -0.000158849971621855
2089 "2025" 0 7.18818203515261 1 -0.000158834086624537
2090 "2025" 0 7.18802321694939 1 -0.000158818203216171
2091 "2025" 0 7.187864414628 1 -0.000158802321395868
2092 "2025" 0 7.18770562818683 1 -0.000158786441163628
2093 "2025" 0 7.18754685762431 1 -0.00015877056251945
2094 "2025" 0 7.18738810293885 1 -0.000158754685463336
2095 "2025" 0 7.18722936412886 1 -0.000158738809995285
2096 "2025" 0 7.18707064119274 1 -0.00015872293611352
2097 "2025" 0 7.18691193412892 1 -0.000158707063820707
2098 "2025" 0 7.18675324293581 1 -0.00015869119311418
2099 "2025" 0 7.18659456761181 1 -0.000158675323994828
2100 "2025" 0 7.18643590815535 1 -0.000158659456462651
2101 "2025" 0 7.18627726456483 1 -0.00015864359051676
2102 "2025" 0 7.18611863683867 1 -0.000158627726158045
2103 "2025" 0 7.18596002497529 1 -0.000158611863384728
2104 "2025" 0 7.18580142897309 1 -0.000158596002198585
2105 "2025" 0 7.18564284883049 1 -0.00015858014259873
2106 "2025" 0 7.18548428454591 1 -0.000158564284584273
2107 "2025" 0 7.18532573611775 1 -0.000158548428156102
2108 "2025" 0 7.18516720354444 1 -0.00015853257331333
2109 "2025" 0 7.18500868682438 1 -0.000158516720055957
2110 "2025" 0 7.184850185956 1 -0.000158500868383982
2111 "2025" 0 7.1846917009377 1 -0.000158485018297405
2112 "2025" 0 7.18453323176791 1 -0.000158469169795339
2113 "2025" 0 7.18437477844503 1 -0.000158453322878671
2114 "2025" 0 7.18421634096748 1 -0.000158437477545625
2115 "2025" 0 7.18405791933368 1 -0.000158421633797978
2116 "2025" 0 7.18389951354205 1 -0.000158405791634841
2117 "2025" 0 7.18374112359099 1 -0.000158389951056215
2118 "2025" 0 7.18358274947893 1 -0.000158374112060322
2119 "2025" 0 7.18342439120428 1 -0.000158358274649828
2120 "2025" 0 7.18326604876546 1 -0.000158342438822068
2121 "2025" 0 7.18310772216088 1 -0.00015832660457793
2122 "2025" 0 7.18294941138896 1 -0.000158310771918302
2123 "2025" 0 7.18279111644812 1 -0.00015829494084052
