"t" "Tt" "Vt" "dt" "Vdt"
2006 0.632 7.208 1 NA
2007 0.627 7.20766471753884 1 -0.000335282461164432
2008 0.637 7.20732621558105 1 -0.000338501957788395
2009 0.662 7.20697953367055 1 -0.000346681910500024
2010 0.697 7.20662122551341 1 -0.000358308157135667
2011 0.736 7.2062497420933 1 -0.00037148342010962
2012 0.774 7.20586520477319 1 -0.000384537320110567
2013 0.806 7.20546951674852 1 -0.000395688024674712
2014 0.834 7.20506395443445 1 -0.0004055623140653
2015 0.858 7.20464984461029 1 -0.000414109824165898
2016 0.881 7.20422746639488 1 -0.000422378215406916
2017 0.908 7.20379527181132 1 -0.000432194583560808
2018 0.936 7.2033527813695 1 -0.000442490441814769
2019 0.965 7.20289950307266 1 -0.000453278296843607
2020 1.002 7.202432261715 1 -0.000467241357663184
2021 1.048 7.20194736024702 1 -0.000484901467975085
2022 1.096 7.20144369205841 1 -0.000503668188610362
2023 1.141 7.20092212393843 1 -0.000521568119979499
2024 1.183 7.20038358359571 1 -0.000538540342716942
2025 1.22 7.19982988542333 1 -0.000553698172387485
2026 1.254 7.19926208753157 1 -0.000567797891751987
2027 1.288 7.19868001957434 1 -0.000582067957233257
2028 1.325 7.1980822203146 1 -0.000597799259737464
2029 1.364 7.19746761531137 1 -0.000614605003239177
2030 1.405 7.19683509524434 1 -0.000632520067025411
2031 1.454 7.19618081717931 1 -0.000654278065032265
2032 1.514 7.19549938593381 1 -0.000681431245498132
2033 1.572 7.19479120239112 1 -0.000708183542690755
2034 1.629 7.19405624375213 1 -0.00073495863898998
2035 1.683 7.19329548224019 1 -0.000760761511942931
2036 1.732 7.19251094696663 1 -0.000784535273552045
2037 1.777 7.1917042788393 1 -0.000806668127330212
2038 1.824 7.19087416904793 1 -0.000830109791377431
2039 1.87 7.19002080492326 1 -0.000853364124662193
2040 1.918 7.18914283630831 1 -0.000877968614952707
2041 1.964 7.18824097774372 1 -0.000901858564594349
2042 2.019 7.18731011120242 1 -0.000930866541295927
2043 2.08 7.18634652955006 1 -0.000963581652359657
2044 2.139 7.18535078941471 1 -0.000995740135351753
2045 2.196 7.1843235007646 1 -0.00102728865011414
2046 2.242 7.18327044595469 1 -0.00105305480990037
2047 2.279 7.18219648645774 1 -0.00107395949695466
2048 2.308 7.18110605417284 1 -0.00109043228489547
2049 2.339 7.17999786353514 1 -0.00110819063770151
2050 2.377 7.17886766108197 1 -0.00113020245316964
2051 2.422 7.17771107506339 1 -0.00115658601858826
2052 2.469 7.17652660651476 1 -0.00118446854862686
2053 2.526 7.17530783317379 1 -0.00121877334097054
2054 2.588 7.17405118047051 1 -0.00125665270327424
2055 2.654 7.17275356555666 1 -0.00129761491385327
2056 2.721 7.1714137087109 1 -0.00133985684576299
2057 2.784 7.1700335501924 1 -0.00138015851849893
2058 2.846 7.16861316782729 1 -0.00142038236510622
2059 2.92 7.16714397171773 1 -0.0014691961095572
2060 2.997 7.16562311407595 1 -0.00152085764178445
2061 3.082 7.16404417523981 1 -0.00157893883613625
2062 3.171 7.1624032631658 1 -0.00164091207401373
2063 3.259 7.16069993308842 1 -0.00170333007738499
2064 3.357 7.1589256995066 1 -0.00177423358181361
2065 3.448 7.15708439608802 1 -0.0018413034185798
2066 3.536 7.15517709494948 1 -0.00190730113854531
2067 3.62 7.15320576256728 1 -0.00197133238219749
2068 3.692 7.15117880722367 1 -0.00202695534360764
2069 3.756 7.14910184344965 1 -0.00207696377402034
2070 3.815 7.14697830263889 1 -0.00212354081075805
2071 3.869 7.14481174769325 1 -0.00216655494563955
2072 3.92 7.14260422242723 1 -0.0022075252660283
2073 3.968 7.14035783870522 1 -0.00224638372200747
2074 4.016 7.13807227101282 1 -0.00228556769239763
2075 4.073 7.13573961804145 1 -0.00233265297137297
2076 4.136 7.13335430825887 1 -0.00238530978257678
2077 4.201 7.13091405066882 1 -0.00244025759004796
2078 4.266 7.12841824016444 1 -0.00249581050438241
2079 4.328 7.12586891454384 1 -0.00254932562059551
2080 4.387 7.12326819460339 1 -0.0026007199404523
2081 4.446 7.12061558646694 1 -0.00265260813644819
2082 4.506 7.11790968996855 1 -0.00270589649839348
2083 4.57 7.11514633023419 1 -0.00276335973436126
2084 4.635 7.11232399920474 1 -0.0028223310294484
2085 4.703 7.10943928853382 1 -0.002884710670922
2086 4.779 7.1064839641534 1 -0.00295532438042212
2087 4.865 7.10344760292798 1 -0.00303636122541473
2088 4.95 7.10033011513052 1 -0.00311748779745979
2089 5.033 7.09713243577471 1 -0.00319767935580906
2090 5.111 7.0938585669844 1 -0.00327386879031444
2091 5.18 7.09051671552569 1 -0.00334185145870691
2092 5.244 7.08711129640588 1 -0.00340541911981695
2093 5.31 7.08363968285276 1 -0.00347161355311876
2094 5.375 7.08010230065866 1 -0.00353738219410005
2095 5.441 7.07649751305495 1 -0.0036047876037113
2096 5.505 7.07282682272311 1 -0.00367069033183576
2097 5.574 7.06908433203214 1 -0.00374249069097043
2098 5.652 7.065259684206 1 -0.00382464782614012
2099 5.727 7.0613552882276 1 -0.00390439597840242
2100 5.8 7.05737255393337 1 -0.00398273429422868
2101 5.869 7.05331517599628 1 -0.00405737793708827
2102 5.933 7.04918809022268 1 -0.0041270857736011
2103 5.996 7.04499186070491 1 -0.00419622951777043
2104 6.063 7.04072139028644 1 -0.00427047041846951
2105 6.131 7.03637491145137 1 -0.00434647883506756
2106 6.199 7.03195178649031 1 -0.00442312496106467
2107 6.267 7.02745137873928 1 -0.00450040775102334
2108 6.338 7.0228695164415 1 -0.00458186229778423
2109 6.414 7.01819955590292 1 -0.00466996053857649
