"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20793668552573 1 -6.33144742661074e-05
2008 "2025" 0.637 7.20787149597425 1 -6.51895514875989e-05
2009 "2025" 0.662 7.20780148903807 1 -7.00069361716515e-05
2010 "2025" 0.697 7.20772445267045 1 -7.70363676210195e-05
2011 "2025" 0.736 7.20763919542849 1 -8.5257241968506e-05
2012 "2025" 0.774 7.20754553635614 1 -9.3659072342156e-05
2013 "2025" 0.806 7.20744450454074 1 -0.000101031815399999
2014 "2025" 0.834 7.20733679913982 1 -0.000107705400923308
2015 "2025" 0.858 7.20722320964567 1 -0.000113589494151967
2016 "2025" 0.881 7.20710383814352 1 -0.000119371502148802
2017 "2025" 0.908 7.20697749578161 1 -0.000126342361912002
2018 "2025" 0.936 7.20684371844265 1 -0.000133777338958474
2019 "2025" 0.965 7.20670201961547 1 -0.000141698827177628
2020 "2025" 1.002 7.20654988129183 1 -0.00015213832364136
2021 "2025" 1.048 7.20638424727159 1 -0.000165634020241612
2022 "2025" 1.096 7.20620392666962 1 -0.000180320601963935
2023 "2025" 1.141 7.20600928120818 1 -0.000194645461440324
2024 "2025" 1.183 7.20580078173207 1 -0.000208499476118007
2025 "2025" 1.183 7.20559232838267 1 -0.000208453349396009
2026 "2025" 1.183 7.20538392114979 1 -0.000208407232878294
2027 "2025" 1.183 7.20517556002323 1 -0.000208361126563972
2028 "2025" 1.183 7.20496724499278 1 -0.000208315030449491
2029 "2025" 1.183 7.20475897604825 1 -0.000208268944532186
2030 "2025" 1.183 7.20455075317943 1 -0.00020822286881117
2031 "2025" 1.183 7.20434257637615 1 -0.000208176803283777
2032 "2025" 1.183 7.2041344456282 1 -0.000208130747947344
2033 "2025" 1.183 7.2039263609254 1 -0.000208084702800093
2034 "2025" 1.183 7.20371832225756 1 -0.000208038667838473
2035 "2025" 1.183 7.2035103296145 1 -0.000207992643062482
2036 "2025" 1.183 7.20330238298603 1 -0.000207946628467681
2037 "2025" 1.183 7.20309448236198 1 -0.000207900624053181
2038 "2025" 1.183 7.20288662773217 1 -0.000207854629816318
2039 "2025" 1.183 7.20267881908641 1 -0.000207808645755314
2040 "2025" 1.183 7.20247105641454 1 -0.000207762671866618
2041 "2025" 1.183 7.20226333970639 1 -0.000207716708149341
2042 "2025" 1.183 7.20205566895179 1 -0.000207670754600819
2043 "2025" 1.183 7.20184804414057 1 -0.000207624811218388
2044 "2025" 1.183 7.20164046526257 1 -0.00020757887800027
2045 "2025" 1.183 7.20143293230763 1 -0.000207532954943801
2046 "2025" 1.183 7.20122544526558 1 -0.000207487042047205
2047 "2025" 1.183 7.20101800412628 1 -0.000207441139307818
2048 "2025" 1.183 7.20081060887955 1 -0.000207395246723863
2049 "2025" 1.183 7.20060325951526 1 -0.000207349364291787
2050 "2025" 1.183 7.20039595602325 1 -0.00020730349201159
2051 "2025" 1.183 7.20018869839337 1 -0.00020725762987972
2052 "2025" 1.183 7.19998148661548 1 -0.000207211777893512
2053 "2025" 1.183 7.19977432067942 1 -0.00020716593605119
2054 "2025" 1.183 7.19956720057507 1 -0.000207120104350977
2055 "2025" 1.183 7.19936012629228 1 -0.000207074282789321
2056 "2025" 1.183 7.19915309782092 1 -0.000207028471366222
2057 "2025" 1.183 7.19894611515084 1 -0.000206982670077238
2058 "2025" 1.183 7.19873917827192 1 -0.000206936878920594
2059 "2025" 1.183 7.19853228717402 1 -0.000206891097895401
2060 "2025" 1.183 7.19832544184703 1 -0.000206845326997218
2061 "2025" 1.183 7.1981186422808 1 -0.000206799566226046
2062 "2025" 1.183 7.19791188846522 1 -0.000206753815578331
2063 "2025" 1.183 7.19770518039017 1 -0.000206708075052298
2064 "2025" 1.183 7.19749851804553 1 -0.000206662344645281
2065 "2025" 1.183 7.19729190142117 1 -0.000206616624354616
2066 "2025" 1.183 7.19708533050699 1 -0.000206570914179416
2067 "2025" 1.183 7.19687880529287 1 -0.000206525214117015
2068 "2025" 1.183 7.19667232576871 1 -0.000206479524164749
2069 "2025" 1.183 7.19646589192439 1 -0.000206433844319953
2070 "2025" 1.183 7.19625950374981 1 -0.00020638817458174
2071 "2025" 1.183 7.19605316123486 1 -0.000206342514946556
2072 "2025" 1.183 7.19584686436945 1 -0.000206296865413513
2073 "2025" 1.183 7.19564061314347 1 -0.000206251225979059
2074 "2025" 1.183 7.19543440754683 1 -0.000206205596641418
2075 "2025" 1.183 7.19522824756943 1 -0.000206159977398812
2076 "2025" 1.183 7.19502213320118 1 -0.000206114368248578
2077 "2025" 1.183 7.19481606443199 1 -0.00020606876918805
2078 "2025" 1.183 7.19461004125178 1 -0.000206023180216341
2079 "2025" 1.183 7.19440406365045 1 -0.000205977601329899
2080 "2025" 1.183 7.19419813161792 1 -0.000205932032526945
2081 "2025" 1.183 7.19399224514411 1 -0.000205886473804817
2082 "2025" 1.183 7.19378640421895 1 -0.000205840925162626
2083 "2025" 1.183 7.19358060883236 1 -0.000205795386595931
2084 "2025" 1.183 7.19337485897425 1 -0.000205749858104731
2085 "2025" 1.183 7.19316915463456 1 -0.000205704339686363
2086 "2025" 1.183 7.19296349580323 1 -0.000205658831337274
2087 "2025" 1.183 7.19275788247017 1 -0.000205613333056576
2088 "2025" 1.183 7.19255231462533 1 -0.000205567844840715
2089 "2025" 1.183 7.19234679225864 1 -0.000205522366689692
2090 "2025" 1.183 7.19214131536004 1 -0.000205476898599066
2091 "2025" 1.183 7.19193588391947 1 -0.000205431440567061
2092 "2025" 1.183 7.19173049792688 1 -0.0002053859925919
2093 "2025" 1.183 7.19152515737221 1 -0.000205340554671807
2094 "2025" 1.183 7.19131986224541 1 -0.000205295126804117
2095 "2025" 1.183 7.19111461253642 1 -0.000205249708986166
2096 "2025" 1.183 7.1909094082352 1 -0.000205204301216177
2097 "2025" 1.183 7.19070424933171 1 -0.000205158903491487
2098 "2025" 1.183 7.1904991358159 1 -0.000205113515811206
2099 "2025" 1.183 7.19029406767773 1 -0.000205068138170894
2100 "2025" 1.183 7.19008904490716 1 -0.000205022770570551
2101 "2025" 1.183 7.18988406749415 1 -0.000204977413006624
2102 "2025" 1.183 7.18967913542868 1 -0.000204932065476449
2103 "2025" 1.183 7.1894742487007 1 -0.000204886727979137
2104 "2025" 1.183 7.18926940730018 1 -0.000204841400512912
2105 "2025" 1.183 7.18906461121711 1 -0.000204796083073333
2106 "2025" 1.183 7.18885986044145 1 -0.000204750775659512
2107 "2025" 1.183 7.18865515496318 1 -0.000204705478269673
