"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20793668552573 1 -6.33144742661074e-05
2008 "2025" 0.637 7.20787149597425 1 -6.51895514875989e-05
2009 "2025" 0.662 7.20780148903807 1 -7.00069361716515e-05
2010 "2025" 0.697 7.20772445267045 1 -7.70363676210195e-05
2011 "2025" 0.736 7.20763919542849 1 -8.5257241968506e-05
2012 "2025" 0.774 7.20754553635614 1 -9.3659072342156e-05
2013 "2025" 0.806 7.20744450454074 1 -0.000101031815399999
2014 "2025" 0.834 7.20733679913982 1 -0.000107705400923308
2015 "2025" 0.858 7.20722320964567 1 -0.000113589494151967
2016 "2025" 0.881 7.20710383814352 1 -0.000119371502148802
2017 "2025" 0.908 7.20697749578161 1 -0.000126342361912002
2018 "2025" 0.936 7.20684371844265 1 -0.000133777338958474
2019 "2025" 0.965 7.20670201961547 1 -0.000141698827177628
2020 "2025" 1.002 7.20654988129183 1 -0.00015213832364136
2021 "2025" 1.048 7.20638424727159 1 -0.000165634020241612
2022 "2025" 1.096 7.20620392666962 1 -0.000180320601963935
2023 "2025" 1.141 7.20600928120818 1 -0.000194645461440324
2024 "2025" 1.183 7.20580078173207 1 -0.000208499476118007
2025 "2025" 1.083 7.20562462856586 1 -0.000176153166206561
2026 "2025" 0.983 7.20547811390019 1 -0.000146514665670061
2027 "2025" 0.883 7.20535853197367 1 -0.000119581926518286
2028 "2025" 0.783 7.20526317889609 1 -9.53530775831268e-05
2029 "2025" 0.683 7.20518935247176 1 -7.38264243267395e-05
2030 "2025" 0.583 7.2051343520231 1 -5.50004486656874e-05
2031 "2025" 0.483 7.20509547821428 1 -3.88738088163976e-05
2032 "2025" 0.383 7.20507003287512 1 -2.54453391548282e-05
2033 "2025" 0.283 7.20505531882503 1 -1.47140500939003e-05
2034 "2025" 0.183 7.20504863969705 1 -6.67912797691628e-06
2035 "2025" 0.083 7.20504729976206 1 -1.33993499140672e-06
2036 "2025" 0 7.20504834442119 1 1.04465912453833e-06
2037 "2025" 0 7.20504938905059 1 1.04462939987116e-06
2038 "2025" 0 7.20505043365026 1 1.04459967520398e-06
2039 "2025" 0 7.20505147822021 1 1.04456995231317e-06
2040 "2025" 0 7.20505252276044 1 1.04454023031053e-06
2041 "2025" 0 7.20505356727095 1 1.04451050830789e-06
2042 "2025" 0 7.20505461175174 1 1.04448078808161e-06
2043 "2025" 0 7.20505565620281 1 1.04445106785533e-06
2044 "2025" 0 7.20505670062416 1 1.04442134851723e-06
2045 "2025" 0 7.20505774501579 1 1.04439163095549e-06
2046 "2025" 0 7.2050587893777 1 1.04436191339374e-06
2047 "2025" 0 7.2050598337099 1 1.04433219672018e-06
2048 "2025" 0 7.20506087801238 1 1.04430248093479e-06
2049 "2025" 0 7.20506192228514 1 1.04427276603758e-06
2050 "2025" 0 7.2050629665282 1 1.04424305202855e-06
2051 "2025" 0 7.20506401074154 1 1.0442133389077e-06
2052 "2025" 0 7.20506505492516 1 1.04418362667502e-06
2053 "2025" 0 7.20506609907908 1 1.04415391533053e-06
2054 "2025" 0 7.20506714320328 1 1.04412420487421e-06
2055 "2025" 0 7.20506818729778 1 1.04409449530607e-06
2056 "2025" 0 7.20506923136256 1 1.04406478662611e-06
2057 "2025" 0 7.20507027539764 1 1.04403507883433e-06
2058 "2025" 0 7.20507131940301 1 1.04400537104254e-06
2059 "2025" 0 7.20507236337868 1 1.04397566502712e-06
2060 "2025" 0 7.20507340732464 1 1.04394595901169e-06
2061 "2025" 0 7.20507445124089 1 1.04391625477263e-06
2062 "2025" 0 7.20507549512744 1 1.04388655053356e-06
2063 "2025" 0 7.20507653898429 1 1.04385684807085e-06
2064 "2025" 0 7.20507758281144 1 1.04382714560813e-06
2065 "2025" 0 7.20507862660888 1 1.04379744492178e-06
2066 "2025" 0 7.20507967037663 1 1.04376774423542e-06
2067 "2025" 0 7.20508071411467 1 1.04373804443725e-06
2068 "2025" 0 7.20508175782302 1 1.04370834552725e-06
2069 "2025" 0 7.20508280150167 1 1.04367864839361e-06
2070 "2025" 0 7.20508384515062 1 1.04364895125997e-06
2071 "2025" 0 7.20508488876987 1 1.04361925501451e-06
2072 "2025" 0 7.20508593235943 1 1.04358955965722e-06
2073 "2025" 0 7.2050869759193 1 1.04355986518812e-06
2074 "2025" 0 7.20508801944947 1 1.04353017160719e-06
2075 "2025" 0 7.20508906294995 1 1.04350047802626e-06
2076 "2025" 0 7.20509010642073 1 1.04347078622169e-06
2077 "2025" 0 7.20509114986183 1 1.0434410953053e-06
2078 "2025" 0 7.20509219327323 1 1.04341140527708e-06
2079 "2025" 0 7.20509323665495 1 1.04338171524887e-06
2080 "2025" 0 7.20509428000697 1 1.04335202699701e-06
2081 "2025" 0 7.20509532332931 1 1.04332233963333e-06
2082 "2025" 0 7.20509636662197 1 1.04329265226966e-06
2083 "2025" 0 7.20509740988493 1 1.04326296579416e-06
2084 "2025" 0 7.20509845311821 1 1.04323328109501e-06
2085 "2025" 0 7.20509949632181 1 1.04320359639587e-06
2086 "2025" 0 7.20510053949572 1 1.04317391347308e-06
2087 "2025" 0 7.20510158263995 1 1.0431442305503e-06
2088 "2025" 0 7.2051026257545 1 1.04311454851569e-06
2089 "2025" 0 7.20510366883937 1 1.04308486736926e-06
2090 "2025" 0 7.20510471189456 1 1.04305518711101e-06
2091 "2025" 0 7.20510575492006 1 1.04302550774094e-06
2092 "2025" 0 7.20510679791589 1 1.04299582925904e-06
2093 "2025" 0 7.20510784088205 1 1.04296615166533e-06
2094 "2025" 0 7.20510888381852 1 1.04293647495979e-06
2095 "2025" 0 7.20510992672532 1 1.04290679914243e-06
2096 "2025" 0 7.20511096960244 1 1.04287712421325e-06
2097 "2025" 0 7.20511201244989 1 1.04284745017225e-06
2098 "2025" 0 7.20511305526767 1 1.04281777701942e-06
2099 "2025" 0 7.20511409805578 1 1.0427881038666e-06
2100 "2025" 0 7.20511514081421 1 1.04275843249013e-06
2101 "2025" 0 7.20511618354297 1 1.04272876111366e-06
2102 "2025" 0 7.20511722624206 1 1.04269909151355e-06
2103 "2025" 0 7.20511826891148 1 1.04266942280162e-06
2104 "2025" 0 7.20511931155124 1 1.04263975408969e-06
2105 "2025" 0 7.20512035416132 1 1.04261008626594e-06
2106 "2025" 0 7.20512139674174 1 1.04258042021854e-06
2107 "2025" 0 7.2051224392925 1 1.04255075417115e-06
2108 "2025" 0 7.20512348181359 1 1.04252108901193e-06
2109 "2025" 0 7.20512452430501 1 1.04249142474089e-06
