"t" "Tt" "Vt" "dt" "Vdt"
2006 0.632 7.208 1 NA
2007 0.627 7.20793668552573 1 -6.33144742661074e-05
2008 0.637 7.20787149597425 1 -6.51895514875989e-05
2009 0.662 7.20780148903807 1 -7.00069361716515e-05
2010 0.697 7.20772445267045 1 -7.70363676210195e-05
2011 0.736 7.20763919542849 1 -8.5257241968506e-05
2012 0.774 7.20754553635614 1 -9.3659072342156e-05
2013 0.806 7.20744450454074 1 -0.000101031815399999
2014 0.834 7.20733679913982 1 -0.000107705400923308
2015 0.858 7.20722320964567 1 -0.000113589494151967
2016 0.881 7.20710383814352 1 -0.000119371502148802
2017 0.908 7.20697749578161 1 -0.000126342361912002
2018 0.936 7.20684371844265 1 -0.000133777338958474
2019 0.965 7.20670201961547 1 -0.000141698827177628
2020 1.002 7.20654988129183 1 -0.00015213832364136
2021 1.048 7.20638424727159 1 -0.000165634020241612
2022 1.096 7.20620392666962 1 -0.000180320601963935
2023 1.141 7.20600928120818 1 -0.000194645461440324
2024 1.183 7.20580078173207 1 -0.000208499476118007
2025 1.22 7.20557969428937 1 -0.000221087442692891
2026 1.254 7.20534672333296 1 -0.000232970956415279
2027 1.288 7.20510156261319 1 -0.000245160719772208
2028 1.325 7.20484278347473 1 -0.000258779138458287
2029 1.364 7.2045692536931 1 -0.000273529781631865
2030 1.405 7.20427977878696 1 -0.000289474906130849
2031 1.454 7.203970648146 1 -0.000309130640968824
2032 1.514 7.20363656184492 1 -0.000334086301072567
2033 1.572 7.20327744532197 1 -0.000359116522953506
2034 1.629 7.20289286207762 1 -0.000384583244348313
2035 1.683 7.20248336438483 1 -0.000409497692794858
2036 1.732 7.20205060373771 1 -0.000432760647114172
2037 1.777 7.20159593296904 1 -0.000454670768667675
2038 1.824 7.20111780330355 1 -0.000478129665490989
2039 1.87 7.20061615520815 1 -0.000501648095408314
2040 1.918 7.20008936674357 1 -0.000526788464576988
2041 1.964 7.19953792619501 1 -0.000551440548559157
2042 2.019 7.19895624415273 1 -0.000581682042279041
2043 2.08 7.1983400686546 1 -0.000616175498125315
2044 2.139 7.19768960783138 1 -0.000650460823223398
2045 2.196 7.19700516552575 1 -0.000684442305635358
2046 2.242 7.19629273276878 1 -0.00071243275696542
2047 2.279 7.19555744432956 1 -0.000735288439222437
2048 2.308 7.19480406164407 1 -0.000753382685487303
2049 2.339 7.19403108053189 1 -0.000772981112177717
2050 2.377 7.19323367003607 1 -0.000797410495819051
2051 2.422 7.1924067891991 1 -0.000826880836974908
2052 2.469 7.19154855550221 1 -0.000858233696893862
2053 2.526 7.1906514527205 1 -0.000897102781708625
2054 2.588 7.18971107884128 1 -0.000940373879218193
2055 2.654 7.18872351703656 1 -0.000987561804716819
2056 2.721 7.18768688785231 1 -0.0010366291842514
2057 2.784 7.1866030888718 1 -0.00108379898050703
2058 2.846 7.18547187664165 1 -0.00113121223015522
2059 2.92 7.18428266511891 1 -0.00118921152274254
2060 2.997 7.18303157153125 1 -0.00125109358766018
2061 3.082 7.18171031305309 1 -0.00132125847815434
2062 3.171 7.18031354443523 1 -0.00139676861785976
2063 3.259 7.17884010354652 1 -0.00147344088871382
2064 3.357 7.17727882141215 1 -0.00156128213437157
2065 3.448 7.17563381104052 1 -0.00164501037162434
2066 3.536 7.17390583598097 1 -0.00172797505955469
2067 3.62 7.1720968621008 1 -0.00180897388016366
2068 3.692 7.17021719142579 1 -0.00187967067501305
2069 3.756 7.1682737159908 1 -0.0019434754349934
2070 3.815 7.16627061437911 1 -0.0020031016116846
2071 3.869 7.16421229801016 1 -0.00205831636894782
2072 3.92 7.16210125627246 1 -0.00211104173770593
2073 3.968 7.15994009892836 1 -0.00216115734409783
2074 4.016 7.1577282723182 1 -0.00221182661015895
2075 4.073 7.15545526800433 1 -0.00227300431386723
2076 4.136 7.15311355478469 1 -0.00234171321964816
2077 4.201 7.15069987679715 1 -0.00241367798753167
2078 4.266 7.14821319712463 1 -0.00248667967252203
2079 4.328 7.14565600703693 1 -0.00255719008770505
2080 4.387 7.14303094489377 1 -0.00262506214315916
2081 4.446 7.14033717287297 1 -0.0026937720208009
2082 4.506 7.13757263455562 1 -0.00276453831734536
2083 4.57 7.13473151677351 1 -0.00284111778210949
2084 4.635 7.13181157831765 1 -0.00291993845585825
2085 4.703 7.12880798551332 1 -0.00300359280433593
2086 4.779 7.12570928882453 1 -0.00309869668878981
2087 4.865 7.12250094057306 1 -0.00320834825146576
2088 4.95 7.11918246425077 1 -0.00331847632229465
2089 5.033 7.11575481549953 1 -0.00342764875123613
2090 5.111 7.11222322687403 1 -0.00353158862549918
2091 5.18 7.10859883314002 1 -0.00362439373400836
2092 5.244 7.10488759126206 1 -0.00371124187796923
2093 5.31 7.10108568669034 1 -0.00380190457171548
2094 5.375 7.09719355661045 1 -0.00389213007988598
2095 5.441 7.09320875937657 1 -0.00398479723388601
2096 5.505 7.08913325688083 1 -0.00407550249574218
2097 5.574 7.08495861266573 1 -0.00417464421509184
2098 5.652 7.08067004997006 1 -0.0042885626956739
2099 5.727 7.07627076811927 1 -0.00439928185079275
2100 5.8 7.07176258364337 1 -0.0045081844758954
2101 5.869 7.06715058444863 1 -0.00461199919473732
2102 5.933 7.06244166547371 1 -0.0047089189749272
2103 5.996 7.05763652686544 1 -0.0048051386082717
2104 6.063 7.05272778579879 1 -0.00490874106664929
2105 6.131 7.04771279905242 1 -0.00501498674637091
