"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20651526922784 1 -0.0014847307721606
2008 "2025" 0.637 7.20502195390241 1 -0.00149331532543329
2009 "2025" 0.662 7.20350530687723 1 -0.00151664702517262
2010 "2025" 0.697 7.20195551156633 1 -0.00154979531090227
2011 "2025" 0.736 7.20036866141305 1 -0.0015868501532772
2012 "2025" 0.774 7.19874577128207 1 -0.00162289013098427
2013 "2025" 0.806 7.19709277331036 1 -0.00165299797171148
2014 "2025" 0.834 7.19541362738265 1 -0.00167914592770568
2015 "2025" 0.858 7.1937122900453 1 -0.00170133733734801
2016 "2025" 0.881 7.19198976363236 1 -0.00172252641293991
2017 "2025" 0.908 7.19024213150497 1 -0.00174763212739215
2018 "2025" 0.936 7.18846843120293 1 -0.0017737003020466
2019 "2025" 0.965 7.18666770107743 1 -0.00180073012550075
2020 "2025" 1.002 7.18483209491134 1 -0.00183560616608425
2021 "2025" 1.048 7.18295278947672 1 -0.00187930543462222
2022 "2025" 1.096 7.18102785436308 1 -0.00192493511364145
2023 "2025" 1.141 7.17906027891526 1 -0.00196757544781789
2024 "2025" 1.183 7.17705304995794 1 -0.00200722895731875
2025 "2025" 1.183 7.17504751319531 1 -0.00200553676262949
2026 "2025" 1.183 7.17304366720077 1 -0.00200384599454573
2027 "2025" 1.183 7.1710415105489 1 -0.00200215665186487
2028 "2025" 1.183 7.16904104181552 1 -0.00200046873338433
2029 "2025" 1.183 7.16704225957761 1 -0.00199878223790328
2030 "2025" 1.183 7.16504516241339 1 -0.00199709716422269
2031 "2025" 1.183 7.16304974890225 1 -0.00199541351114352
2032 "2025" 1.183 7.16105601762478 1 -0.00199373127746849
2033 "2025" 1.183 7.15906396716278 1 -0.00199205046200124
2034 "2025" 1.183 7.15707359609923 1 -0.00199037106354538
2035 "2025" 1.183 7.15508490301833 1 -0.00198869308090632
2036 "2025" 1.183 7.15309788650543 1 -0.00198701651289124
2037 "2025" 1.183 7.15111254514713 1 -0.0019853413583073
2038 "2025" 1.183 7.14912887753116 1 -0.00198366761596258
2039 "2025" 1.183 7.1471468822465 1 -0.00198199528466603
2040 "2025" 1.183 7.14516655788327 1 -0.00198032436322926
2041 "2025" 1.183 7.14318790303281 1 -0.001978654850463
2042 "2025" 1.183 7.14121091628763 1 -0.00197698674517977
2043 "2025" 1.183 7.13923559624143 1 -0.00197532004619294
2044 "2025" 1.183 7.13726194148912 1 -0.00197365475231681
2045 "2025" 1.183 7.13528995062675 1 -0.00197199086236655
2046 "2025" 1.183 7.13331962225159 1 -0.00197032837515909
2047 "2025" 1.183 7.13135095496208 1 -0.00196866728951228
2048 "2025" 1.183 7.12938394735783 1 -0.00196700760424395
2049 "2025" 1.183 7.12741859803966 1 -0.00196534931817283
2050 "2025" 1.183 7.12545490560954 1 -0.00196369243012118
2051 "2025" 1.183 7.12349286867063 1 -0.00196203693890862
2052 "2025" 1.183 7.12153248582727 1 -0.00196038284335831
2053 "2025" 1.183 7.11957375568498 1 -0.00195873014229253
2054 "2025" 1.183 7.11761667685044 1 -0.001957078834538
2055 "2025" 1.183 7.11566124793153 1 -0.00195542891891787
2056 "2025" 1.183 7.11370746753727 1 -0.00195378039425975
2057 "2025" 1.183 7.11175533427787 1 -0.00195213325939125
2058 "2025" 1.183 7.10980484676474 1 -0.00195048751313909
2059 "2025" 1.183 7.1078560036104 1 -0.00194884315433352
2060 "2025" 1.183 7.1059088034286 1 -0.00194720018180572
2061 "2025" 1.183 7.10396324483421 1 -0.00194555859438506
2062 "2025" 1.183 7.1020193264433 1 -0.00194391839090624
2063 "2025" 1.183 7.1000770468731 1 -0.00194227957020043
2064 "2025" 1.183 7.098136404742 1 -0.00194064213110234
2065 "2025" 1.183 7.09619739866955 1 -0.00193900607244846
2066 "2025" 1.183 7.09426002727648 1 -0.00193737139307348
2067 "2025" 1.183 7.09232428918466 1 -0.00193573809181569
2068 "2025" 1.183 7.09039018301715 1 -0.00193410616751244
2069 "2025" 1.183 7.08845770739815 1 -0.00193247561900289
2070 "2025" 1.183 7.08652686095302 1 -0.00193084644512798
2071 "2025" 1.183 7.08459764230829 1 -0.00192921864472773
2072 "2025" 1.183 7.08267005009165 1 -0.00192759221664573
2073 "2025" 1.183 7.08074408293192 1 -0.00192596715972382
2074 "2025" 1.183 7.07881973945912 1 -0.00192434347280646
2075 "2025" 1.183 7.07689701830438 1 -0.00192272115473813
2076 "2025" 1.183 7.07497591810001 1 -0.00192110020436598
2077 "2025" 1.183 7.07305643747948 1 -0.00191948062053626
2078 "2025" 1.183 7.07113857507738 1 -0.00191786240209701
2079 "2025" 1.183 7.06922232952948 1 -0.00191624554789627
2080 "2025" 1.183 7.0673076994727 1 -0.0019146300567856
2081 "2025" 1.183 7.06539468354508 1 -0.00191301592761484
2082 "2025" 1.183 7.06348328038585 1 -0.00191140315923555
2083 "2025" 1.183 7.06157348863535 1 -0.0019097917505011
2084 "2025" 1.183 7.05966530693508 1 -0.00190818170026485
2085 "2025" 1.183 7.0577587339277 1 -0.00190657300738195
2086 "2025" 1.183 7.05585376825699 1 -0.00190496567070753
2087 "2025" 1.183 7.05395040856789 1 -0.00190335968909849
2088 "2025" 1.183 7.05204865350648 1 -0.00190175506141266
2089 "2025" 1.183 7.05014850171997 1 -0.00190015178650871
2090 "2025" 1.183 7.04824995185673 1 -0.00189854986324622
2091 "2025" 1.183 7.04635300256624 1 -0.00189694929048478
2092 "2025" 1.183 7.04445765249915 1 -0.00189535006708663
2093 "2025" 1.183 7.04256390030724 1 -0.00189375219191401
2094 "2025" 1.183 7.04067174464341 1 -0.00189215566383005
2095 "2025" 1.183 7.03878118416171 1 -0.00189056048169967
2096 "2025" 1.183 7.03689221751732 1 -0.00188896664438776
2097 "2025" 1.183 7.03500484336656 1 -0.00188737415076012
2098 "2025" 1.183 7.03311906036688 1 -0.00188578299968523
2099 "2025" 1.183 7.03123486717685 1 -0.00188419319003064
2100 "2025" 1.183 7.02935226245618 1 -0.00188260472066482
2101 "2025" 1.183 7.02747124486572 1 -0.001881017590458
2102 "2025" 1.183 7.02559181306744 1 -0.00187943179828221
2103 "2025" 1.183 7.02371396572443 1 -0.00187784734300855
2104 "2025" 1.183 7.02183770150092 1 -0.00187626422351084
2105 "2025" 1.183 7.01996301906226 1 -0.00187468243866107
2106 "2025" 1.183 7.01808991707493 1 -0.0018731019873357
2107 "2025" 1.183 7.01621839420652 1 -0.0018715228684103
2108 "2025" 1.183 7.01434844912575 1 -0.00186994508076133
2109 "2025" 1.183 7.01248008050249 1 -0.00186836862326611
2110 "2025" 1.183 7.01061328700768 1 -0.00186679349480467
2111 "2025" 1.183 7.00874806731343 1 -0.00186521969425435
2112 "2025" 1.183 7.00688442009293 1 -0.00186364722049781
2113 "2025" 1.183 7.00502234402052 1 -0.00186207607241418
2114 "2025" 1.183 7.00316183777163 1 -0.00186050624888878
2115 "2025" 1.183 7.00130290002283 1 -0.00185893774880252
2116 "2025" 1.183 6.99944552945179 1 -0.00185737057103985
2117 "2025" 1.183 6.9975897247373 1 -0.00185580471448787
2118 "2025" 1.183 6.99573548455927 1 -0.00185424017803104
2119 "2025" 1.183 6.99388280759871 1 -0.00185267696055647
2120 "2025" 1.183 6.99203169253776 1 -0.00185111506095303
2121 "2025" 1.183 6.99018213805965 1 -0.00184955447810964
2122 "2025" 1.183 6.98833414284873 1 -0.00184799521091517
2123 "2025" 1.183 6.98648770559047 1 -0.00184643725826117
2124 "2025" 1.183 6.98464282497143 1 -0.00184488061904009
2125 "2025" 1.183 6.98279949967929 1 -0.00184332529214348
2126 "2025" 1.183 6.98095772840282 1 -0.00184177127646556
2127 "2025" 1.183 6.97911750983192 1 -0.00184021857090055
2128 "2025" 1.183 6.97727884265758 1 -0.00183866717434444
2129 "2025" 1.183 6.97544172557188 1 -0.00183711708569412
2130 "2025" 1.183 6.97360615726804 1 -0.00183556830384557
2131 "2025" 1.183 6.97177213644034 1 -0.00183402082769746
2132 "2025" 1.183 6.96993966178419 1 -0.00183247465615022
2133 "2025" 1.183 6.96810873199609 1 -0.00183092978810251
2134 "2025" 1.183 6.96627934577363 1 -0.00182938622245565
2135 "2025" 1.183 6.96445150181552 1 -0.00182784395811275
2136 "2025" 1.183 6.96262519882154 1 -0.00182630299397601
2137 "2025" 1.183 6.96080043549259 1 -0.00182476332894943
2138 "2025" 1.183 6.95897721053066 1 -0.00182322496193787
2139 "2025" 1.183 6.95715552263881 1 -0.00182168789184622
2140 "2025" 1.183 6.95533537052123 1 -0.00182015211758202
2141 "2025" 1.183 6.95351675288317 1 -0.0018186176380528
2142 "2025" 1.183 6.95169966843101 1 -0.00181708445216611
2143 "2025" 1.183 6.94988411587218 1 -0.00181555255883215
2144 "2025" 1.183 6.94807009391521 1 -0.00181402195696201
2145 "2025" 1.183 6.94625760126975 1 -0.00181249264546501
2146 "2025" 1.183 6.94444663664649 1 -0.00181096462325492
2147 "2025" 1.183 6.94263719875725 1 -0.0018094378892437
2148 "2025" 1.183 6.94082928631491 1 -0.00180791244234602
2149 "2025" 1.183 6.93902289803343 1 -0.00180638828147739
2150 "2025" 1.183 6.93721803262788 1 -0.00180486540555158
2151 "2025" 1.183 6.93541468881439 1 -0.00180334381348768
2152 "2025" 1.183 6.93361286531019 1 -0.00180182350420122
2153 "2025" 1.183 6.93181256083357 1 -0.00180030447661217
