"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20687983880737 1 -0.00112016119263281
2008 "2025" 0.637 7.20575065011618 1 -0.00112918869119216
2009 "2025" 0.662 7.20459759269338 1 -0.00115305742279936
2010 "2025" 0.697 7.20341078626887 1 -0.00118680642450641
2011 "2025" 0.736 7.20218629756021 1 -0.0012244887086581
2012 "2025" 0.774 7.20092514576295 1 -0.00126115179725783
2013 "2025" 0.806 7.19963329869827 1 -0.00129184706468788
2014 "2025" 0.834 7.19831473977777 1 -0.00131855892049693
2015 "2025" 0.858 7.19697344931451 1 -0.00134129046325526
2016 "2025" 0.881 7.19561043487434 1 -0.00136301444017572
2017 "2025" 0.908 7.19422175382091 1 -0.00138868105343004
2018 "2025" 0.936 7.19280643623579 1 -0.00141531758511437
2019 "2025" 0.965 7.19136351295503 1 -0.00144292328075935
2020 "2025" 1.002 7.18988508638277 1 -0.00147842657226871
2021 "2025" 1.048 7.18836227518273 1 -0.00152281120003561
2022 "2025" 1.096 7.18679313411297 1 -0.00156914106975847
2023 "2025" 1.141 7.18518066886309 1 -0.00161246524987657
2024 "2025" 1.183 7.18352788278467 1 -0.0016527860784219
2025 "2025" 1.083 7.18197537072511 1 -0.00155251205956475
2026 "2025" 0.983 7.18052305468439 1 -0.00145231604072293
2027 "2025" 0.883 7.17917085672316 1 -0.0013521979612241
2028 "2025" 0.783 7.17791869896272 1 -0.00125215776044119
2029 "2025" 0.683 7.17676650358493 1 -0.00115219537779332
2030 "2025" 0.583 7.17571419283218 1 -0.00105231075275025
2031 "2025" 0.483 7.17476168900735 1 -0.000952503824826145
2032 "2025" 0.383 7.17390891447377 1 -0.000852774533582235
2033 "2025" 0.283 7.17315579165514 1 -0.000753122818627716
2034 "2025" 0.183 7.17250224303552 1 -0.00065354861961886
2035 "2025" 0.083 7.17194819115926 1 -0.000554051876258121
2036 "2025" 0 7.17147673060834 1 -0.000471460550919289
2037 "2025" 0 7.17100563679181 1 -0.000471093816535095
2038 "2025" 0 7.17053490942439 1 -0.000470727367422263
2039 "2025" 0 7.17006454822103 1 -0.000470361203358749
2040 "2025" 0 7.1695945528969 1 -0.000469995324123396
2041 "2025" 0 7.16912492316741 1 -0.000469629729493271
2042 "2025" 0 7.16865565874816 1 -0.000469264419248105
2043 "2025" 0 7.168186759355 1 -0.000468899393165856
2044 "2025" 0 7.16771822470397 1 -0.000468534651026253
2045 "2025" 0 7.16725005451136 1 -0.000468170192608142
2046 "2025" 0 7.16678224849367 1 -0.000467806017691252
2047 "2025" 0 7.16631480636762 1 -0.000467442126054429
2048 "2025" 0 7.16584772785014 1 -0.000467078517477404
2049 "2025" 0 7.1653810126584 1 -0.000466715191739908
2050 "2025" 0 7.16491466050978 1 -0.000466352148621674
2051 "2025" 0 7.16444867112187 1 -0.000465989387904209
2052 "2025" 0 7.16398304421251 1 -0.000465626909366357
2053 "2025" 0 7.16351777949972 1 -0.000465264712789626
2054 "2025" 0 7.16305287670176 1 -0.000464902797953748
2055 "2025" 0 7.16258833553712 1 -0.000464541164640231
2056 "2025" 0 7.16212415572449 1 -0.000464179812630583
2057 "2025" 0 7.16166033698279 1 -0.000463818741704536
2058 "2025" 0 7.16119687903114 1 -0.000463457951644486
2059 "2025" 0 7.16073378158891 1 -0.000463097442231941
2060 "2025" 0 7.16027104437566 1 -0.000462737213247522
2061 "2025" 0 7.15980866711119 1 -0.000462377264474512
2062 "2025" 0 7.15934664951549 1 -0.000462017595695308
2063 "2025" 0 7.15888499130881 1 -0.000461658206689641
2064 "2025" 0 7.15842369221156 1 -0.000461299097242573
2065 "2025" 0 7.15796275194443 1 -0.000460940267134724
2066 "2025" 0 7.15750217022828 1 -0.000460581716150266
2067 "2025" 0 7.15704194678421 1 -0.000460223444070706
2068 "2025" 0 7.15658208133353 1 -0.000459865450680219
2069 "2025" 0 7.15612257359777 1 -0.0004595077357612
2070 "2025" 0 7.15566342329867 1 -0.000459150299096933
2071 "2025" 0 7.1552046301582 1 -0.00045879314047248
2072 "2025" 0 7.15474619389853 1 -0.000458436259670236
2073 "2025" 0 7.15428811424205 1 -0.000458079656474375
