"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20699210042361 1 -0.00100789957639158
2008 "2025" 0.637 7.20597504799285 1 -0.00101705243076289
2009 "2025" 0.662 7.20493397739614 1 -0.00104107059670255
2010 "2025" 0.697 7.20385899197038 1 -0.00107498542576145
2011 "2025" 0.736 7.20274615142669 1 -0.00111284054368888
2012 "2025" 0.774 7.2015964758654 1 -0.0011496755612912
2013 "2025" 0.806 7.200415942026 1 -0.00118053383939998
2014 "2025" 0.834 7.19920853916546 1 -0.00120740286054044
2015 "2025" 0.858 7.19797825352489 1 -0.00123028564056682
2016 "2025" 0.881 7.19672609388562 1 -0.00125215963926983
2017 "2025" 0.908 7.19544811085598 1 -0.00127798302964077
2018 "2025" 0.936 7.19414333247624 1 -0.00130477837974663
2019 "2025" 0.965 7.19281078752144 1 -0.00133254495479296
2020 "2025" 1.002 7.19144256512641 1 -0.00136822239503864
2021 "2025" 1.048 7.19002976892442 1 -0.00141279620198809
2022 "2025" 1.096 7.18857044964888 1 -0.00145931927553544
2023 "2025" 1.141 7.18706761691719 1 -0.00150283273168927
2024 "2025" 1.183 7.18552427807149 1 -0.00154333884570246
2025 "2025" 1.183 7.18398210598117 1 -0.00154217209031682
2026 "2025" 1.183 7.18244109976418 1 -0.00154100621699182
2027 "2025" 1.183 7.18090125853912 1 -0.00153984122505957
2028 "2025" 1.183 7.17936258142527 1 -0.0015386771138548
2029 "2025" 1.183 7.17782506754256 1 -0.00153751388271139
2030 "2025" 1.183 7.17628871601159 1 -0.00153635153096499
2031 "2025" 1.183 7.17475352595364 1 -0.00153519005794944
2032 "2025" 1.183 7.17321949649064 1 -0.00153402946300041
2033 "2025" 1.183 7.17168662674519 1 -0.00153286974545441
2034 "2025" 1.183 7.17015491584054 1 -0.00153171090464888
2035 "2025" 1.183 7.16862436290062 1 -0.00153055293992033
2036 "2025" 1.183 7.16709496705001 1 -0.00152939585060619
2037 "2025" 1.183 7.16556672741397 1 -0.00152823963604565
2038 "2025" 1.183 7.16403964311839 1 -0.00152708429557613
2039 "2025" 1.183 7.16251371328985 1 -0.00152592982853772
2040 "2025" 1.183 7.16098893705558 1 -0.00152477623426961
2041 "2025" 1.183 7.15946531354347 1 -0.00152362351211188
2042 "2025" 1.183 7.15794284188206 1 -0.0015224716614064
2043 "2025" 1.183 7.15642152120057 1 -0.00152132068149324
2044 "2025" 1.183 7.15490135062886 1 -0.00152017057171427
2045 "2025" 1.183 7.15338232929744 1 -0.00151902133141135
2046 "2025" 1.183 7.15186445633752 1 -0.00151787295992811
2047 "2025" 1.183 7.15034773088091 1 -0.00151672545660642
2048 "2025" 1.183 7.14883215206012 1 -0.00151557882079167
2049 "2025" 1.183 7.14731771900829 1 -0.00151443305182664
2050 "2025" 1.183 7.14580443085924 1 -0.00151328814905582
2051 "2025" 1.183 7.14429228674741 1 -0.00151214411182643
2052 "2025" 1.183 7.14278128580793 1 -0.0015110009394812
2053 "2025" 1.183 7.14127142717656 1 -0.00150985863136821
2054 "2025" 1.183 7.13976270998973 1 -0.00150871718683376
2055 "2025" 1.183 7.1382551333845 1 -0.00150757660522505
2056 "2025" 1.183 7.13674869649861 1 -0.00150643688589014
2057 "2025" 1.183 7.13524339847044 1 -0.00150529802817534
2058 "2025" 1.183 7.133739238439 1 -0.00150416003143139
2059 "2025" 1.183 7.132236215544 1 -0.00150302289500637
2060 "2025" 1.183 7.13073432892575 1 -0.00150188661824924
2061 "2025" 1.183 7.12923357772524 1 -0.00150075120051163
2062 "2025" 1.183 7.12773396108409 1 -0.0014996166411434
2063 "2025" 1.183 7.1262354781446 1 -0.00149848293949528
2064 "2025" 1.183 7.12473812804968 1 -0.00149735009491891
2065 "2025" 1.183 7.12324190994291 1 -0.00149621810676681
