"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20709970131832 1 -0.00090029868167818
2008 "2025" 0.637 7.20619011408617 1 -0.000909587232151843
2009 "2025" 0.662 7.20525631554627 1 -0.000933798539903385
2010 "2025" 0.697 7.20428837049383 1 -0.000967945052433805
2011 "2025" 0.736 7.20328232290275 1 -0.00100604759108425
2012 "2025" 0.774 7.20223919620467 1 -0.00104312669807882
2013 "2025" 0.806 7.20116498961361 1 -0.00107420659106072
2014 "2025" 0.834 7.20006370730036 1 -0.0011012823132539
2015 "2025" 0.858 7.19893935048015 1 -0.00112435682020084
2016 "2025" 0.881 7.19779293149223 1 -0.00114641898792733
2017 "2025" 0.908 7.1966204853908 1 -0.00117244610142464
2018 "2025" 0.936 7.19542103607936 1 -0.00119944931144023
2019 "2025" 0.965 7.19419360818186 1 -0.0012274278975033
2020 "2025" 1.002 7.19293025988931 1 -0.00126334829254837
2021 "2025" 1.048 7.19162205994716 1 -0.0013081999421507
2022 "2025" 1.096 7.19026705084603 1 -0.00135500910113162
2023 "2025" 1.141 7.18886825305918 1 -0.00139879778685081
2024 "2025" 1.183 7.18742868483041 1 -0.00143956822876845
2025 "2025" 1.083 7.18608970992569 1 -0.00133897490471835
2026 "2025" 0.983 7.18485125409546 1 -0.00123845583023208
2027 "2025" 0.883 7.18371324314495 1 -0.00113801095050636
2028 "2025" 0.783 7.18267560293418 1 -0.00103764021077613
2029 "2025" 0.683 7.18173825937786 1 -0.000937343556317138
2030 "2025" 0.583 7.18090113844541 1 -0.000837120932446034
2031 "2025" 0.483 7.18016416616089 1 -0.000736972284520299
2032 "2025" 0.383 7.17952726860296 1 -0.000636897557935612
2033 "2025" 0.283 7.17899037190483 1 -0.000536896698131173
2034 "2025" 0.183 7.17855340225424 1 -0.000436969650584373
2035 "2025" 0.083 7.17821628589343 1 -0.000337116360811685
2036 "2025" 0 7.17796202889064 1 -0.000254257002787917
2037 "2025" 0 7.17770795955907 1 -0.000254069331568907
2038 "2025" 0 7.1774540777602 1 -0.000253881798872868
2039 "2025" 0 7.1772003833556 1 -0.00025369440459766
2040 "2025" 0 7.17694687620696 1 -0.000253507148641141
2041 "2025" 0 7.17669355617606 1 -0.000253320030901172
2042 "2025" 0 7.17644042312478 1 -0.0002531330512765
2043 "2025" 0 7.17618747691512 1 -0.000252946209664096
2044 "2025" 0 7.17593471740916 1 -0.000252759505962707
2045 "2025" 0 7.17568214446909 1 -0.000252572940070195
2046 "2025" 0 7.1754297579572 1 -0.000252386511885305
2047 "2025" 0 7.1751775577359 1 -0.00025220022130501
2048 "2025" 0 7.17492554366767 1 -0.000252014068229833
2049 "2025" 0 7.17467371561511 1 -0.000251828052556746
2050 "2025" 0 7.17442207344092 1 -0.000251642174185385
2051 "2025" 0 7.17417061700791 1 -0.000251456433013608
2052 "2025" 0 7.17391934617897 1 -0.000251270828940164
2053 "2025" 0 7.17366826081711 1 -0.000251085361864689
2054 "2025" 0 7.17341736078542 1 -0.000250900031685042
2055 "2025" 0 7.17316664594712 1 -0.000250714838300858
2056 "2025" 0 7.17291611616551 1 -0.000250529781610886
2057 "2025" 0 7.172665771304 1 -0.000250344861513874
2058 "2025" 0 7.17241561122609 1 -0.000250160077909456
2059 "2025" 0 7.17216563579539 1 -0.000249975430697269
2060 "2025" 0 7.17191584487561 1 -0.000249790919776061
2061 "2025" 0 7.17166623833057 1 -0.000249606545044578
2062 "2025" 0 7.17141681602416 1 -0.000249422306404234
2063 "2025" 0 7.17116757782041 1 -0.000249238203752888
2064 "2025" 0 7.17091852358342 1 -0.000249054236990176
2065 "2025" 0 7.1706696531774 1 -0.000248870406016621
2066 "2025" 0 7.17042096646667 1 -0.00024868671073186
2067 "2025" 0 7.17017246331564 1 -0.000248503151036417
2068 "2025" 0 7.16992414358881 1 -0.00024831972682815
2069 "2025" 0 7.1696760071508 1 -0.000248136438008473
2070 "2025" 0 7.16942805386632 1 -0.000247953284477909
2071 "2025" 0 7.16918028360019 1 -0.000247770266135205
2072 "2025" 0 7.1689326962173 1 -0.000247587382881775
2073 "2025" 0 7.16868529158269 1 -0.000247404634617254
2074 "2025" 0 7.16843806956144 1 -0.000247222021242166
2075 "2025" 0 7.16819103001879 1 -0.000247039542657035
2076 "2025" 0 7.16794417282003 1 -0.000246857198762385
2077 "2025" 0 7.16769749783057 1 -0.000246674989457851
2078 "2025" 0 7.16745100491592 1 -0.000246492914645735
2079 "2025" 0 7.1672046939417 1 -0.00024631097422656
2080 "2025" 0 7.1669585647736 1 -0.000246129168099962
2081 "2025" 0 7.16671261727743 1 -0.000245947496167354
2082 "2025" 0 7.1664668513191 1 -0.000245765958329258
2083 "2025" 0 7.16622126676461 1 -0.000245584554487976
2084 "2025" 0 7.16597586348007 1 -0.000245403284544032
2085 "2025" 0 7.16573064133167 1 -0.000245222148397062
2086 "2025" 0 7.16548560018572 1 -0.000245041145951141
2087 "2025" 0 7.16524073990861 1 -0.000244860277105019
2088 "2025" 0 7.16499606036685 1 -0.000244679541761883
2089 "2025" 0 7.16475156142703 1 -0.000244498939822257
2090 "2025" 0 7.16450724295584 1 -0.000244318471187555
2091 "2025" 0 7.16426310482008 1 -0.000244138135759187
2092 "2025" 0 7.16401914688664 1 -0.000243957933440342
2093 "2025" 0 7.16377536902251 1 -0.000243777864131545
2094 "2025" 0 7.16353177109478 1 -0.000243597927734207
2095 "2025" 0 7.16328835297062 1 -0.000243418124151518
2096 "2025" 0 7.16304511451734 1 -0.000243238453284
2097 "2025" 0 7.16280205560231 1 -0.000243058915034844
2098 "2025" 0 7.162559176093 1 -0.000242879509306348
2099 "2025" 0 7.162316475857 1 -0.000242700235999926
2100 "2025" 0 7.16207395476198 1 -0.000242521095017878
2101 "2025" 0 7.16183161267572 1 -0.000242342086262504
2102 "2025" 0 7.16158944946608 1 -0.000242163209636104
2103 "2025" 0 7.16134746500104 1 -0.000241984465041867
2104 "2025" 0 7.16110565914866 1 -0.000241805852382093
2105 "2025" 0 7.1608640317771 1 -0.000241627371559083
2106 "2025" 0 7.16062258275463 1 -0.000241449022475138
2107 "2025" 0 7.16038131194959 1 -0.000241270805034333
2108 "2025" 0 7.16014021923045 1 -0.000241092719138081
2109 "2025" 0 7.15989930446576 1 -0.000240914764690459
2110 "2025" 0 7.15965856752417 1 -0.000240736941593767
2111 "2025" 0 7.15941800827442 1 -0.000240559249751193
2112 "2025" 0 7.15917762658535 1 -0.000240381689065927
2113 "2025" 0 7.15893742232591 1 -0.000240204259440269
2114 "2025" 0 7.15869739536513 1 -0.000240026960779183
2115 "2025" 0 7.15845754557215 1 -0.00023984979298497
2116 "2025" 0 7.15821787281619 1 -0.000239672755960818
2117 "2025" 0 7.15797837696658 1 -0.000239495849610805
2118 "2025" 0 7.15773905789274 1 -0.000239319073838118
2119 "2025" 0 7.15749991546419 1 -0.000239142428546835
2120 "2025" 0 7.15726094955055 1 -0.000238965913640143
2121 "2025" 0 7.15702216002153 1 -0.000238789529022121
2122 "2025" 0 7.15678354674693 1 -0.000238613274595956
2123 "2025" 0 7.15654510959667 1 -0.000238437150266613
2124 "2025" 0 7.15630684844073 1 -0.00023826115593728
2125 "2025" 0 7.15606876314922 1 -0.000238085291512036
2126 "2025" 0 7.15583085359232 1 -0.000237909556895843
2127 "2025" 0 7.15559311964033 1 -0.000237733951991004
2128 "2025" 0 7.15535556116363 1 -0.000237558476704258
2129 "2025" 0 7.15511817803269 1 -0.000237383130937907
2130 "2025" 0 7.15488097011809 1 -0.000237207914596915
2131 "2025" 0 7.1546439372905 1 -0.000237032827586248
2132 "2025" 0 7.15440707942069 1 -0.000236857869810869
2133 "2025" 0 7.15417039637952 1 -0.000236683041173968
2134 "2025" 0 7.15393388803794 1 -0.00023650834158051
2135 "2025" 0 7.153697554267 1 -0.000236333770936348
2136 "2025" 0 7.15346139493786 1 -0.000236159329145558
2137 "2025" 0 7.15322540992174 1 -0.000235985016113105
2138 "2025" 0 7.15298959909 1 -0.000235810831743066
2139 "2025" 0 7.15275396231406 1 -0.000235636775942183
2140 "2025" 0 7.15251849946544 1 -0.000235462848614532
2141 "2025" 0 7.15228321041578 1 -0.000235289049665965
2142 "2025" 0 7.15204809503678 1 -0.000235115379000561
2143 "2025" 0 7.15181315320025 1 -0.000234941836524172
2144 "2025" 0 7.15157838477811 1 -0.00023476842214265
2145 "2025" 0 7.15134378964235 1 -0.000234595135760962
2146 "2025" 0 7.15110936766506 1 -0.00023442197728496
2147 "2025" 0 7.15087511871844 1 -0.000234248946619608
2148 "2025" 0 7.15064104267477 1 -0.000234076043671649
2149 "2025" 0 7.15040713940643 1 -0.000233903268346047
2150 "2025" 0 7.15017340878588 1 -0.000233730620547767
2151 "2025" 0 7.1499398506857 1 -0.000233558100184439
2152 "2025" 0 7.14970646497853 1 -0.000233385707161027
2153 "2025" 0 7.14947325153715 1 -0.000233213441384272
2154 "2025" 0 7.14924021023439 1 -0.00023304130275914
2155 "2025" 0 7.1490073409432 1 -0.000232869291192372
2156 "2025" 0 7.14877464353661 1 -0.000232697406589821
2157 "2025" 0 7.14854211788775 1 -0.000232525648858228
2158 "2025" 0 7.14830976386985 1 -0.000232354017904335
2159 "2025" 0 7.14807758135621 1 -0.000232182513633994
2160 "2025" 0 7.14784557022026 1 -0.000232011135953059
2161 "2025" 0 7.14761373033549 1 -0.000231839884769158
2162 "2025" 0 7.1473820615755 1 -0.000231668759988146
2163 "2025" 0 7.14715056381398 1 -0.000231497761517652
2164 "2025" 0 7.14691923692472 1 -0.000231326889263528
2165 "2025" 0 7.14668808078159 1 -0.000231156143133404
2166 "2025" 0 7.14645709525855 1 -0.000230985523033134
2167 "2025" 0 7.14622628022968 1 -0.000230815028871234
2168 "2025" 0 7.14599563556913 1 -0.000230644660553558
2169 "2025" 0 7.14576516115114 1 -0.000230474417986848
2170 "2025" 0 7.14553485685006 1 -0.00023030430107962
2171 "2025" 0 7.14530472254032 1 -0.000230134309737728
2172 "2025" 0 7.14507475809646 1 -0.00022996444386969
2173 "2025" 0 7.14484496339307 1 -0.000229794703382247
2174 "2025" 0 7.14461533830489 1 -0.000229625088183916
2175 "2025" 0 7.14438588270671 1 -0.00022945559818055
2176 "2025" 0 7.14415659647343 1 -0.00022928623327978
2177 "2025" 0 7.14392747948004 1 -0.00022911699339101
2178 "2025" 0 7.14369853160162 1 -0.000228947878420982
2179 "2025" 0 7.14346975271334 1 -0.000228778888276437
2180 "2025" 0 7.14324114269047 1 -0.00022861002286767
2181 "2025" 0 7.14301270140837 1 -0.000228441282100533
2182 "2025" 0 7.14278442874249 1 -0.000228272665883544
2183 "2025" 0 7.14255632456836 1 -0.000228104174124333
2184 "2025" 0 7.14232838876163 1 -0.000227935806732305
2185 "2025" 0 7.14210062119802 1 -0.000227767563615089
2186 "2025" 0 7.14187302175334 1 -0.000227599444681204
2187 "2025" 0 7.1416455903035 1 -0.000227431449838278
2188 "2025" 0 7.1414183267245 1 -0.00022726357899483
2189 "2025" 0 7.14119123089244 1 -0.000227095832059376
2190 "2025" 0 7.1409643026835 1 -0.000226928208941324
2191 "2025" 0 7.14073754197395 1 -0.000226760709548302
2192 "2025" 0 7.14051094864016 1 -0.000226593333788827
2193 "2025" 0 7.14028452255859 1 -0.000226426081573194
2194 "2025" 0 7.14005826360578 1 -0.000226258952808145
2195 "2025" 0 7.13983217165838 1 -0.000226091947403972
2196 "2025" 0 7.13960624659311 1 -0.000225925065269195
2197 "2025" 0 7.1393804882868 1 -0.000225758306312329
2198 "2025" 0 7.13915489661635 1 -0.00022559167044367
2199 "2025" 0 7.13892947145878 1 -0.000225425157571735
2200 "2025" 0 7.13870421269118 1 -0.000225258767605041
2201 "2025" 0 7.13847912019072 1 -0.000225092500453883
2202 "2025" 0 7.1382541938347 1 -0.000224926356026778
2203 "2025" 0 7.13802943350046 1 -0.00022476033423402
2204 "2025" 0 7.13780483906548 1 -0.000224594434984127
2205 "2025" 0 7.13758041040729 1 -0.000224428658187392
2206 "2025" 0 7.13735614740354 1 -0.000224263003753222
2207 "2025" 0 7.13713204993195 1 -0.000224097471591911
2208 "2025" 0 7.13690811787033 1 -0.000223932061611976
2209 "2025" 0 7.13668435109661 1 -0.00022376677372371
2210 "2025" 0 7.13646074948877 1 -0.000223601607837409
2211 "2025" 0 7.13623731292491 1 -0.000223436563862478
2212 "2025" 0 7.1360140412832 1 -0.000223271641709211
2213 "2025" 0 7.13579093444191 1 -0.000223106841287901
2214 "2025" 0 7.13556799227941 1 -0.000222942162507955
2215 "2025" 0 7.13534521467412 1 -0.000222777605280555
2216 "2025" 0 7.13512260150461 1 -0.000222613169515995
2217 "2025" 0 7.13490015264949 1 -0.00022244885512368
2218 "2025" 0 7.13467786798747 1 -0.000222284662013905
2219 "2025" 0 7.13445574739737 1 -0.000222120590097852
2220 "2025" 0 7.13423379075809 1 -0.000221956639286702
2221 "2025" 0 7.1340119979486 1 -0.000221792809489862
2222 "2025" 0 7.13379036884798 1 -0.000221629100618514
2223 "2025" 0 7.1335689033354 1 -0.000221465512582952
2224 "2025" 0 7.1333476012901 1 -0.000221302045295246
2225 "2025" 0 7.13312646259144 1 -0.000221138698664802
2226 "2025" 0 7.13290548711883 1 -0.000220975472602802
2227 "2025" 0 7.13268467475181 1 -0.000220812367021317
2228 "2025" 0 7.13246402536998 1 -0.00022064938183064
2229 "2025" 0 7.13224353885304 1 -0.000220486516941953
2230 "2025" 0 7.13202321508077 1 -0.000220323772265552
2231 "2025" 0 7.13180305393306 1 -0.000220161147714393
2232 "2025" 0 7.13158305528986 1 -0.000219998643199659
2233 "2025" 0 7.13136321903123 1 -0.000219836258631645
2234 "2025" 0 7.13114354503731 1 -0.000219673993921532
2235 "2025" 0 7.13092403318832 1 -0.000219511848982279
2236 "2025" 0 7.1307046833646 1 -0.000219349823725068
2237 "2025" 0 7.13048549544654 1 -0.000219187918061081
2238 "2025" 0 7.13026646931463 1 -0.000219026131902389
2239 "2025" 0 7.13004760484947 1 -0.000218864465161062
2240 "2025" 0 7.12982890193173 1 -0.000218702917747393
2241 "2025" 0 7.12961036044215 1 -0.00021854148957523
2242 "2025" 0 7.1293919802616 1 -0.000218380180555755
2243 "2025" 0 7.12917376127099 1 -0.000218218990601926
2244 "2025" 0 7.12895570335137 1 -0.000218057919624037
2245 "2025" 0 7.12873780638383 1 -0.000217896967535047
2246 "2025" 0 7.12852007024959 1 -0.000217736134247914
2247 "2025" 0 7.12830249482991 1 -0.000217575419674709
2248 "2025" 0 7.12808508000619 1 -0.000217414823726614
2249 "2025" 0 7.12786782565987 1 -0.000217254346318363
2250 "2025" 0 7.12765073167251 1 -0.000217093987360251
2251 "2025" 0 7.12743379792574 1 -0.000216933746765235
2252 "2025" 0 7.12721702430129 1 -0.000216773624447164
2253 "2025" 0 7.12700041068098 1 -0.000216613620317219
2254 "2025" 0 7.12678395694669 1 -0.000216453734289246
2255 "2025" 0 7.12656766298041 1 -0.000216293966276204
2256 "2025" 0 7.12635152866422 1 -0.000216134316190164
2257 "2025" 0 7.12613555388028 1 -0.000215974783944972
2258 "2025" 0 7.12591973851082 1 -0.000215815369452699
2259 "2025" 0 7.1257040824382 1 -0.000215656072626302
2260 "2025" 0 7.12548858554482 1 -0.000215496893380518
2261 "2025" 0 7.12527324771319 1 -0.000215337831626528
2262 "2025" 0 7.12505806882591 1 -0.000215178887279066
2263 "2025" 0 7.12484304876566 1 -0.000215020060251092
2264 "2025" 0 7.1246281874152 1 -0.000214861350455564
2265 "2025" 0 7.1244134846574 1 -0.000214702757806329
2266 "2025" 0 7.12419894037518 1 -0.000214544282217233
2267 "2025" 0 7.12398455445158 1 -0.000214385923601235
2268 "2025" 0 7.12377032676971 1 -0.000214227681873069
2269 "2025" 0 7.12355625721276 1 -0.000214069556944807
2270 "2025" 0 7.12334234566403 1 -0.000213911548731183
2271 "2025" 0 7.12312859200688 1 -0.000213753657146931
2272 "2025" 0 7.12291499612478 1 -0.000213595882104123
2273 "2025" 0 7.12270155790126 1 -0.000213438223517493
2274 "2025" 0 7.12248827721996 1 -0.000213280681301775
2275 "2025" 0 7.12227515396459 1 -0.000213123255370817
2276 "2025" 0 7.12206218801895 1 -0.000212965945637578
2277 "2025" 0 7.12184937926693 1 -0.000212808752017679
2278 "2025" 0 7.12163672759251 1 -0.000212651674424968
2279 "2025" 0 7.12142423287974 1 -0.000212494712773292
2280 "2025" 0 7.12121189501276 1 -0.000212337866978274
2281 "2025" 0 7.1209997138758 1 -0.000212181136952871
2282 "2025" 0 7.12078768935319 1 -0.000212024522613596
2283 "2025" 0 7.12057582132932 1 -0.000211868023873407
2284 "2025" 0 7.12036410968867 1 -0.000211711640647039
2285 "2025" 0 7.12015255431582 1 -0.000211555372850114
2286 "2025" 0 7.11994115509542 1 -0.00021139922039648
2287 "2025" 0 7.11972991191222 1 -0.000211243183201759
2288 "2025" 0 7.11951882465104 1 -0.000211087261180687
2289 "2025" 0 7.11930789319679 1 -0.000210931454247998
2290 "2025" 0 7.11909711743447 1 -0.000210775762319315
2291 "2025" 0 7.11888649724917 1 -0.000210620185309374
2292 "2025" 0 7.11867603252603 1 -0.000210464723132908
2293 "2025" 0 7.11846572315033 1 -0.00021030937570643
2294 "2025" 0 7.11825556900738 1 -0.000210154142943786
2295 "2025" 0 7.11804556998262 1 -0.000209999024760599
2296 "2025" 0 7.11783572596155 1 -0.00020984402107338
2297 "2025" 0 7.11762603682975 1 -0.000209689131796864
2298 "2025" 0 7.11741650247291 1 -0.000209534356845786
2299 "2025" 0 7.11720712277677 1 -0.000209379696137546
2300 "2025" 0 7.11699789762718 1 -0.00020922514958599
2301 "2025" 0 7.11678882691007 1 -0.000209070717108517
2302 "2025" 0 7.11657991051145 1 -0.000208916398619863
2303 "2025" 0 7.11637114831742 1 -0.000208762194036538
2304 "2025" 0 7.11616254021414 1 -0.000208608103274166
2305 "2025" 0 7.11595408608789 1 -0.00020845412624837
2306 "2025" 0 7.11574578582502 1 -0.000208300262874772
2307 "2025" 0 7.11553763931195 1 -0.000208146513071661
2308 "2025" 0 7.1153296464352 1 -0.000207992876752883
2309 "2025" 0 7.11512180708136 1 -0.000207839353835837
2310 "2025" 0 7.11491412113712 1 -0.000207685944236147
2311 "2025" 0 7.11470658848925 1 -0.000207532647871211
2312 "2025" 0 7.1144992090246 1 -0.000207379464656654
2313 "2025" 0 7.11429198263009 1 -0.000207226394508986
2314 "2025" 0 7.11408490919274 1 -0.000207073437344718
2315 "2025" 0 7.11387798859966 1 -0.000206920593080362
2316 "2025" 0 7.11367122073803 1 -0.000206767861633317
2317 "2025" 0 7.11346460549511 1 -0.000206615242920094
2318 "2025" 0 7.11325814275825 1 -0.000206462736856317
2319 "2025" 0 7.11305183241489 1 -0.000206310343360272
2320 "2025" 0 7.11284567435254 1 -0.000206158062348472
2321 "2025" 0 7.11263966845881 1 -0.000206005893737427
2322 "2025" 0 7.11243381462136 1 -0.000205853837445424
2323 "2025" 0 7.11222811272797 1 -0.0002057018933872
2324 "2025" 0 7.11202256266649 1 -0.000205550061482818
2325 "2025" 0 7.11181716432484 1 -0.000205398341647012
2326 "2025" 0 7.11161191759104 1 -0.00020524673379807
2327 "2025" 0 7.11140682235319 1 -0.000205095237853392
2328 "2025" 0 7.11120187849946 1 -0.000204943853731265
2329 "2025" 0 7.11099708591811 1 -0.000204792581347313
2330 "2025" 0 7.11079244449749 1 -0.000204641420619822
2331 "2025" 0 7.11058795412603 1 -0.000204490371467081
2332 "2025" 0 7.11038361469222 1 -0.0002043394338056
2333 "2025" 0 7.11017942608467 1 -0.000204188607554556
2334 "2025" 0 7.10997538819204 1 -0.000204037892629572
2335 "2025" 0 7.10977150090309 1 -0.00020388728895071
