"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20712470242796 1 -0.000875297572037859
2008 "2025" 0.637 7.2062400787565 1 -0.000884623671463913
2009 "2025" 0.662 7.20533118162935 1 -0.000908897127148478
2010 "2025" 0.697 7.20438805941419 1 -0.000943122215163683
2011 "2025" 0.736 7.20340674947799 1 -0.000981309936197938
2012 "2025" 0.774 7.2023882768375 1 -0.00101847264048427
2013 "2025" 0.806 7.20133865049315 1 -0.0010496263443569
2014 "2025" 0.834 7.20026188113367 1 -0.00107676935948042
2015 "2025" 0.858 7.19916197649981 1 -0.00109990463385223
2016 "2025" 0.881 7.19803995054426 1 -0.0011220259555591
2017 "2025" 0.908 7.19689183173727 1 -0.00114811880698173
2018 "2025" 0.936 7.19571664231062 1 -0.00117518942665207
2019 "2025" 0.965 7.19451340521475 1 -0.00120323709587478
2020 "2025" 1.002 7.19327416548634 1 -0.00123923972841133
2021 "2025" 1.048 7.19198997706184 1 -0.00128418842450007
2022 "2025" 1.096 7.1906588790853 1 -0.00133109797653841
2023 "2025" 1.141 7.18928389687916 1 -0.00137498220613885
2024 "2025" 1.183 7.18786805354214 1 -0.0014158433370195
2025 "2025" 1.183 7.18645325090018 1 -0.0014148026419587
2026 "2025" 1.183 7.18503948818833 1 -0.00141376271184512
2027 "2025" 1.183 7.18362676464222 1 -0.00141272354611743
2028 "2025" 1.183 7.182215079498 1 -0.00141168514421341
2029 "2025" 1.183 7.18080443199243 1 -0.00141064750557174
2030 "2025" 1.183 7.1793948213628 1 -0.00140961062963108
2031 "2025" 1.183 7.17798624684697 1 -0.00140857451583098
2032 "2025" 1.183 7.17657870768336 1 -0.00140753916361103
2033 "2025" 1.183 7.17517220311095 1 -0.00140650457241165
2034 "2025" 1.183 7.17376673236927 1 -0.00140547074167419
2035 "2025" 1.183 7.17236229469844 1 -0.0014044376708382
2036 "2025" 1.183 7.17095888933909 1 -0.00140340535934591
2037 "2025" 1.183 7.16955651553245 1 -0.00140237380663955
2038 "2025" 1.183 7.16815517252029 1 -0.00140134301216133
2039 "2025" 1.183 7.16675485954493 1 -0.00140031297535348
2040 "2025" 1.183 7.16535557584928 1 -0.00139928369565911
2041 "2025" 1.183 7.16395732067675 1 -0.00139825517252135
2042 "2025" 1.183 7.16256009327137 1 -0.00139722740538506
2043 "2025" 1.183 7.16116389287768 1 -0.00139620039369337
2044 "2025" 1.183 7.15976871874078 1 -0.00139517413689294
2045 "2025" 1.183 7.15837457010636 1 -0.00139414863442688
2046 "2025" 1.183 7.15698144622062 1 -0.00139312388574098
2047 "2025" 1.183 7.15558934633033 1 -0.00139209989028277
2048 "2025" 1.183 7.15419826968284 1 -0.00139107664749716
2049 "2025" 1.183 7.152808215526 1 -0.0013900541568308
2050 "2025" 1.183 7.15141918310827 1 -0.00138903241773214
2051 "2025" 1.183 7.15003117167863 1 -0.00138801142964695
2052 "2025" 1.183 7.1486441804866 1 -0.00138699119202457
2053 "2025" 1.183 7.14725820878229 1 -0.00138597170431343
2054 "2025" 1.183 7.14587325581633 1 -0.00138495296596197
2055 "2025" 1.183 7.14448932083991 1 -0.00138393497641864
2056 "2025" 1.183 7.14310640310477 1 -0.00138291773513455
2057 "2025" 1.183 7.14172450186321 1 -0.00138190124155813
2058 "2025" 1.183 7.14034361636807 1 -0.00138088549514137
2059 "2025" 1.183 7.13896374587274 1 -0.00137987049533361
2060 "2025" 1.183 7.13758488963115 1 -0.00137885624158685
2061 "2025" 1.183 7.1362070468978 1 -0.00137784273335217
2062 "2025" 1.183 7.13483021692772 1 -0.00137682997008248
2063 "2025" 1.183 7.13345439897649 1 -0.00137581795122976
2064 "2025" 1.183 7.13207959230024 1 -0.0013748066762469
2065 "2025" 1.183 7.13070579615565 1 -0.00137379614458677
2066 "2025" 1.183 7.12933300979995 1 -0.00137278635570315
2067 "2025" 1.183 7.1279612324909 1 -0.0013717773090498
2068 "2025" 1.183 7.12659046348682 1 -0.00137076900408228
2069 "2025" 1.183 7.12522070204656 1 -0.00136976144025436
2070 "2025" 1.183 7.12385194742954 1 -0.00136875461702157
2071 "2025" 1.183 7.1224841988957 1 -0.00136774853383947
2072 "2025" 1.183 7.12111745570554 1 -0.0013667431901645
2073 "2025" 1.183 7.11975171712009 1 -0.00136573858545219
2074 "2025" 1.183 7.11838698240093 1 -0.00136473471916077
2075 "2025" 1.183 7.11702325081018 1 -0.00136373159074576
2076 "2025" 1.183 7.11566052161051 1 -0.00136272919966629
2077 "2025" 1.183 7.11429879406513 1 -0.00136172754537967
2078 "2025" 1.183 7.11293806743779 1 -0.00136072662734499
2079 "2025" 1.183 7.11157834099277 1 -0.00135972644501958
2080 "2025" 1.183 7.11021961399491 1 -0.00135872699786432
2081 "2025" 1.183 7.10886188570957 1 -0.00135772828533831
2082 "2025" 1.183 7.10750515540267 1 -0.00135673030690064
2083 "2025" 1.183 7.10614942234065 1 -0.00135573306201309
2084 "2025" 1.183 7.10479468579052 1 -0.00135473655013563
2085 "2025" 1.183 7.10344094501979 1 -0.00135374077073003
2086 "2025" 1.183 7.10208819929653 1 -0.00135274572325805
2087 "2025" 1.183 7.10073644788935 1 -0.00135175140718058
2088 "2025" 1.183 7.09938569006739 1 -0.00135075782196026
2089 "2025" 1.183 7.09803592510033 1 -0.00134976496706063
2090 "2025" 1.183 7.09668715225838 1 -0.00134877284194523
2091 "2025" 1.183 7.09533937081231 1 -0.00134778144607672
2092 "2025" 1.183 7.09399258003339 1 -0.00134679077891864
2093 "2025" 1.183 7.09264677919345 1 -0.0013458008399363
2094 "2025" 1.183 7.09130196756486 1 -0.00134481162859501
2095 "2025" 1.183 7.0899581444205 1 -0.00134382314435832
2096 "2025" 1.183 7.0886153090338 1 -0.00134283538669333
2097 "2025" 1.183 7.08727346067874 1 -0.00134184835506446
2098 "2025" 1.183 7.0859325986298 1 -0.0013408620489388
2099 "2025" 1.183 7.08459272216202 1 -0.00133987646778344
2100 "2025" 1.183 7.08325383055095 1 -0.00133889161106548
2101 "2025" 1.183 7.0819159230727 1 -0.00133790747825202
2102 "2025" 1.183 7.08057899900389 1 -0.00133692406881103
2103 "2025" 1.183 7.07924305762168 1 -0.00133594138221049
2104 "2025" 1.183 7.07790809820376 1 -0.00133495941791928
2105 "2025" 1.183 7.07657412002835 1 -0.00133397817540715
2106 "2025" 1.183 7.07524112237421 1 -0.00133299765414296
2107 "2025" 1.183 7.07390910452061 1 -0.00133201785359649
2108 "2025" 1.183 7.07257806574737 1 -0.00133103877323837
2109 "2025" 1.183 7.07124800533484 1 -0.00133006041253925
2110 "2025" 1.183 7.06991892256387 1 -0.00132908277096977
2111 "2025" 1.183 7.06859081671586 1 -0.00132810584800147
2112 "2025" 1.183 7.06726368707276 1 -0.00132712964310588
2113 "2025" 1.183 7.065937532917 1 -0.00132615415575632
2114 "2025" 1.183 7.06461235353158 1 -0.00132517938542343
2115 "2025" 1.183 7.0632881482 1 -0.00132420533158228
2116 "2025" 1.183 7.06196491620629 1 -0.00132323199370532
2117 "2025" 1.183 7.06064265683503 1 -0.00132225937126496
2118 "2025" 1.183 7.05932136937129 1 -0.00132128746373805
2119 "2025" 1.183 7.05800105310069 1 -0.00132031627059703
2120 "2025" 1.183 7.05668170730937 1 -0.00131934579131698
2121 "2025" 1.183 7.055363331284 1 -0.00131837602537388
2122 "2025" 1.183 7.05404592431176 1 -0.0013174069722437
2123 "2025" 1.183 7.05272948568035 1 -0.00131643863140152
2124 "2025" 1.183 7.05141401467803 1 -0.00131547100232421
