"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20712470242796 1 -0.000875297572037859
2008 "2025" 0.637 7.2062400787565 1 -0.000884623671463913
2009 "2025" 0.662 7.20533118162935 1 -0.000908897127148478
2010 "2025" 0.697 7.20438805941419 1 -0.000943122215163683
2011 "2025" 0.736 7.20340674947799 1 -0.000981309936197938
2012 "2025" 0.774 7.2023882768375 1 -0.00101847264048427
2013 "2025" 0.806 7.20133865049315 1 -0.0010496263443569
2014 "2025" 0.834 7.20026188113367 1 -0.00107676935948042
2015 "2025" 0.858 7.19916197649981 1 -0.00109990463385223
2016 "2025" 0.881 7.19803995054426 1 -0.0011220259555591
2017 "2025" 0.908 7.19689183173727 1 -0.00114811880698173
2018 "2025" 0.936 7.19571664231062 1 -0.00117518942665207
2019 "2025" 0.965 7.19451340521475 1 -0.00120323709587478
2020 "2025" 1.002 7.19327416548634 1 -0.00123923972841133
2021 "2025" 1.048 7.19198997706184 1 -0.00128418842450007
2022 "2025" 1.096 7.1906588790853 1 -0.00133109797653841
2023 "2025" 1.141 7.18928389687916 1 -0.00137498220613885
2024 "2025" 1.183 7.18786805354214 1 -0.0014158433370195
2025 "2025" 1.083 7.18655294564199 1 -0.00131510790014477
2026 "2025" 0.983 7.1853384991346 1 -0.00121444650738933
2027 "2025" 0.883 7.18422464003028 1 -0.00111385910432649
2028 "2025" 0.783 7.18321129439371 1 -0.00101334563657129
2029 "2025" 0.683 7.18229838834393 1 -0.00091290604978056
2030 "2025" 0.583 7.18148584805428 1 -0.000812540289647501
2031 "2025" 0.483 7.18077359975237 1 -0.000712248301907081
2032 "2025" 0.383 7.18016156972004 1 -0.000612030032334232
2033 "2025" 0.283 7.17964968429329 1 -0.000511885426742964
2034 "2025" 0.183 7.17923786986231 1 -0.000411814430988144
2035 "2025" 0.083 7.17892605287134 1 -0.000311816990964608
2036 "2025" 0 7.17869721171263 1 -0.000228841158713244
2037 "2025" 0 7.17846853876028 1 -0.000228672952347075
2038 "2025" 0 7.17824003389066 1 -0.000228504869618007
2039 "2025" 0 7.17801169698023 1 -0.000228336910435445
2040 "2025" 0 7.17778352790552 1 -0.000228169074708795
2041 "2025" 0 7.17755552654317 1 -0.000228001362347463
2042 "2025" 0 7.17732769276991 1 -0.000227833773260855
2043 "2025" 0 7.17710002646255 1 -0.000227666307358376
2044 "2025" 0 7.176872527498 1 -0.000227498964549433
2045 "2025" 0 7.17664519575326 1 -0.000227331744742543
2046 "2025" 0 7.17641803110541 1 -0.000227164647848888
2047 "2025" 0 7.17619103343163 1 -0.000226997673776985
2048 "2025" 0 7.1759642026092 1 -0.00022683082243713
2049 "2025" 0 7.17573753851546 1 -0.000226664093738727
2050 "2025" 0 7.17551104102787 1 -0.00022649748759207
2051 "2025" 0 7.17528471002396 1 -0.000226331003906566
2052 "2025" 0 7.17505854538137 1 -0.000226164642592508
2053 "2025" 0 7.17483254697781 1 -0.00022599840356019
2054 "2025" 0 7.17460671469109 1 -0.000225832286719019
2055 "2025" 0 7.17438104839911 1 -0.000225666291979287
2056 "2025" 0 7.17415554797986 1 -0.000225500419252178
2057 "2025" 0 7.17393021331141 1 -0.000225334668447985
2058 "2025" 0 7.17370504427193 1 -0.000225169039476114
2059 "2025" 0 7.17348004073969 1 -0.000225003532246859
2060 "2025" 0 7.17325520259301 1 -0.000224838146671402
2061 "2025" 0 7.17303052971035 1 -0.000224672882660926
2062 "2025" 0 7.17280602197023 1 -0.000224507740124835
2063 "2025" 0 7.17258167925125 1 -0.000224342718974313
2064 "2025" 0 7.17235750143213 1 -0.000224177819119653
2065 "2025" 0 7.17213348839166 1 -0.000224013040472926
2066 "2025" 0 7.17190964000872 1 -0.000223848382944425
2067 "2025" 0 7.17168595616227 1 -0.000223683846445333
2068 "2025" 0 7.17146243673139 1 -0.000223519430885943
2069 "2025" 0 7.17123908159521 1 -0.000223355136177439
2070 "2025" 0 7.17101589063298 1 -0.00022319096223189
2071 "2025" 0 7.17079286372402 1 -0.000223026908959589
2072 "2025" 0 7.17057000074774 1 -0.000222862976272609
2073 "2025" 0 7.17034730158366 1 -0.00022269916408213
2074 "2025" 0 7.17012476611136 1 -0.000222535472299334
2075 "2025" 0 7.16990239421053 1 -0.000222371900835405
2076 "2025" 0 7.16968018576093 1 -0.000222208449602412
2077 "2025" 0 7.16945814064241 1 -0.000222045118512426
2078 "2025" 0 7.16923625873494 1 -0.000221881907476629
2079 "2025" 0 7.16901453991853 1 -0.000221718816406202
2080 "2025" 0 7.16879298407332 1 -0.000221555845213217
2081 "2025" 0 7.16857159107951 1 -0.000221392993810632
2082 "2025" 0 7.1683503608174 1 -0.00022123026210874
2083 "2025" 0 7.16812929316738 1 -0.000221067650021389
2084 "2025" 0 7.16790838800992 1 -0.000220905157458873
2085 "2025" 0 7.16768764522558 1 -0.000220742784334149
2086 "2025" 0 7.16746706469502 1 -0.000220580530560177
2087 "2025" 0 7.16724664629897 1 -0.000220418396048139
2088 "2025" 0 7.16702638991826 1 -0.000220256380710104
2089 "2025" 0 7.1668062954338 1 -0.000220094484459921
2090 "2025" 0 7.1665863627266 1 -0.00021993270720877
2091 "2025" 0 7.16636659167773 1 -0.00021977104886961
2092 "2025" 0 7.16614698216837 1 -0.000219609509355401
2093 "2025" 0 7.16592753407979 1 -0.000219448088578211
2094 "2025" 0 7.16570824729334 1 -0.000219286786451001
2095 "2025" 0 7.16548912169046 1 -0.000219125602886727
2096 "2025" 0 7.16527015715266 1 -0.00021896453779835
2097 "2025" 0 7.16505135356156 1 -0.000218803591097938
2098 "2025" 0 7.16483271079886 1 -0.000218642762699339
2099 "2025" 0 7.16461422874634 1 -0.000218482052515512
2100 "2025" 0 7.16439590728589 1 -0.000218321460458526
2101 "2025" 0 7.16417774629944 1 -0.000218160986443117
2102 "2025" 0 7.16395974566906 1 -0.000218000630382242
2103 "2025" 0 7.16374190527687 1 -0.000217840392187973
2104 "2025" 0 7.1635242250051 1 -0.000217680271775045
2105 "2025" 0 7.16330670473604 1 -0.000217520269055527
2106 "2025" 0 7.1630893443521 1 -0.000217360383944154
2107 "2025" 0 7.16287214373574 1 -0.000217200616353885
2108 "2025" 0 7.16265510276954 1 -0.000217040966198567
2109 "2025" 0 7.16243822133615 1 -0.000216881433392047
2110 "2025" 0 7.16222149931831 1 -0.000216722017847282
2111 "2025" 0 7.16200493659883 1 -0.000216562719479008
2112 "2025" 0 7.16178853306063 1 -0.000216403538200183
2113 "2025" 0 7.1615722885867 1 -0.000216244473925542
2114 "2025" 0 7.16135620306013 1 -0.000216085526568932
2115 "2025" 0 7.16114027636409 1 -0.0002159266960442
2116 "2025" 0 7.16092450838182 1 -0.000215767982265191
2117 "2025" 0 7.16070889899668 1 -0.000215609385146642
2118 "2025" 0 7.16049344809207 1 -0.000215450904602399
2119 "2025" 0 7.16027815555153 1 -0.000215292540548084
2120 "2025" 0 7.16006302125863 1 -0.000215134292895769
2121 "2025" 0 7.15984804509707 1 -0.000214976161561076
2122 "2025" 0 7.15963322695061 1 -0.000214818146459628
2123 "2025" 0 7.15941856670311 1 -0.000214660247503495
2124 "2025" 0 7.1592040642385 1 -0.00021450246460919
2125 "2025" 0 7.1589897194408 1 -0.000214344797691446
2126 "2025" 0 7.15877553219414 1 -0.00021418724666411
2127 "2025" 0 7.1585615023827 1 -0.000214029811441918
2128 "2025" 0 7.15834762989076 1 -0.00021387249194138
2129 "2025" 0 7.15813391460268 1 -0.000213715288075456
2130 "2025" 0 7.15792035640292 1 -0.000213558199759767
