"t" "Tt" "Vt" "dt" "Vdt"
2006 0.632 7.208 1 NA
2007 0.627 7.20712470242796 1 -0.000875297572037859
2008 0.637 7.2062400787565 1 -0.000884623671463913
2009 0.662 7.20533118162935 1 -0.000908897127148478
2010 0.697 7.20438805941419 1 -0.000943122215163683
2011 0.736 7.20340674947799 1 -0.000981309936197938
2012 0.774 7.2023882768375 1 -0.00101847264048427
2013 0.806 7.20133865049315 1 -0.0010496263443569
2014 0.834 7.20026188113367 1 -0.00107676935948042
2015 0.858 7.19916197649981 1 -0.00109990463385223
2016 0.881 7.19803995054426 1 -0.0011220259555591
2017 0.908 7.19689183173727 1 -0.00114811880698173
2018 0.936 7.19571664231062 1 -0.00117518942665207
2019 0.965 7.19451340521475 1 -0.00120323709587478
2020 1.002 7.19327416548634 1 -0.00123923972841133
2021 1.048 7.19198997706184 1 -0.00128418842450007
2022 1.096 7.1906588790853 1 -0.00133109797653841
2023 1.141 7.18928389687916 1 -0.00137498220613885
2024 1.183 7.18786805354214 1 -0.0014158433370195
2025 1.22 7.18641636384571 1 -0.00145168969642917
2026 1.254 7.18493184498047 1 -0.00148451886523926
2027 1.288 7.18341452107702 1 -0.00151732390344606
2028 1.325 7.18186142540598 1 -0.00155309567104123
2029 1.364 7.18027059036603 1 -0.00159083503995472
2030 1.405 7.1786400498021 1 -0.00163054056393008
2031 1.454 7.17696185731982 1 -0.00167819248228263
2032 1.514 7.17522508152343 1 -0.00173677579638376
2033 1.572 7.1734317593686 1 -0.0017933221548363
2034 1.629 7.1715829293663 1 -0.00184883000229163
2035 1.683 7.16968162315905 1 -0.00190130620725615
2036 1.732 7.16773286405579 1 -0.00194875910325898
2037 1.777 7.16574067472576 1 -0.00199218933002765
2038 1.824 7.16370309319689 1 -0.00203758152887534
2039 1.87 7.16162114978146 1 -0.00208194341542978
2040 1.918 7.1594928831922 1 -0.0021282665892608
2041 1.964 7.15732032137312 1 -0.0021725618190791
2042 2.019 7.15509452435602 1 -0.00222579701709691
2043 2.08 7.15280954958615 1 -0.00228497476986433
2044 2.139 7.15046743445611 1 -0.00234211513004912
2045 2.196 7.1480702148609 1 -0.00239721959520711
2046 2.242 7.14562889772587 1 -0.0024413171350286
2047 2.279 7.14315248799104 1 -0.00247640973483154
2048 2.308 7.14064898703005 1 -0.00250350096098462
2049 2.339 7.13811642086109 1 -0.00253256616896191
2050 2.377 7.13554783221618 1 -0.00256858864490717
2051 2.422 7.1329362689412 1 -0.00261156327498302
2052 2.469 7.13027976872918 1 -0.00265650021201758
2053 2.526 7.12756839513619 1 -0.0027113735929909
2054 2.588 7.12479720375902 1 -0.00277119137717374
2055 2.654 7.12196225077618 1 -0.00283495298283754
2056 2.721 7.1190625861073 1 -0.00289966466887748
2057 2.784 7.11610224510744 1 -0.00296034099986109
2058 2.846 7.11308226932327 1 -0.0030199757841709
2059 2.92 7.10999073921945 1 -0.00309153010381813
2060 2.997 7.1068247165487 1 -0.00316602267075705
2061 3.082 7.10357628048633 1 -0.00324843606236236
2062 3.171 7.10024150381946 1 -0.00333477666687454
2063 3.259 7.0968214469589 1 -0.00342005686056357
2064 3.357 7.09330620311443 1 -0.00351524384446655
2065 3.448 7.0897028208838 1 -0.00360338223063383
2066 3.536 7.08601435589409 1 -0.00368846498970843
2067 3.62 7.08224485847382 1 -0.00376949742026422
2068 3.692 7.07840635155373 1 -0.00383850692009258
2069 3.756 7.07450686143758 1 -0.00389949011614643
2070 3.815 7.07055141768729 1 -0.00395544375029822
2071 3.869 7.06654504616783 1 -0.00400637151945382
2072 3.92 7.06249077515519 1 -0.004054271012639
2073 3.968 7.05839163069945 1 -0.00409914445574344
2074 4.016 7.05424764578417 1 -0.00414398491527557
2075 4.073 7.05004988084193 1 -0.00419776494224333
2076 4.136 7.04579239371844 1 -0.0042574871234935
2077 4.201 7.04147323441678 1 -0.00431915930165783
2078 4.266 7.0370924482682 1 -0.00438078614858473
2079 4.328 7.03265307141286 1 -0.00443937685533946
2080 4.387 7.02815813775926 1 -0.00449493365359199
2081 4.446 7.02360768814364 1 -0.00455044961562834
2082 4.506 7.01900076642475 1 -0.00460692171888155
2083 4.57 7.01433342632194 1 -0.00466734010280945
2084 4.635 7.00960471529744 1 -0.00472871102449979
2085 4.703 7.0048116876188 1 -0.00479302767864187
2086 4.779 6.9999464149817 1 -0.00486527263710634
2087 4.865 6.99499898101455 1 -0.00494743396714625
2088 4.95 6.98997044305627 1 -0.00502853795827729
2089 5.033 6.98486285461601 1 -0.00510758844026249
2090 5.111 6.97968125853576 1 -0.0051815960802486
2091 5.18 6.97443468174053 1 -0.00524657679523255
2092 5.244 6.96912815673053 1 -0.00530652500999551
2093 5.31 6.963759733675 1 -0.00536842305553087
2094 5.375 6.95833045501861 1 -0.00542927865638987
2095 5.441 6.95283936854497 1 -0.0054910864736426
2096 5.505 6.94728851357985 1 -0.00555085496512131
2097 5.574 6.94167294931812 1 -0.00561556426172949
2098 5.652 6.93598375079665 1 -0.00568919852147332
2099 5.727 6.93022396298148 1 -0.00575978781517072
2100 5.8 6.92439563165308 1 -0.00582833132839866
2101 5.869 6.91850279498304 1 -0.00589283667004015
2102 5.933 6.91255048512216 1 -0.00595230986087802
2103 5.996 6.90653974273277 1 -0.00601074238939248
2104 6.063 6.90046662297517 1 -0.00607311975760005
2105 6.131 6.89433017475152 1 -0.00613644822364723
2106 6.199 6.88813044461049 1 -0.00619973014102637
2107 6.267 6.88186747906654 1 -0.00626296554395278
2108 6.338 6.87553833375767 1 -0.00632914530886897
2109 6.414 6.86913807259127 1 -0.00640026116640247
2110 6.485 6.8626717325771 1 -0.00646634001416757
2111 6.552 6.85614335007514 1 -0.00652838250196464
2112 6.611 6.84956094626815 1 -0.00658240380698683
2113 6.664 6.84293054254822 1 -0.00663040371992629
2114 6.715 6.83625416809183 1 -0.00667637445639091
2115 6.767 6.82953085974168 1 -0.00672330835015256
2116 6.823 6.82275666420617 1 -0.00677419553550962
2117 6.88 6.81593062194177 1 -0.00682604226439931
2118 6.941 6.80904878326799 1 -0.00688183867377745
2119 7.009 6.80210421056525 1 -0.00694457270274373
2120 7.084 6.79508997131335 1 -0.00701423925189992
2121 7.159 6.78800611671968 1 -0.007083854593672
2122 7.23 6.78085668574365 1 -0.00714943097602738
2123 7.297 6.77364571437591 1 -0.00721097136774329
2124 7.358 6.76637922953533 1 -0.00726648484057968
2125 7.414 6.75906225676337 1 -0.00731697277195487
2126 7.471 6.75169383622304 1 -0.00736842054032838
2127 7.532 6.7442700179406 1 -0.00742381828244021
2128 7.601 6.73678286705601 1 -0.00748715088459129
2129 7.671 6.72923143317356 1 -0.00755143388245294
2130 7.748 6.7216087849116 1 -0.00762264826195835
2131 7.832 6.71390799598331 1 -0.00770078892829584
2132 7.907 6.7061380963516 1 -0.00776989963171015
2133 7.97 6.69831110018431 1 -0.00782699616728877
2134 8.017 6.69044300060811 1 -0.00786809957619905
2135 8.047 6.68255077594157 1 -0.00789222466653694
2136 8.068 6.67464341644425 1 -0.0079073594973158
2137 8.084 6.66672591797789 1 -0.00791749846636591
2138 8.106 6.65879230631047 1 -0.00793361166742379
2139 8.139 6.65083162686416 1 -0.00796067944630607
2140 8.18 6.6428359239554 1 -0.00799570290875717
2141 8.235 6.63479126606383 1 -0.00804465789157405
2142 8.303 6.62668472885665 1 -0.00810653720717891
2143 8.372 6.61851536086994 1 -0.00816936798671097
2144 8.44 6.61028420523396 1 -0.00823115563597288
2145 8.49 6.60200925241837 1 -0.00827495281559543
2146 8.524 6.59370648577432 1 -0.00830276664404828
2147 8.543 6.58539087995724 1 -0.0083156058170788
2148 8.554 6.57707041998373 1 -0.0083204599735156
2149 8.566 6.56874411247433 1 -0.00832630750939423
2150 8.585 6.56040498309528 1 -0.00833912937905357
2151 8.607 6.55205005042884 1 -0.00835493266643894
2152 8.643 6.54366536882714 1 -0.00838468160170081
2153 8.692 6.53523799984026 1 -0.00842736898687679
2154 8.749 6.52675999926561 1 -0.0084780005746552
2155 8.806 6.51823140431919 1 -0.00852859494642111
2156 8.859 6.50965623997933 1 -0.00857516433985772
2157 8.9 6.50104650384521 1 -0.00860973613412064
2158 8.931 6.4924121908025 1 -0.00863431304270712
2159 8.956 6.48375930060061 1 -0.00865289020188609
2160 8.974 6.47509482552635 1 -0.0086644750742666
2161 8.991 6.46641977104241 1 -0.00867505448393757
2162 9.005 6.4577371357673 1 -0.00868263527511282
2163 9.028 6.4490379527464 1 -0.00869918302090067
2164 9.06 6.44031326161612 1 -0.00872469113027208
2165 9.094 6.43156108723101 1 -0.00875217438511466
