"training.set" "member" "a" "b" "alpha" "beta"
"1" "complete" 1 -0.355022692560021 3.70288668340115 1.00000000010435e-05 2.08745341901382e-05
"2" "LOO" 1 -0.355850626938281 3.71152203897587 1.0000000000284e-05 2.08762519864167e-05
"3" "LOO" 2 -0.301325145241583 3.2787189053744 1.00000000002853e-05 2.10633875780649e-05
"4" "LOO" 3 -0.403384436480766 4.20729967255832 1.00000000029076e-05 2.09602168030363e-05
"5" "LOO" 4 -0.364272438656139 3.96364840501416 1.0000000001089e-05 2.11956589714062e-05
"6" "LOO" 5 -0.324471470836068 3.53057407417535 1.00000000001281e-05 2.10648963288677e-05
"7" "LOO" 6 -0.340443779307222 3.55082861817522 1.00000000000825e-05 2.07678439035015e-05
"8" "LOO" 7 -0.339321996319074 3.53912842162522 1.0000000000675e-05 2.07527733826749e-05
"9" "LOO" 8 -0.338805126462169 3.53373746906593 1.00000000017108e-05 2.07458375587775e-05
"10" "LOO" 9 -0.338436444590387 3.52989211708025 1.0000000000058e-05 2.0740878928454e-05
"11" "LOO" 10 -0.338274562634331 3.52820368826556 1.00000000000298e-05 2.0738714678001e-05
"12" "LOO" 11 -0.355052297917224 3.70319546733716 1.0000000002694e-05 2.08745900305832e-05
"13" "LOO" 12 -0.355649147803384 3.70942061160141 1.00000000046434e-05 2.08756153322477e-05
"14" "LOO" 13 -0.353034324544429 3.68214800502771 1.00000000004064e-05 2.08738423696202e-05
"15" "LOO" 14 -0.347646529341568 3.62595330685457 1.00000003569708e-05 2.08927579867602e-05
"16" "LOO" 15 -0.351807023744995 3.66934725767405 1.00000000014591e-05 2.09503956074813e-05
"17" "LOO" 16 -0.359745862331555 3.75214934431836 1.00000000018549e-05 2.09970976601729e-05
"18" "LOO" 17 -0.364564384106161 3.80240652657565 1.00000000127975e-05 2.1004362743044e-05
"19" "LOO" 18 -0.365596014954418 3.81316643682437 1.00000000651805e-05 2.09801054369146e-05
"20" "LOO" 19 -0.362806780179344 3.7840747172844 1.00000000003361e-05 2.09383295665168e-05
"21" "LOO" 20 -0.358665300131936 3.74087908041072 1.00000000003175e-05 2.09023059396421e-05
"22" "LO4" 1 -0.345656698166161 3.60519936199196 1.00000000000453e-05 2.08596467297836e-05
"23" "LO4" 2 -0.428079732925199 4.65793557396731 1.00000000020052e-05 2.13560413572899e-05
"24" "LO4" 3 -0.302577739569098 3.34408917771782 1.00000000002016e-05 2.12813326250329e-05
"25" "LO4" 4 -0.342672429907046 3.57407344375284 1.00000000956829e-05 2.08685056077516e-05
"26" "LO4" 5 -0.326887213224181 3.40943363392295 1.00000000000688e-05 2.06243833119671e-05
"27" "L5O" 1 -0.469163623004884 5.18519636141813 1.00000000006106e-05 2.15613312530413e-05
"28" "L5O" 2 -0.343023213057182 3.21858680812861 1.00000000005056e-05 1.95019301531047e-05
"29" "L5O" 3 -0.341747359605858 3.56442496070879 1.00000000010158e-05 2.09699243020966e-05
"30" "L5O" 4 -0.403189194654947 4.20526330025121 1.00000000002664e-05 2.15094508198505e-05
