"training.set" "member" "a" "b" "alpha" "beta"
"1" "complete" 1 -0.727494104784748 7.65364743789202 0.000229571131546043 1.00000000000965e-07
"2" "LOO" 1 -0.731770687266575 7.69344717890614 0.000229602225058577 1.00000000009301e-07
"3" "LOO" 2 -0.713616528869462 7.52588780145516 0.000229659965489214 1.00000000003225e-07
"4" "LOO" 3 -0.733994049467984 7.84369116576644 0.000232637193200469 5.17404550854617e-06
"5" "LOO" 4 -0.699895935692714 7.61556767627243 0.00023509417056413 1.00000000125366e-07
"6" "LOO" 5 -0.678468871754053 7.38241979355585 0.000233795106838636 1.00000000018124e-07
"7" "LOO" 6 -0.731784330023654 7.63251056214756 0.000227064558872632 1.00000000070679e-07
"8" "LOO" 7 -0.730853650869537 7.62280357856942 0.000226774754499123 1.00000000164862e-07
"9" "LOO" 8 -0.730474948263057 7.61885371038507 0.00022665701881975 1.00000000208868e-07
"10" "LOO" 9 -0.730225147158571 7.61624828486338 0.000226579461328365 1.00000001429084e-07
"11" "LOO" 10 -0.730121842468607 7.61517081696259 0.000226547421610816 1.00000008316378e-07
"12" "LOO" 11 -0.727609296292332 7.65471703028528 0.000229571942161564 1.00000000005631e-07
"13" "LOO" 12 -0.727836744729506 7.65683785102568 0.000229572962750597 1.00000000003163e-07
"14" "LOO" 13 -0.723870449994579 7.61792060750553 0.000229642749319604 1.00000000005294e-07
"15" "LOO" 14 -0.72339906742357 7.60571950093426 0.000229927096529734 1.00000000007126e-07
"16" "LOO" 15 -0.73131733434599 7.66523856615406 0.000230143696313678 1.00000000003123e-07
"17" "LOO" 16 -0.734002612628881 7.70243743452214 0.000230670056614386 1.00000000000964e-07
"18" "LOO" 17 -0.735389587993167 7.72514160452951 0.000230764731003187 1.00000000005802e-07
"19" "LOO" 18 -0.738720249822482 7.74999579845346 0.000230257253793721 1.00000000001173e-07
"20" "LOO" 19 -0.739998139679551 7.75399046830798 0.000229627707042829 1.00000000009303e-07
"21" "LOO" 20 -0.743293262844924 7.76547543455173 0.000228825716601727 1.00000000002108e-07
"22" "LO4" 1 -0.71867725590123 7.57380177917286 0.000229705119248252 1.00000000000724e-07
"23" "LO4" 2 -0.73059287209124 7.94958104122478 0.000236146567678232 9.81179858803776e-06
"24" "LO4" 3 -0.649509832694992 7.17838267094506 0.000237921677940741 1.00000000001332e-07
"25" "LO4" 4 -0.73290863571619 7.64423707052175 0.000227408788316647 1.00000018429529e-07
"26" "LO4" 5 -0.728907169061226 7.60250177330859 0.000224481124224111 1.6128367854682e-06
"27" "L5O" 1 -0.745338642055337 8.23748267199559 0.000237998084572221 2.34921949634639e-05
"28" "L5O" 2 -0.770560884897078 7.55764612315742 0.000206836375314919 1.49078129364469e-05
"29" "L5O" 3 -0.722963909160566 7.574229705139 0.000230604203839112 1.00000000000299e-07
"30" "L5O" 4 -0.775624090350308 8.08975926235373 0.000235040553522208 1.00000000011446e-07
