"training.set" "member" "a" "b" "alpha" "beta"
"1" "complete" 1 -1.69999999769386 5.5000000084246 1.00000000017171e-05 1.99043255257688e-05
"2" "LOO" 1 -1.69999999974996 5.50000000032904 1.00000000000212e-05 1.99040033760431e-05
"3" "LOO" 2 -1.69999998357303 5.50000000076676 1.00000000002766e-05 1.99675070492573e-05
"4" "LOO" 3 -1.69999999980076 5.50000000020424 1.00000000000351e-05 2.00580352914568e-05
"5" "LOO" 4 -1.69999999373343 5.50000000632619 1.00000000012203e-05 1.99312308109064e-05
"6" "LOO" 5 -1.69999996456725 5.50000001581601 1.00000000003572e-05 1.98319366406668e-05
"7" "LOO" 6 -1.69999999863546 5.50000000130379 1.00000000000072e-05 1.979312756606e-05
"8" "LOO" 7 -1.69999999832775 5.50000003368848 1.00000000001549e-05 1.97807287282481e-05
"9" "LOO" 8 -1.69999999986846 5.50000000228056 1.00000000000128e-05 1.97750761958469e-05
"10" "LOO" 9 -1.69999999952648 5.5000000000145 1.00000000000092e-05 1.97710502415074e-05
"11" "LOO" 10 -1.69999997069916 5.50000000253835 1.00000000019463e-05 1.97692978943808e-05
"12" "LOO" 11 -1.69999999731317 5.50000000285274 1.00000000000677e-05 1.99043221600249e-05
"13" "LOO" 12 -1.69999999826488 5.50000000227342 1.00000000003133e-05 1.9904873998663e-05
"14" "LOO" 13 -1.6999999953374 5.50000000179488 1.00000000001903e-05 1.99234961883177e-05
"15" "LOO" 14 -1.69999999997568 5.50000000039601 1.00000000000089e-05 1.99692915325971e-05
"16" "LOO" 15 -1.69999999992617 5.5000000007418 1.00000000009819e-05 2.00062914763015e-05
"17" "LOO" 16 -1.69999999788966 5.50000000081555 1.00000000001057e-05 2.00132377968756e-05
"18" "LOO" 17 -1.69999998841283 5.50000000526658 1.00000000001089e-05 1.99929016059059e-05
"19" "LOO" 18 -1.69999999877731 5.50000000266185 1.00000000001182e-05 1.99554952079603e-05
"20" "LOO" 19 -1.69999999491878 5.50000000811488 1.00000000001911e-05 1.99145313101057e-05
"21" "LOO" 20 -1.69999995527824 5.50000002673786 1.0000000000291e-05 1.98852314009071e-05
"22" "LO4" 1 -1.69999999941859 5.50000000038158 1.00000000000122e-05 1.99677245503e-05
"23" "LO4" 2 -1.69999999976361 5.50000000021476 1.00000000002261e-05 2.01985804222631e-05
"24" "LO4" 3 -1.69999999364472 5.50000000167986 1.0000000000584e-05 1.9950088461761e-05
"25" "LO4" 4 -1.500000010504 5.50000002665443 1.0000000000026e-05 1.97652378042596e-05
"26" "LO4" 5 -1.69999998898301 5.5000000075168 1.00000000001424e-05 1.95303390088793e-05
"27" "L5O" 1 -1.50000000000411 5.50000000002862 1.00000000000162e-05 2.011679600515e-05
"28" "L5O" 2 -1.69999999918568 5.50000000384911 1.00000000001442e-05 1.88855985404098e-05
"29" "L5O" 3 -1.699999997097 5.50000007201569 1.00000000017898e-05 2.00962069673221e-05
"30" "L5O" 4 -1.50000000080755 5.59999998601999 1.00000000000842e-05 2.02384918846851e-05
