"training.set" "member" "a" "b" "alpha" "beta"
"1" "complete" 1 -0.826880477179912 7.24176100130379 0.000162956579133524 2.84542032203607e-05
"2" "LOO" 1 -0.828321832760477 7.25845946156312 0.000162999695394891 2.86309644462009e-05
"3" "LOO" 2 -0.806696837781159 7.01390193728626 0.000162681989426868 2.59988681570215e-05
"4" "LOO" 3 -0.844449783578812 7.51956755400242 0.000164775189112868 4.02158938840683e-05
"5" "LOO" 4 -0.832253553930617 7.41805937181961 0.000165559975118464 3.52315062742968e-05
"6" "LOO" 5 -0.821490980278248 7.23393317046027 0.000163870805327398 2.95094400225769e-05
"7" "LOO" 6 -0.824981372091742 7.18942659576504 0.000161714051394764 2.9191755917994e-05
"8" "LOO" 7 -0.829491833173613 7.19641672815589 0.000160597927547904 3.03493776472016e-05
"9" "LOO" 8 -0.833243455527286 7.21048494048263 0.000159894844400831 3.14360022607188e-05
"10" "LOO" 9 -0.837285545524371 7.2302631812974 0.000159266474082208 3.26345781327124e-05
"11" "LOO" 10 -0.840079076749218 7.2457371691427 0.000158883818811226 3.3454453034957e-05
"12" "LOO" 11 -0.827280554268984 7.24627660126936 0.000162935290955633 2.88031042861914e-05
"13" "LOO" 12 -0.827023171188911 7.24338830137499 0.000162950269837025 2.85732453824885e-05
"14" "LOO" 13 -0.823131344777042 7.20270420613594 0.000163115954029032 2.72146636007279e-05
"15" "LOO" 14 -0.81856180613319 7.16031023272484 0.000163920647432144 2.19136719690338e-05
"16" "LOO" 15 -0.816793686516408 7.14782850540322 0.000164942018894965 1.43049614053605e-05
"17" "LOO" 16 -0.818912621297652 7.17519510009086 0.000165342273133089 1.17723047351121e-05
"18" "LOO" 17 -0.823225655054972 7.22599381644619 0.000164994304487028 1.60409020455716e-05
"19" "LOO" 18 -0.830615846672413 7.31098688042632 0.000163485387067523 3.21868985010288e-05
"20" "LOO" 19 -0.829154480667299 7.30159694087709 0.000163437865933891 3.25432251046965e-05
"21" "LOO" 20 -0.828144914910333 7.29357731358204 0.000163255023548143 3.4423751367473e-05
"22" "LO4" 1 -0.807227897155143 7.02020798647803 0.000162717205920968 2.59243477563003e-05
"23" "LO4" 2 -0.842086063005496 7.63513716360231 0.000169183948728474 3.78034272911748e-05
"24" "LO4" 3 -0.799711340430932 7.01498595358332 0.00016734567004108 1.00000000018973e-07
"25" "LO4" 4 -0.837729941198444 7.216427139955 0.000159513257306716 2.4232470980037e-05
"26" "LO4" 5 -0.862764138564098 7.39938952956154 0.000153607978660977 6.02111393716329e-05
"27" "L5O" 1 -0.845002248174203 7.74918221012284 0.000170270079187617 4.60629099384809e-05
"28" "L5O" 2 -1.0279532884513 7.58070945419379 0.000124223590563593 5.91361995743884e-05
"29" "L5O" 3 -0.803883901661321 7.01923259485824 0.000166123100825488 6.45814640074543e-06
"30" "L5O" 4 -0.820870465625188 7.33436957543134 0.000170688276664555 1.0000000007946e-07
