"training.set" "member" "a" "b" "alpha" "beta"
"1" "complete" 1 -1.50000000000089 5.59999999996348 5.0336055731013e-05 9.99999998093119e-05
"2" "LOO" 1 -1.50000000005109 5.59999999992957 5.03424128009809e-05 9.9999999863201e-05
"3" "LOO" 2 -1.50000000000805 5.59999999998867 5.04399359386891e-05 9.99999999981454e-05
"4" "LOO" 3 -1.50000000005319 5.59999999910664 5.0340168230992e-05 9.99999896165523e-05
"5" "LOO" 4 -1.50000000000029 5.59999999999997 5.02757420850713e-05 9.99999999900998e-05
"6" "LOO" 5 -1.5 5.6 5.05274309479661e-05 9.95626511751118e-05
"7" "LOO" 6 -1.50000000000037 5.59999999999267 5.12682167847307e-05 9.45125710960214e-05
"8" "LOO" 7 -1.50000000000009 5.59999999999887 5.17497057787756e-05 9.09452057354605e-05
"9" "LOO" 8 -1.50000000000484 5.59999999996844 5.21066648463476e-05 8.82075845583665e-05
"10" "LOO" 9 -1.50000000000005 5.59999999999999 5.24716043247654e-05 8.53454375614619e-05
"11" "LOO" 10 -1.50000000000335 5.59999999999839 5.27122600551117e-05 8.34344803966671e-05
"12" "LOO" 11 -1.50000000000158 5.59999999997434 5.03361093755827e-05 9.99999999287666e-05
"13" "LOO" 12 -1.50000000000617 5.59999999994011 5.03379126011364e-05 9.9999999760343e-05
"14" "LOO" 13 -1.5000000000094 5.59999999992607 5.03400455167723e-05 9.99999999918945e-05
"15" "LOO" 14 -1.50000000027613 5.59999999984219 5.02954173002493e-05 9.999999917381e-05
"16" "LOO" 15 -1.50000000000256 5.59999999977767 5.01886495145346e-05 9.99999992627361e-05
"17" "LOO" 16 -1.50000000000112 5.59999999990898 5.00433573525561e-05 9.99999942662302e-05
"18" "LOO" 17 -1.50000000000478 5.59999999996323 4.98930686688846e-05 9.9999999425989e-05
"19" "LOO" 18 -1.5000000002586 5.59999999654225 4.97542749507164e-05 9.99999703428098e-05
"20" "LOO" 19 -1.50000000000565 5.59999999996116 4.96513635752193e-05 9.99999999865747e-05
"21" "LOO" 20 -1.50000000002036 5.59999999998876 4.96265588753765e-05 9.99999989967448e-05
"22" "LO4" 1 -1.50000000000438 5.5999999999778 5.04482090515145e-05 9.99999999135672e-05
"23" "LO4" 2 -1.50000000001135 5.59999999983311 5.02366696922007e-05 9.99999998676891e-05
"24" "LO4" 3 -1.50000000000002 5.59999999999981 5.13138681078582e-05 9.07732316988472e-05
"25" "LO4" 4 -1.50000000000171 5.59999999998796 5.26352885467712e-05 7.71036754544436e-05
"26" "LO4" 5 -1.50000000000012 5.59999999999925 5.24439606336116e-05 7.80279712626636e-05
"27" "L5O" 1 -1.50000000000025 5.59999999998602 5.05742044798875e-05 9.99999999812809e-05
"28" "L5O" 2 -1.50000000000944 5.59999999997758 6.69053003742836e-05 1.00000007223057e-07
"29" "L5O" 3 -1.50000000001736 5.59999999987113 5.01517505790105e-05 9.99999997525825e-05
"30" "L5O" 4 -1.50000000000637 5.59999999995581 4.70525918828376e-05 9.99999999556404e-05
