"training.set" "member" "a" "b" "tau"
"1" "complete" 1 -1.35632560597739 6.86759255862759 1360.47857821456
"2" "LOO" 1 -1.31149409242451 6.69709626392522 1322.76127825993
"3" "LOO" 2 -1.28140206557579 6.63433279504709 1278.01814168528
"4" "LOO" 3 -1.33848672410855 6.80800424321683 1331.52418421116
"5" "LOO" 4 -1.37931677763528 6.8623439598009 1387.96312091922
"6" "LOO" 5 -1.40784783587334 6.87877779507251 1426.14292883182
"7" "LOO" 6 -1.4290675689608 6.89158425271085 1450.79603877785
"8" "LOO" 7 -1.43825419189522 6.89813791827136 1460.72949312361
"9" "LOO" 8 -1.4434277987406 6.90241097632888 1466.00750720587
"10" "LOO" 9 -1.44771950907161 6.90639860237839 1470.19448458673
"11" "LOO" 10 -1.45021272767528 6.90894861711465 1472.51446592529
"12" "LOO" 11 -1.34844285957188 6.83374885109309 1354.80018651676
"13" "LOO" 12 -1.34236184126473 6.81542702588414 1348.68890618721
"14" "LOO" 13 -1.33665165716399 6.80620221199362 1340.73529759754
"15" "LOO" 14 -1.3431921582054 6.83275720711876 1345.52509808306
"16" "LOO" 15 -1.35162546415055 6.87708780298417 1352.69938372955
"17" "LOO" 16 -1.34928424827292 6.9271990829505 1346.3878013122
"18" "LOO" 17 -1.33214939216392 6.96368145576467 1322.74323342077
"19" "LOO" 18 -1.30181730825023 6.98941998001858 1282.80798406702
"20" "LOO" 19 -1.27897860342392 6.98438031790246 1256.28875777801
"21" "LOO" 20 -1.26255900744545 6.97467649476916 1237.36321641408
"22" "LO4" 1 -1.16674621264839 6.17840819367477 1186.16904470348
"23" "LO4" 2 -1.31934869666891 6.6711067726309 1314.35731469226
"24" "LO4" 3 -1.48879415077126 6.98280587679752 1520.73959038168
"25" "LO4" 4 -1.4408982345113 7.16568751013318 1450.09631745992
"26" "LO4" 5 -1.31628548211982 7.154865118282 1299.78657451032
"27" "L5O" 1 -1.2621864479757 6.33324263355654 1263.82401508837
"28" "L5O" 2 -2.88737844350737 7.76424964580293 3049.01382077485
"29" "L5O" 3 -1.27255890753727 6.56585544161115 1285.56408031765
"30" "L5O" 4 -1.01095209447146 7.59057353119357 830.695014323728
