"training.set" "member" "a" "b" "c"
"1" "complete" 1 -7.92332227548275e-19 -0.000558595720117312 -2.02068602384742e-05
"2" "LOO" 1 -2.83422365020592e-18 -0.000576498842053104 -1.8488855787653e-05
"3" "LOO" 2 -1.14201961252392e-18 -0.000685318024278715 -8.22235523123908e-06
"4" "LOO" 3 -2.50045527738462e-18 -0.000598056587741568 -1.66602870955528e-05
"5" "LOO" 4 -6.04791149214549e-18 -0.000566107737118248 -1.97122240594249e-05
"6" "LOO" 5 -1.85200760206372e-18 -0.000550256439783967 -2.14913814360402e-05
"7" "LOO" 6 -2.62631525481079e-18 -0.000532790669034202 -2.34791086432687e-05
"8" "LOO" 7 -1.3486925956511e-17 -0.000521685324962018 -2.47151655500218e-05
"9" "LOO" 8 -2.67999018847684e-19 -0.000513251176386636 -2.56403621123182e-05
"10" "LOO" 9 -7.37676130133127e-19 -0.000504432380253294 -2.6598157855014e-05
"11" "LOO" 10 -8.44951298187551e-18 -0.000498528193482023 -2.72362477180823e-05
"12" "LOO" 11 -1.0090387213682e-18 -0.000558772010068864 -2.01899264388404e-05
"13" "LOO" 12 -5.11087848209684e-18 -0.000561885069593386 -1.98931864687619e-05
"14" "LOO" 13 -8.95863313472035e-19 -0.000563739115573757 -1.9712991755622e-05
"15" "LOO" 14 -3.64340115152116e-17 -0.000558416158029728 -2.01258356036064e-05
"16" "LOO" 15 -3.11733325952103e-18 -0.000555490431980562 -2.01942898993972e-05
"17" "LOO" 16 -1.28125909746631e-18 -0.000556855284692419 -1.97878224205196e-05
"18" "LOO" 17 -1.56062546775329e-18 -0.000560736446523825 -1.91386416640683e-05
"19" "LOO" 18 -4.01707826369503e-18 -0.000566846319780203 -1.82999067888454e-05
"20" "LOO" 19 -3.98149279071506e-18 -0.000575528278709798 -1.72716825957948e-05
"21" "LOO" 20 -8.35735713669253e-19 -0.000583148093149611 -1.6462274359642e-05
"22" "LO4" 1 -4.58314574354565e-18 -0.000722313667663183 -4.68635676591198e-06
"23" "LO4" 2 -1.38423526376254e-17 -0.000623937918170594 -1.44130202667539e-05
"24" "LO4" 3 -3.49261188623519e-18 -0.000516959476414279 -2.45274534704681e-05
"25" "LO4" 4 -7.69903206611761e-19 -0.000483607186896003 -2.72529418056023e-05
"26" "LO4" 5 -4.83657668739415e-19 -0.000487150212185564 -2.64234213980574e-05
"27" "L5O" 1 -4.90215733082903e-19 -0.000882544627376179 8.80583601604085e-06
"28" "L5O" 2 -8.18167390621905e-19 -9.40504630621218e-05 -8.0350421676699e-05
"29" "L5O" 3 -8.08077460095477e-19 -0.000564105291464282 -1.92704394432323e-05
"30" "L5O" 4 -9.0274103004393e-19 -0.000611182564387625 -9.0986979569259e-06
