"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20745010634814 1 -0.000549893651857758
2008 "2025" 0.637 7.20689149855578 1 -0.00055860779236383
2009 "2025" 0.662 7.20631111311725 1 -0.000580385438524011
2010 "2025" 0.697 7.20570025746636 1 -0.000610855650892361
2011 "2025" 0.736 7.20505547470676 1 -0.000644782759602336
2012 "2025" 0.774 7.20437766053019 1 -0.000677814176571978
2013 "2025" 0.806 7.20367205014861 1 -0.000705610381579014
2014 "2025" 0.834 7.20294213288145 1 -0.000729917267155322
2015 "2025" 0.858 7.20219139213063 1 -0.000750740750824264
2016 "2025" 0.881 7.2014207050604 1 -0.000770687070230203
2017 "2025" 0.908 7.20062661463353 1 -0.000794090426872174
2018 "2025" 0.936 7.19980826762001 1 -0.000818347013513687
2019 "2025" 0.965 7.19896481226924 1 -0.000843455350773681
2020 "2025" 1.002 7.19808934364719 1 -0.00087546862204757
2021 "2025" 1.048 7.19717410836262 1 -0.000915235284570493
2022 "2025" 1.096 7.19621741716213 1 -0.000956691200488358
2023 "2025" 1.141 7.1952218978929 1 -0.00099551926923791
2024 "2025" 1.183 7.19419017126935 1 -0.00103172662354556
2025 "2025" 1.183 7.1931584446458 1 -0.00103172662354556
2026 "2025" 1.183 7.19212671802226 1 -0.00103172662354556
2027 "2025" 1.183 7.19109499139871 1 -0.00103172662354556
2028 "2025" 1.183 7.19006326477517 1 -0.00103172662354556
2029 "2025" 1.183 7.18903153815162 1 -0.00103172662354556
2030 "2025" 1.183 7.18799981152808 1 -0.00103172662354556
2031 "2025" 1.183 7.18696808490453 1 -0.00103172662354556
2032 "2025" 1.183 7.18593635828099 1 -0.00103172662354556
2033 "2025" 1.183 7.18490463165744 1 -0.00103172662354556
2034 "2025" 1.183 7.18387290503389 1 -0.00103172662354556
2035 "2025" 1.183 7.18284117841035 1 -0.00103172662354556
2036 "2025" 1.183 7.1818094517868 1 -0.00103172662354556
2037 "2025" 1.183 7.18077772516326 1 -0.00103172662354556
2038 "2025" 1.183 7.17974599853971 1 -0.00103172662354556
2039 "2025" 1.183 7.17871427191617 1 -0.00103172662354556
2040 "2025" 1.183 7.17768254529262 1 -0.00103172662354556
2041 "2025" 1.183 7.17665081866908 1 -0.00103172662354556
2042 "2025" 1.183 7.17561909204553 1 -0.00103172662354556
2043 "2025" 1.183 7.17458736542198 1 -0.00103172662354556
2044 "2025" 1.183 7.17355563879844 1 -0.00103172662354556
2045 "2025" 1.183 7.17252391217489 1 -0.00103172662354556
2046 "2025" 1.183 7.17149218555135 1 -0.00103172662354556
2047 "2025" 1.183 7.1704604589278 1 -0.00103172662354556
2048 "2025" 1.183 7.16942873230426 1 -0.00103172662354556
2049 "2025" 1.183 7.16839700568071 1 -0.00103172662354556
2050 "2025" 1.183 7.16736527905717 1 -0.00103172662354556
2051 "2025" 1.183 7.16633355243362 1 -0.00103172662354556
2052 "2025" 1.183 7.16530182581007 1 -0.00103172662354556
2053 "2025" 1.183 7.16427009918653 1 -0.00103172662354556
2054 "2025" 1.183 7.16323837256298 1 -0.00103172662354556
2055 "2025" 1.183 7.16220664593944 1 -0.00103172662354556
2056 "2025" 1.183 7.16117491931589 1 -0.00103172662354556
2057 "2025" 1.183 7.16014319269235 1 -0.00103172662354556
2058 "2025" 1.183 7.1591114660688 1 -0.00103172662354556
2059 "2025" 1.183 7.15807973944526 1 -0.00103172662354556
2060 "2025" 1.183 7.15704801282171 1 -0.00103172662354556
2061 "2025" 1.183 7.15601628619816 1 -0.00103172662354556
2062 "2025" 1.183 7.15498455957462 1 -0.00103172662354556
2063 "2025" 1.183 7.15395283295107 1 -0.00103172662354556
2064 "2025" 1.183 7.15292110632753 1 -0.00103172662354556
2065 "2025" 1.183 7.15188937970398 1 -0.00103172662354556
2066 "2025" 1.183 7.15085765308044 1 -0.00103172662354556
2067 "2025" 1.183 7.14982592645689 1 -0.00103172662354556
2068 "2025" 1.183 7.14879419983335 1 -0.00103172662354556
2069 "2025" 1.183 7.1477624732098 1 -0.00103172662354556
2070 "2025" 1.183 7.14673074658625 1 -0.00103172662354556
2071 "2025" 1.183 7.14569901996271 1 -0.00103172662354556
2072 "2025" 1.183 7.14466729333916 1 -0.00103172662354556
2073 "2025" 1.183 7.14363556671562 1 -0.00103172662354556
2074 "2025" 1.183 7.14260384009207 1 -0.00103172662354556
2075 "2025" 1.183 7.14157211346853 1 -0.00103172662354556
2076 "2025" 1.183 7.14054038684498 1 -0.00103172662354556
2077 "2025" 1.183 7.13950866022144 1 -0.00103172662354556
2078 "2025" 1.183 7.13847693359789 1 -0.00103172662354556
2079 "2025" 1.183 7.13744520697434 1 -0.00103172662354556
2080 "2025" 1.183 7.1364134803508 1 -0.00103172662354556
2081 "2025" 1.183 7.13538175372725 1 -0.00103172662354556
2082 "2025" 1.183 7.13435002710371 1 -0.00103172662354556
2083 "2025" 1.183 7.13331830048016 1 -0.00103172662354556
2084 "2025" 1.183 7.13228657385662 1 -0.00103172662354556
2085 "2025" 1.183 7.13125484723307 1 -0.00103172662354556
2086 "2025" 1.183 7.13022312060953 1 -0.00103172662354556
2087 "2025" 1.183 7.12919139398598 1 -0.00103172662354556
2088 "2025" 1.183 7.12815966736243 1 -0.00103172662354556
2089 "2025" 1.183 7.12712794073889 1 -0.00103172662354556
2090 "2025" 1.183 7.12609621411534 1 -0.00103172662354556
2091 "2025" 1.183 7.1250644874918 1 -0.00103172662354556
2092 "2025" 1.183 7.12403276086825 1 -0.00103172662354556
2093 "2025" 1.183 7.12300103424471 1 -0.00103172662354556
2094 "2025" 1.183 7.12196930762116 1 -0.00103172662354556
2095 "2025" 1.183 7.12093758099761 1 -0.00103172662354556
