"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20763873021366 1 -0.000361269786336216
2008 "2025" 0.637 7.20727157579606 1 -0.000367154417605597
2009 "2025" 0.662 7.20688969293865 1 -0.000381882857412918
2010 "2025" 0.697 7.20648714979758 1 -0.000402543141065692
2011 "2025" 0.736 7.2060615295831 1 -0.000425620214482336
2012 "2025" 0.774 7.20561336762972 1 -0.000448161953372939
2013 "2025" 0.806 7.20514617999361 1 -0.000467187636118638
2014 "2025" 0.834 7.20466231251075 1 -0.000483867482858891
2015 "2025" 0.858 7.20416412396689 1 -0.000498188543859079
2016 "2025" 0.881 7.20365219024156 1 -0.000511933725328539
2017 "2025" 0.908 7.20312409485333 1 -0.000528095388234284
2018 "2025" 0.936 7.2025792095456 1 -0.000544885307725451
2019 "2025" 0.965 7.20201690282437 1 -0.000562306721233696
2020 "2025" 1.002 7.20143232172404 1 -0.000584581100329551
2021 "2025" 1.048 7.20081997457786 1 -0.000612347146176973
2022 "2025" 1.096 7.20017856721823 1 -0.000641407359631252
2023 "2025" 1.141 7.19950983526169 1 -0.000668731956533719
2024 "2025" 1.183 7.19881552993387 1 -0.000694305327828104
2025 "2025" 1.083 7.19818200181676 1 -0.000633528117104376
2026 "2025" 0.983 7.19760886550159 1 -0.000573136315168199
2027 "2025" 0.883 7.19709573557957 1 -0.000513129922022237
2028 "2025" 0.783 7.19664222664191 1 -0.000453508937664715
2029 "2025" 0.683 7.19624795327981 1 -0.000394273362095632
2030 "2025" 0.583 7.1959125300845 1 -0.000335423195315876
2031 "2025" 0.483 7.19563557164717 1 -0.000276958437324559
2032 "2025" 0.383 7.19541669255905 1 -0.00021887908812257
2033 "2025" 0.283 7.19525550741134 1 -0.00016118514770902
2034 "2025" 0.183 7.19515163079525 1 -0.000103876616084797
2035 "2025" 0.083 7.19510467730201 1 -4.69534932490134e-05
2036 "2025" 0 7.19510467730201 1 0
2037 "2025" 0 7.19510467730201 1 0
2038 "2025" 0 7.19510467730201 1 0
2039 "2025" 0 7.19510467730201 1 0
2040 "2025" 0 7.19510467730201 1 0
2041 "2025" 0 7.19510467730201 1 0
2042 "2025" 0 7.19510467730201 1 0
2043 "2025" 0 7.19510467730201 1 0
2044 "2025" 0 7.19510467730201 1 0
2045 "2025" 0 7.19510467730201 1 0
2046 "2025" 0 7.19510467730201 1 0
2047 "2025" 0 7.19510467730201 1 0
2048 "2025" 0 7.19510467730201 1 0
2049 "2025" 0 7.19510467730201 1 0
2050 "2025" 0 7.19510467730201 1 0
2051 "2025" 0 7.19510467730201 1 0
2052 "2025" 0 7.19510467730201 1 0
2053 "2025" 0 7.19510467730201 1 0
2054 "2025" 0 7.19510467730201 1 0
2055 "2025" 0 7.19510467730201 1 0
2056 "2025" 0 7.19510467730201 1 0
2057 "2025" 0 7.19510467730201 1 0
2058 "2025" 0 7.19510467730201 1 0
2059 "2025" 0 7.19510467730201 1 0
2060 "2025" 0 7.19510467730201 1 0
2061 "2025" 0 7.19510467730201 1 0
2062 "2025" 0 7.19510467730201 1 0
2063 "2025" 0 7.19510467730201 1 0
2064 "2025" 0 7.19510467730201 1 0
2065 "2025" 0 7.19510467730201 1 0
2066 "2025" 0 7.19510467730201 1 0
2067 "2025" 0 7.19510467730201 1 0
2068 "2025" 0 7.19510467730201 1 0
2069 "2025" 0 7.19510467730201 1 0
2070 "2025" 0 7.19510467730201 1 0
2071 "2025" 0 7.19510467730201 1 0
2072 "2025" 0 7.19510467730201 1 0
2073 "2025" 0 7.19510467730201 1 0
2074 "2025" 0 7.19510467730201 1 0
2075 "2025" 0 7.19510467730201 1 0
2076 "2025" 0 7.19510467730201 1 0
2077 "2025" 0 7.19510467730201 1 0
2078 "2025" 0 7.19510467730201 1 0
2079 "2025" 0 7.19510467730201 1 0
2080 "2025" 0 7.19510467730201 1 0
2081 "2025" 0 7.19510467730201 1 0
2082 "2025" 0 7.19510467730201 1 0
2083 "2025" 0 7.19510467730201 1 0
2084 "2025" 0 7.19510467730201 1 0
2085 "2025" 0 7.19510467730201 1 0
2086 "2025" 0 7.19510467730201 1 0
2087 "2025" 0 7.19510467730201 1 0
2088 "2025" 0 7.19510467730201 1 0
2089 "2025" 0 7.19510467730201 1 0
2090 "2025" 0 7.19510467730201 1 0
2091 "2025" 0 7.19510467730201 1 0
2092 "2025" 0 7.19510467730201 1 0
