"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20763126672065 1 -0.000368733279354494
2008 "2025" 0.637 7.20725653475373 1 -0.000374731966911845
2009 "2025" 0.662 7.20686678989018 1 -0.00038974486355503
2010 "2025" 0.697 7.20645598814473 1 -0.000410801745452716
2011 "2025" 0.736 7.20602166965775 1 -0.000434318486975727
2012 "2025" 0.774 7.20556438332423 1 -0.000457286333518603
2013 "2025" 0.806 7.20508771423122 1 -0.000476669093012916
2014 "2025" 0.834 7.20459405416237 1 -0.000493660068848101
2015 "2025" 0.858 7.20408580732586 1 -0.000508246836513848
2016 "2025" 0.881 7.20356356151721 1 -0.000522245808645572
2017 "2025" 0.908 7.20302485717263 1 -0.000538704344582364
2018 "2025" 0.936 7.20246905624387 1 -0.00055580092876184
2019 "2025" 0.965 7.20189551757656 1 -0.000573538667311801
2020 "2025" 1.002 7.20129930285165 1 -0.000596214724903454
2021 "2025" 1.048 7.20067482568091 1 -0.000624477170738658
2022 "2025" 1.096 7.20002077384063 1 -0.000654051840283998
2023 "2025" 1.141 7.19933891837178 1 -0.000681855468844361
2024 "2025" 1.183 7.19863104529134 1 -0.000707873080446397
2025 "2025" 1.183 7.19792317221089 1 -0.000707873080446397
2026 "2025" 1.183 7.19721529913045 1 -0.000707873080446397
2027 "2025" 1.183 7.19650742605 1 -0.000707873080446397
2028 "2025" 1.183 7.19579955296955 1 -0.000707873080446397
2029 "2025" 1.183 7.19509167988911 1 -0.000707873080446397
2030 "2025" 1.183 7.19438380680866 1 -0.000707873080446397
2031 "2025" 1.183 7.19367593372821 1 -0.000707873080446397
2032 "2025" 1.183 7.19296806064777 1 -0.000707873080446397
2033 "2025" 1.183 7.19226018756732 1 -0.000707873080446397
2034 "2025" 1.183 7.19155231448687 1 -0.000707873080446397
2035 "2025" 1.183 7.19084444140643 1 -0.000707873080446397
2036 "2025" 1.183 7.19013656832598 1 -0.000707873080446397
2037 "2025" 1.183 7.18942869524554 1 -0.000707873080446397
2038 "2025" 1.183 7.18872082216509 1 -0.000707873080446397
2039 "2025" 1.183 7.18801294908464 1 -0.000707873080446397
2040 "2025" 1.183 7.1873050760042 1 -0.000707873080446397
2041 "2025" 1.183 7.18659720292375 1 -0.000707873080446397
2042 "2025" 1.183 7.1858893298433 1 -0.000707873080446397
2043 "2025" 1.183 7.18518145676286 1 -0.000707873080446397
2044 "2025" 1.183 7.18447358368241 1 -0.000707873080446397
2045 "2025" 1.183 7.18376571060196 1 -0.000707873080446397
2046 "2025" 1.183 7.18305783752152 1 -0.000707873080446397
2047 "2025" 1.183 7.18234996444107 1 -0.000707873080446397
2048 "2025" 1.183 7.18164209136062 1 -0.000707873080446397
2049 "2025" 1.183 7.18093421828018 1 -0.000707873080446397
2050 "2025" 1.183 7.18022634519973 1 -0.000707873080446397
2051 "2025" 1.183 7.17951847211929 1 -0.000707873080446397
2052 "2025" 1.183 7.17881059903884 1 -0.000707873080446397
2053 "2025" 1.183 7.17810272595839 1 -0.000707873080446397
2054 "2025" 1.183 7.17739485287795 1 -0.000707873080446397
2055 "2025" 1.183 7.1766869797975 1 -0.000707873080446397
2056 "2025" 1.183 7.17597910671705 1 -0.000707873080446397
2057 "2025" 1.183 7.17527123363661 1 -0.000707873080446397
2058 "2025" 1.183 7.17456336055616 1 -0.000707873080446397
2059 "2025" 1.183 7.17385548747571 1 -0.000707873080446397
2060 "2025" 1.183 7.17314761439527 1 -0.000707873080446397
2061 "2025" 1.183 7.17243974131482 1 -0.000707873080446397
2062 "2025" 1.183 7.17173186823438 1 -0.000707873080446397
2063 "2025" 1.183 7.17102399515393 1 -0.000707873080446397
2064 "2025" 1.183 7.17031612207348 1 -0.000707873080446397
2065 "2025" 1.183 7.16960824899304 1 -0.000707873080446397
2066 "2025" 1.183 7.16890037591259 1 -0.000707873080446397
2067 "2025" 1.183 7.16819250283214 1 -0.000707873080446397
2068 "2025" 1.183 7.1674846297517 1 -0.000707873080446397
