"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.2076417127041 1 -0.000358287295903814
2008 "2025" 0.637 7.20727758248742 1 -0.000364130216675029
2009 "2025" 0.662 7.20689882730263 1 -0.000378755184788027
2010 "2025" 0.697 7.20649955476364 1 -0.000399272538991191
2011 "2025" 0.736 7.20607736176184 1 -0.000422193001802462
2012 "2025" 0.774 7.20563277692568 1 -0.000444584836164275
2013 "2025" 0.806 7.20516929058251 1 -0.000463486343167396
2014 "2025" 0.834 7.20468923150164 1 -0.000480059080871342
2015 "2025" 0.858 7.20419494201999 1 -0.000494289481646426
2016 "2025" 0.881 7.20368699324562 1 -0.000507948774365552
2017 "2025" 0.908 7.20316298239297 1 -0.0005240108526543
2018 "2025" 0.936 7.20262228347775 1 -0.00054069891521813
2019 "2025" 0.965 7.20206426712379 1 -0.000558016353964241
2020 "2025" 1.002 7.20148410680279 1 -0.000580160320993173
2021 "2025" 1.048 7.20087633905927 1 -0.000607767743519894
2022 "2025" 1.096 7.20023967247356 1 -0.000636666585712931
2023 "2025" 1.141 7.19957582872845 1 -0.000663843745110526
2024 "2025" 1.183 7.19888654586058 1 -0.000689282867873509
2025 "2025" 1.083 7.19825771523104 1 -0.00062883062953567
2026 "2025" 0.983 7.19768893304132 1 -0.000568782189726669
2027 "2025" 0.883 7.19717979549287 1 -0.000509137548445615
2028 "2025" 0.783 7.19672989878718 1 -0.000449896705694286
2029 "2025" 0.683 7.1963388391257 1 -0.000391059661471793
2030 "2025" 0.583 7.19600621270993 1 -0.000332626415777248
2031 "2025" 0.483 7.19573161574131 1 -0.000274596968612428
2032 "2025" 0.383 7.19551464442134 1 -0.000216971319975556
2033 "2025" 0.283 7.19535489495147 1 -0.000159749469868409
2034 "2025" 0.183 7.19525196353318 1 -0.000102931418289209
2035 "2025" 0.083 7.19520544636794 1 -4.65171652388463e-05
2036 "2025" 0 7.19520544636794 1 0
2037 "2025" 0 7.19520544636794 1 0
2038 "2025" 0 7.19520544636794 1 0
2039 "2025" 0 7.19520544636794 1 0
2040 "2025" 0 7.19520544636794 1 0
2041 "2025" 0 7.19520544636794 1 0
2042 "2025" 0 7.19520544636794 1 0
2043 "2025" 0 7.19520544636794 1 0
2044 "2025" 0 7.19520544636794 1 0
2045 "2025" 0 7.19520544636794 1 0
2046 "2025" 0 7.19520544636794 1 0
2047 "2025" 0 7.19520544636794 1 0
2048 "2025" 0 7.19520544636794 1 0
2049 "2025" 0 7.19520544636794 1 0
2050 "2025" 0 7.19520544636794 1 0
2051 "2025" 0 7.19520544636794 1 0
2052 "2025" 0 7.19520544636794 1 0
2053 "2025" 0 7.19520544636794 1 0
2054 "2025" 0 7.19520544636794 1 0
2055 "2025" 0 7.19520544636794 1 0
2056 "2025" 0 7.19520544636794 1 0
2057 "2025" 0 7.19520544636794 1 0
2058 "2025" 0 7.19520544636794 1 0
2059 "2025" 0 7.19520544636794 1 0
2060 "2025" 0 7.19520544636794 1 0
2061 "2025" 0 7.19520544636794 1 0
2062 "2025" 0 7.19520544636794 1 0
2063 "2025" 0 7.19520544636794 1 0
2064 "2025" 0 7.19520544636794 1 0
2065 "2025" 0 7.19520544636794 1 0
2066 "2025" 0 7.19520544636794 1 0
2067 "2025" 0 7.19520544636794 1 0
2068 "2025" 0 7.19520544636794 1 0
2069 "2025" 0 7.19520544636794 1 0
2070 "2025" 0 7.19520544636794 1 0
2071 "2025" 0 7.19520544636794 1 0
2072 "2025" 0 7.19520544636794 1 0
2073 "2025" 0 7.19520544636794 1 0
2074 "2025" 0 7.19520544636794 1 0
2075 "2025" 0 7.19520544636794 1 0
2076 "2025" 0 7.19520544636794 1 0
2077 "2025" 0 7.19520544636794 1 0
2078 "2025" 0 7.19520544636794 1 0
2079 "2025" 0 7.19520544636794 1 0
2080 "2025" 0 7.19520544636794 1 0
2081 "2025" 0 7.19520544636794 1 0
2082 "2025" 0 7.19520544636794 1 0
2083 "2025" 0 7.19520544636794 1 0
2084 "2025" 0 7.19520544636794 1 0
2085 "2025" 0 7.19520544636794 1 0
2086 "2025" 0 7.19520544636794 1 0
2087 "2025" 0 7.19520544636794 1 0
2088 "2025" 0 7.19520544636794 1 0
2089 "2025" 0 7.19520544636794 1 0
2090 "2025" 0 7.19520544636794 1 0
2091 "2025" 0 7.19520544636794 1 0
2092 "2025" 0 7.19520544636794 1 0
2093 "2025" 0 7.19520544636794 1 0
2094 "2025" 0 7.19520544636794 1 0
2095 "2025" 0 7.19520544636794 1 0
2096 "2025" 0 7.19520544636794 1 0
2097 "2025" 0 7.19520544636794 1 0
2098 "2025" 0 7.19520544636794 1 0
2099 "2025" 0 7.19520544636794 1 0
2100 "2025" 0 7.19520544636794 1 0
2101 "2025" 0 7.19520544636794 1 0
2102 "2025" 0 7.19520544636794 1 0
2103 "2025" 0 7.19520544636794 1 0
2104 "2025" 0 7.19520544636794 1 0
2105 "2025" 0 7.19520544636794 1 0
2106 "2025" 0 7.19520544636794 1 0
2107 "2025" 0 7.19520544636794 1 0
2108 "2025" 0 7.19520544636794 1 0
2109 "2025" 0 7.19520544636794 1 0
2110 "2025" 0 7.19520544636794 1 0
2111 "2025" 0 7.19520544636794 1 0
2112 "2025" 0 7.19520544636794 1 0
2113 "2025" 0 7.19520544636794 1 0
2114 "2025" 0 7.19520544636794 1 0
2115 "2025" 0 7.19520544636794 1 0
2116 "2025" 0 7.19520544636794 1 0
2117 "2025" 0 7.19520544636794 1 0
2118 "2025" 0 7.19520544636794 1 0
2119 "2025" 0 7.19520544636794 1 0
2120 "2025" 0 7.19520544636794 1 0
2121 "2025" 0 7.19520544636794 1 0
2122 "2025" 0 7.19520544636794 1 0
2123 "2025" 0 7.19520544636794 1 0
2124 "2025" 0 7.19520544636794 1 0
2125 "2025" 0 7.19520544636794 1 0
2126 "2025" 0 7.19520544636794 1 0
2127 "2025" 0 7.19520544636794 1 0
2128 "2025" 0 7.19520544636794 1 0
2129 "2025" 0 7.19520544636794 1 0
2130 "2025" 0 7.19520544636794 1 0
2131 "2025" 0 7.19520544636794 1 0
2132 "2025" 0 7.19520544636794 1 0
2133 "2025" 0 7.19520544636794 1 0
2134 "2025" 0 7.19520544636794 1 0
2135 "2025" 0 7.19520544636794 1 0
2136 "2025" 0 7.19520544636794 1 0
2137 "2025" 0 7.19520544636794 1 0
2138 "2025" 0 7.19520544636794 1 0
2139 "2025" 0 7.19520544636794 1 0
2140 "2025" 0 7.19520544636794 1 0
2141 "2025" 0 7.19520544636794 1 0
2142 "2025" 0 7.19520544636794 1 0
2143 "2025" 0 7.19520544636794 1 0
2144 "2025" 0 7.19520544636794 1 0
2145 "2025" 0 7.19520544636794 1 0
2146 "2025" 0 7.19520544636794 1 0
2147 "2025" 0 7.19520544636794 1 0
2148 "2025" 0 7.19520544636794 1 0
2149 "2025" 0 7.19520544636794 1 0
