"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20764181658073 1 -0.000358183419272073
2008 "2025" 0.637 7.20727779178954 1 -0.000364024791187134
2009 "2025" 0.662 7.20689914588757 1 -0.000378645901975894
2010 "2025" 0.697 7.20649998799608 1 -0.000399157891487256
2011 "2025" 0.736 7.20607791557071 1 -0.000422072425370068
2012 "2025" 0.774 7.20563345703833 1 -0.000444458532374625
2013 "2025" 0.806 7.20517010178406 1 -0.000463355254272102
2014 "2025" 0.834 7.2046901779506 1 -0.000479923833458074
2015 "2025" 0.858 7.20419602725968 1 -0.000494150690920847
2016 "2025" 0.881 7.20368822065341 1 -0.000507806606273142
2017 "2025" 0.908 7.20316435591072 1 -0.000523864742685731
2018 "2025" 0.936 7.20262380716727 1 -0.000540548743456881
2019 "2025" 0.965 7.20206594516393 1 -0.000557862003338627
2020 "2025" 1.002 7.20148594448386 1 -0.000580000680064252
2021 "2025" 1.048 7.20087834289375 1 -0.00060760159011064
2022 "2025" 1.096 7.20024184918068 1 -0.000636493713076725
2023 "2025" 1.141 7.19957818453661 1 -0.000663664644068085
2024 "2025" 1.183 7.19888908652108 1 -0.000689098015526746
2025 "2025" 1.183 7.19819998850555 1 -0.000689098015526746
2026 "2025" 1.183 7.19751089049003 1 -0.000689098015526746
2027 "2025" 1.183 7.1968217924745 1 -0.000689098015526746
2028 "2025" 1.183 7.19613269445897 1 -0.000689098015526746
2029 "2025" 1.183 7.19544359644345 1 -0.000689098015526746
2030 "2025" 1.183 7.19475449842792 1 -0.000689098015526746
2031 "2025" 1.183 7.19406540041239 1 -0.000689098015526746
2032 "2025" 1.183 7.19337630239687 1 -0.000689098015526746
2033 "2025" 1.183 7.19268720438134 1 -0.000689098015526746
2034 "2025" 1.183 7.19199810636581 1 -0.000689098015526746
2035 "2025" 1.183 7.19130900835029 1 -0.000689098015526746
2036 "2025" 1.183 7.19061991033476 1 -0.000689098015526746
2037 "2025" 1.183 7.18993081231923 1 -0.000689098015526746
2038 "2025" 1.183 7.18924171430371 1 -0.000689098015526746
2039 "2025" 1.183 7.18855261628818 1 -0.000689098015526746
2040 "2025" 1.183 7.18786351827265 1 -0.000689098015526746
2041 "2025" 1.183 7.18717442025713 1 -0.000689098015526746
2042 "2025" 1.183 7.1864853222416 1 -0.000689098015526746
2043 "2025" 1.183 7.18579622422607 1 -0.000689098015526746
2044 "2025" 1.183 7.18510712621055 1 -0.000689098015526746
2045 "2025" 1.183 7.18441802819502 1 -0.000689098015526746
2046 "2025" 1.183 7.18372893017949 1 -0.000689098015526746
2047 "2025" 1.183 7.18303983216397 1 -0.000689098015526746
2048 "2025" 1.183 7.18235073414844 1 -0.000689098015526746
2049 "2025" 1.183 7.18166163613291 1 -0.000689098015526746
2050 "2025" 1.183 7.18097253811739 1 -0.000689098015526746
2051 "2025" 1.183 7.18028344010186 1 -0.000689098015526746
2052 "2025" 1.183 7.17959434208633 1 -0.000689098015526746
2053 "2025" 1.183 7.17890524407081 1 -0.000689098015526746
2054 "2025" 1.183 7.17821614605528 1 -0.000689098015526746
2055 "2025" 1.183 7.17752704803975 1 -0.000689098015526746
2056 "2025" 1.183 7.17683795002423 1 -0.000689098015526746
2057 "2025" 1.183 7.1761488520087 1 -0.000689098015526746
2058 "2025" 1.183 7.17545975399317 1 -0.000689098015526746
2059 "2025" 1.183 7.17477065597765 1 -0.000689098015526746
2060 "2025" 1.183 7.17408155796212 1 -0.000689098015526746
2061 "2025" 1.183 7.17339245994659 1 -0.000689098015526746
2062 "2025" 1.183 7.17270336193106 1 -0.000689098015526746
2063 "2025" 1.183 7.17201426391554 1 -0.000689098015526746
2064 "2025" 1.183 7.17132516590001 1 -0.000689098015526746
2065 "2025" 1.183 7.17063606788448 1 -0.000689098015526746
2066 "2025" 1.183 7.16994696986896 1 -0.000689098015526746
2067 "2025" 1.183 7.16925787185343 1 -0.000689098015526746
2068 "2025" 1.183 7.1685687738379 1 -0.000689098015526746
2069 "2025" 1.183 7.16787967582238 1 -0.000689098015526746
2070 "2025" 1.183 7.16719057780685 1 -0.000689098015526746
2071 "2025" 1.183 7.16650147979132 1 -0.000689098015526746
2072 "2025" 1.183 7.1658123817758 1 -0.000689098015526746
2073 "2025" 1.183 7.16512328376027 1 -0.000689098015526746
2074 "2025" 1.183 7.16443418574474 1 -0.000689098015526746
2075 "2025" 1.183 7.16374508772922 1 -0.000689098015526746
2076 "2025" 1.183 7.16305598971369 1 -0.000689098015526746
2077 "2025" 1.183 7.16236689169816 1 -0.000689098015526746
2078 "2025" 1.183 7.16167779368264 1 -0.000689098015526746
