"t" "yr0" "Tt" "Vt" "dt" "Vdt"
2006 "2025" 0.632 7.208 1 NA
2007 "2025" 0.627 7.20764181658073 1 -0.000358183419272073
2008 "2025" 0.637 7.20727779178954 1 -0.000364024791187134
2009 "2025" 0.662 7.20689914588757 1 -0.000378645901975894
2010 "2025" 0.697 7.20649998799608 1 -0.000399157891487256
2011 "2025" 0.736 7.20607791557071 1 -0.000422072425370068
2012 "2025" 0.774 7.20563345703833 1 -0.000444458532374625
2013 "2025" 0.806 7.20517010178406 1 -0.000463355254272102
2014 "2025" 0.834 7.2046901779506 1 -0.000479923833458074
2015 "2025" 0.858 7.20419602725968 1 -0.000494150690920847
2016 "2025" 0.881 7.20368822065341 1 -0.000507806606273142
2017 "2025" 0.908 7.20316435591072 1 -0.000523864742685731
2018 "2025" 0.936 7.20262380716727 1 -0.000540548743456881
2019 "2025" 0.965 7.20206594516393 1 -0.000557862003338627
2020 "2025" 1.002 7.20148594448386 1 -0.000580000680064252
2021 "2025" 1.048 7.20087834289375 1 -0.00060760159011064
2022 "2025" 1.096 7.20024184918068 1 -0.000636493713076725
2023 "2025" 1.141 7.19957818453661 1 -0.000663664644068085
2024 "2025" 1.183 7.19888908652108 1 -0.000689098015526746
2025 "2025" 1.083 7.1982604269521 1 -0.000628659568985057
2026 "2025" 0.983 7.19769180169245 1 -0.000568625259647959
2027 "2025" 0.883 7.19718280660493 1 -0.00050899508751634
2028 "2025" 0.783 7.19673303755234 1 -0.000449769052588422
2029 "2025" 0.683 7.19634209039748 1 -0.000390947154865984
2030 "2025" 0.583 7.19600956100313 1 -0.000332529394348136
2031 "2025" 0.483 7.19573504523209 1 -0.000274515771034878
2032 "2025" 0.383 7.19551813894717 1 -0.00021690628492621
2033 "2025" 0.283 7.19535843801115 1 -0.000159700936023022
2034 "2025" 0.183 7.19525553828682 1 -0.000102899724324423
2035 "2025" 0.083 7.19520903563699 1 -4.65026498295273e-05
2036 "2025" 0 7.19520903563699 1 0
2037 "2025" 0 7.19520903563699 1 0
2038 "2025" 0 7.19520903563699 1 0
2039 "2025" 0 7.19520903563699 1 0
2040 "2025" 0 7.19520903563699 1 0
2041 "2025" 0 7.19520903563699 1 0
2042 "2025" 0 7.19520903563699 1 0
2043 "2025" 0 7.19520903563699 1 0
2044 "2025" 0 7.19520903563699 1 0
2045 "2025" 0 7.19520903563699 1 0
2046 "2025" 0 7.19520903563699 1 0
2047 "2025" 0 7.19520903563699 1 0
2048 "2025" 0 7.19520903563699 1 0
2049 "2025" 0 7.19520903563699 1 0
2050 "2025" 0 7.19520903563699 1 0
2051 "2025" 0 7.19520903563699 1 0
2052 "2025" 0 7.19520903563699 1 0
2053 "2025" 0 7.19520903563699 1 0
2054 "2025" 0 7.19520903563699 1 0
2055 "2025" 0 7.19520903563699 1 0
2056 "2025" 0 7.19520903563699 1 0
2057 "2025" 0 7.19520903563699 1 0
2058 "2025" 0 7.19520903563699 1 0
2059 "2025" 0 7.19520903563699 1 0
2060 "2025" 0 7.19520903563699 1 0
2061 "2025" 0 7.19520903563699 1 0
2062 "2025" 0 7.19520903563699 1 0
2063 "2025" 0 7.19520903563699 1 0
2064 "2025" 0 7.19520903563699 1 0
2065 "2025" 0 7.19520903563699 1 0
2066 "2025" 0 7.19520903563699 1 0
2067 "2025" 0 7.19520903563699 1 0
2068 "2025" 0 7.19520903563699 1 0
2069 "2025" 0 7.19520903563699 1 0
2070 "2025" 0 7.19520903563699 1 0
2071 "2025" 0 7.19520903563699 1 0
2072 "2025" 0 7.19520903563699 1 0
2073 "2025" 0 7.19520903563699 1 0
2074 "2025" 0 7.19520903563699 1 0
2075 "2025" 0 7.19520903563699 1 0
2076 "2025" 0 7.19520903563699 1 0
2077 "2025" 0 7.19520903563699 1 0
2078 "2025" 0 7.19520903563699 1 0
2079 "2025" 0 7.19520903563699 1 0
2080 "2025" 0 7.19520903563699 1 0
2081 "2025" 0 7.19520903563699 1 0
2082 "2025" 0 7.19520903563699 1 0
2083 "2025" 0 7.19520903563699 1 0
2084 "2025" 0 7.19520903563699 1 0
2085 "2025" 0 7.19520903563699 1 0
2086 "2025" 0 7.19520903563699 1 0
2087 "2025" 0 7.19520903563699 1 0
2088 "2025" 0 7.19520903563699 1 0
2089 "2025" 0 7.19520903563699 1 0
2090 "2025" 0 7.19520903563699 1 0
2091 "2025" 0 7.19520903563699 1 0
2092 "2025" 0 7.19520903563699 1 0
2093 "2025" 0 7.19520903563699 1 0
2094 "2025" 0 7.19520903563699 1 0
2095 "2025" 0 7.19520903563699 1 0
2096 "2025" 0 7.19520903563699 1 0
2097 "2025" 0 7.19520903563699 1 0
2098 "2025" 0 7.19520903563699 1 0
