"t" "Tt" "Vt" "dt" "Vdt"
2006 0.632 7.208 1 NA
2007 0.627 7.20764181658073 1 -0.000358183419272073
2008 0.637 7.20727779178954 1 -0.000364024791187134
2009 0.662 7.20689914588757 1 -0.000378645901975894
2010 0.697 7.20649998799608 1 -0.000399157891487256
2011 0.736 7.20607791557071 1 -0.000422072425370068
2012 0.774 7.20563345703833 1 -0.000444458532374625
2013 0.806 7.20517010178406 1 -0.000463355254272102
2014 0.834 7.2046901779506 1 -0.000479923833458074
2015 0.858 7.20419602725968 1 -0.000494150690920847
2016 0.881 7.20368822065341 1 -0.000507806606273142
2017 0.908 7.20316435591072 1 -0.000523864742685731
2018 0.936 7.20262380716727 1 -0.000540548743456881
2019 0.965 7.20206594516393 1 -0.000557862003338627
2020 1.002 7.20148594448386 1 -0.000580000680064252
2021 1.048 7.20087834289375 1 -0.00060760159011064
2022 1.096 7.20024184918068 1 -0.000636493713076725
2023 1.141 7.19957818453661 1 -0.000663664644068085
2024 1.183 7.19888908652108 1 -0.000689098015526746
2025 1.22 7.19817752385176 1 -0.000711562669321708
2026 1.254 7.1974452692077 1 -0.00073225464406157
2027 1.288 7.19669227587064 1 -0.000752993337062691
2028 1.325 7.19591666087247 1 -0.0007756149981617
2029 1.364 7.19511714152759 1 -0.000799519344885979
2030 1.405 7.19429242569354 1 -0.000824715834046863
2031 1.454 7.19343750786995 1 -0.000854917823590817
2032 1.514 7.19254547586548 1 -0.000892032004468746
2033 1.572 7.19161742852375 1 -0.000928047341735905
2034 1.629 7.19065385434286 1 -0.00096357418088111
2035 1.683 7.18965650203656 1 -0.000997352306307597
2036 1.732 7.18862839722501 1 -0.00102810481155124
2037 1.777 7.18757196484178 1 -0.00105643238322273
2038 1.824 7.18648585850924 1 -0.00108610633254269
2039 1.87 7.18537062314305 1 -0.00111523536618741
2040 1.918 7.18422490109014 1 -0.00114572205290919
2041 1.964 7.18304987525466 1 -0.00117502583548124
2042 2.019 7.18183970003874 1 -0.0012101752159257
2043 2.08 7.18059039798076 1 -0.00124930205798002
2044 2.139 7.17930310886343 1 -0.00128728911732434
2045 2.196 7.17797898677593 1 -0.00132412208750132
2046 2.242 7.1766250440952 1 -0.00135394268073075
2047 2.279 7.17524705322986 1 -0.0013779908653353
2048 2.308 7.17385017511148 1 -0.0013968781183884
2049 2.339 7.1724330695861 1 -0.00141710552537688
2050 2.377 7.17099111619235 1 -0.00144195339375131
2051 2.422 7.16951966221869 1 -0.00147145397365911
2052 2.469 7.16801730915377 1 -0.00150235306491542
2053 2.526 7.1664773629366 1 -0.00153994621717501
2054 2.588 7.16489637683601 1 -0.00158098610058488
2055 2.654 7.16327153241005 1 -0.00162484442596256
2056 2.721 7.1616019850753 1 -0.00166954733475411
2057 2.784 7.15989023816794 1 -0.00171174690735487
2058 2.846 7.15813680491931 1 -0.00175343324863686
2059 2.92 7.15633341364343 1 -0.00180339127587992
2060 2.997 7.15447780406971 1 -0.001855609573715
2061 3.082 7.152564272672 1 -0.00191353139771344
2062 3.171 7.15058978079395 1 -0.00197449187804288
2063 3.259 7.14855469864274 1 -0.00203508215121051
2064 3.357 7.1464517726294 1 -0.00210292601334139
2065 3.448 7.14428550120629 1 -0.00216627142310877
2066 3.536 7.14205765438517 1 -0.00222784682112742
2067 3.62 7.13977073909903 1 -0.00228691528613378
2068 3.692 7.13743296673658 1 -0.00233777236245114
2069 3.756 7.13504981220356 1 -0.00238315453302196
2070 3.815 7.13262467434086 1 -0.00242513786270226
2071 3.869 7.13016098775551 1 -0.00246368658534823
2072 3.92 7.12766078583548 1 -0.00250020192002864
2073 3.968 7.12512612051863 1 -0.00253466531684499
2074 4.016 7.12255689869176 1 -0.00256922182687358
2075 4.073 7.11994652007117 1 -0.00261037862059066
2076 4.136 7.11729049959892 1 -0.002656020472247
2077 4.201 7.11458722020627 1 -0.00270327939265247
2078 4.266 7.11183651114524 1 -0.00275070906102659
2079 4.328 7.10904040236864 1 -0.00279610877660108
2080 4.387 7.10620094638012 1 -0.00283945598851965
2081 4.446 7.10331800249952 1 -0.00288294388059906
2082 4.506 7.10039068936695 1 -0.00292731313257732
2083 4.57 7.09741588867062 1 -0.0029748006963306
2084 4.635 7.09439268898283 1 -0.00302319968779052
2085 4.703 7.09131867375313 1 -0.00307401522969997
2086 4.779 7.08818764353859 1 -0.00313103021453642
2087 4.865 7.08499181484555 1 -0.00319582869303847
2088 4.95 7.08173164743798 1 -0.00326016740757407
2089 5.033 7.07840837340352 1 -0.00332327403446175
2090 5.111 7.07502554058844 1 -0.00338283281507135
2091 5.18 7.07158981620157 1 -0.00343572438687012
2092 5.244 7.0681048609647 1 -0.00348495523687031
2093 5.31 7.06456896303891 1 -0.00353589792579267
2094 5.375 7.0609827222217 1 -0.00358624081720738
2095 5.441 7.05734518929855 1 -0.00363753292315749
2096 5.505 7.0536577504546 1 -0.00368743884394451
2097 5.574 7.04991632135145 1 -0.00374142910314834
2098 5.652 7.04611362808952 1 -0.00380269326193439
2099 5.727 7.04225179510888 1 -0.00386183298064235
2100 5.8 7.03833218115377 1 -0.00391961395510254
2101 5.869 7.03435775431819 1 -0.00397442683558769
2102 5.933 7.03033231454918 1 -0.00402543976900471
2103 5.996 7.02625649724876 1 -0.00407581730042672
2104 6.063 7.02212692784173 1 -0.00412956940702447
2105 6.131 7.01794261855888 1 -0.00418430928284774
2106 6.199 7.01370338252717 1 -0.00423923603171428
2107 6.267 7.00940903287354 1 -0.00429434965362407
2108 6.338 7.00505693869319 1 -0.00435209418035676
2109 6.414 7.00064280771909 1 -0.00441413097409971
2110 6.485 6.99617051042025 1 -0.00447229729883336
2111 6.552 6.9916431369401 1 -0.00452737348015564
2112 6.611 6.98706711332128 1 -0.00457602361881992
2113 6.664 6.9824472670876 1 -0.00461984623367862
2114 6.715 6.97778514474546 1 -0.00466212234214414
2115 6.767 6.9730798091236 1 -0.00470533562185693
2116 6.823 6.9683278139125 1 -0.00475199521109904
2117 6.88 6.96352819575282 1 -0.00479961815967922
2118 6.941 6.95867746723428 1 -0.00485072851854262
2119 7.009 6.95376958597915 1 -0.00490788125513308
2120 7.084 6.9487984518989 1 -0.0049711340802423
2121 7.159 6.94376383766637 1 -0.00503461423252993
2122 7.23 6.93866891942537 1 -0.00509491824100827
2123 7.297 6.93351690775218 1 -0.00515201167318757
2124 7.358 6.92831275771632 1 -0.00520415003585928
2125 7.414 6.92306061055872 1 -0.00525214715759503
2126 7.471 6.91775947903555 1 -0.00530113152317657
2127 7.532 6.91240578019847 1 -0.00535369883707748
2128 7.601 6.906992438718 1 -0.00541334148046868
2129 7.671 6.90151839359525 1 -0.00547404512274596
2130 7.748 6.89597734574455 1 -0.00554104785070209
2131 7.832 6.89036293073123 1 -0.00561441501332371
2132 7.907 6.8846827683559 1 -0.00568016237532909
2133 7.97 6.87894720251804 1 -0.00573556583785706
2134 8.017 6.87317019946883 1 -0.00577700304920992
2135 8.047 6.86736670045793 1 -0.00580349901090038
2136 8.068 6.8615446326323 1 -0.00582206782562977
2137 8.084 6.85570840517585 1 -0.00583622745645673
2138 8.106 6.84985269133407 1 -0.00585571384177896
2139 8.139 6.84396771123885 1 -0.00588498009521388
2140 8.18 6.83804630873327 1 -0.00592140250558071
2141 8.235 6.83207594020449 1 -0.00597036852878219
2142 8.303 6.82604486285503 1 -0.00603107734946384
2143 8.372 6.81995199289265 1 -0.00609286996237124
2144 8.44 6.81379803761538 1 -0.00615395527727358
2145 8.49 6.80759904744491 1 -0.00619899017047132
2146 8.524 6.80136937583627 1 -0.0062296716086383
2147 8.543 6.79512253836976 1 -0.00624683746651122
2148 8.554 6.78886575610674 1 -0.00625678226301662
2149 8.566 6.78259811939772 1 -0.0062676367090253
2150 8.585 6.77631328458067 1 -0.00628483481704656
2151 8.607 6.77000851793828 1 -0.00630476664239588
2152 8.643 6.76367109338975 1 -0.00633742454852815
2153 8.692 6.75728913364074 1 -0.00638195974900402
2154 8.749 6.75085524554828 1 -0.00643388809246748
2155 8.806 6.74436929780817 1 -0.00648594774010824
2156 8.859 6.73783482592303 1 -0.00653447188513923
2157 8.9 6.73126273861449 1 -0.00657208730853398
2158 8.931 6.72466216527437 1 -0.00660057334012976
2159 8.956 6.71803859103851 1 -0.00662357423586002
2160 8.974 6.71139844051761 1 -0.00664015052089528
2161 8.991 6.70474262259332 1 -0.0066558179242886
2162 9.005 6.69807389333176 1 -0.00666872926156614
2163 9.028 6.69138393539148 1 -0.00668995794027438
2164 9.06 6.68466440633415 1 -0.00671952905733342
2165 9.094 6.67791341262074 1 -0.00675099371340337
2166 9.126 6.6711327624365 1 -0.00678065018424068
2167 9.157 6.66432334308214 1 -0.00680941935436241
2168 9.188 6.65748511572007 1 -0.00683822736206974
2169 9.219 6.65061804151271 1 -0.00686707420736177
2170 9.249 6.6437230140249 1 -0.00689502748781212
2171 9.284 6.63679532840595 1 -0.00692768561894397
2172 9.317 6.6298368054906 1 -0.00695852291534838
2173 9.348 6.6228492741155 1 -0.00698753137510888
2174 9.383 6.61582894457571 1 -0.00702032953978282
2175 9.422 6.60877201019258 1 -0.00705693438313215
2176 9.455 6.60168405446896 1 -0.00708795572361964
2177 9.484 6.5945688012354 1 -0.00711525323355833
2178 9.506 6.58743281687393 1 -0.00713598436147134
2179 9.522 6.58028174304275 1 -0.00715107383117974
2180 9.536 6.5731174574387 1 -0.00716428560405458
2181 9.55 6.56593995214068 1 -0.00717750529801986
2182 9.571 6.55874260244967 1 -0.00719734969100916
2183 9.597 6.55152065881741 1 -0.00722194363225537
2184 9.627 6.54427030361312 1 -0.00725035520429618
2185 9.667 6.53698200973356 1 -0.00728829387955798
2186 9.711 6.52965190862666 1 -0.00733010110690202
2187 9.752 6.52228278036428 1 -0.0073691282623809
2188 9.79 6.51487741993095 1 -0.00740536043333062
2189 9.819 6.50744436936838 1 -0.0074330505625646
2190 9.836 6.49999507085933 1 -0.0074492985090524
2191 9.849 6.49253333956935 1 -0.00746173128998251
2192 9.859 6.48506203995415 1 -0.00747129961519999
2193 9.871 6.47757925301407 1 -0.00748278694007176
2194 9.885 6.47008305683969 1 -0.00749619617438491
2195 9.9 6.46257248483855 1 -0.00751057200113436
2196 9.926 6.45503697319721 1 -0.00753551164134603
2197 9.96 6.44746880695821 1 -0.00756816623900125
2198 9.995 6.43986697689264 1 -0.00760183006556758
2199 10.026 6.43223528895173 1 -0.00763168794090507
2200 10.053 6.42457756412063 1 -0.00765772483110982
2201 10.072 6.41690149937265 1 -0.00767606474797589
2202 10.085 6.40921287785445 1 -0.00768862151820127
